cfda,Program_Title,Agency_Office,Types_of_Assistance,Date_Modified,Date_Published,Authorization,Objectives,Obligations,TAS_Account_ID,Website,Address,City,State,Zip,Phone
97.108,"Homeland Security, Research, Testing, Evaluation, and Demonstration of Technologies",Department of Homeland Security Science and Technology (S&T),B - Cooperative Agreements,7/12/17 5:00,1/1/07 0:00,"Homeland Security Act of 2002, Public Law 107-296, 6 U.S.C 308(b(1)(c); Implementing Recommendation of the 9/11 Commission Act of 2007, Section 1901, Public Law 110-53; Science and Technology – Management and Administration, Public Law 113-76.","To provide funding and/or property for the purpose of conducting research, testing, evaluation, and demonstration of national preparedness and homeland security technologies intended to identify, counter, or respond to terrorist threats. The DHS S&T First Responders Group (FRG) utilizes grants and cooperative agreements to enhance safety in the first responder community by supporting the research, acquisition of knowledge, and the development of technology, materials, processes, methods, devices, or techniques to support advancement in equipment or technologies. The purpose of these grants and cooperative agreements is to garner high quality, advanced concepts research and development efforts related to important scientific problems and capability gaps identified by the first responder community that could lead to significant public benefits.","(Salaries) FY 16 $1,548,332; FY 17 est $2,716,638; and FY 18 est $2,000,000",70-0800-0-1-999 - DUNS Number: 009095365,http://www.dhs.gov,245 Murray Lane S.W.,Washington,DC,20548,(202) 254-5604
97.077,"Homeland Security Research, Development, Testing, Evaluation, and Demonstration of Technologies Related to Nuclear Threat Detection",Department of Homeland Security Domestic Nuclear Detection Office (DNDO),B - Cooperative Agreements,7/2/17 5:00,1/1/05 0:00,"Homeland Security Act of 2002, Section 1906, Public Law 107-296, 6 U.S.C 596","Support the PPD-8 objective of prevention related to terrorist acts involving nuclear or radiological materials, or weapons using these materials. Support basic and applied research to develop new capabilities to combat the threat of nuclear terrorism, develop intellectual capital in fields relevant to nuclear threat detection and advance fundamental knowledge for nuclear detection and related sciences. The Academic Research Initiative (ARI) is intended to support research at accredited institutions of higher learning across the country, and the Exploratory Research Program supports research within industry and academia.","(Cooperative Agreements) FY 16 $11,228,990; FY 17 est $10,665,701; and FY 18 est $11,599,644",70-0860-0-1-999,http://www.dhs.gov/about-domestic-nuclear-detection-office,245 Murray Lane S.W.,Washington,DC,20548,(202) 254-7109
97.061,Centers for Homeland Security,Department of Homeland Security Science and Technology (S&T),"B - Cooperative Agreements, B - Project Grants",6/22/17 5:00,1/1/04 0:00,"Homeland Security Act of 2002, Section 1205, Public Law 107-296, 6 U.S.C 188(b)","Sponsored by the DHS Office of University Programs, the Centers of Excellence perform research and development activities to provide critical homeland security tools, technologies, training, and talent. The Centers of Excellence (COE) network is an extended consortium of hundreds of universities generating ground-breaking ideas for new technologies and critical knowledge. All Centers of Excellence work closely with academia, industry, DHS components and first-responders to develop customer-driven research solutions to ‘on the ground’ challenges as well as provide essential training to the next generation of homeland security experts. The research portfolio is a mix of basic and applied research addressing both short and long-term needs. The COE extended network is also available for rapid response efforts.","(Salaries) FY 16 $33,592,811; FY 17 est $19,700,000; and FY 18 est $25,400,000",70-0800-0-1-999,http://www.hsuniversityprograms.org,246 Murray Lane S.W.,Washington,DC,20548,(202) 254-8680
96.007,Social Security_Research and Demonstration,Social Security Administration,B - PROJECT GRANTS,9/18/16 5:00,1/1/95 0:00,"Social Security Act of 1935, Executive Order Title II and Title XVI, as amended; 42 U.S.C. 401-433, 902, 1310, 1381-1388c, Title II, Section 1110.","(1) To conduct social, economic, and demographic research on topics important to the Social Security Old Age, Survivors and Disability Insurance and Supplemental Security Income (SSI) programs and the current and future well-being of their beneficiaries; (2) to develop and carry out experiments and research demonstration projects to determine the efficacy of: (a) alternative ways of rehabilitating beneficiaries and encouraging their return to work; and (b) modifying conditions applicable to such beneficiaries including: (i) early referral for rehabilitation services; and (ii) greater use of employers and others in the rehabilitation and placement process.",(Salaries) FY 15 Not Separately Identifiable; FY 16 Not Separately Identifiable; and FY 17 Not Separately Identifiable,28-8704-0-7-601,http://www.ssa.gov,Office of Acquisition and Grants 1540 Robert M. Ball Building 6401 Security Boulevard,Baltimore,MD,21235,(410) 965-9534
95.007,Research and Data Analysis,Executive Office of the President,B - Cooperative Agreements,6/29/17 5:00,6/13/15 5:00,P.L. 109-469.,The purpose of research and data analysis is to inform policy formulation and assessment. The work involves research and analysis of data as it pertains to drug policy.,(Cooperative Agreements) FY 16 $0; FY 17 est $0; and FY 18 est $0,11-1457-0-0-000,NA,"Phuong DeSear 750 17th Street, NW",Washington,DC,20503,(202) 395-6739
94.026,National Service and Civic Engagement Research Competition,Corporation for National and Community Service,B - Cooperative Agreements,9/15/16 5:01,5/15/15 5:00,"The National and Community Service Act of 1990, as amended., Public Law 101-610, 42 U.S.C 12501.","To further achieve its mission, CNCS has a strong belief in the importance of research in order to identify effective strategies for national service and increase the evidence-base for its programs. This means engaging the broader community of academic researchers involved in studying and evaluating national service, volunteerism, and civic infrastructure. The goal of this competition is to increase the nation’s understanding and knowledge about the importance and potential of volunteering, national and community service, and/or civic engagement in America. We are seeking applications that build on existing research in the field, address gaps in knowledge, and provide new ideas and methodological approaches to the study of national service.","(Cooperative Agreements) FY 15 $923,100; FY 16 est $1,500,000; and FY 17 est $1,200,000 - Second year of funding being offered for 2015 cohort. A new competition will be initiated 2017.",95-2728-1-5-000,http://www.nationalservice.gov,Andrea Robles 250 E St SW,Washington,DC,20525,(202) 606-6687
93.989,International Research and Research Training,Department of Health and Human Services National Institutes of Health,"B - PROJECT GRANTS, M - TRAINING",7/31/16 5:00,1/1/90 0:00,"Public Health Service Act, Sections 301 and 405, as amended; 42 U.S.C. 241 and 284.","The John E. Fogarty International Center (FIC) supports research and research training to reduce disparities in global health and to foster partnerships between U.S. scientists and their counterparts abroad. FIC supports basic biological, behavioral, and social science research, as well as related research training and career development. The research portfolio is divided into several programs that support a wide variety of funding mechanisms to meet programmatic objectives.","(Project Grants (including individual awards)) FY 15 $52,232,000; FY 16 est $54,067,000; and FY 17 est $53,585,000",75-0819-0-1-552,http://www.fic.nih.gov,"Flora Katz Building 31, Room B2C39, 31 Center Drive, MSC 2220",Bethesda,MD,20892,(301) 496-1653
93.877,"Autism Collaboration, Accountability, Research, Education, and Support",Department of Health and Human Services Health Resources and Services Administration,B - Project Grants,8/14/16 5:00,1/14/16 5:01,Public Health Service Act - Section 399BB Programs under the Combating Autism Act of 2006 as amended by the Combating Autism Reauthorization Act of 2011 (P.L. 112–32) and the Autism CARES Act of 2014 (P.L. 113–157).,"This Program supports activities to: • provide information and education on autism spectrum disorders (ASD) and other developmental disabilities (DD) to increase public awareness; • promote research into the development and validation of reliable screening tools and interventions for autism spectrum disorders and other developmental disabilities and disseminate information; • promote early screening of individuals at higher risk for autism spectrum disorders and other developmental disabilities as early as practicable, given evidence-based screening techniques and interventions;  • increase the number of professionals who are able to confirm or rule out a diagnosis of autism spectrum disorders and other developmental disabilities; and • increase the number of professionals able to provide evidence-based interventions for individuals diagnosed with autism spectrum disorder or other developmental disabilities.","(Project Grants) FY 15 Not Available; FY 16 est $2,700,000; and FY 17 Estimate Not Available - State ASD and other developmental disabilities program.",75-0350-0-1-550,http://hrsa.gov,Associate Administrator for Maternal and Child Health 5600 Fishers Lane,Rockville,MD,20857,(301) 443-2170
93.867,Vision Research,Department of Health and Human Services National Institutes of Health,B - PROJECT GRANTS,8/6/16 5:00,1/1/90 0:00,"Public Health Service Act, as amended, Title III, Part A, Section 301; Health Research Extension Act of 1985, Public Law 99-158, 42 U.S.C. 241; Title IV, Part B, Section 405; 42 U.S.C. 284; Part C, Section 455; 42 U.S.C. 285i; Health Omnibus Programs Extension Act of 1988, Section 487(d); Public Law 100-607, 42 U.S.C. 288(d); Small Business Research and Development Enhancement Act of 1992, Public Law 102-564.","To support eye and vision research projects that address the leading causes of blindness and impaired vision in the U.S. These include retinal diseases; corneal diseases; cataract; glaucoma and optic neuropathies; strabismus; amblyopia; and low vision and blindness rehabilitation. To increase understanding of the normal development and function of the visual system in order to better prevent, diagnose, and treat sight-threatening conditions; and, to enhance the rehabilitation, training, and quality of life of individuals who are partially-sighted or blind. To support a broad program of basic vision research through grants and cooperative agreements; to encourage high quality clinical research, including clinical trials, other epidemiological studies, and health services research; to encourage research training and career development in the sciences related to vision; and to sponsor scientific workshops in high priority research areas to encourage exchange of information among scientists. Small Business Innovation Research (SBIR) program: To increase private sector commercialization of innovations derived from Federal research and development; to encourage small business participation in Federal research and development; and to foster and encourage participation of socially and economically disadvantaged small business concerns and women-owned small business concerns in technological innovation. Small Business Technology Transfer (STTR) program: To stimulate and foster scientific and technological innovation through cooperative research development carried out between small business concerns and research institutions; to foster technology transfer between small business concerns and research institutions; to increase private sector commercialization of innovations derived from Federal research and development; and to foster and encourage participation of socially and economically disadvantaged small business concerns and women-owned small business concerns in technological innovation.","(Project Grants) FY 15 $509,296,694; FY 16 est $554,259,000; and FY 17 est $527,589,000",75-0887-0-1-552,http://www.nei.nih.gov,"Department of Health and Human Services, Room 1300, 5635 Fishers Lane",Bethesda,MD,20892,(301) 451-2020
93.866,Aging Research,Department of Health and Human Services National Institutes of Health,B - PROJECT GRANTS,7/31/16 5:00,1/1/90 0:00,"Public Health Service Act, Title IV, Part C, Section 444,445,445 A-F, Public Law 99-158, 42 U.S.C 285; Public Health Service Act, Title IV, Part F, Section 487, Public Law 100-607, 42 U.S.C 288; Public Health Service Act, Title III, Part A, Section 301, Public Law 78-410, 42 U.S.C 241; Small Business Research and Development Enhancement Act of 1992, Public Law 102-564; National Institutes Reform Act of 2006, Title IV, Part F, Section 487, Public Law 109-482, 120 Stat. 3675.","To encourage biomedical, social, and behavioral research and research training directed toward greater understanding of the aging process and the diseases, special problems, and needs of people as they age. The National Institute on Aging has established programs to pursue these goals. The Division of Aging Biology emphasizes understanding the basic biological processes of aging. The Division of Geriatrics and Clinical Gerontology supports research to improve the abilities of health care practitioners to respond to the diseases and other clinical problems of older people. The Division of Behavioral and Social Research supports research that will lead to greater understanding of the social, cultural, economic and psychological factors that affect both the process of growing old and the place of older people in society. The Division of Neuroscience fosters research concerned with the age-related changes in the nervous system as well as the related sensory, perceptual, and cognitive processes associated with aging and has a special emphasis on Alzheimer's disease. Small Business Innovation Research (SBIR) program: To expand and improve the SBIR program; to increase private sector commercialization of innovations derived from Federal research and development; to increase small business participation in Federal research and development; and to foster and encourage participation of socially and economically disadvantaged small business concerns and women-owned small business concerns in technological innovation. Small Business Technology Transfer (STTR) program: To stimulate and foster scientific and technological innovation through cooperative research development carried out between small business concerns and research institutions; to foster technology transfer between small business concerns and research institutions; to increase private sector commercialization of innovations derived from Federal research and development; and to foster and encourage participation of socially and economically disadvantaged small business concerns and women-owned small business concerns in technological innovation.","(Project Grants) FY 15 $946,171,000; FY 16 est $1,227,123,000; and FY 17 est $1,600,500,000 - Amounts shown are actual/estimated amounts available for research grants including SBIR/STTR, centers, research career awards, research project grants, and cooperative agreements. Amounts for research training are not included. (Project Grants (Capacity Building and Complaint Processing, Training)) FY 15 $25,028,000; FY 16 est $27,500,000; and FY 17 est $32,000,000 - Amounts shown are for individual and institutional research training awards.",75-0843-0-1-552,http://www.nia.nih.gov/,"Robin A. Barr, Division of Extramural Activities, National Institute on Aging, 7201 Wisconsin Avenue, Room 2C218",Bethesda,MD,20892,(301) 402-7715
