"opeid","school","subsidized13","unsubsidized13","parent13","grad_plus13","grants13","perkins13","FSEOG13","FWS13","subsidized14","unsubsidized14","parent14","grad_plus14","grants14","perkins14","FSEOG14","FWS14","subsidized15","unsubsidized15","parent15","grad_plus15","grants15","perkins15","FSEOG15","FWS15","subsidized16","unsubsidized16","parent16","grad_plus16","grants16","perkins16","FSEOG16","FWS16","subsidized17","unsubsidized17","parent17","grad_plus17","grants17","perkins17","FSEOG17","FWS17"
"00106100","ALASKA PACIFIC UNIVERSITY",884414,3044050,404482,152335,549279,52175,NA,43306,571108,2294051,193786,98966,315423,54884,NA,37706,531176,2240180,145039,112652,344546,55982,NA,33600,514306,2365439,233163,165820,542410.47,47197,NA,39150,513561,1711253,210479,63517,409332,NA,35000,40299
"00106300","UNIVERSITY OF ALASKA FAIRBANKS",7383758,12886523,1996295,19024,7364157,473049,NA,298935,6799011,11956091,1519989,34648,6956186,400925,NA,312550,6324482,10923341,974773,66523,6533325.51,391855,NA,316693,5622072,10459792,846305,151489,6013459.12,330709,NA,394296,5424364,9832683,817246,241612,5843722.21,NA,321080,368952
"00106500","UNIVERSITY OF ALASKA SOUTHEAST",1895309,4224398,336632,55044,1915254,26777,NA,32914,1746203,3923292,445992,139365,1859633,55516,NA,47067,1609427,3679654,263837,244201,1807588.5,31927,NA,33549,1475594,3509496,432943,232575,1655524.5,70384,NA,26719,1285805,3353985,363200,153392,1471799.5,NA,26779,35175
"00884300","ALASKA BIBLE COLLEGE",44118,24383,3420,0,60306,NA,NA,NA,36779,29098,7200,0,54831,NA,NA,NA,19284,15991,0,0,30528,6252,NA,6500,12992,27638,0,0,46380,NA,NA,NA,57158,32825,9310,0,81229,NA,6480,6335
"01146200","UNIVERSITY OF ALASKA ANCHORAGE",16730274,25917253,2165026,411023,16438140,249876,NA,522955,14591311,22608039,1946035,506305,15349730,335502,NA,445027,13021307,20151946,1781678,503276,14404114.77,255539,NA,480370,12572055,17955430,1778528,514386,13363281.6,319752,NA,511671,11765307,17844190,1954064,488516,13815657.17,NA,509106,398194
"02541000","ALASKA CAREER COLLEGE",1173111,1700445,57726,0,1580599,NA,NA,NA,1203788,1671863,109722,0,1768163,NA,NA,NA,1071761,1447326,41846,0,1534963,NA,NA,NA,966802,1366902,103473,0,1441529,NA,NA,NA,811656,1297198,134564,0,1324264,NA,NA,NA
"02576900","CHARTER COLLEGE",10041648,14267948,779549,0,12748499,188703,NA,487503,11876902,16715062,179051,0,13366942,202549,NA,307545,12320296,16908020,115767,0,13126186,197437,NA,393749,12511722,18168589,326096,9829,13090421,152082,NA,286917,10911530,16017210,262806,9826,12054714,NA,398107,146895
"03160300","AVTEC - ALASKA'S INSTITUTE OF TECHNOLOGY",130721,198983,12430,0,349222,NA,NA,NA,116942,189332,0,0,395984,NA,NA,NA,95194,167998,4500,0,298579,NA,NA,NA,82016,152015,4500,0,341411.95,NA,NA,NA,92075,133852,17950,0,333202,NA,NA,NA
"04138600","ALASKA CHRISTIAN COLLEGE",135803,50834,0,0,219672,NA,NA,NA,150169,71655,0,0,329392,NA,NA,NA,188906,106050,0,0,357253,5000,NA,5000,185677,60654,0,0,401846,NA,NA,NA,182586,155270,0,0,378450.5,NA,5936,5000
"00100200","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY",12077377,28464488,4567392,321331,13867488,229778,398030,223853,12460784,31553797,6168652,1233421,14372967,255489,366419,219050,12125148,31353694,8123251,1762547,14646631.75,NA,NA,NA,12920237,29045646,11795126,1902038,15866322.27,286283,185060,279810,13632821,27834341,13900766,1924024,17103334.07,NA,371503,304786
"00100300","FAULKNER UNIVERSITY",9309212,19343822,1527319,5687120,7865647,313660,70915,213052,8354080,17949296,1810742,5651399,7436049,278180,50704,199454,8439903,18641608,1885248,6097344,7498266,NA,NA,NA,7652600,19113958,2196152,6694683,6976618,263779,34740,266918,7449555,17963356,2214677,6539502,6721462,NA,254359,289636
"00100400","UNIVERSITY OF MONTEVALLO",5430646,10304005,919765,77510,4628897,146807,148500,169344,5455684,9716377,1136398,245764,4683581,138353,42500,157450,5335930,9511156,1750874,179380,4708450,141904,77193,165749,4920443,9074453,2377365,320903,4387427,146194,NA,178842,4650783,8455487,2693337,230466,4257892,56492,196978,144603
"00100500","ALABAMA STATE UNIVERSITY",15763313,28130429,4392145,499919,18793524,1264046,220100,375700,14718339,26824353,5976599,935370,17895788,933097,102011,434330,13622759,23699224,7608059,1371887,16399577,1093815,229489,321915,13942842,22289377,11492769,1507669,16951349,1105514,663244,338537,12373176,20423427,11712194,1687072,15592105,877077,544570,1105622
"00100700","CENTRAL ALABAMA COMMUNITY COLLEGE",2954012,2756899,0,0,5413037,48758,NA,80000,2471787,2262133,2500,0,4903104,56094,NA,72993,2096286,1932660,2447,0,4460028.24,42031,NA,73487,1736611,1658119,17373,0,3931146.68,48748,NA,72933,1348189,1246313,26525,0,3638741,NA,74700,37332
"00100800","ATHENS STATE UNIVERSITY",6667801,7775669,121321,0,5566959,54629,NA,88654,6278836,7883617,82802,0,5462208,58119,NA,84561,6403043,7883415,92944,0,5368406.05,71906,NA,89250,6382014,7957130,158876,0,5389899.21,71966,NA,96878,6482305,8599065,201985,0,5306318.5,NA,102106,70596
"00100900","AUBURN UNIVERSITY",24459633,67432217,28735744,5878166,13871011,763935,1533045,531534,24579379,68252476,32045114,6701530,14095519,723311,2004583,615328,24952042,69522755,34405570,8045407,14536276,666686,2414235,643670,24378974,69118966,36721007,8431975,14627489,598534,2429374,702728,25473413,69406126,41100623,9287485,15806318,2035806,828865,559484
"00101200","BIRMINGHAM-SOUTHERN COLLEGE",1890905,2141071,1992579,0,1133060,223695,236750,154569,1724887,1997175,1742057,0,1009561,210096,299975,133200,1719480,2118555,2222749,0,1093422.47,218124,355911,144968,1813801,2119208,2701853,0,1062014.7,227025,454135,135333,1799192,1926155,2891047,0,1163359.91,166169,141048,202467
"00101300","CALHOUN COMMUNITY COLLEGE",10250769,9388755,60885,0,18379567,204276,NA,377914,10484107,9489715,47503,0,17981607,227719,NA,364166,8438858,8090957,43961,0,15502351,217035,NA,226161,6979676,7308293,41965,0,13171820.56,185966,NA,251292,5957781,6493809,73086,0,12509472.04,NA,212686,212722
