recipient,id,year,topic
California Institute of Technology,0707.0196v3,2007,astro-ph
California Institute of Technology,0809.0695v2,2008,astro-ph
Case Western Reserve University,astro-ph/0702333v1,2007,astro-ph
Columbia University in the City of New York,0807.4697v2,2008,astro-ph
Cornell University,astro-ph/0701285v1,2007,astro-ph
Cornell University,0704.0799v3,2007,astro-ph
Cornell University,0809.3448v2,2008,astro-ph
Drexel University,0706.1565v2,2007,astro-ph
Harvard University,0803.3627v1,2008,astro-ph
Harvard University,astro-ph/0703722v2,2007,astro-ph
Harvard University,astro-ph/0702298v1,2007,astro-ph
Massachusetts Institute of Technology,0804.0016v3,2008,astro-ph
New Mexico State University,0705.4287v3,2007,astro-ph
Northwestern University,0706.3700v2,2007,astro-ph
Ohio State University,0706.1824v1,2007,astro-ph
Ohio State University,astro-ph/0701751v2,2007,astro-ph
Ohio State University,astro-ph/0702613v3,2007,astro-ph
Princeton University,0803.0337v1,2008,astro-ph
Princeton University,0707.1316v2,2007,astro-ph
Princeton University,0712.3941v1,2007,astro-ph
San Diego State University,0808.1279v2,2008,astro-ph
San Diego State University,astro-ph/0702221v1,2007,astro-ph
San Diego State University,0705.2708v2,2007,astro-ph
SUNY Buffalo State,astro-ph/0701343v2,2007,astro-ph
Texas A & M University-Commerce,0801.1653v3,2008,astro-ph
Texas A & M University-Commerce,0805.1973v2,2008,astro-ph
The University of Texas at Dallas,0801.3514v2,2008,astro-ph
The University of Texas at Dallas,0810.4956v2,2008,astro-ph
University of Arizona,0806.1531v1,2008,astro-ph
University of California-Berkeley,0803.2397v2,2008,astro-ph
University of California-Irvine,0812.1920v1,2008,astro-ph
University of California-Los Angeles,0710.3359v2,2007,astro-ph
University of California-Los Angeles,astro-ph/0703631v2,2007,astro-ph
University of California-Santa Barbara,0804.3404v1,2008,astro-ph
University of Chicago,astro-ph/0702278v2,2007,astro-ph
University of Chicago,0706.2399v1,2007,astro-ph
University of Chicago,astro-ph/0701692v1,2007,astro-ph
University of Florida,0804.3804v3,2008,astro-ph
University of Kansas,0808.0915v3,2008,astro-ph
University of Maryland-College Park,0704.0044v4,2007,astro-ph
University of Maryland-College Park,astro-ph/0702641v2,2007,astro-ph
University of Maryland-College Park,astro-ph/0703054v2,2007,astro-ph
University of New Mexico-Main Campus,0806.3538v1,2008,astro-ph
University of Rochester,0707.3191v2,2007,astro-ph
University of Virginia,0707.0438v2,2007,astro-ph
University of Wisconsin-Madison,astro-ph/0702002v2,2007,astro-ph
Vanderbilt University,astro-ph/0702207v3,2007,astro-ph
Washburn University,0804.3207v4,2008,astro-ph
Washburn University,0809.0899v3,2008,astro-ph
Washburn University,0804.3604v3,2008,astro-ph
Washington University in St Louis,0711.1677v2,2007,astro-ph
Arizona State University,1002.1952v2,2010,astro-ph.CO
Baylor University,1211.3088v2,2012,astro-ph.CO
California Institute of Technology,1308.3240v2,2013,astro-ph.CO
California Institute of Technology,1409.7395v2,2014,astro-ph.CO
California Institute of Technology,1210.0903v3,2012,astro-ph.CO
Carnegie Mellon University,1112.3108v2,2011,astro-ph.CO
Carnegie Mellon University,1304.4124v1,2013,astro-ph.CO
Cornell University,1009.4192v3,2010,astro-ph.CO
Harvard University,1004.2016v1,2010,astro-ph.CO
Harvard University,1004.4833v2,2010,astro-ph.CO
Johns Hopkins University,1609.09377v1,2016,astro-ph.CO
Massachusetts Institute of Technology,0911.0414v1,2009,astro-ph.CO
Massachusetts Institute of Technology,1409.0050v1,2014,astro-ph.CO
Ohio State University,1001.3678v2,2010,astro-ph.CO
Ohio State University,1006.5751v3,2010,astro-ph.CO
Stanford University,1304.6401v2,2013,astro-ph.CO
Syracuse University,1101.5205v1,2011,astro-ph.CO
The University of Texas at Austin,1006.5457v3,2010,astro-ph.CO
The University of Texas at Dallas,0905.2470v2,2009,astro-ph.CO
The University of Texas at Dallas,1005.2989v3,2010,astro-ph.CO
The University of Texas at Dallas,1203.2138v1,2012,astro-ph.CO
The University of Texas at Dallas,1212.2298v1,2012,astro-ph.CO
The University of Texas at Dallas,1104.2590v3,2011,astro-ph.CO
The University of Texas at Dallas,1205.2422v2,2012,astro-ph.CO
The University of Texas at Dallas,1006.0014v1,2010,astro-ph.CO
The University of Texas at Dallas,1109.4896v2,2011,astro-ph.CO
The University of Texas at Dallas,1307.0723v2,2013,astro-ph.CO
The University of Texas at Dallas,1311.5651v2,2013,astro-ph.CO
The University of Texas at Dallas,1311.5936v2,2013,astro-ph.CO
University of Arizona,1007.3269v1,2010,astro-ph.CO
University of California-Berkeley,1210.0903v3,2012,astro-ph.CO
University of California-San Diego,1510.00428v2,2015,astro-ph.CO
University of California-Santa Cruz,1510.02801v1,2015,astro-ph.CO
University of California-Santa Cruz,1606.06293v2,2016,astro-ph.CO
University of Chicago,1604.00886v2,2016,astro-ph.CO
University of Florida,1405.0393v1,2014,astro-ph.CO
University of Michigan-Ann Arbor,0909.3308v2,2009,astro-ph.CO
University of Michigan-Ann Arbor,1205.6476v3,2012,astro-ph.CO
University of Michigan-Ann Arbor,0908.3988v2,2009,astro-ph.CO
University of Michigan-Ann Arbor,1109.6936v2,2011,astro-ph.CO
University of Michigan-Ann Arbor,1010.1162v3,2010,astro-ph.CO
University of Minnesota-Twin Cities,1304.3706v3,2013,astro-ph.CO
University of Missouri-Columbia,1212.5278v1,2012,astro-ph.CO
University of Missouri-Columbia,1407.6667v2,2014,astro-ph.CO
University of North Carolina at Chapel Hill,1110.4986v2,2011,astro-ph.CO
University of Oklahoma-Norman Campus,1006.3500v1,2010,astro-ph.CO
University of Wisconsin-Milwaukee,1204.3117v1,2012,astro-ph.CO
University of Wisconsin-Milwaukee,1109.1050v2,2011,astro-ph.CO
Washington University in St Louis,1306.3244v2,2013,astro-ph.CO
Washington University in St Louis,1307.6946v1,2013,astro-ph.CO
Yale University,1202.0185v2,2012,astro-ph.CO
California Institute of Technology,1307.7147v2,2013,astro-ph.EP
California State University-Long Beach,1506.03793v2,2015,astro-ph.EP
Harvard University,1301.0818v1,2013,astro-ph.EP
Harvard University,1707.04253v1,2017,astro-ph.EP
Massachusetts Institute of Technology,1103.3725v1,2011,astro-ph.EP
New York University,0903.5308v3,2009,astro-ph.EP
University of Arizona,1303.4506v1,2013,astro-ph.EP
University of California-Berkeley,1101.0253v1,2010,astro-ph.EP
University of California-Berkeley,1012.5077v1,2010,astro-ph.EP
University of California-San Diego,0902.2873v1,2009,astro-ph.EP
University of California-Santa Cruz,1003.3969v1,2010,astro-ph.EP
University of Kansas,0907.1067v4,2009,astro-ph.EP
University of Kansas,1608.07303v2,2016,astro-ph.EP
University of Kansas,1406.5141v2,2014,astro-ph.EP
University of Kansas,1702.04365v2,2017,astro-ph.EP
University of Kansas,1108.0326v3,2011,astro-ph.EP
University of Kansas,1409.7049v3,2014,astro-ph.EP
University of Kansas,1401.7276v1,2014,astro-ph.EP
University of Kansas,0901.3173v2,2009,astro-ph.EP
Washburn University,1102.2830v1,2011,astro-ph.EP
Washburn University,1212.0490v1,2012,astro-ph.EP
Washburn University,1604.01816v1,2016,astro-ph.EP
Washburn University,1111.5590v1,2011,astro-ph.EP
California Institute of Technology,1510.02477v2,2015,astro-ph.GA
California Institute of Technology,1612.05264v2,2016,astro-ph.GA
California Institute of Technology,1211.3119v2,2012,astro-ph.GA
Iowa State University,0906.2777v2,2009,astro-ph.GA
Princeton University,1502.03360v1,2015,astro-ph.GA
University of California-Berkeley,1211.3119v2,2012,astro-ph.GA
University of Minnesota-Twin Cities,1101.3327v1,2011,astro-ph.GA
University of Missouri-Columbia,1210.6856v1,2012,astro-ph.GA
California Institute of Technology,1205.6482v1,2012,astro-ph.HE
California Institute of Technology,1209.1634v3,2012,astro-ph.HE
California Institute of Technology,1707.01527v2,2017,astro-ph.HE
California Institute of Technology,1608.08069v1,2016,astro-ph.HE
California State University-Long Beach,1008.4985v1,2010,astro-ph.HE
Columbia University in the City of New York,1509.04301v1,2015,astro-ph.HE
Columbia University in the City of New York,1211.6113v1,2012,astro-ph.HE
Georgia Institute of Technology,1702.01457v1,2017,astro-ph.HE
Harvard University,1512.06124v2,2015,astro-ph.HE
Harvard University,1406.1497v1,2014,astro-ph.HE
Harvard University,1411.5685v1,2014,astro-ph.HE
Harvard University,1411.6014v1,2014,astro-ph.HE
Harvard University,1708.04627v2,2017,astro-ph.HE
Harvard University,1710.07648v1,2017,astro-ph.HE
Harvard University,0903.1105v1,2009,astro-ph.HE
Massachusetts Institute of Technology,1601.05550v1,2016,astro-ph.HE
Massachusetts Institute of Technology,1306.0151v2,2013,astro-ph.HE
Massachusetts Institute of Technology,1503.03873v2,2015,astro-ph.HE
Massachusetts Institute of Technology,1608.08627v2,2016,astro-ph.HE
Massachusetts Institute of Technology,1612.04962v1,2016,astro-ph.HE
Michigan State University,0903.3994v2,2009,astro-ph.HE
Ohio State University,1106.4668v2,2011,astro-ph.HE
Ohio State University,1004.3311v1,2010,astro-ph.HE
Ohio State University,1404.2288v3,2014,astro-ph.HE
Ohio State University,1308.0013v1,2013,astro-ph.HE
Pennsylvania State University,1305.6606v3,2013,astro-ph.HE
Pennsylvania State University,1512.07670v1,2015,astro-ph.HE
