name,icon
WEAPONS,103-rifle.svg
NUCLEAR ORDNANCE,101-bomb.svg
FIRE CONTROL EQUIPMENT,089-extinguisher.svg
AMMUNITION & EXPLOSIVES,102-bullets.svg
GUIDED MISSLES,185-startup.svg
AEROSPACE CRAFT & STRUCTURAL COMPONENTS,120-rocket.svg
AEROSPACE CRAFT COMPONENTS & ACCESSORIES,094-rocket-1.svg
"AEROSPACE CRAFT LAUNCHING, LANDING, HANDLING, & SERVICING",120-rocket.svg
SPACE VEHICLES,093-rocket-2.svg
"SHIPS, SMALL CRAFT, PONTOON, & DOCKS",138-rudder.svg
SHIP & MARINE EQUIPMENT,179-ship.svg
RAILWAY EQUIPMENT,139-railroad-with-wood-planks.svg
"MOTOR VEHICLES, CYCLES, & TRAILERS",202-truck.svg
TRACTORS,026-tractor-side-view.svg
VEHICULAR EQUIPMENT COMPONENTS,050-car-repair-1.svg
TIRES & TUBES,145-disc-brake.svg
"ENGINES, TURBINES, & COMPONENTS",137-fighter-plane.svg
ENGINE ACCESSORIES,006-tools-and-utensils-3.svg
MECHANICAL POWER TRANSMISSION EQUIPMENT,150-battery-with-positive-and-negative-poles-symbols.svg
BEARINGS,145-disc-brake.svg
WOODWORKING MACHINERY & EQUIPMENT,055-saw-1.svg
METALWORKING MACHINERY,151-drill.svg
SERVICE & TRADE EQUIPMENT,098-paint-roller.svg
SPECIAL INDUSTRY MACHINERY,176-microscope.svg
AGRICULTURAL MACHINERY & EQUIPMENT,164-watering-tool-for-gardening.svg
"CONSTRUCTION, MINING, EXCAVATATION, & HIGHWAY EQUIPMENT",156-construction-machine-side-view-with-crane.svg
MATERIALS HANDLING EQUIPMENT,215-trolley.svg
"ROPES, CABLES, CHAINS, & FITTINGS",121-tools.svg
"REFRIGERATION, AC, & CIRCULATION EQUIPMENT",002-fan.svg
"FIRE, RESCUE, & SAFETY",126-first-aid-kit.svg
PUMPS & COMPRESSORS,004-tools-and-utensils.svg
"FURNACES, BOILERS, & REACTORS",201-factory.svg
"PLUMBING, HEATING, WASTE DISPOSAL",197-plumbering.svg
WATER PURIFICATION & SEWAGE TREATMENT,143-spa-waters.svg
"PIPE, TUBING, HOSE, & FITTINGS",197-plumbering.svg
VALVES,005-gas-pipe.svg
MAINTENANCE & REPAIR EQUIPMENT,121-tools.svg
HAND TOOLS,004-tools-and-utensils-5.svg
MEASURING TOOLS,170-measuring-tools.svg
HARDWARE & ABRASIVES,121-tools.svg
PREFAB STRUCTURES & SCAFFOLDING,196-winch.svg
"LUMBER, MILLWORK, PLYWOOD, & VENEER",147-saw.svg
CONSTRUCTION & BUILDING MATERIALS,027-concrete-truck.svg
COMMUNCTATIONS AND RADAR EQUIPMENT,131-satellite-dish.svg
ELECTRICAL COMPONENTS & EQUIPMENT,117-usb.svg
FIBER OPTICS,001-shapes.svg
ELECTRICAL WIRES & POWER DISTRIBUTION EQUIPMENT,150-battery-with-positive-and-negative-poles-symbols.svg
"LIGHTING FIXTURES, & LAMPS",162-tool-1.svg
"ALARMS, SIGNALS, & SECURITY",177-cctv.svg
"MEDICAL, DENTAL, VETERINARY EQUIPMENT",127-stethoscope.svg
INSTRUMENTS & LABORATORY EQUIPMENT,192-chemistry.svg
PHOTOGRAPHIC EQUIPMENT,204-technology.svg
CHEMICALS & CHEMICAL PRODUCTS,040-chemistry-1.svg
TRAINING AIDS & DEVICES,066-presentation-1.svg
"IT EQUIPMENT, SOFTWARE, SUPPLIES, & SUPPORT",099-browser.svg
HOUSEHOLD/COMMERCIAL FURNISHINGS & APPLIANCES,104-sofa.svg
FOOD PREPARATION & SERVING EQUIPMENT,128-cutlery.svg
FURNITURE,104-sofa.svg
OFFICE EQUIPMENT,086-telephone.svg
OFFICE SUPPLIES & DEVICES,010-paperclip.svg
"BOOKS, MAPS, & OTHER PUBLICATIONS",182-books.svg
"MUSICAL INSTRUMENTS, RADIOS, & TVS",181-electric-guitar.svg
RECREATIONAL & ATHLETIC EQUIPMENT,140-three-bowling-pins-and-ball.svg
CLEANING EQUIPMENT & SUPPLIES,154-wiping-swipe-for-floors.svg
"BRUSHES, PAINTS, SEALERS, & ADHESIVES",144-paint-brush.svg
CONTAINERS & PACKING SUPPLIES,003-box.svg
TEXTILES & FLAGS,175-goal.svg
"CLOTHING, INDIVIDUAL EQUIPMENT, INSIGNAS, & JEWELRY",007-shapes-1.svg
TOILETRIES,085-toothbrush.svg
AGRICULTURAL SUPPLIES,216-shovel.svg
LIVE ANIMALS,141-plain-dog.svg
SUBSISTENCE,037-food-donation.svg
"FUELS, LUBRICANTS, OILS, & WAXES",039-barrel.svg
NONMETALLIC FABRICATED MATERIALS,052-sign.svg
NONMETALLIC CRUDE MATERIALS,159-tree-silhouette.svg
"METAL BARS, SHEETS, & WIRES",121-tools.svg
"ORES, MINERALS, & PRIMARY PRODUCTS",100-diamond.svg
MISCELLANEOUS,121-tools.svg
R&D,040-chemistry-1.svg
AGRICULTURE R&D,160-corn.svg
COMMUNITY SERVICE R&D,083-teacher.svg
DEFENSE SYSTEMS R&D,136-submarine.svg
DEFENSE (OTHER) R&D,137-fighter-plane.svg
ECONOMIC GROWTH & PRODUCTIVITY R&D,118-bank-1.svg
EDUCATION R & D,183-university-1.svg
ENERGY R&D,097-recycling.svg
ENVIRONMENTAL PROTECTION R&D,034-hand-holding-a-stalk.svg
GEN. SCIENCE & TECHNOLOGY R&D,190-idea.svg
HOUSING R&D,018-house.svg
INCOME SECURITY R&D,090-safebox.svg
INTERNATIONAL AFFAIRS & COOPERATION R&D,035-world-in-your-hands.svg
MEDICAL R&D,165-medical-stethoscope-variant.svg
NATURAL RESOURCES R&D,159-tree-silhouette.svg
SOCIAL SERVICES R&D,074-meeting-2.svg
SPACE R&D,187-satellite.svg
TRANSPORTATION (MODAL) R&D,194-delivery-truck.svg
TRANSPORTATION (OTHER) R&D,221-boat-from-front-view.svg
TRANSPORTATION (OBSOLETE GROUP),166-black-big-car-side-view.svg
MINING R&D,216-shovel.svg
OTHER R&D,176-microscope.svg
"SPECIAL STUDIES & ANALYSIS, NOT R&D",071-strategy.svg
SPECIAL STUDIES - NOT R&D,182-books.svg
ARCHITECTURAL & ENGINEERING SERVICES,173-draw-with-compass.svg
ARCHITECTURAL & ENGINEERING SERVICES - CONSTRUCTION,193-cranes.svg
ARCHITECTURAL & ENGINEERING SERVICES - GENERAL,008-drawing-house-plan.svg
IT & TELECOMMUNICATIONS,171-desktop-computer.svg
PURCHASE OF STRUCTURES & FACILITIES,010-big-building.svg
PURCHASE BUILDINGS,135-contract.svg
PURCHASE OF FACILITIES NONBUILDING,135-contract.svg
RESTORATION OF PROPERTY,206-carpenter.svg
NATURAL RESOURCES MANAGEMENT,142-herbal-spa-treatment-leaves.svg
NATURAL RESOURCE CONSERVERVAT ION SERVICES,034-hand-holding-a-stalk.svg
ENVIRONMENTAL SYSTEMS PROTECTION,035-world-in-your-hands.svg
NATURAL RESOURCES - OTHER SERVICES,034-hand-holding-a-stalk.svg
SOCIAL SERVICES,074-meeting-2.svg
"QUALITY CONTROL, TESTING, & INSPECTIONS",211-inspection.svg
QUALITY CONTROL SERVICES,064-id-card.svg
EQUIPMENT & MATERIALS TESTING,006-line-chart.svg
INSPECTION SERVICES,009-search-in-folder.svg
"OTHER QUALITY, TEST, & INSPECTION SERVICES",205-archeologist.svg
MAINTENANCE & REPAIR OF EQUIPMENT,218-grinder.svg
NON-NUCLEAR SHIP REPAIR,179-ship.svg
MODIFICATION OF EQUIPMENT,003-tools-and-utensils-6.svg
TECHNICAL REPRESENTATIVE SERVICES,075-target.svg
OPERATION OF GOVERNMENT OWNED FACILITY,016-building-2.svg
OPERATE GOVERNMENT OWNED BUILDINGS,017-building-1.svg
OPERATE GOVERNMENT OWNED NONBUILDING FACILITIES,013-buildings-group.svg
OPERATE RESTORATION ACTIVITIES,214-manager.svg
INSTALLATION OF EQUIPMENT,217-nail.svg
SALVAGE SERVICES,029-excavator-machine-arm.svg
DISPOSAL OF SURPLUS PROPERTY,031-excavator.svg
SALVAGE OF AIRCRAFT,137-fighter-plane.svg
SALVAGE OF MARINE VESSELS,221-boat-from-front-view.svg
DEMOLITION OF BUILDINGS,220-wrecking-ball.svg
DEMOLITION OF NONBUILDING FACILITY,054-blaster.svg
OTHER SALVAGE SERVICES,029-excavator-machine-arm.svg
MEDICAL SERVICES,126-first-aid-kit.svg
DEPENDENT MEDICARE SERVICES,001-family-of-three.svg
GENERAL HEALTH CARE SERVICES,011-doctor.svg
LABORATORY TESTING SERVICES,192-chemistry.svg
"NURSING, NURSING HOME, EVALUATION & SCREENING",064-id-card.svg
"MEDICAL, DENTAL, & SURGICAL SERVICES",001-transfusion.svg
CERTIFIED MEDICAL SUPPORT,126-first-aid-kit.svg
SPECIALIZED TECHNICAL & MEDICAL SUPPORT,165-medical-stethoscope-variant.svg
CLERICAL MEDICAL SUPPORT,011-doctor.svg
OTHER MEDICAL SERVICES,003-icu-monitor.svg
SUPPORT SERVICES,086-telephone.svg
BUILDINGS & FACILITIES (OBSOLETE),011-buildings-group-1.svg
ARCHITECT-ENGINEER (OBSOLETE CODES),012-stepped-building-tower.svg
ADP SERVICES (OBSOLETE CODES),064-id-card.svg
PROFESSIONAL SERVICES,071-strategy.svg
STUDIES (OBSOLETE CODES),082-student.svg
ADMINISTRATIVE SUPPORT SERVICES,074-meeting-2.svg
MANAGEMENT SUPPORT SERVICES,214-manager.svg
UTILITIES & HOUSEKEEPING,063-maid.svg
