"obligations_incurred_by_program_object_class_cpe","reporting_period_start","budget_function_code","budget_function_title","budget_subfunction_code","budget_subfunction_title","major_object_class","major_object_class_name","object_class","object_class_name"
128823423.26,"2018-04-01","300","Natural Resources and Environment","303","Recreational resources","30","Acquisition of assets","320","Land and structures"
1330495.56,"2018-04-01","750","Administration of Justice","753","Federal correctional activities","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
216643911.61,"2018-04-01","400","Transportation","407","Other transportation","20","Contractual services and supplies","252","Other services from non-Federal sources"
22085256.08,"2018-04-01","150","International Affairs","154","Foreign information and exchange activities","20","Contractual services and supplies","251","Advisory and assistance services"
3445741.44,"2018-04-01","400","Transportation","403","Water transportation","20","Contractual services and supplies","258","Subsistence and support of persons"
152816,"2018-04-01","600","Income Security","601","General retirement and disability insurance (excluding social se","90","Other","920","Undistributed"
8704584.72,"2018-04-01","600","Income Security","604","Housing assistance","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
3202358.63,"2018-04-01","700","Veterans Benefits and Services","705","Other veterans benefits and services","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
944189.13,"2018-04-01","250","General Science, Space, and Technology","252","Space flight, research, and supporting activities","10","Personnel compensation and benefits","118","Special personal services payments"
1021892.1,"2018-04-01","400","Transportation","407","Other transportation","20","Contractual services and supplies","240","Printing and reproduction"
1174221864.43,"2018-04-01","750","Administration of Justice","752","Federal litigative and judicial activities","20","Contractual services and supplies","258","Subsistence and support of persons"
95951576.77,"2018-04-01","450","Community and Regional Development","453","Disaster relief and insurance","20","Contractual services and supplies","258","Subsistence and support of persons"
0,"2018-04-01","400","Transportation","403","Water transportation","00","Unknown","000",""
1271500.34,"2018-04-01","700","Veterans Benefits and Services","705","Other veterans benefits and services","30","Acquisition of assets","320","Land and structures"
1134583290.83,"2018-04-01","800","General Government","804","General property and records management","10","Personnel compensation and benefits","111","Full-time permanent"
5464903.52,"2018-04-01","800","General Government","806","General purpose fiscal assistance","20","Contractual services and supplies","255","Research and development contracts"
12590.97,"2018-04-01","050","National Defense","053","Atomic energy defense activities","00","Unknown","000",""
-129433519,"2018-04-01","250","General Science, Space, and Technology","251","General science and basic research","00","Unknown","000",""
218540423.26,"2018-04-01","300","Natural Resources and Environment","303","Recreational resources","20","Contractual services and supplies","252","Other services from non-Federal sources"
6712251.75,"2018-04-01","300","Natural Resources and Environment","304","Pollution control and abatement","10","Personnel compensation and benefits","118","Special personal services payments"
209153.83,"2018-04-01","450","Community and Regional Development","453","Disaster relief and insurance","90","Other","940","Financial transfers"
937438927.43,"2018-04-01","700","Veterans Benefits and Services","704","Veterans housing","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
171506193.48,"2018-04-01","350","Agriculture","352","Agricultural research and services","20","Contractual services and supplies","232","Rental payments to others"
809242047.9,"2018-04-01","300","Natural Resources and Environment","303","Recreational resources","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
806052924.35,"2018-04-01","800","General Government","804","General property and records management","20","Contractual services and supplies","253","Other goods and services from Federal sources"
126841760.99,"2018-04-01","600","Income Security","609","Other income security","20","Contractual services and supplies","251","Advisory and assistance services"
1066500.7,"2018-04-01","600","Income Security","605","Food and nutrition assistance","20","Contractual services and supplies","220","Transportation of things"
16567131422.87,"2018-04-01","700","Veterans Benefits and Services","703","Hospital and medical care for veterans","20","Contractual services and supplies","252","Other services from non-Federal sources"
93347378.14,"2018-04-01","750","Administration of Justice","751","Federal law enforcement activities","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
0,"2018-04-01","450","Community and Regional Development","451","Community development","30","Acquisition of assets","320","Land and structures"
1061755658.94,"2018-04-01","370","Commerce and Housing Credit","373","Deposit insurance","10","Personnel compensation and benefits","111","Full-time permanent"
126831987.2,"2018-04-01","300","Natural Resources and Environment","301","Water resources","10","Personnel compensation and benefits","121","Civilian personnel benefits"
59678.86,"2018-04-01","750","Administration of Justice","754","Criminal justice assistance","20","Contractual services and supplies","254","Operation and maintenance of facilities"
86533.04,"2018-04-01","300","Natural Resources and Environment","303","Recreational resources","40","Grants and fixed charges","440","Refunds"
8240690.68,"2018-04-01","370","Commerce and Housing Credit","373","Deposit insurance","20","Contractual services and supplies","260","Supplies and materials"
353856.92,"2018-04-01","300","Natural Resources and Environment","304","Pollution control and abatement","20","Contractual services and supplies","256","Medical care"
6187276,"2018-04-01","270","Energy","276","Energy information, policy, and regulation","20","Contractual services and supplies","260","Supplies and materials"
0,"2018-04-01","450","Community and Regional Development","451","Community development","00","Unknown","0",""
175478736.07,"2018-04-01","550","Health","551","Health care services","10","Personnel compensation and benefits","113","Other than full-time permanent"
2188706490.12,"2018-04-01","750","Administration of Justice","751","Federal law enforcement activities","20","Contractual services and supplies","252","Other services from non-Federal sources"
1340650.81,"2018-04-01","370","Commerce and Housing Credit","373","Deposit insurance","30","Acquisition of assets","320","Land and structures"
3328629.36,"2018-04-01","550","Health","552","Health research and training","10","Personnel compensation and benefits","122","Military personnel benefits"
38518785.47,"2018-04-01","300","Natural Resources and Environment","303","Recreational resources","20","Contractual services and supplies","231","Rental payments to GSA"
95900.4,"2018-04-01","500","Education, Training, Employment, and Social Services","502","Higher education","10","Personnel compensation and benefits","118","Special personal services payments"
45652011.98,"2018-04-01","550","Health","554","Consumer and occupational health and safety","10","Personnel compensation and benefits","122","Military personnel benefits"
425413032.3,"2018-04-01","750","Administration of Justice","752","Federal litigative and judicial activities","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
1000000,"2018-04-01","500","Education, Training, Employment, and Social Services","502","Higher education","90","Other","940","Financial transfers"
106821684.16,"2018-04-01","050","National Defense","054","Defense-related activities","20","Contractual services and supplies","260","Supplies and materials"
144638070.94,"2018-04-01","450","Community and Regional Development","452","Area and regional development","20","Contractual services and supplies","253","Other goods and services from Federal sources"
5488228.52,"2018-04-01","500","Education, Training, Employment, and Social Services","501","Elementary, secondary, and vocational education","20","Contractual services and supplies","257","Operation and maintenance of equipment"
9664.44,"2018-04-01","750","Administration of Justice","753","Federal correctional activities","40","Grants and fixed charges","430","Interest and dividends"
35811201.22,"2018-04-01","550","Health","552","Health research and training","10","Personnel compensation and benefits","121","Civilian personnel benefits"
15115249679.58,"2018-04-01","450","Community and Regional Development","452","Area and regional development","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
43713.41,"2018-04-01","400","Transportation","401","Ground transportation","90","Other","920","Undistributed"
6171841.34,"2018-04-01","300","Natural Resources and Environment","303","Recreational resources","20","Contractual services and supplies","232","Rental payments to others"
6059551.75,"2018-04-01","800","General Government","802","Executive direction and management","30","Acquisition of assets","310","Equipment"
347977368.33,"2018-04-01","150","International Affairs","151","International development and humanitarian assistance","20","Contractual services and supplies","253","Other goods and services from Federal sources"
113460081.87,"2018-04-01","050","National Defense","053","Atomic energy defense activities","10","Personnel compensation and benefits","115","Other personnel compensation"
1792169339.7,"2018-04-01","800","General Government","805","Central personnel management","20","Contractual services and supplies","252","Other services from non-Federal sources"
516933.53,"2018-04-01","600","Income Security","609","Other income security","10","Personnel compensation and benefits","122","Military personnel benefits"
203523.18,"2018-04-01","700","Veterans Benefits and Services","702","Veterans education, training, and rehabilitation","10","Personnel compensation and benefits","113","Other than full-time permanent"
13867890.21,"2018-04-01","270","Energy","276","Energy information, policy, and regulation","10","Personnel compensation and benefits","115","Other personnel compensation"
1043684.9,"2018-04-01","150","International Affairs","154","Foreign information and exchange activities","20","Contractual services and supplies","232","Rental payments to others"
11749753.62,"2018-04-01","750","Administration of Justice","751","Federal law enforcement activities","10","Personnel compensation and benefits","117","Military personnel"
964.96,"2018-04-01","500","Education, Training, Employment, and Social Services","503","Research and general education aids","40","Grants and fixed charges","430","Interest and dividends"
7140217.03,"2018-04-01","800","General Government","806","General purpose fiscal assistance","20","Contractual services and supplies","254","Operation and maintenance of facilities"
1505780000,"2018-04-01","150","International Affairs","151","International development and humanitarian assistance","30","Acquisition of assets","330","Investments and loans"
1700899.77,"2018-04-01","500","Education, Training, Employment, and Social Services","502","Higher education","10","Personnel compensation and benefits","113","Other than full-time permanent"
33487479.47,"2018-04-01","300","Natural Resources and Environment","301","Water resources","20","Contractual services and supplies","260","Supplies and materials"
164948.38,"2018-04-01","350","Agriculture","352","Agricultural research and services","20","Contractual services and supplies","256","Medical care"
2338139.86,"2018-04-01","750","Administration of Justice","753","Federal correctional activities","20","Contractual services and supplies","232","Rental payments to others"
11143976.46,"2018-04-01","450","Community and Regional Development","452","Area and regional development","20","Contractual services and supplies","257","Operation and maintenance of equipment"
43347,"2018-04-01","550","Health","552","Health research and training","30","Acquisition of assets","330","Investments and loans"
117.76,"2018-04-01","050","National Defense","051","Department of Defense-Military","30","Acquisition of assets","310","Equipment"
2279056.99,"2018-04-01","750","Administration of Justice","754","Criminal justice assistance","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
1168893573.39,"2018-04-01","750","Administration of Justice","753","Federal correctional activities","10","Personnel compensation and benefits","121","Civilian personnel benefits"
26347437.98,"2018-04-01","400","Transportation","403","Water transportation","10","Personnel compensation and benefits","115","Other personnel compensation"
88104.3,"2018-04-01","800","General Government","804","General property and records management","40","Grants and fixed charges","440","Refunds"
28056386.71,"2018-04-01","700","Veterans Benefits and Services","703","Hospital and medical care for veterans","40","Grants and fixed charges","420","Insurance claims and indemnities"
14170001.28,"2018-04-01","550","Health","552","Health research and training","10","Personnel compensation and benefits","113","Other than full-time permanent"
35514.93,"2018-04-01","500","Education, Training, Employment, and Social Services","501","Elementary, secondary, and vocational education","20","Contractual services and supplies","210","Travel and transportation of persons"
-527.96,"2018-04-01","150","International Affairs","152","International security assistance","10","Personnel compensation and benefits","118","Special personal services payments"
173885.09,"2018-04-01","450","Community and Regional Development","452","Area and regional development","40","Grants and fixed charges","440","Refunds"
26117257.23,"2018-04-01","800","General Government","805","Central personnel management","10","Personnel compensation and benefits","115","Other personnel compensation"
774078.01,"2018-04-01","550","Health","552","Health research and training","10","Personnel compensation and benefits","118","Special personal services payments"
-2009392.23,"2018-04-01","700","Veterans Benefits and Services","702","Veterans education, training, and rehabilitation","00","Unknown","000",""
23329165.27,"2018-04-01","300","Natural Resources and Environment","301","Water resources","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
9106.4,"2018-04-01","400","Transportation","401","Ground transportation","20","Contractual services and supplies","258","Subsistence and support of persons"
1273580405.81,"2018-04-01","800","General Government","804","General property and records management","20","Contractual services and supplies","254","Operation and maintenance of facilities"
0,"2018-04-01","600","Income Security","609","Other income security","30","Acquisition of assets","320","Land and structures"
4182387531.55,"2018-04-01","350","Agriculture","351","Farm income stabilization","40","Grants and fixed charges","420","Insurance claims and indemnities"
9736.07,"2018-04-01","500","Education, Training, Employment, and Social Services","506","Social services","20","Contractual services and supplies","257","Operation and maintenance of equipment"
-18784.45,"2018-04-01","400","Transportation","401","Ground transportation","40","Grants and fixed charges","440","Refunds"
447644,"2018-04-01","150","International Affairs","155","International financial programs","20","Contractual services and supplies","232","Rental payments to others"
