"year","average_interest_rate","average_interest_rate_url","average_interest_rate_url_name","federal_debt","federal_debt_url","federal_debt_url_name"
2008,0.04188,"https://www.treasurydirect.gov/govt/rates/pd/avg/2008/2008_09.htm","TreasuryDirect",10024725000000,"ftp://ftp.publicdebt.treas.gov/opd/opds092008.pdf","Monthly Statement of the Public Debt"
2009,0.03347,"https://www.treasurydirect.gov/govt/rates/pd/avg/2009/2009_09.htm","TreasuryDirect",11909829000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2009/opds092009.pdf","Monthly Statement of the Public Debt"
2010,0.03052,"https://www.treasurydirect.gov/govt/rates/pd/avg/2010/2010_09.htm","TreasuryDirect",13561623000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2010/opds092010.pdf","Monthly Statement of the Public Debt"
2011,0.02886,"https://www.treasurydirect.gov/govt/rates/pd/avg/2011/2011_09.htm","TreasuryDirect",14790340000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2011/opds092011.pdf","Monthly Statement of the Public Debt"
2012,0.02588,"https://www.treasurydirect.gov/govt/rates/pd/avg/2012/2012_09.htm","TreasuryDirect",16066241000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2012/opds092012.pdf","Monthly Statement of the Public Debt"
2013,0.0243,"https://www.treasurydirect.gov/govt/rates/pd/avg/2013/2013_09.htm","TreasuryDirect",16738184000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2013/opds092013.pdf","Monthly Statement of the Public Debt"
2014,0.02401,"https://www.treasurydirect.gov/govt/rates/pd/avg/2014/2014_09.htm","TreasuryDirect",17824071000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2014/opds092014.pdf","Monthly Statement of the Public Debt"
2015,0.0235,"https://www.treasurydirect.gov/govt/rates/pd/avg/2015/2015_09.htm","TreasuryDirect",18150618000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2015/opds092015.pdf","Monthly Statement of the Public Debt"
2016,0.02232,"https://www.treasurydirect.gov/govt/rates/pd/avg/2016/2016_09.htm","TreasuryDirect",19573445000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2016/opds092016.pdf","Monthly Statement of the Public Debt"
2017,0.02284,"https://www.treasurydirect.gov/govt/rates/pd/avg/2017/2017_09.htm","TreasuryDirect",20244900000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2017/opds092017.pdf","Monthly Statement of the Public Debt"
2018,0.02494,"https://www.treasurydirect.gov/govt/rates/pd/avg/2018/2018_09.htm","TreasuryDirect",21516058000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2018/opds092018.pdf","Monthly Statement of the Public Debt"
2019,0.02492,"https://www.treasurydirect.gov/govt/rates/pd/avg/2019/2019_09.htm","TreasuryDirect",22719402000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2019/opds092019.pdf","Monthly Statement of the Public Debt"
