"year","interest_expense_federal_debt","interest_expense_source_url","interest_expense_source_url_name","federal_debt","federal_debt_url","federal_debt_url_name"
2008,451154000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0908.pdf","Monthly Treasury Statement",10024725000000,"ftp://ftp.publicdebt.treas.gov/opd/opds092008.pdf","Monthly Statement of the Public Debt"
2009,383365000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0909.pdf","Monthly Treasury Statement",11909829000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2009/opds092009.pdf","Monthly Statement of the Public Debt"
2010,413955000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0910.pdf","Monthly Treasury Statement",13561623000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2010/opds092010.pdf","Monthly Statement of the Public Debt"
2011,454015000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0911.pdf","Monthly Treasury Statement",14790340000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2011/opds092011.pdf","Monthly Statement of the Public Debt"
2012,359241000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0912.pdf","Monthly Treasury Statement",16066241000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2012/opds092012.pdf","Monthly Statement of the Public Debt"
2013,415670000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0913.pdf","Monthly Treasury Statement",16738184000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2013/opds092013.pdf","Monthly Statement of the Public Debt"
2014,429568000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0914.pdf","Monthly Treasury Statement",17824071000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2014/opds092014.pdf","Monthly Statement of the Public Debt"
2015,402184000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Monthly Treasury Statement",18150618000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2015/opds092015.pdf","Monthly Statement of the Public Debt"
2016,429963000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Monthly Treasury Statement",19573445000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2016/opds092016.pdf","Monthly Statement of the Public Debt"
2017,456955000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Monthly Treasury Statement",20244900000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2017/opds092017.pdf","Monthly Statement of the Public Debt"
2018,521553000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Monthly Treasury Statement",21516058000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2018/opds092018.pdf","Monthly Statement of the Public Debt"
2019,572913097834,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0919.pdf","Monthly Treasury Statement",22719402000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2019/opds092019.pdf","Monthly Statement of the Public Debt"
