"year","federal_debt","federal_debt_url","federal_debt_url_name","gdp","gdp_url","gdp_url_name","debt_gdp"
2000,5656271000000,"ftp://ftp.publicdebt.treas.gov/opd/opds092000.pdf","Monthly Statement of the Public Debt",10319825000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",54.8097569483979
2001,5807463000000,"ftp://ftp.publicdebt.treas.gov/opd/opds092001.pdf","Monthly Statement of the Public Debt",10596294000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",54.8065484026774
2002,6228236000000,"ftp://ftp.publicdebt.treas.gov/opd/opds092002.pdf","Monthly Statement of the Public Debt",10992051000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",56.66127276884
2003,6783231000000,"ftp://ftp.publicdebt.treas.gov/opd/opds092003.pdf","Monthly Statement of the Public Debt",11567326000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",58.6413056915661
2004,7379053000000,"ftp://ftp.publicdebt.treas.gov/opd/opds092004.pdf","Monthly Statement of the Public Debt",12303340000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",59.9760146431782
2005,7932710000000,"ftp://ftp.publicdebt.treas.gov/opd/opds092005.pdf","Monthly Statement of the Public Debt",13142873000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",60.3575032643167
2006,8506974000000,"ftp://ftp.publicdebt.treas.gov/opd/opds092006.pdf","Monthly Statement of the Public Debt",13867469000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",61.3448207455881
2007,9007653000000,"ftp://ftp.publicdebt.treas.gov/opd/opds092007.pdf","Monthly Statement of the Public Debt",14535003000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",61.9721440717969
2008,10024725000000,"ftp://ftp.publicdebt.treas.gov/opd/opds092008.pdf","Monthly Statement of the Public Debt",14835187000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",67.5739712617037
2009,11909829000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2009/opds092009.pdf","Monthly Statement of the Public Debt",14420312000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",82.5906471371771
2010,13561623000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2010/opds092010.pdf","Monthly Statement of the Public Debt",15079917000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",89.9316819847218
2011,14790340000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2011/opds092011.pdf","Monthly Statement of the Public Debt",15591850000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",94.859429766192
2012,16066241000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2012/opds092012.pdf","Monthly Statement of the Public Debt",16257151000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",98.8256860011942
2013,16738184000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2013/opds092013.pdf","Monthly Statement of the Public Debt",16848748000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",99.3437850693713
2014,17824071000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2014/opds092014.pdf","Monthly Statement of the Public Debt",17719836000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",100.588239078511
2015,18150618000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2015/opds092015.pdf","Monthly Statement of the Public Debt",18331093000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",99.0154705995982
2016,19573445000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2016/opds092016.pdf","Monthly Statement of the Public Debt",18799648000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",104.116018555241
2017,20244900000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2017/opds092017.pdf","Monthly Statement of the Public Debt",19588074000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",103.353193376745
2018,21516058000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2018/opds092018.pdf","Monthly Statement of the Public Debt",20658204000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",104.152606877152
2019,22719402000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2019/opds092019.pdf","Monthly Statement of the Public Debt",21340300000000,"https://apps.bea.gov/iTable/index_nipa.cfm","Bureau of Economic Analysis",106.66385915493
