"year","federal_deficit","source_url","source_url_name"
2000,236993000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0900.pdf","Monthly Treasury Statement"
2001,127165000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0901.pdf","Monthly Treasury Statement"
2002,-158520000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0902.pdf","Monthly Treasury Statement"
2003,-374219000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0903.pdf","Monthly Treasury Statement"
2004,-412553000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0904.pdf","Monthly Treasury Statement"
2005,-318615000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0905.pdf","Monthly Treasury Statement"
2006,-247698000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0906.pdf","Monthly Treasury Statement"
2007,-162833000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0907.pdf","Monthly Treasury Statement"
2008,-454806000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0908.pdf","Monthly Treasury Statement"
2009,-1417121000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0909.pdf","Monthly Treasury Statement"
2010,-1294090000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0910.pdf","Monthly Treasury Statement"
2011,-1298614000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0911.pdf","Monthly Treasury Statement"
2012,-1089353000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0912.pdf","Monthly Treasury Statement"
2013,-680276000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0913.pdf","Monthly Treasury Statement"
2014,-483350000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0914.pdf","Monthly Treasury Statement"
2015,-438899000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Monthly Treasury Statement"
2016,-587412000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Monthly Treasury Statement"
2017,-665712000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Monthly Treasury Statement"
2018,-778996000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Monthly Treasury Statement"
2019,-984388026331,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0919.pdf","Monthly Treasury Statement"
