"family","Program_Title","Agency","Subagency","Recipient","Obligation"
"Medical R&D (Infectious Diseases)","Allergy and Infectious Diseases Research","Department of Health and Human Services","National Institutes of Health","Harvard University",179453270
"HIV Programs","Global AIDS","Department of Health and Human Services","Centers for Disease Control and Prevention","Columbia University in the City of New York",165116411
"Energy Programs","Office of Science Financial Assistance Program","Department of Energy","Department of Energy","Michigan State University",119534693.37
"Medical R&D (Infectious Diseases)","Allergy and Infectious Diseases Research","Department of Health and Human Services","National Institutes of Health","Johns Hopkins University",111668861
"Science, Engineering, and Mathematics","Geosciences","National Science Foundation","National Science Foundation","Oregon State University",103048735
"Medical R&D (Infectious Diseases)","Allergy and Infectious Diseases Research","Department of Health and Human Services","National Institutes of Health","Duke University",95182516
"Humanitarian Assistance","USAID Foreign Assistance for Programs Overseas","Agency for International Development","Agency for International Development","Johns Hopkins University",94266186
"Medical R&D (Infectious Diseases)","Allergy and Infectious Diseases Research","Department of Health and Human Services","National Institutes of Health","University of California-San Francisco",83208214
"HIV Programs","Global AIDS","Department of Health and Human Services","Centers for Disease Control and Prevention","University of Maryland, Baltimore",82779273
"Science, Engineering, and Mathematics","Computer and Information Science and Engineering","National Science Foundation","National Science Foundation","The University of Texas at Austin",82139749
"Medical R&D","Aging Research","Department of Health and Human Services","National Institutes of Health","University of Southern California",81251422
"Medical R&D (Infectious Diseases)","Allergy and Infectious Diseases Research","Department of Health and Human Services","National Institutes of Health","Emory University-Oxford College",78931419
"Medical R&D","Aging Research","Department of Health and Human Services","National Institutes of Health","Washington University in St Louis",75015146
"Science, Engineering, and Mathematics","Stewardship Science Grant Program","Department of Energy","Department of Energy","University of Rochester",73879841
"Science, Engineering, and Mathematics","Geosciences","National Science Foundation","National Science Foundation","Texas A & M University-College Station",71294788
"Medical R&D","Aging Research","Department of Health and Human Services","National Institutes of Health","Johns Hopkins University",67750144
"Science, Engineering, and Mathematics","Mathematical and Physical Sciences","National Science Foundation","National Science Foundation","California Institute of Technology",65041419
"Medical R&D (Infectious Diseases)","Allergy and Infectious Diseases Research","Department of Health and Human Services","National Institutes of Health","University of North Carolina at Chapel Hill",64436570
"Medical R&D (Infectious Diseases)","Allergy and Infectious Diseases Research","Department of Health and Human Services","National Institutes of Health","University of Washington",64170480
"Medical R&D","Diabetes, Digestive, and Kidney Diseases Extramural Research","Department of Health and Human Services","National Institutes of Health","University of Michigan-Ann Arbor",62077717
"Science, Engineering, and Mathematics","Mathematical and Physical Sciences","National Science Foundation","National Science Foundation","Florida State University",62002950
"Medical R&D","Biomedical Research and Research Training","Department of Health and Human Services","National Institutes of Health","Harvard University",61674923
"Medical R&D","Extramural Research Programs in the Neurosciences and Neurological Disorders","Department of Health and Human Services","National Institutes of Health","University of California-San Francisco",61337186
"Medical R&D","Aging Research","Department of Health and Human Services","National Institutes of Health","Columbia University in the City of New York",60787534
"Medical R&D","Extramural Research Programs in the Neurosciences and Neurological Disorders","Department of Health and Human Services","National Institutes of Health","Massachusetts General Hospital Dietetic Internship",60240510
"Medical R&D","Aging Research","Department of Health and Human Services","National Institutes of Health","University of Michigan-Ann Arbor",60186152
"Humanitarian Assistance","USAID Foreign Assistance for Programs Overseas","Agency for International Development","Agency for International Development","University of North Carolina at Chapel Hill",60036608
"Medical R&D","Mental Health Research Grants","Department of Health and Human Services","National Institutes of Health","Yale University",59888483
"Medical R&D","Aging Research","Department of Health and Human Services","National Institutes of Health","University of California-San Francisco",59730259
"Medical R&D","Cardiovascular Diseases Research","Department of Health and Human Services","National Institutes of Health","Harvard University",58956572
"Medical R&D","Biomedical Research and Research Training","Department of Health and Human Services","National Institutes of Health","Stanford University",58509337
"Medical R&D","Aging Research","Department of Health and Human Services","National Institutes of Health","University of Pittsburgh-Pittsburgh Campus",57329120
"Medical R&D","Aging Research","Department of Health and Human Services","National Institutes of Health","Harvard University",56150041
"Medical R&D","Biomedical Research and Research Training","Department of Health and Human Services","National Institutes of Health","University of California-San Francisco",55781287
