cfda_number,program_title,agency_abreviation,agency,types_of_assistance,objectives,beneficiary_eligability,level_of_detail,level_of_focus_on_homelessness,category,program_website,CFDA_website
10.5,Cooperative Extension Service,USDA,Department of Agriculture,"A - FORMULA GRANTS, B - PROJECT GRANTS","GENERAL: [As reflected in Part I,B. of the Request for Applications (RFA) or Capacity Requests for Applications (Capacity RFA)]
1. Smith-Lever (3b) & (c) Capacity Grants (formerly known as Formula Funds)

a) Cooperative Extension Programs at 1862 Land-Grant Institutions (formerly known as 3b & c Formula Funds) 
These funds are used by institutions eligible to receive funds under the Act of Congress approved July second, eighteen hundred and sixty-two, entitled ‘‘An Act donating public lands to the several States and Territories which may provide colleges for the benefit of agriculture and the mechanic arts’’ (Twelfth Statutes at Large, page five hundred and three) (“1862 Land-grant Institutions”), for the development of practical applications of research knowledge and giving of instruction and practical demonstrations of existing or improved practices or technologies in agriculture, uses of solar energy with respect to agriculture, home economics, and rural energy, and subjects relating thereto to persons not attending or resident in 1862 Land-grant Institutions in the several communities, and imparting information on those subjects through demonstrations, publications, and otherwise and for the necessary printing and distribution of information in connection with the subjects.
The purpose of this funding is to conduct agricultural extension work.

(b) Cooperative Extension Programs at 1862 Land-Grant Institutions (Special Needs) – 
The purpose of this funding is to increase the level of agricultural extension work. These funds are used to support extension activities identified in the eligible institution’s approved 5-Year Plan of Work. Special Needs funds are allocated to a State Cooperative Extension Service to fulfill a purpose or overcome a condition peculiar to the State, as compared to the country as a whole, or for a purpose not normally a part of the continuing extension program.

(c) Smith-Lever Special Needs Program 
Funds support innovative extension education approaches to addressing risks, hazards and disasters. The Cooperative Extension Service (CES) has an important role in reducing the impact of disasters through extension education. The Extension Special Needs program sponsors targeted projects that enable CES to assist in preparing for, providing an educational response to, and recovering from disasters. Education programming funded by this program will help communities, families and individuals become more self-sustaining by strengthening and increasing their resiliency to disaster. Some types of hazards and disaster related events funded in previous years include uncertainties caused by losses of economic infrastructure, severe weather or other natural disasters, security breaches, human disease, or high consequence animal diseases and plant pests.

There has been an increase in public awareness regarding the number and severity of disaster type critical incidents involving earthquakes, tsunamis, tornadoes, wildfire, drought, contagious disease, and terrorist events. The National Academy of Sciences Committee on Environment and Natural Resources and the Subcommittee on Disaster Reduction of the National Science and Technology Council have acknowledged the many effective roles that the Cooperative Extension System (CES) has played in disaster preparedness, response and remediation. 

Within the states and territories, the CES has repeatedly served as the trusted community organization that has helped to enable families, communities, and businesses to successfully prepare for, respond to and cope with disaster losses and critical incidents. Once a disaster has occurred, the local extension outreach includes: 1) Communicating practical science-based risk information, 2) Developing relevant educational experiences and programs, 3) Working with individuals and communities to open new communication channels, and 4) Mitigating losses and facilitating recovery. Never was this more evident than after hurricanes Katrina, Rita and Wilma in 2005 and during the 2008 Midwestern Summer flooding. During and after these incidents, local Extension agents served as a critical communication node throughout affected urban and rural areas, particularly when traditional communication systems were temporarily overwhelmed or destroyed. 

The Extension Special Needs RFA encourages proposals that specifically address one or more of the following six key target areas: 

1. Education and Technical assistance through inter-disciplinary and multi-state disaster training programs and demonstration projects for problem solving, especially those which build upon already existing strengths, contribute to or expand the EDEN and/or eXtension educational materials related to disaster preparation, mitigation, response and recovery; 

2. Collaboration with Federal, state and local agencies and other disaster relief organizations to support education and service activities that enhance recovery of impacted rural communities, schools, businesses and agricultural-based activities; 

3. Long range family, community and regional planning projects that will enhance implementation of programs that serve public needs in preparation for, during and after emergency situations within impacted States and across impacted regions; 

4. Communication delivery of key information that meets end-users’ needs in a timely fashion with consideration of potentially limited communication channels due to disaster situations; 

5. Dissemination of credible, science-based information that is reliable and easily accessible even if electronic access is compromised; and 

6. Integrated Research and Extension Planning Projects (up to $15,000) are intended to provide assistance to applicants in bringing together teams for the development of highly competitive grant proposals where extension personnel would apply for large grants (in excess of $250,000) from other grant programs (e.g., the Agriculture and Food Research Initiative and etc…) and lead nationally important disaster prevention, protection and mitigation projects. 

Fundable projects should support education and extension activities which: 

1. Reduce risk through planning, disaster preparedness and emergency response by improving communication between the public, community leaders, state and Federal agencies; 

2. Develop strategies and educational materials and/or programming in the area of emergency planning, infrastructure design and disaster recovery operation; 

3. Develop community networks that provide real-time disaster education information; and/or 

4. Develop or expand educational materials regarding disaster issues suitable for use and distribution by the Extension Disaster Education Network (EDEN) or the eXtension Community of Practice working with disaster planning.

(d) CSRS Retirement Contributions Program (aka ERET CSRS Retirement) 
Capacity grants (formerly known as ""Formula"") authorized under the CSRS Retirement Contributions Program. These grants are used to defray the CSRS Retirement costs to the 1862 land-grant institutions for the former Schedule A Appointments who conduct agricultural extension work. 

Fiscal Year 2014 represented the last year that NIFA published a RFA for this program.

(e) FERS Retirement Contributions Program (aka ERET FERS Retirement) 
These grants are used to defray the FERS Retirement costs to the 1862 land-grant institutions for the former Schedule A Appointments who conduct agricultural extension work.

(f) District of Columbia Public Postsecondary Education Reorganization Act Program (Cooperative Extension Programs) aka EUDC 

These funds are used by the University of the District of Columbia for the development of practical applications of research knowledge and giving of instruction and practical demonstrations of existing or improved practices or technologies in agriculture, uses of solar energy with respect to agriculture, home economics, and rural energy, and subjects relating thereto to persons not attending the University of the District of Columbia, and imparting information on those subjects through demonstrations, publications, and otherwise and for the necessary printing and distribution of information in connection with the subjects.

2. Agricultural Extension at 1890 Land-Grant Institutions, Including Tuskegee University, West Virginia State University and (newly designated) Central State University (Section 1444) 
The purpose of this funding is to support agricultural and forestry extension activities at 1890 Land-Grant Institutions, including Tuskegee University, West Virginia State University and Central State University.

3. SMITH-LEVER 3(d): 
(a) Expanded Food and Nutrition (EFNEP) (ENUT Nutrition Education) 
These grants are used to assist all States in carrying out a program of extension activities designed to employ and train professional and paraprofessional aides to engage in direct nutrition education of low-income families and in other appropriate nutrition education programs.

(b) Children, Youth, and Families at Risk (CYFAR) 
Pertinent details will be provided at a future date.

(c ) Improve Rural Quality of Life 
Pertinent details will be provided at a future date.

(d) Farm Safety 
Pertinent details will be provided at a future date.

(e) New Technologies at Ag Extension 
Pertinent details will be provided at a future date.

(f) Pest Management 
Pertinent details will be provided at a future date.

(g) Sustainable Agriculture (SARE-PD) 
Effective FY 2014, this Program was consolidated under Research. See CFDA 10.215 for pertinent details.

(h) Federally Recognized Tribes 
Pertinent details will be provided at a future date.

(i) Youth Farm Safety Education & Certification 
Pertinent details will be provided at a future date.

(j) EIPM Support 
Pertinent details will be provided at a future date.

(k) EIPM Coordination 
Pertinent details will be provided at a future date.

4. OTHER EXTENSION ACTIVITIES:

(a) Renewable Resources Extension Act 
The purpose of the grant program is to provide funds for projects that: 
(1) Have national or regional relevancy; 
(2) Develop new and innovative projects that can be replicated at other institutions; or 
(3) Develop a strategic framework for the nationwide forest and rangeland resources extension program. 
NFF priorities are those that have been identified in the FY 2005-2009 RREA Strategic Plan:
http://www.nifa.usda.gov/nea/nre/in_focus/forests_if_rrea.html.

(b) Rural Health and Safety 
As specified in 7 U.S.C. 2662, grants will be made to establish the Rural Health and Safety Education Competitive Programs carried out by the eligible organizations in rural areas. The assistance provided by these programs, to the extent practicable, shall be coordinated with and delivered in cooperation with similar services or assistance by other Federal Agencies or programs for rural residents. 

(c) Extension Services at the 1994 Institutions 
This program provides funding to (1) increase Extension program capacity at 1994 institutions; and (2) address special needs, take advantage of important opportunities, and/or demonstrate long-term sustained benefits of Extension projects at 1994 institutions. In FY 2009, funded projects will support one or more of the six NIFA Strategic Goals (see Part VIII, E., Definitions) outlined in the NIFA Strategic Plan for FY 2007-2012:
1) Enhance international competitiveness of American agriculture;
2) Enhance the competitiveness and sustainability of rural and farm economies;
3) Support increased economic opportunities and improved quality of life in rural America;
4) Enhance protection and safety of the Nation's agriculture and food supply;
5) Improve the Nation's nutrition and health; and
6) Protect and enhance the Nation's natural resource base and environment.

(d) Grants to Youth Serving Institutions 
As specified in 7 U.S.C. 7630, grants will be made to establish pilot projects to expand the youth development programs carried out by the eligible organizations in rural areas or small towns. 
Broad Purposes: 
• Support and enhance the goals, objectives, and priorities of the eligible youth organizations;
• Support programs which address issues and needs of rural youth;
• Involve youth in design and implementation of their educational activities;
• Increase knowledge, skills, attitudes and behaviors necessary for rural youth to live productive, contributing, and fulfilling lives; and
• Increase economic opportunities and sustainability and improve quality of life in rural communities through enhanced human, social, civic, natural, financial, cultural, and built capital.

(e) Food Animal Residue Avoidance Database Program (FARAD) 
The purpose of the FARAD is to provide livestock producers, extension specialists, scientists, and veterinarians with up to date information to prevent drug, pesticide and environmental contaminant residues in food animal products.

(f) Federal Administration 
Pertinent details will be provided at a future date.

(g) 1890 Facilities (Section 1447) 

The 1890 Facilities Grants Program provides funds for the acquisition and improvement of agricultural and food sciences facilities and equipment, including libraries, so that the 1890 land-grant institutions, Tuskegee University, West Virginia State University and (newly designated) Central State University, may participate fully in the production of human capital in the food and agricultural sciences. 

(h) Agriculture Risk Management Education Partnership Grants Program (aka ARPA & RME & ERME)
Pertinent details will be provided at a future date.",Extension Programs at the State and county level are available to the general public.,State,5,Education,NA,NA
10.553,School Breakfast Program,USDA,Department of Agriculture,A - Formula Grants (Apportionments),"To assist States in implementing a nutritious nonprofit breakfast service for school children, through meal reimbursements and food donations.","children attending schools where this program is operating may receive nutrition benefits, which are determined based on the household income and size. Breakfast is served free to children who are determined by the local education agency to have household income levels at or below 130 percent, and at a reduced price to children from households with incomes higher than 130 but at or below 185 percent of the Federal poverty line. Paid breakfast is served to children who are not eligible for free and reduced-price meals. The Secretary prescribes the income eligibility guidelines for free and reduced-price meals by July 1. These guidelines are revised annually according to the Federal Income Poverty Guidelines. Children from households certified to receive benefits through the Supplemental Nutrition Assistance Program (SNAP), Food Distribution Program on Indian Reservations, or Temporary Assistance for Needy Families, and children in Head Start programs are automatically eligible for free meals. Homeless children, children in certain runaway and homeless youth grant programs, migrant children, and foster children are automatically eligible for free meals. All reimbursable meals served under the SBP at the free, reduced-price, and paid categories get cash assistance.",State,4,Food,http://www.fns.usda.gov,https://cfda.gov/index?s=program&mode=form&tab=step1&id=e97ddfebe69d04072c34274fc55e4130
10.555,National School Lunch Program,USDA,Department of Agriculture,A - FORMULA GRANTS,"To assist States, through cash grants and food donations, in providing a nutritious nonprofit lunch service for school children and to encourage the domestic consumption of nutritious agricultural commodities.","children attending schools where this program is operating may receive nutrition benefits, which are determined based on the household income and size. Breakfast is served free to children who are determined by the local education agency to have household income levels at or below 130 percent, and at a reduced price to children from households with incomes higher than 130 but at or below 185 percent of the Federal poverty line. Paid breakfast is served to children who are not eligible for free and reduced-price meals. The Secretary prescribes the income eligibility guidelines for free and reduced-price meals by July 1. These guidelines are revised annually according to the Federal Income Poverty Guidelines. Children from households certified to receive benefits through the Supplemental Nutrition Assistance Program (SNAP), Food Distribution Program on Indian Reservations, or Temporary Assistance for Needy Families, and children in Head Start programs are automatically eligible for free meals. Homeless children, children in certain runaway and homeless youth grant programs, migrant children, and foster children are automatically eligible for free meals. All reimbursable meals served under the SBP at the free, reduced-price, and paid categories get cash assistance.",State,4,Food,http://www.fns.usda.gov,https://cfda.gov/index?s=program&mode=form&tab=step1&id=6bdcab55582b15eb7d9fb0aa1a00503f
10.558,Child and Adult Care Food Program,USDA,Department of Agriculture,A - FORMULA GRANTS,"To assist States, through grants-in-aid and other means, to initiate and maintain nonprofit food service programs for children and elderly or impaired adults enrolled in nonresidential day care facilities, children attending afterschool care programs in low-income areas, and children residing in emergency shelters. The United States Department of Agriculture (USDA) operates CACFP in partnership with State administering agencies to provide aid to child and adult care sponsoring organizations, centers, and day care homes for the provision of nutritious foods that contribute to the wellness, healthy growth, and development of young children, and the health and wellness of older adults and chronically impaired disabled persons. Funds are also made available to the States for expenses associated with CACFP administration.","Approved institutions providing nonresidential day care services may participate in CACFP. Eligible public and nonprofit private organizations may include day care centers, outside-school-hours care centers, family day care homes, and Head Start programs. Private for-profit centers may also participate if at least 25 percent of the children in care (enrolled or licensed capacity, whichever is less) are eligible for free or reduced price school meals or receive benefits under Title XX of the Social Security Act. Also eligible for participation are nonprofit centers which provide nonresidential adult day care, and private for-profit centers if the center receives compensation under Title XIX of the Social Security Act or Title XX, and at least 25 percent of the adults enrolled in the center receive benefits under Title XIX, Title XX, or a combination of both. Emergency shelters which provide shelter and meals to children experiencing homelessness and at-risk after school care programs in low-income areas are also eligible. Any eligible institution may participate in CACFP upon request with State agency approval.",State,6,Food,http://fns.usda.gov,https://cfda.gov/index?s=program&mode=form&tab=step1&id=1e97fff15f45e2ad57e5751494b73480
10.569,Emergency Food Assistance Program (Food Commodities),USDA,Department of Agriculture,A - FORMULA GRANTS,To help supplement the diets of low-income persons by making USDA Foods available to the State agencies that are responsible for the distribution of USDA Foods within the States.,"Low-income and needy individuals, including persons that are homeless, unemployed, underemployed, or receiving public assistance. The State agency must establish income-based eligibility criteria to ensure USDA Foods are provided to the needy. Persons interested in receiving TEFAP should contact their State agency (http://www.fns.usda.gov/fdd/contacts/SdaContacts.htm) for more information on how to access the program.",State,6,Food,http://www.fns.usda.gov/tefap/emergency-food-assistance-program-tefap,https://cfda.gov/index?s=program&mode=form&tab=step1&id=e00c00a0db7d2e498d2fe97e80e3f725
14.231,Emergency Solutions Grant Program,HUD,Department of Housing and Urban Development,A - FORMULA GRANTS,"The ESG program provides funding to: (1) engage homeless individuals and families living on the street; (2) improve the number and quality of emergency shelters for homeless individuals and families; (3) help operate these shelters; (4) provide essential services to shelter residents, (5) rapidly re-house homeless individuals and families, and (6) prevent families and individuals from becoming homeless.","The minimum eligibility criteria for ESG beneficiaries are as follows: For essential services related to street outreach, beneficiaries must meet the criteria under paragraph (1)(i) of the “homeless” definition under § 576.2. For emergency shelter, beneficiaries must meet the “homeless” definition in 24 CFR 576.2. For essential services related to emergency shelter, beneficiaries must be “homeless” and staying in an emergency shelter (which could include a day shelter). For homelessness prevention assistance, beneficiaries must meet the requirements described in 24 CFR 576.103. For rapid re-housing assistance, beneficiaries must meet requirements described in 24 CFR 576.104. Further eligibility criteria may be established at the local level in accordance with 24 CFR 576.400(e).",CoC,1,Housing,http://www.hudexchange.info/esg,https://cfda.gov/index?s=program&mode=form&tab=step1&id=55c83b2b2f169cf8510b92ce1b8f0cfe
14.235,Supportive Housing Program,HUD,Department of Housing and Urban Development,"B - PROJECT GRANTS, C - DIRECT PAYMENTS FOR A SPECIFIED USE","The Supportive Housing Program is designed to promote the development of supportive housing and supportive services to assist homeless individuals and families in the transition from homelessness and to enable them to live as independently as possible. Program funds may be used to provide: (i) transitional housing within a 24-month period as well as up to six months of follow-up services to former residents to assist their adjustment to independent living; (ii) permanent housing provided in conjunction with appropriate supportive services designed to maximize the ability of persons with disabilities to live as independently as possible; (iii) supportive housing that is, or is part of, a particularly innovative project for, or alternative method of, meeting the immediate and long-term needs of homeless individuals and families; (iv) supportive services for homeless individuals not provided in conjunction with supportive housing,(v) safe havens for homeless individuals with serious mental illness currently residing on the streets who may not yet be ready for supportive services; and (vi) Homeless Management Information Systems (HMIS) for developing management information systems to maintain data on beds, units and homeless individuals.",Homeless individuals and families with children.,CoC,1,Housing,http://www.hudexchange.info/shp,https://cfda.gov/index?s=program&mode=form&tab=step1&id=e8bccb4b9e5871bc750fa3843e66dcdf
14.238,Shelter Plus Care,HUD,Department of Housing and Urban Development,B - PROJECT GRANTS,"The Shelter Plus Care Program provides rental assistance, in connection with supportive services funded from sources other than this program, to homeless persons with disabilities (primarily persons who are seriously mentally ill; have chronic problems with alcohol, drugs, or both, or have acquired immunodeficiency syndrome and related diseases) and their families. The program provides assistance through four components: (1) Tenant-based Rental Assistance (TRA); (2) Sponsor-based Rental Assistance (SRA); (3) Project-based Rental Assistance (PRA); (4) and Single Room Occupancy for Homeless Individuals (SRO).",Homeless persons with disabilities and their families. Except in single room occupancy dwellings that are only for homeless individuals with disabilities.,CoC,1,Housing,https://www.hudexchange.info/spc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=2c6200c53d783128d143a1977a047db1
14.241,Housing Opportunities for Persons with AIDS,HUD,Department of Housing and Urban Development,"A - Formula Grants, B - Project Grants",To provide States and localities with the resources and incentives to devise long-term comprehensive strategies for meeting the supportive housing needs of low-income persons and their families living with HIV/AIDS in order to prevent homelessness and sustain housing stability for HOPWA program beneficiaries.,Eligible beneficiaries are low income (at or below 80% the area median income) persons living with HIV/AIDS and their families.,States,3,Housing,https://www.hudexchange.info/programs/hopwa/,https://cfda.gov/index?s=program&mode=form&tab=step1&id=7804e82c0586341663b38c9b2844ad4b
14.249,Section 8 Moderate Rehabilitation Single Room Occupancy,HUD,Department of Housing and Urban Development,B - PROJECT GRANTS,"The Section 8 Moderate Rehabilitation Single Room Occupancy Program provides rental assistance to homeless individuals. Under the program, HUD enters into Annual Contributions Contracts with public housing agencies (PHAs) in connection with the moderate rehabilitation of residential properties that, when rehabilitation is completed, will contain multiple single room dwelling units.",Homeless individuals.,CoC,6,Housing,http://www.hudexchange.info/sro,https://cfda.gov/index?s=program&mode=form&tab=step1&id=bff000c5ae9798026c2d4331794f25aa
