State,City,County,coc_number,coc_name
AK,,Aleutians East,AK-501,Alaska Balance of State CoC
AK,,Anchorage,AK-500,Anchorage CoC
AK,,Bethel,AK-501,Alaska Balance of State CoC
AK,,Bristol Bay,AK-501,Alaska Balance of State CoC
AK,,Denali,AK-501,Alaska Balance of State CoC
AK,,Dillingham,AK-501,Alaska Balance of State CoC
AK,,Fairbanks North Star,AK-501,Alaska Balance of State CoC
AK,,Haines,AK-501,Alaska Balance of State CoC
AK,,Skagway Hoonah Angoon,AK-501,Alaska Balance of State CoC
AK,,Juneau,AK-501,Alaska Balance of State CoC
AK,,Kenai Peninsula,AK-501,Alaska Balance of State CoC
AK,,Ketchikan Gateway,AK-501,Alaska Balance of State CoC
AK,,Kodiak Island,AK-501,Alaska Balance of State CoC
AK,,Kusilvak,AK-501,Alaska Balance of State CoC
AK,,Lake and Peninsula,AK-501,Alaska Balance of State CoC
AK,,Matanuska Susitna,AK-501,Alaska Balance of State CoC
AK,,Nome,AK-501,Alaska Balance of State CoC
AK,,North Slope,AK-501,Alaska Balance of State CoC
AK,,Northwest Arctic,AK-501,Alaska Balance of State CoC
AK,,Prince Wales Ketchikan,AK-501,Alaska Balance of State CoC
AK,,Sitka,AK-501,Alaska Balance of State CoC
AK,,Southeast Fairbanks,AK-501,Alaska Balance of State CoC
AK,,Wrangell Petersburg,AK-501,Alaska Balance of State CoC
AK,,Yakutat,AK-501,Alaska Balance of State CoC
AK,,Yukon Koyukuk,AK-501,Alaska Balance of State CoC
AL,,Autauga,AL-504,Montgomery City & County CoC
AL,,Baldwin,AL-501,Mobile City & County/Baldwin County CoC
AL,,Barbour,AL-507,Alabama Balance of State CoC
AL,,Bibb,AL-507,Alabama Balance of State CoC
AL,,Blount,AL-507,Alabama Balance of State CoC
AL,,Bullock,AL-504,Montgomery City & County CoC
AL,,Butler,AL-507,Alabama Balance of State CoC
AL,,Calhoun,AL-505,Gadsden/Northeast Alabama CoC
AL,,Chambers,AL-507,Alabama Balance of State CoC
AL,,Cherokee,AL-505,Gadsden/Northeast Alabama CoC
AL,,Chilton,AL-507,Alabama Balance of State CoC
AL,,Choctaw,AL-507,Alabama Balance of State CoC
AL,,Clarke,AL-507,Alabama Balance of State CoC
AL,,Clay,AL-507,Alabama Balance of State CoC
AL,,Cleburne,AL-507,Alabama Balance of State CoC
AL,,Coffee,AL-507,Alabama Balance of State CoC
AL,,Colbert,AL-502,Florence/Northwest Alabama CoC
AL,,Conecuh,AL-507,Alabama Balance of State CoC
AL,,Coosa,AL-507,Alabama Balance of State CoC
AL,,Covington,AL-507,Alabama Balance of State CoC
AL,,Crenshaw,AL-507,Alabama Balance of State CoC
AL,,Cullman,AL-507,Alabama Balance of State CoC
AL,,Dale,AL-507,Alabama Balance of State CoC
AL,,Dallas,AL-507,Alabama Balance of State CoC
AL,,De Kalb,AL-505,Gadsden/Northeast Alabama CoC
AL,,Elmore,AL-504,Montgomery City & County CoC
AL,,Escambia,AL-507,Alabama Balance of State CoC
AL,,Etowah,AL-505,Gadsden/Northeast Alabama CoC
AL,,Fayette,AL-507,Alabama Balance of State CoC
AL,,Franklin,AL-502,Florence/Northwest Alabama CoC
AL,,Geneva,AL-507,Alabama Balance of State CoC
AL,,Greene,AL-507,Alabama Balance of State CoC
AL,,Hale,AL-507,Alabama Balance of State CoC
AL,,Henry,AL-507,Alabama Balance of State CoC
AL,,Houston,AL-507,Alabama Balance of State CoC
AL,,Jackson,AL-507,Alabama Balance of State CoC
AL,,Jefferson,AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC"
AL,,Lamar,AL-507,Alabama Balance of State CoC
AL,,Lauderdale,AL-502,Florence/Northwest Alabama CoC
AL,,Lawrence,AL-502,Florence/Northwest Alabama CoC
AL,,Lee,AL-507,Alabama Balance of State CoC
AL,,Limestone,AL-503,Huntsville/North Alabama CoC
AL,,Lowndes,AL-504,Montgomery City & County CoC
AL,,Macon,AL-507,Alabama Balance of State CoC
AL,,Madison,AL-503,Huntsville/North Alabama CoC
AL,,Marengo,AL-507,Alabama Balance of State CoC
AL,,Marion,AL-502,Florence/Northwest Alabama CoC
AL,,Marshall,AL-507,Alabama Balance of State CoC
AL,,Mobile,AL-501,Mobile City & County/Baldwin County CoC
AL,,Monroe,AL-507,Alabama Balance of State CoC
AL,,Montgomery,AL-504,Montgomery City & County CoC
AL,,Morgan,AL-503,Huntsville/North Alabama CoC
AL,,Perry,AL-507,Alabama Balance of State CoC
AL,,Pickens,AL-507,Alabama Balance of State CoC
AL,,Pike,AL-507,Alabama Balance of State CoC
AL,,Randolph,AL-507,Alabama Balance of State CoC
AL,,Russell,GA-505,Columbus-Muscogee/Russell County CoC
AL,,Shelby,AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC"
AL,,Saint Clair,AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC"
AL,,Sumter,AL-507,Alabama Balance of State CoC
AL,,Talladega,AL-507,Alabama Balance of State CoC
AL,,Tallapoosa,AL-507,Alabama Balance of State CoC
AL,,Tuscaloosa,AL-506,Tuscaloosa City & County CoC
AL,,Walker,AL-507,Alabama Balance of State CoC
AL,,Washington,AL-507,Alabama Balance of State CoC
AL,,Wilcox,AL-507,Alabama Balance of State CoC
AL,,Winston,AL-502,Florence/Northwest Alabama CoC
AR,,Arkansas,AR-505,Southeast Arkansas
AR,,Ashley,AR-505,Southeast Arkansas
AR,,Baxter,AR-512,"Boone, Baxter, Marion, Newton Counties CoC"
AR,,Benton,AR-501,Fayetteville/Northwest Arkansas CoC
AR,,Boone,AR-512,"Boone, Baxter, Marion, Newton Counties CoC"
AR,,Bradley,AR-505,Southeast Arkansas
AR,,Calhoun,AR-505,Southeast Arkansas
AR,,Carroll,AR-501,Fayetteville/Northwest Arkansas CoC
AR,,Chicot,AR-505,Southeast Arkansas
AR,,Clark,AR-503,Arkansas  Balance of State  CoC
AR,,Clay,AR-504,Delta Hills CoC
AR,,Cleburne,AR-504,Delta Hills CoC
AR,,Cleveland,AR-505,Southeast Arkansas
AR,,Columbia,AR-505,Southeast Arkansas
AR,,Conway,AR-503,Arkansas  Balance of State  CoC
AR,,Craighead,AR-503,Arkansas  Balance of State  CoC
AR,,Crawford,AR-508,Old Fort Homeless Coalition
AR,,Crittenden,AR-503,Arkansas  Balance of State  CoC
AR,,Cross,AR-504,Delta Hills CoC
AR,,Dallas,AR-505,Southeast Arkansas
AR,,Desha,AR-505,Southeast Arkansas
AR,,Drew,AR-505,Southeast Arkansas
AR,,Faulkner,AR-503,Arkansas  Balance of State  CoC
AR,,Franklin,AR-508,Old Fort Homeless Coalition
AR,,Fulton,AR-504,Delta Hills CoC
AR,,Garland,AR-503,Arkansas  Balance of State  CoC
AR,,Grant,AR-505,Southeast Arkansas
AR,,Greene,AR-503,Arkansas  Balance of State  CoC
AR,,Hempstead,AR-503,Arkansas  Balance of State  CoC
AR,,Hot Spring,AR-503,Arkansas  Balance of State  CoC
AR,,Howard,AR-503,Arkansas  Balance of State  CoC
AR,,Independence,AR-504,Delta Hills CoC
AR,,Izard,AR-504,Delta Hills CoC
AR,,Jackson,AR-504,Delta Hills CoC
AR,,Jefferson,AR-505,Southeast Arkansas
AR,,Johnson,AR-503,Arkansas  Balance of State  CoC
AR,,Lafayette,AR-503,Arkansas  Balance of State  CoC
AR,,Lawrence,AR-504,Delta Hills CoC
AR,,Lee,AR-504,Delta Hills CoC
AR,,Lincoln,AR-505,Southeast Arkansas
AR,,Little River,AR-503,Arkansas  Balance of State  CoC
AR,,Logan,AR-508,Old Fort Homeless Coalition
AR,,Lonoke,AR-500,Little Rock/Central Arkansas CoC
AR,,Madison,AR-501,Fayetteville/Northwest Arkansas CoC
AR,,Marion,AR-512,"Boone, Baxter, Marion, Newton Counties CoC"
AR,,Miller,AR-503,Arkansas  Balance of State  CoC
AR,,Mississippi,AR-503,Arkansas  Balance of State  CoC
AR,,Monroe,AR-504,Delta Hills CoC
AR,,Montgomery,AR-503,Arkansas  Balance of State  CoC
AR,,Nevada,AR-503,Arkansas  Balance of State  CoC
AR,,Newton,AR-512,"Boone, Baxter, Marion, Newton Counties CoC"
AR,,Ouachita,AR-505,Southeast Arkansas
AR,,Perry,AR-503,Arkansas  Balance of State  CoC
AR,,Phillips,AR-503,Arkansas  Balance of State  CoC
AR,,Pike,AR-503,Arkansas  Balance of State  CoC
AR,,Poinsett,AR-503,Arkansas  Balance of State  CoC
AR,,Polk,AR-508,Old Fort Homeless Coalition
AR,,Pope,AR-503,Arkansas  Balance of State  CoC
AR,,Prairie,AR-500,Little Rock/Central Arkansas CoC
AR,,Pulaski,AR-500,Little Rock/Central Arkansas CoC
AR,,Randolph,AR-504,Delta Hills CoC
