name,cfo,competedActions,competedDollars,notCompetedActions,notCompetedDollars,id,displayed,totalActions,totalDollars,percentActionsCompeted,percentDollarsCompeted
All Non CFO Agencies,false,29644.00,1880952272.37,10634.00,567463115.23,0,true,40278.00,2448415387.60,0.74,0.77
Department Of Agriculture,true,64407.00,5203342718.00,19484.00,889397584.50,5,true,83891.00,6092740302.50,0.77,0.85
Department Of Commerce,true,17648.00,2444856335.00,7500.00,754276377.30,6,true,25148.00,3199132712.30,0.70,0.76
Department Of The Interior,true,49456.00,3460678831.00,16258.00,818799866.80,7,true,65714.00,4279478697.80,0.75,0.81
Department Of Justice,true,98531.00,5879359251.00,30751.00,2034489172.00,8,true,129282.00,7913848423.00,0.76,0.74
Department Of Labor,true,4867.00,1357474837.00,3314.00,721546390.90,9,true,8181.00,2079021227.90,0.59,0.65
Department Of State,true,63092.00,8766332934.00,21853.00,2254873497.00,11,true,84945.00,11021206431.00,0.74,0.80
Department Of The Treasury,true,13279.00,4611822080.00,8300.00,773486068.10,13,true,21579.00,5385308148.10,0.62,0.86
Office Of Personnel Management,true,1463.00,580231519.10,902.00,208387075.30,14,true,2365.00,788618594.40,0.62,0.74
Social Security Administration,true,11115.00,1042932995.00,12608.00,521010156.80,16,true,23723.00,1563943151.80,0.47,0.67
Nuclear Regulatory Commission,true,1004.00,149460802.60,732.00,47266425.26,18,true,1736.00,196727227.86,0.58,0.76
Department Of Veterans Affairs,true,7075759.00,21262853297.00,233763.00,4757872491.00,22,true,7309522.00,26020725788.00,0.97,0.82
General Services Administration,true,151567.00,9669299700.00,17166.00,2153780668.00,25,true,168733.00,11823080368.00,0.90,0.82
National Science Foundation,true,724.00,403712039.60,478.00,58679052.28,26,true,1202.00,462391091.88,0.60,0.87
Environmental Protection Agency,true,12015.00,1119258818.00,2670.00,145878278.90,36,true,14685.00,1265137096.90,0.82,0.88
Department Of Transportation,true,24176.00,5306364924.00,10798.00,1051435362.00,37,true,34974.00,6357800286.00,0.69,0.83
Department Of Homeland Security,true,101069.00,11813401355.00,45570.00,4430220499.00,38,true,146639.00,16243621854.00,0.69,0.73
Agency For International Development,true,8537.00,4350624824.00,2119.00,634200020.50,40,true,10656.00,4984824844.50,0.80,0.87
Small Business Administration,true,1172.00,85420678.26,404.00,30542789.90,41,true,1576.00,115963468.16,0.74,0.74
Department Of Health And Human Services,true,57378.00,20848251280.00,31742.00,3929141320.00,42,true,89120.00,24777392600.00,0.64,0.84
National Aeronautics And Space Administration,true,20448.00,11727377057.00,8549.00,5547085472.00,43,true,28997.00,17274462529.00,0.71,0.68
Department Of Housing And Urban Development,true,1061.00,1034558162.00,1327.00,331184181.70,45,true,2388.00,1365742343.70,0.44,0.76
Department Of Energy,true,8012.00,27180393349.00,4603.00,1779525309.00,47,true,12615.00,28959918658.00,0.64,0.94
Department Of Education,true,2105.00,2020932049.00,658.00,526643727.00,49,true,2763.00,2547575776.00,0.76,0.79
Department Of Defense,true,14039992.00,166782000000.00,433705.00,153080000000.00,69,true,14473697.00,319862000000.00,0.97,0.52
