activity,activity_plain,sub_activity,sub_activity_plain,fiscal_year,income,cpi_auc_start,cpi_auc_end,inflation_rate,income_adjusted,percent_total,income_url,cpi_url
Individual Income Taxes,Individual Income Taxes,,,2013,1316410000000.00,234.149,246.819,1.054110844,1.38764E+12,47.46,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes,Individual Income Taxes Withheld,Individual Income Taxes,2013,1102750000000.00,234.149,246.819,1.054110844,1.16242E+12,83.77,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes,Presidential Election Campaign Fund,Presidential Election Campaign Fund,2013,35000000.00,234.149,246.819,1.054110844,37000000,0,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes,Other Individual Income Taxes,Other Individual Income Taxes,2013,443616000000.00,234.149,246.819,1.054110844,4.68E+11,33.7,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes,Individual Income Taxes Refunds,Individual Income Taxes Refunds,2013,-229992000000.00,234.149,246.819,1.054110844,-2.42E+11,-17.47,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Corporation Income Taxes,Corporate Income Taxes,,,2013,273506000000.00,234.149,246.819,1.054110844,2.88E+11,9.86,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Corporation Income Taxes,Corporate Income Taxes,Corporation Income Taxes,Corporate Income Taxes,2013,312476000000.00,234.149,246.819,1.054110844,3.29E+11,114.25,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Corporation Income Taxes,Corporate Income Taxes,Corporation Income Taxes Refunds,Corporate Income Taxes Refunds,2013,-38971000000.00,234.149,246.819,1.054110844,-41100000000,-14.25,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",,,2013,887445000000.00,234.149,246.819,1.054110844,9.35E+11,31.99,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Old-Age and Survivors Insurance Trust Fund,Social Security: OASI,2013,577643000000.00,234.149,246.819,1.054110844,6.09E+11,65.09,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Old-Age and Survivors Insurance Trust Fund Refunds,Social Security OASI Refunds,2013,-2088000000.00,234.149,246.819,1.054110844,-2200000000,-0.24,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Disability Insurance Trust Fund,Social Security: DI,2013,98074000000.00,234.149,246.819,1.054110844,1.03E+11,11.05,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Disability Insurance Trust Fund Refunds,Social Security DI Refunds,2013,-355000000.00,234.149,246.819,1.054110844,-374000000,-0.04,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
