country,receipts,gdp,receipts_gdp,year,source
United States,3336000000000.00,19390604000000.00,0.17,2017,wb
China,2672000000000.00,12237700000000.00,0.22,2017,wb
Japan,1678000000000.00,4872140000000.00,0.34,2017,wb
Germany,1598000000000.00,3677439129777.00,0.43,2017,wb
United Kingdom,984400000000.00,2622433959604.00,0.38,2017,wb
India,248700000000.00,2597491162898.00,0.10,2017,wb
France,1334000000000.00,2582501307216.00,0.52,2017,wb
Brazil,726600000000.00,2055505502225.00,0.35,2017,wb
Italy,884400000000.00,1934797937411.00,0.46,2017,wb
Canada,623700000000.00,1653042795255.00,0.38,2017,wb
Russia,253900000000.00,1577524145963.00,0.16,2017,wb
"Korea, South",351600000000.00,1530750923149.00,0.23,2017,wb
Australia,461000000000.00,1323421072479.00,0.35,2017,wb
Spain,492400000000.00,1311320015516.00,0.38,2017,wb
Mexico,292800000000.00,1149918794766.00,0.25,2017,wb
Indonesia,130600000000.00,1015539017537.00,0.13,2017,wb
Turkey,173900000000.00,851102411118.00,0.20,2017,wb
Netherlands,344800000000.00,826200282501.00,0.42,2017,wb
Saudi Arabia,171600000000.00,683827144289.00,0.25,2017,wb
Switzerland,223500000000.00,678887336848.00,0.33,2017,wb
Argentina,123200000000.00,637590419269.00,0.19,2017,wb
Taiwan,93000000000.00,579302000000.00,0.16,2017,imf
Sweden,274800000000.00,538040458217.00,0.51,2017,wb
Poland,90800000000.00,524509565263.00,0.17,2017,wb
Belgium,249700000000.00,492681283049.00,0.51,2017,wb
Thailand,79600000000.00,455220920571.00,0.17,2017,wb
Iran,77220000000.00,439513511621.00,0.18,2017,wb
Austria,197800000000.00,416595666397.00,0.47,2017,wb
Norway,214300000000.00,398831956478.00,0.54,2017,wb
United Arab Emirates,83440000000.00,382575085092.00,0.22,2017,wb
Nigeria,13970000000.00,375770713743.00,0.04,2017,wb
Israel,92820000000.00,350850537827.00,0.26,2017,wb
South Africa,92380000000.00,349419343614.00,0.26,2017,wb
Hong Kong,66190000000.00,341449340451.00,0.19,2017,wb
Ireland,85410000000.00,333730764773.00,0.26,2017,wb
Denmark,173500000000.00,324871968807.00,0.53,2017,wb
Singapore,53400000000.00,323907234412.00,0.16,2017,wb
Malaysia,51230000000.00,314500279044.00,0.16,2017,wb
Philippines,44740000000.00,313595208737.00,0.14,2017,wb
Colombia,85140000000.00,309191382833.00,0.28,2017,wb
Pakistan,45640000000.00,304951818494.00,0.15,2017,wb
Chile,56730000000.00,277075944402.00,0.20,2017,wb
Finland,136800000000.00,251884887973.00,0.54,2017,wb
Bangladesh,27080000000.00,249723887765.00,0.11,2017,wb
Egypt,35540000000.00,235369129338.00,0.15,2017,wb
Vietnam,49410000000.00,223863996355.00,0.22,2017,wb
Portugal,92990000000.00,217571083046.00,0.43,2017,wb
Czech Republic,83620000000.00,215725534372.00,0.39,2017,wb
Romania,58500000000.00,211803281925.00,0.28,2017,wb
Peru,59660000000.00,211389272242.00,0.28,2017,wb
Venezuela,77890000000.00,210085000000.00,0.37,2017,imf
New Zealand,73200000000.00,205852838255.00,0.36,2017,wb
Greece,95360000000.00,200288277129.00,0.48,2017,wb
Iraq,63970000000.00,197715736041.00,0.32,2017,wb
Algeria,52080000000.00,170370810918.00,0.31,2017,wb
Qatar,41470000000.00,167605219780.00,0.25,2017,wb
Kazakhstan,34130000000.00,159406926359.00,0.21,2017,wb
Hungary,63630000000.00,139135029758.00,0.46,2017,wb
Angola,35590000000.00,124209385825.00,0.29,2017,wb
Kuwait,52870000000.00,120126277613.00,0.44,2017,wb
Sudan,8198000000.00,117487857143.00,0.07,2017,wb
Ukraine,35600000000.00,112154185121.00,0.32,2017,wb
Morocco,26630000000.00,109139484007.00,0.24,2017,wb
Puerto Rico,9268000000.00,105034500000.00,0.09,2016,wb
Ecuador,32300000000.00,103056619000.00,0.31,2017,wb
Slovakia,37090000000.00,95769031980.00,0.39,2017,wb
Cuba,52360000000.00,89689000000.00,0.58,2016,un
Sri Lanka,12640000000.00,87174682200.00,0.15,2017,wb
Ethiopia,12110000000.00,80561496134.00,0.15,2017,wb
Dominican Republic,11180000000.00,75931656815.00,0.15,2017,wb
Guatemala,8335000000.00,75620095538.00,0.11,2017,wb
Kenya,15370000000.00,74938190655.00,0.21,2017,wb
Oman,22680000000.00,72642652796.00,0.31,2017,wb
Myanmar,9211000000.00,69322122756.00,0.13,2017,wb
Luxembourg,27600000000.00,62404461275.00,0.44,2017,wb
Panama,12600000000.00,61838175800.00,0.20,2017,wb
Costa Rica,8262000000.00,57057372468.00,0.14,2017,wb
Bulgaria,19530000000.00,56831518294.00,0.34,2017,wb
Uruguay,17690000000.00,56156972158.00,0.32,2017,wb
Croatia,25790000000.00,54849180229.00,0.47,2017,wb
Belarus,22800000000.00,54442374373.00,0.42,2017,wb
Tanzania,7872000000.00,52090320325.00,0.15,2017,wb
Lebanon,10900000000.00,51844487742.00,0.21,2017,wb
Libya,16330000000.00,50984362478.00,0.32,2017,wb
Macau,14240000000.00,50361201096.00,0.28,2017,wb
Slovenia,20200000000.00,48769655479.00,0.41,2017,wb
Uzbekistan,20110000000.00,48717685984.00,0.41,2017,wb
Ghana,9236000000.00,47330016343.00,0.20,2017,wb
Lithuania,16180000000.00,47168303744.00,0.34,2017,wb
Turkmenistan,4436000000.00,42355428571.00,0.10,2017,wb
Serbia,16250000000.00,41431648801.00,0.39,2017,wb
Azerbaijan,9852000000.00,40747792238.00,0.24,2017,wb
