activity,sub_activity,fy13,fy14,fy15,fy16,fy17,fy13_inflation_adj,fy14_inflation_adj,fy15_inflation_adj,fy16_inflation_adj,fy17_inflation_adj,percent_total_fy13,percent_total_fy14,percent_total_fy15,percent_total_fy16,percent_total_fy17,
Individual Income Taxes,,1316405000000.00,1394567000000.00,1540802000000.00,1546075000000.00,1587119000000.00,1387640000000.00,1446050000000.00,1598270000000.00,1578630000000.00,1587120000000.00,47.46,46.16,47.43,47.33,47.88,
Individual Income Taxes,Individual Income Taxes Withheld,1102746000000.00,1149708000000.00,1220163000000.00,1245699000000.00,1309266000000.00,1162420000000.00,1192150000000.00,1265670000000.00,1271930000000.00,1309270000000.00,83.77,82.44,79.19,80.57,82.49,
Individual Income Taxes,Presidential Election Campaign Fund,35000000.00,30000000.00,30000000.00,29000000.00,27000000.00,36893880.00,31107587.00,31118830.00,29610642.00,27000000.00,0.00,0.00,0.00,0.00,0.00,
Individual Income Taxes,Other Individual Income Taxes,443616000000.00,476562000000.00,554963000000.00,551633000000.00,539503000000.00,467620000000.00,494156000000.00,575660000000.00,563249000000.00,539503000000.00,33.70,34.17,36.02,35.68,33.99,
Individual Income Taxes,Individual Income Taxes Refunds,-229992000000.00,-231733000000.00,-234354000000.00,-251286000000.00,-261677000000.00,-242437000000.00,-240288000000.00,-243094000000.00,-256577000000.00,-261677000000.00,-17.47,-16.62,-15.21,-16.25,-16.49,
Corporation Income Taxes,,273505000000.00,320731000000.00,343797000000.00,299571000000.00,297048000000.00,288305000000.00,332572000000.00,356619000000.00,305879000000.00,297048000000.00,9.86,10.62,10.58,9.17,8.96,
Corporation Income Taxes,Corporation Income Taxes,312476000000.00,353553000000.00,390292000000.00,345982000000.00,338978000000.00,329384000000.00,366606000000.00,404848000000.00,353267000000.00,338978000000.00,114.25,110.23,113.52,115.49,114.12,
Corporation Income Taxes,Corporation Income Taxes Refunds,-38971000000.00,-32822000000.00,-46495000000.00,-46411000000.00,-41930000000.00,-41079753700.00,-34033773828.00,-48229000000.00,-47388259617.00,-41930000000.00,-14.25,-10.23,-13.52,-15.49,-14.12,
Employment and General Retirement,,887446000000.00,965063000000.00,1010449000000.00,1062304000000.00,1111897000000.00,935466000000.00,1000690000000.00,1048130000000.00,1084670000000.00,1111900000000.00,31.99,31.95,31.10,32.52,33.54,
Employment and General Retirement,Federal Old-Age and Survivors Insurance Trust Fund,577643000000.00,630986000000.00,660956000000.00,668372000000.00,690709000000.00,608900000000.00,654282000000.00,685606000000.00,682446000000.00,690709000000.00,65.09,65.38,65.41,62.92,62.12,
Employment and General Retirement,Federal Old-Age and Survivors Insurance Trust Fund Refunds,-2088000000.00,-2162000000.00,-2394000000.00,-2700000000.00,-2661000000.00,-2200983442.00,-2241820091.00,-2483282633.00,-2756852922.00,-2661000000.00,-0.24,-0.22,-0.24,-0.25,-0.24,
Employment and General Retirement,Federal Disability Insurance Trust Fund,98074000000.00,107145000000.00,112239000000.00,144966000000.00,163199000000.00,103381000000.00,111101000000.00,116425000000.00,148018000000.00,163199000000.00,11.05,11.10,11.11,13.65,14.68,
Employment and General Retirement,Federal Disability Insurance Trust Fund Refunds,-355000000.00,-367000000.00,-407000000.00,-459000000.00,-629000000.00,-374209350.00,-380549479.00,-422178793.00,-468664997.00,-629000000.00,-0.04,-0.04,-0.04,-0.04,-0.06,
Employment and General Retirement,Federal Hospital Insurance Trust Fund,209271000000.00,224107000000.00,234189000000.00,246812000000.00,255930000000.00,220595000000.00,232381000000.00,242923000000.00,252009000000.00,255930000000.00,23.58,23.22,23.18,23.23,23.02,
Employment and General Retirement,Railroad Retirement,4964000000.00,5370000000.00,5868000000.00,5317000000.00,5351000000.00,5232606229.00,5568258042.00,6086843144.00,5428958143.00,5351000000.00,0.56,0.56,0.58,0.50,0.48,
Employment and General Retirement,Railroad Retirement Refunds,-63000000.00,-16000000.00,-2000000.00,-4000000.00,-2000000.00,-66408983.00,-16590713.00,-2074589.00,-4084227.00,-2000000.00,-0.01,0.00,0.00,0.00,0.00,
Unemployment Insurance,,56811000000.00,55394000000.00,51178000000.00,48852000000.00,45807000000.00,59885091156.00,57439122156.00,53086649359.00,49880658871.00,45807000000.00,2.05,1.83,1.58,1.50,1.38,
Unemployment Insurance,Deposits by States,48952000000.00,46889000000.00,42177000000.00,40485000000.00,37551000000.00,51600834033.00,48620121291.00,43749963071.00,41337477982.00,37551000000.00,86.17,84.65,82.41,82.87,81.98,
Unemployment Insurance,Federal Unemployment Taxes,7896000000.00,8612000000.00,9108000000.00,8440000000.00,8284000000.00,8323259224.00,8929951258.00,9447676782.00,8617718023.00,8284000000.00,13.90,15.55,17.80,17.28,18.08,
Unemployment Insurance,Federal Unemployment Taxes Refunds,-148000000.00,-142000000.00,-182000000.00,-190000000.00,-154000000.00,-156008405.00,-147242578.00,-188787569.00,-194000761.00,-154000000.00,-0.26,-0.26,-0.36,-0.39,-0.34,
Unemployment Insurance,Railroad Unemployment Taxes,111000000.00,35000000.00,75000000.00,117000000.00,126000000.00,117006304.00,36292185.00,77797075.00,119463627.00,126000000.00,0.20,0.06,0.15,0.24,0.28,
Other Retirement,,3564000000.00,3472000000.00,3651000000.00,3905000000.00,4191000000.00,3756851048.00,3600184716.00,3787161609.00,3987226170.00,4191000000.00,0.13,0.11,0.11,0.12,0.13,
Other Retirement,Federal Employees' Retirement - Employee Share,3538000000.00,3446000000.00,3628000000.00,3876000000.00,4157000000.00,3729444166.00,3573224807.00,3763303839.00,3957615528.00,4157000000.00,99.27,99.25,99.37,99.26,99.19,
Other Retirement,Non-Federal Employees' Retirement,26000000.00,26000000.00,23000000.00,29000000.00,34000000.00,27406882.00,26959909.00,23857770.00,29610642.00,34000000.00,0.73,0.75,0.63,0.74,0.81,
Excise Taxes,,84008000000.00,93368000000.00,98278000000.00,95046000000.00,83822000000.00,88553743779.00,96815105562.00,101943000000.00,97047349197.00,83822000000.00,3.03,3.09,3.03,2.91,2.53,
Excise Taxes,Miscellaneous Excise Taxes,38425000000.00,44715000000.00,50801000000.00,45281000000.00,32494000000.00,40504209179.00,46365858166.00,52695589397.00,46234465616.00,32494000000.00,45.74,47.89,51.69,47.64,38.77,
Excise Taxes,Miscellaneous Excise Taxes Refunds,-4015000000.00,-4405000000.00,-4585000000.00,-6438000000.00,-5160000000.00,-4232255038.00,-4567630666.00,-4755994516.00,-6573562634.00,-5160000000.00,-4.78,-4.72,-4.67,-6.77,-6.16,
Excise Taxes,Airport and Airway Trust Fund,12677000000.00,13466000000.00,13403000000.00,14379000000.00,14952000000.00,13362963169.00,13963158807.00,13902855941.00,14681773395.00,14952000000.00,15.09,14.42,13.64,15.13,17.84,
Excise Taxes,Airport and Airway Trust Fund Refunds,-18000000.00,-16000000.00,-19000000.00,-13000000.00,-15000000.00,-18973995.00,-16590713.00,-19708592.00,-13273736.00,-15000000.00,-0.02,-0.02,-0.02,-0.01,-0.02,
Excise Taxes,Highway Trust Fund,36410000000.00,39035000000.00,38132000000.00,41434000000.00,41558000000.00,38380175828.00,40476155060.00,39554107495.00,42306460731.00,41558000000.00,43.34,41.81,38.80,43.59,49.58,
Excise Taxes,Highway Trust Fund Refunds, -   , -   , -   ,-63000000.00,-432000000.00, -   , -   , -   ,-64326568.00,-432000000.00,0.00,0.00,0.00,-0.07,-0.52,
Excise Taxes,Black Lung Disability Trust Fund,529000000.00,573000000.00,546000000.00,466000000.00,425000000.00,557624636.00,594154908.00,566362706.00,475812393.00,425000000.00,0.63,0.61,0.56,0.49,0.51,
Estate and Gift Taxes,,18912000000.00,19300000000.00,19232000000.00,21354000000.00,22767000000.00,19935344281.00,20012547525.00,19949244606.00,21803643444.00,22767000000.00,0.68,0.64,0.59,0.65,0.69,
Estate and Gift Taxes,Estate and Gift Taxes,19830000000.00,20155000000.00,20042000000.00,22337000000.00,23780000000.00,20903018036.00,20899113750.00,20789453016.00,22807342119.00,23780000000.00,104.85,104.43,104.21,104.60,104.45,
Estate and Gift Taxes,Estate and Gift Taxes Refunds,-918000000.00,-855000000.00,-810000000.00,-983000000.00,-1013000000.00,-967673755.00,-886566225.00,-840208410.00,-1003698675.00,-1013000000.00,-4.85,-4.43,-4.21,-4.60,-4.45,
Customs Duties,,31814000000.00,33926000000.00,35041000000.00,34838000000.00,34575000000.00,33535482390.00,35178533023.00,36347830713.00,35571571147.00,34575000000.00,1.15,1.12,1.08,1.07,1.04,
Customs Duties,Customs Duties,33119000000.00,35349000000.00,37706000000.00,36468000000.00,36260000000.00,34911097041.00,36654069558.00,39112220110.00,37235893467.00,36260000000.00,104.10,104.19,107.61,104.68,104.87,
Customs Duties,Customs Duties Refunds,-1305000000.00,-1423000000.00,-2665000000.00,-1630000000.00,-1685000000.00,-1375614651.00,-1475536535.00,-2764389397.00,-1664322320.00,-1685000000.00,-4.10,-4.19,-7.61,-4.68,-4.87,
Miscellaneous Receipts,,101515000000.00,135024000000.00,146294000000.00,154743000000.00,127666000000.00,107008000000.00,140009000000.00,151750000000.00,158001000000.00,127666000000.00,3.66,4.47,4.50,4.74,3.85,
Miscellaneous Receipts,"Deposit of Earnings, Federal Reserve System",75767000000.00,99235000000.00,96468000000.00,115672000000.00,81287000000.00,79866816314.00,102899000000.00,100066000000.00,118108000000.00,81287000000.00,74.64,73.49,65.94,74.75,63.67,
