activity,activity_plain,sub_activity,sub_activity_plain,fiscal_year,income,cpi_auc_start,cpi_auc_end,inflation_rate,income_adjusted,percent_total,income_source,income_source_url,cpi_source,cpi_source_url
Individual Income Taxes,Individual Income Taxes Withheld,,,2013,1.31641E+12,234.15,246.82,1.05,1.38764E+12,47.46,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes Withheld,Individual Income Taxes Withheld,Individual Income Taxes Withheld,2013,1.10275E+12,234.15,246.82,1.05,1.16242E+12,83.77,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes Withheld,Presidential Election Campaign Fund,Presidential Election Campaign Fund,2013,35000000,234.15,246.82,1.05,37000000,0,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes Withheld,Other Individual Income Taxes,Other Individual Income Taxes,2013,4.43616E+11,234.15,246.82,1.05,4.68E+11,33.7,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes Withheld,Individual Income Taxes Refunds,Individual Income Taxes Refunds,2013,-2.29992E+11,234.15,246.82,1.05,-2.42E+11,-17.47,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Corporation Income Taxes,Corporate Income Taxes,,,2013,2.73506E+11,234.15,246.82,1.05,2.88E+11,9.86,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Corporation Income Taxes,Corporate Income Taxes,Corporation Income Taxes,Corporate Income Taxes,2013,3.12476E+11,234.15,246.82,1.05,3.29E+11,114.25,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Corporation Income Taxes,Corporate Income Taxes,Corporation Income Taxes Refunds,Corporate Income Taxes Refunds,2013,-38971000000,234.15,246.82,1.05,-41100000000,-14.25,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",,,2013,8.87445E+11,234.15,246.82,1.05,9.35E+11,31.99,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Old-Age and Survivors Insurance Trust Fund,Social Security - OASI,2013,5.77643E+11,234.15,246.82,1.05,6.09E+11,65.09,Monthly Treasury Statement,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,Bureau of Labor Statistics,https://data.bls.gov/cgi-bin/surveymost?bls
