activity,sub_activity,fy13,fy14,fy15,fy16,fy17,fy13_inflation_adj,fy14_inflation_adj,fy15_inflation_adj,fy16_inflation_adj,fy17_inflation_adj
Individual Income Taxes,Individual Income Taxes Withheld,1102746000000,1149708000000,1220163000000,1245699000000,1309266000000,1162416516722,1192154714520,1265668164899,1271929232657,1309266000000
Individual Income Taxes,Presidential Election Campaign Fund,35000000,30000000,30000000,29000000,27000000,36893880,31107587,31118830,29610642,27000000
Individual Income Taxes,Other Individual Income Taxes,443616000000,476562000000,554963000000,551633000000,539503000000,467620436150,494156459780,575659974771,563248536282,539503000000
Individual Income Taxes,Individual Income Taxes Refunds,-229992000000,-231733000000,-234354000000,-251286000000,-261677000000,-242437061222,-240288480605,-243094076051,-256577238288,-261677000000
Corporation Income Taxes,Corporation Income Taxes,312476000000,353553000000,390292000000,345982000000,338978000000,329384340074,366606021514,404847679707,353267217661,338978000000
Corporation Income Taxes,Corporation Income Taxes Refunds,-38971000000,-32822000000,-46495000000,-46411000000,-41930000000,-41079753700,-34033773828,-48229000000,-47388259617,-41930000000
Employment and General Retirement,Federal Old-Age and Survivors Insurance Trust Fund,577643000000,630986000000,660956000000,668372000000,690709000000,608899750232,654281726052,685605912980,682445667123,690709000000
Employment and General Retirement,Federal Old-Age and Survivors Insurance Trust Fund Refunds,-2088000000,-2162000000,-2394000000,-2700000000,-2661000000,-2200983442,-2241820091,-2483282633,-2756852922,-2661000000
Employment and General Retirement,Federal Disability Insurance Trust Fund,98074000000,107145000000,112239000000,144966000000,163199000000,103380866910,111100746352,116424878611,148018496556,163199000000
Employment and General Retirement,Federal Disability Insurance Trust Fund Refunds,-355000000,-367000000,-407000000,-459000000,-629000000,-374209350,-380549479,-422178793,-468664997,-629000000
Employment and General Retirement,Federal Hospital Insurance Trust Fund,209271000000,224107000000,234189000000,246812000000,255930000000,220594830424,232380932034,242922922486,252009030890,255930000000
Employment and General Retirement,Railroad Retirement,4964000000,5370000000,5868000000,5317000000,5351000000,5232606229,5568258042,6086843144,5428958143,5351000000
Employment and General Retirement,Railroad Retirement Refunds,-63000000,-16000000,-2000000,-4000000,-2000000,-66408983,-16590713,-2074589,-4084227,-2000000
Unemployment Insurance,Deposits by States,48952000000,46889000000,42177000000,40485000000,37551000000,51600834033,48620121291,43749963071,41337477982,37551000000
Unemployment Insurance,Federal Unemployment Taxes,7896000000,8612000000,9108000000,8440000000,8284000000,8323259224,8929951258,9447676782,8617718023,8284000000
Unemployment Insurance,Federal Unemployment Taxes Refunds,-148000000,-142000000,-182000000,-190000000,-154000000,-156008405,-147242578,-188787569,-194000761,-154000000
Unemployment Insurance,Railroad Unemployment Taxes,111000000,35000000,75000000,117000000,126000000,117006304,36292185,77797075,119463627,126000000
Other Retirement,Federal Employees' Retirement - Employee Share,3538000000,3446000000,3628000000,3876000000,4157000000,3729444166,3573224807,3763303839,3957615528,4157000000
Other Retirement,Non-Federal Employees' Retirement,26000000,26000000,23000000,29000000,34000000,27406882,26959909,23857770,29610642,34000000
Excise Taxes,Miscellaneous Excise Taxes,38425000000,44715000000,50801000000,45281000000,32494000000,40504209179,46365858166,52695589397,46234465616,32494000000
Excise Taxes,Miscellaneous Excise Taxes Refunds,-4015000000,-4405000000,-4585000000,-6438000000,-5160000000,-4232255038,-4567630666,-4755994516,-6573562634,-5160000000
Excise Taxes,Airport and Airway Trust Fund,12677000000,13466000000,13403000000,14379000000,14952000000,13362963169,13963158807,13902855941,14681773395,14952000000
Excise Taxes,Airport and Airway Trust Fund Refunds,-18000000,-16000000,-19000000,-13000000,-15000000,-18973995,-16590713,-19708592,-13273736,-15000000
Excise Taxes,Highway Trust Fund,36410000000,39035000000,38132000000,41434000000,41558000000,38380175828,40476155060,39554107495,42306460731,41558000000
Excise Taxes,Highway Trust Fund Refunds, -   , -   , -   ,-63000000,-432000000, -   , -   , -   ,-64326568,-432000000
Excise Taxes,Black Lung Disability Trust Fund,529000000,573000000,546000000,466000000,425000000,557624636,594154908,566362706,475812393,425000000
Estate and Gift Taxes,Estate and Gift Taxes,19830000000,20155000000,20042000000,22337000000,23780000000,20903018036,20899113750,20789453016,22807342119,23780000000
Estate and Gift Taxes,Estate and Gift Taxes Refunds,-918000000,-855000000,-810000000,-983000000,-1013000000,-967673755,-886566225,-840208410,-1003698675,-1013000000
Customs Duties,Customs Duties,33119000000,35349000000,37706000000,36468000000,36260000000,34911097041,36654069558,39112220110,37235893467,36260000000
Customs Duties,Customs Duties Refunds,-1305000000,-1423000000,-2665000000,-1630000000,-1685000000,-1375614651,-1475536535,-2764389397,-1664322320,-1685000000
Miscellaneous Receipts,"Deposit of Earnings, Federal Reserve System",75767000000,99235000000,96468000000,115672000000,81287000000,79866816314,102898712626,100065709689,118107663408,81287000000
Miscellaneous Receipts,Universal Service Fund,9809000000,9769000000,9556000000,9922000000,9154000000,10339773268,10129667190,9912384644,10130923960,9154000000
Miscellaneous Receipts,Other Miscellaneous Receipts,15972000000,26057000000,40304000000,29206000000,37275000000,16836258400,27019012998,41807110786,29820980164,37275000000
Miscellaneous Receipts,Miscellaneous Receipts Refunds,-33000000,-37000000,-34000000,-57000000,-50000000,-34785658,-38366024,-35268007,-58200228,-50000000
