"subagency","type","obligation"
"Access Board","grant",0
"Access Board","contract",44687.09
"Administration for Children and Families","grant",317841982
"Administration for Children and Families","contract",0
"Administration for Community Living","grant",1493582
"Administration for Community Living","contract",0
"Administration on Aging","grant",134574242
"Administration on Aging","contract",0
"Agency for Healthcare Research and Quality","grant",152708299
"Agency for Healthcare Research and Quality","contract",11186153.71
"Agency for International Development","grant",384244249
"Agency for International Development","contract",38113344.29
"Agricultural Marketing Service","grant",185740
"Agricultural Marketing Service","contract",23900
"Agricultural Research Service","grant",140425750.27
"Agricultural Research Service","contract",1921159.45
"Animal and Plant Health Inspection Service","grant",14463923.04
"Animal and Plant Health Inspection Service","contract",3556945.07
"Assistant Secretary for Community Planning and Development","grant",447368.58
"Assistant Secretary for Community Planning and Development","contract",0
"Assistant Secretary for Fair Housing and Equal Opportunity","grant",710817.64
"Assistant Secretary for Fair Housing and Equal Opportunity","contract",0
"Assistant Secretary for Housing--Federal Housing Commissioner","grant",1002281.77
"Assistant Secretary for Housing--Federal Housing Commissioner","contract",0
"Assistant Secretary for Policy Development and Research","grant",2842184.47
"Assistant Secretary for Policy Development and Research","contract",0
"Assistant Secretary for Public and Indian Housing","grant",1294000
"Assistant Secretary for Public and Indian Housing","contract",0
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","grant",0
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","contract",1407905.04
"Bureau of Engraving and Printing","grant",0
"Bureau of Engraving and Printing","contract",28995
"Bureau of Indian Affairs and Bureau of Indian Education","grant",82394540.85
"Bureau of Indian Affairs and Bureau of Indian Education","contract",1828277.76
"Bureau of Industry and Security","grant",0
"Bureau of Industry and Security","contract",-68.82
"Bureau of Labor Statistics","grant",121522.67
"Bureau of Labor Statistics","contract",12212580.82
"Bureau of Land Management","grant",9347719.55
"Bureau of Land Management","contract",6637489.5
"Bureau of Ocean Energy Management","grant",4745196.67
"Bureau of Ocean Energy Management","contract",1939296.3
"Bureau of Reclamation","grant",19671275.32
"Bureau of Reclamation","contract",2164459.64
"Bureau of Safety and Environmental Enforcement","grant",100000
"Bureau of Safety and Environmental Enforcement","contract",-883.25
