Recipient,INST_TYPE_1,INST_TYPE_2,total_awards,grants,contracts,student_aid,Total_Federal_Investment
A T Still University of Health Sciences,Private not-for-profit, 4-year or above,1467225.94,2269124,1467225.94,155422874,159159223.9
Aaniiih Nakoda College,Public, 2-year,0,6965848.08,0,432579.4,7398427.5
Abilene Christian University,Private not-for-profit, 4-year or above,0,877918.2,0,40484765,41362683.2
Abraham Baldwin Agricultural College,Public, 4-year or above,0,2122924.25,0,21098420.8,23221345.1
Academy for Five Element Acupuncture,Private not-for-profit, 4-year or above,0,0,0,1177450,1177450
Academy for Jewish Religion-California,Private not-for-profit, 4-year or above,0,0,0,235150,235150
Academy for Nursing and Health Occupations,Private not-for-profit, 2-year,0,0,0,4022171.6,4022171.6
Academy of Chinese Culture and Health Sciences,Private not-for-profit, 4-year or above,0,0,0,1046181,1046181
Academy of Interactive Entertainment,Private not-for-profit, less-than 2-year,0,0,0,833286,833286
Academy of Interactive Entertainment,Private not-for-profit, less-than 2-year,0,0,0,1171437.1,1171437.1
Acupuncture and Integrative Medicine College-Berkeley,Private not-for-profit, 4-year or above,0,0,0,1392781,1392781
Adams State University,Public, 4-year or above,0,3278081,0,24558034,27836115
Adelphi University,Private not-for-profit, 4-year or above,0,1600151,0,90758454,92358605
Adirondack Community College,Public, 2-year,0,644067,0,13504634,14148701
Adler Graduate School,Private not-for-profit, 4-year or above,0,0,0,4288082,4288082
Adler University,Private not-for-profit, 4-year or above,5655,283692,5655,35768902,36058249
Adrian College,Private not-for-profit, 4-year or above,0,313406,0,18313088,18626494
Adult and Community Education-Hudson,Public, less-than 2-year,0,0,0,1544187,1544187
Adult and Continuing Education-BCTS,Public, less-than 2-year,0,0,0,360924,360924
Adventist University of Health Sciences,Private not-for-profit, 4-year or above,0,61732,0,26839982.8,26901714.8
Agnes Scott College,Private not-for-profit, 4-year or above,0,-12231,0,5755108,5742877
Aiken Technical College,Public, 2-year,0,0,0,7126949.1,7126949.1
Aims Community College,Public, 2-year,0,379244.95,0,8706713,9085957.9
Akron School of Practical Nursing,Public, less-than 2-year,0,0,0,199065,199065
Alabama A & M University,Public, 4-year or above,-24056.27,16570973.99,-24056.27,75730834.2,92277751.9
