"source","target","value"
"Administration for Children and Families","Teachers College of San Joaquin",20446452
"Administration for Children and Families","Education and Technology Institute",15478645
"Administration for Children and Families","Southern Illinois University-Edwardsville",12046610
"Administration for Children and Families","Fort Valley State University",9242062
"Administration for Children and Families","Mt Hood Community College",9047587
"Administration for Community Living","University of Massachusetts-Boston",1493582
"Administration on Aging","University of Illinois at Chicago",4750655
"Administration on Aging","University of Washington",4427332
"Administration on Aging","University of Pittsburgh-Pittsburgh Campus",4210179
"Administration on Aging","University of Alabama at Birmingham",3950329
"Administration on Aging","Georgia Institute of Technology-Main Campus",3949476
"Agency for Healthcare Research and Quality","Oregon Health & Science University",13023259
"Agency for Healthcare Research and Quality","Pardee RAND Graduate School",12235101.01
"Agency for Healthcare Research and Quality","Johns Hopkins University",10306154.02
"Agency for Healthcare Research and Quality","University of California-San Francisco",8618595
"Agency for Healthcare Research and Quality","University of Michigan-Ann Arbor",8414653
"Agency for International Development","Johns Hopkins University",96143077
"Agency for International Development","University of North Carolina at Chapel Hill",60036608
"Agency for International Development","Tufts University",40379656.2
"Agency for International Development","University of Chicago",37017026.5
"Agency for International Development","University of California-Davis",29819065
"Agricultural Marketing Service","Cornell University",98479
"Agricultural Marketing Service","University of Delaware",87261
"Agricultural Research Service","Cornell University",72346547.54
"Agricultural Research Service","Mississippi State University",30286029
"Agricultural Research Service","University of Wisconsin-Madison",25740403.78
"Agricultural Research Service","Baylor College of Medicine",12960500
"Agricultural Research Service","University of California-Davis",12638182.44
"Animal and Plant Health Inspection Service","Iowa State University",7413375.25
"Animal and Plant Health Inspection Service","North Carolina State University at Raleigh",4570953
"Animal and Plant Health Inspection Service","Colorado State University-Fort Collins",4129656.21
"Animal and Plant Health Inspection Service","University of Georgia",2908489.64
"Animal and Plant Health Inspection Service","Mississippi State University",2163639.92
"Assistant Secretary for Community Planning and Development","University of Nebraska-Lincoln",347500.26
"Assistant Secretary for Community Planning and Development","University of Southern Mississippi",299864
"Assistant Secretary for Community Planning and Development","Southeastern Louisiana University",145496.62
"Assistant Secretary for Community Planning and Development","The University of Tennessee-Knoxville",132282
"Assistant Secretary for Fair Housing and Equal Opportunity","The John Marshall Law School",425000
"Assistant Secretary for Fair Housing and Equal Opportunity","Suffolk University",299935.47
"Assistant Secretary for Housing--Federal Housing Commissioner","Brighton Center's Center for Employment Training",507245
"Assistant Secretary for Housing--Federal Housing Commissioner","Ohio Valley University",495534
"Assistant Secretary for Policy Development and Research","Johns Hopkins University",1694734.99
"Assistant Secretary for Policy Development and Research","University of North Carolina at Chapel Hill",571494
"Assistant Secretary for Policy Development and Research","Temple University",308660
"Assistant Secretary for Policy Development and Research","University of Idaho",243763
"Assistant Secretary for Policy Development and Research","West Virginia University",112500
"Assistant Secretary for Public and Indian Housing","Marquette University",1300000
"Bureau of Indian Affairs and Bureau of Indian Education","Dine College",13962434
"Bureau of Indian Affairs and Bureau of Indian Education","Oglala Lakota College",8419634
"Bureau of Indian Affairs and Bureau of Indian Education","Northwest Indian College",5572714
"Bureau of Indian Affairs and Bureau of Indian Education","Turtle Mountain Community College",5569530
"Bureau of Indian Affairs and Bureau of Indian Education","Salish Kootenai College",5131354
"Bureau of Labor Statistics","University of Wisconsin-Madison",121522.67
"Bureau of Land Management","Oregon State University",18380977.05
"Bureau of Land Management","Utah State University",5947104.58
"Bureau of Land Management","The University of Montana",4230269.8
"Bureau of Land Management","University of Alaska Anchorage",4129259.68
"Bureau of Land Management","Portland State University",2418629.29
"Bureau of Ocean Energy Management","University of Alaska Fairbanks",1058077.22
"Bureau of Ocean Energy Management","University of North Carolina Wilmington",1043497
"Bureau of Ocean Energy Management","University of California-Santa Cruz",884000
"Bureau of Ocean Energy Management","University of Rhode Island",827802
"Bureau of Ocean Energy Management","University of Florida",650000
"Bureau of Reclamation","University of Colorado Boulder",4190613.28
"Bureau of Reclamation","California State University-Chico",3410000
"Bureau of Reclamation","University of California-Santa Cruz",3380362.43
"Bureau of Reclamation","University of California-Davis",3327242.94
"Bureau of Reclamation","Colorado State University-Fort Collins",1634965
"Bureau of Safety and Environmental Enforcement","University of Alaska Anchorage",100000
"Centers for Disease Control and Prevention","Columbia University in the City of New York",506958535.83
"Centers for Disease Control and Prevention","University of Maryland, Baltimore",270407709
"Centers for Disease Control and Prevention","University of Chicago",269433956.12
"Centers for Disease Control and Prevention","University of Washington",167229843.49
"Centers for Disease Control and Prevention","Johns Hopkins University",148358894.16
"Centers for Medicare and Medicaid Services","University of Chicago",38643025.67
