"source","target","value","type"
"ADMINISTRATIVE SUPPORT SERVICES","University of Central Florida",2507096.66,"contract"
"ADMINISTRATIVE SUPPORT SERVICES","University of North Carolina at Chapel Hill",2429250.83,"contract"
"ADMINISTRATIVE SUPPORT SERVICES","University of Chicago",2019382.38,"contract"
"ADMINISTRATIVE SUPPORT SERVICES","Johns Hopkins University",1237087,"contract"
"ADMINISTRATIVE SUPPORT SERVICES","University of Washington",266124.58,"contract"
"AEROSPACE CRAFT & STRUCTURAL COMPONENTS","California Institute of Technology",300000,"contract"
"AEROSPACE CRAFT & STRUCTURAL COMPONENTS","Wichita State University",69970,"contract"
"AEROSPACE CRAFT LAUNCHING, LANDING, HANDLING, & SERVICING","Florida International University",63463,"contract"
"AGRICULTURAL MACHINERY & EQUIPMENT","Utah State University",54138.25,"contract"
"AGRICULTURAL MACHINERY & EQUIPMENT","Cornell University",3500,"contract"
"AGRICULTURAL SUPPLIES","University of Minnesota-Twin Cities",15553.02,"contract"
"AGRICULTURE R&D","Iowa State University",239982,"contract"
"AGRICULTURE R&D","University of Maryland-College Park",227500,"contract"
"AGRICULTURE R&D","Virginia Polytechnic Institute and State University",110000,"contract"
"AGRICULTURE R&D","University of Colorado Denver/Anschutz Medical Campus",59800,"contract"
"AGRICULTURE R&D","New York University",46002.31,"contract"
"ARCHITECTURAL & ENGINEERING SERVICES - CONSTRUCTION","Montana State University",140715.02,"contract"
"ARCHITECTURAL & ENGINEERING SERVICES - CONSTRUCTION","University of Utah",7506,"contract"
"ARCHITECTURAL & ENGINEERING SERVICES - GENERAL","University of Colorado Colorado Springs",9500,"contract"
"BOOKS, MAPS, & OTHER PUBLICATIONS","Georgetown University",115360,"contract"
"BOOKS, MAPS, & OTHER PUBLICATIONS","University of Pennsylvania",50530.67,"contract"
"BOOKS, MAPS, & OTHER PUBLICATIONS","North Carolina State University at Raleigh",39000,"contract"
"BOOKS, MAPS, & OTHER PUBLICATIONS","Worcester Polytechnic Institute",25000,"contract"
"BOOKS, MAPS, & OTHER PUBLICATIONS","University of Arizona",20085,"contract"
"CHEMICALS & CHEMICAL PRODUCTS","University of Colorado Boulder",812495.5,"contract"
"CHEMICALS & CHEMICAL PRODUCTS","Montana State University",34871.34,"contract"
"CHEMICALS & CHEMICAL PRODUCTS","University of California-San Diego",11380,"contract"
"CHEMICALS & CHEMICAL PRODUCTS","University of Arizona",4500,"contract"
"CLOTHING, INDIVIDUAL EQUIPMENT, INSIGNAS, & JEWELRY","Pennsylvania State University",275510.8,"contract"
"CLOTHING, INDIVIDUAL EQUIPMENT, INSIGNAS, & JEWELRY","University of Delaware",203446,"contract"
"COMMUNCTATIONS AND RADAR EQUIPMENT","Syracuse University",30000,"contract"
"COMMUNCTATIONS AND RADAR EQUIPMENT","University of Oklahoma-Norman Campus",12836.38,"contract"
"COMMUNCTATIONS AND RADAR EQUIPMENT","Rockefeller University",5000,"contract"
"COMMUNCTATIONS AND RADAR EQUIPMENT","University of Rochester",3900,"contract"
"COMMUNITY SERVICE R&D","University of Arizona",1211435,"contract"
"COMMUNITY SERVICE R&D","University of Rochester",800839.53,"contract"
"COMMUNITY SERVICE R&D","University of Pennsylvania",598990,"contract"
"COMMUNITY SERVICE R&D","University of Georgia",524880,"contract"
"COMMUNITY SERVICE R&D","Virginia Polytechnic Institute and State University",290789.62,"contract"
"DEFENSE (OTHER) R&D","Johns Hopkins University",423714076.13,"contract"
