"source","target","value"
"Administration for Children and Families","Childcare and Welfare",252665258
"Administration for Children and Families","Nursing and Health Professionals",30783808
"Administration for Children and Families","Social Wellness and Development",23447366
"Administration for Children and Families","Tribal Programs",2666486
"Administration for Children and Families","Healthcare Services",2648845
"Administration for Community Living","Individuals with Disabilities",1493582
"Administration on Aging","Individuals with Disabilities",124503489
"Administration on Aging","Social Wellness and Development",5547447
"Administration on Aging","Medical R&D",2668884
"Administration on Aging","Public Health",987969
"Administration on Aging","Healthcare Services",866453
"Agency for Healthcare Research and Quality","Medical R&D",147096939
"Agency for Healthcare Research and Quality","Research Support Programs",5611360
"Agency for International Development","Humanitarian Assistance",379844149
"Agency for International Development","Academic Exchange Programs",4400100
"Agricultural Marketing Service","Food and Nutrition",98479
"Agricultural Marketing Service","Marketing Programs",87261
"Agricultural Research Service","Agriculture and Farming",137208704.86
"Agricultural Research Service","Agriculture and Farming R&D",3217045.41
"Animal and Plant Health Inspection Service","Public Health",10596639
"Animal and Plant Health Inspection Service","Wildlife",3867284.04
"Assistant Secretary for Community Planning and Development","Homelessness",447368.58
"Assistant Secretary for Fair Housing and Equal Opportunity","Housing and Development",599989
"Assistant Secretary for Fair Housing and Equal Opportunity","Education",110828.64
"Assistant Secretary for Housing--Federal Housing Commissioner","Housing and Development",1002281.77
"Assistant Secretary for Policy Development and Research","Housing R&D",2842184.47
"Assistant Secretary for Public and Indian Housing","Regional Development",1300000
"Bureau of Indian Affairs and Bureau of Indian Education","Education",80443171
"Bureau of Indian Affairs and Bureau of Indian Education","Tribal Programs",1661639
"Bureau of Indian Affairs and Bureau of Indian Education","Individuals with Disabilities",156818
"Bureau of Indian Affairs and Bureau of Indian Education","Environment",97306.85
"Bureau of Indian Affairs and Bureau of Indian Education","Agriculture and Farming",35441
"Bureau of Labor Statistics","Occupational Safety",121522.67
"Bureau of Land Management","Wildlife",4202027.46
"Bureau of Land Management","Environment",2539927.02
"Bureau of Land Management","Tribal Programs",1867365.26
"Bureau of Land Management","Fire Suppression Assistance Programs",505996.11
"Bureau of Land Management","Wildlife Conservation",166274
"Bureau of Ocean Energy Management","Exploration and Development of Energy Sources",4095196.67
"Bureau of Ocean Energy Management","Disaster Response and Assistance",650000
"Bureau of Reclamation","Wildlife",13883776.59
"Bureau of Reclamation","Water Resources",3004754.47
"Bureau of Reclamation","Environmental R&D",2260026.55
"Bureau of Reclamation","Clean Water Programs",210912
"Bureau of Reclamation","Environment",170000
"Bureau of Safety and Environmental Enforcement","Exploration and Development of Energy Sources",100000
"Centers for Disease Control and Prevention","HIV Programs",317781470
"Centers for Disease Control and Prevention","Occupational Safety",84319464
"Centers for Disease Control and Prevention","Medical R&D",61803522
"Centers for Disease Control and Prevention","Medical R&D (Infectious Diseases)",56411328
"Centers for Disease Control and Prevention","Public Health",46044014
"Centers for Medicare and Medicaid Services","Healthcare Exchange Programs",35052497
"Centers for Medicare and Medicaid Services","Medical and Federal Benefits",9040948
"Centers for Medicare and Medicaid Services","Public Health",8876368
"Corporation for National and Community Service","Social Wellness and Development",18484376.93
"Corporation for National and Community Service","Employment Programs",18243864.62
"Defense Advanced Research Projects Agency","Science, Engineering, and Mathematics",106846518
"Defense Health Agency","HIV Programs",1532691
"Defense Intelligence Agency","Homeland Security",9996720
"Defense Logistics Agency","Business",16490032
"Defense Microelectronics Activity","Business",545328
