"agency","subagency","institution","contracts","grants"
"Access Board","Access Board","Massachusetts Institute of Technology",-176.83,NA
"Access Board","Access Board","University of Illinois at Chicago",44863.92,NA
"Agency for International Development","Agency for International Development","Duke University",2493686.18,999458
"Agency for International Development","Agency for International Development","Eastern Mennonite University",33012,-5475
"Agency for International Development","Agency for International Development","Florida International University",-15901.63,467455
"Agency for International Development","Agency for International Development","Georgetown University",9211.15,5495810
"Agency for International Development","Agency for International Development","SIT Graduate Institute",1443867.54,23407555
"Agency for International Development","Agency for International Development","Stanford University",25200,NA
"Agency for International Development","Agency for International Development","SUNY at Albany",10200791,281900
"Agency for International Development","Agency for International Development","Tufts University",5889103.8,5607747
"Agency for International Development","Agency for International Development","University of Chicago",17162515.25,672999
"Agency for International Development","Agency for International Development","University of Maryland-College Park",-3240.8,NA
"Consumer Financial Protection Bureau","Consumer Financial Protection Bureau","Gettysburg College",44882.2,NA
"Consumer Financial Protection Bureau","Consumer Financial Protection Bureau","Pardee RAND Graduate School",270415,NA
"Consumer Product Safety Commission","Consumer Product Safety Commission","Baylor College of Medicine",35020,NA
"Consumer Product Safety Commission","Consumer Product Safety Commission","Finger Lakes Health College of Nursing",15781,NA
"Consumer Product Safety Commission","Consumer Product Safety Commission","Massachusetts General Hospital Dietetic Internship",43837.76,NA
"Consumer Product Safety Commission","Consumer Product Safety Commission","Mercy Hospital School of Nursing",82099.48,NA
"Consumer Product Safety Commission","Consumer Product Safety Commission","Regional West Medical Center School of Radiologic Technology",9664.78,NA
"Consumer Product Safety Commission","Consumer Product Safety Commission","University of Alabama at Birmingham",81048,NA
"Consumer Product Safety Commission","Consumer Product Safety Commission","University of Arizona",135225,NA
"Consumer Product Safety Commission","Consumer Product Safety Commission","University of Arkansas for Medical Sciences",248432,NA
"Consumer Product Safety Commission","Consumer Product Safety Commission","University of Cincinnati",767885.6,NA
"Consumer Product Safety Commission","Consumer Product Safety Commission","University of Michigan-Ann Arbor",1034616,NA
"Consumer Product Safety Commission","Consumer Product Safety Commission","University of New Mexico-Main Campus",1260,NA
"Consumer Product Safety Commission","Consumer Product Safety Commission","University of Pennsylvania",11120,NA
"Corporation for National and Community Service","Corporation for National and Community Service","University of Chicago",465558.56,NA
"Department of Agriculture","Agricultural Marketing Service","Georgetown University",23900,NA
"Department of Agriculture","Agricultural Research Service","Arizona State University-Tempe",5000,NA
"Department of Agriculture","Agricultural Research Service","Arkansas State University-Main Campus",15872,45000
"Department of Agriculture","Agricultural Research Service","Auburn University",177.53,534357.2
"Department of Agriculture","Agricultural Research Service","Brigham Young University-Provo",9000,103154
"Department of Agriculture","Agricultural Research Service","Case Western Reserve University",7500,NA
"Department of Agriculture","Agricultural Research Service","Clemson University",9093.04,316709.41
"Department of Agriculture","Agricultural Research Service","Colorado State University-Fort Collins",161969.32,1413771.96
"Department of Agriculture","Agricultural Research Service","Cornell University",99850.01,7994127.5
"Department of Agriculture","Agricultural Research Service","Emory University",4950,NA
"Department of Agriculture","Agricultural Research Service","Hartwick College",11700,NA
"Department of Agriculture","Agricultural Research Service","Harvard University",9000,NA
"Department of Agriculture","Agricultural Research Service","Idaho State University",22148,46753.25
"Department of Agriculture","Agricultural Research Service","Iowa State University",39128.7,3950238.91
"Department of Agriculture","Agricultural Research Service","Kansas State University",77540,2412032.01
