"agency","contract","total_grants","research","total_investment"
"Access Board",44687.09,0,0,44687.09
"Agency for International Development",37238244.49,382944249,0,420182493.49
"Consumer Financial Protection Bureau",315297.2,0,0,315297.2
"Consumer Product Safety Commission",2465989.62,0,0,2465989.62
"Corporation for National and Community Service",465558.56,36497384.55,2786910,39749853.11
"Department of Agriculture",11926956.88,979116200.45,623339302.68,1614382460.01
"Department of Commerce",20376213.33,671551101.22,154190303.42,846117617.97
"Department of Defense",4186060192.08,2353794842,1491732393,8031587427.08
"Department of Education",6938699.5,2861023366.46,245058101.33,3113020167.29
"Department of Energy",1889454032.17,1582557199.48,1085957029.2,4557968260.85
"Department of Health and Human Services",764513213.37,24046218644,19515057089,44325788946.37
"Department of Homeland Security",142291271.63,112422463.87,14218624.59,268932360.09
"Department of Housing and Urban Development",71523,10726892.11,555634,11354049.11
"Department of Justice",104626588.39,137071377.54,71227076.86,312925042.79
"Department of Labor",13195098.46,46447017.85,0,59642116.31
"Department of State",3432079.34,134837819,8461791,146731689.34
"Department of the Interior",24320220.27,312568987.51,39028604.03,375917811.81
"Department of the Treasury",846764.45,4804144.86,221999,5872908.31
"Department of Transportation",45962466.1,116983895.8,28408124.46,191354486.36
"Department of Veterans Affairs",198858600.67,2213437.11,0,201072037.78
"Environmental Protection Agency",7416417.94,66545463,0,73961880.94
"Equal Employment Opportunity Commission",1314664.22,0,0,1314664.22
"Executive Office of the President",1296157,26804837.64,3500000,31600994.64
"Federal Communications Commission",8638,0,0,8638
"Federal Trade Commission",52824,0,0,52824
"General Services Administration",944523.02,0,0,944523.02
"Government Accountability Office",-280,0,0,-280
"Institute of Museum and Library Services",0,29750893.62,0,29750893.62
"International Trade Commission",90278.78,0,0,90278.78
"Millennium Challenge Corporation",-464005.65,0,0,-464005.65
"National Aeronautics and Space Administration",2965281497.12,752245424.07,680479029.06,4398005950.25
"National Archives and Records Administration",5500361.71,4704042.62,0,10204404.33
"National Endowment for the Arts",125515,5353536.52,0,5479051.52
"National Endowment for the Humanities",0,30569362.35,0,30569362.35
"National Science Foundation",3254768.16,5813509305,5450202936,11266967009.16
"National Transportation Safety Board",38999.08,0,0,38999.08
"Nuclear Regulatory Commission",2213577.9,15727862.99,936282.92,18877723.81
"Office of Personnel Management",99881.11,0,0,99881.11
"Peace Corps",1233419.72,0,0,1233419.72
"Pension Benefit Guaranty Corporation",28152,0,0,28152
"Securities and Exchange Commission",1333595,42538,42538,1418671
"Small Business Administration",424731.92,115448620.67,0,115873352.59
"Smithsonian Institution",2508035.31,0,0,2508035.31
"Social Security Administration",4327583,7270190.9,6682747,18280520.9
"The Council of the Inspectors General on Integrity and Efficiency",509000,0,0,509000
"United States Chemical Safety Board",10300,0,0,10300
