"agency","subagency","obligation"
"Access Board","Access Board",44687.09
"Agency for International Development","Agency for International Development",420182493.49
"Consumer Financial Protection Bureau","Consumer Financial Protection Bureau",315297.2
"Consumer Product Safety Commission","Consumer Product Safety Commission",2465989.62
"Corporation for National and Community Service","Corporation for National and Community Service",39749853.11
"Department of Agriculture","Agricultural Marketing Service",209640
"Department of Agriculture","Agricultural Research Service",142274915.72
"Department of Agriculture","Animal and Plant Health Inspection Service",18020868.11
"Department of Agriculture","Department of Agriculture",3195.54
"Department of Agriculture","Economic Research Service",4450696.23
"Department of Agriculture","Farm Service Agency",518372
"Department of Agriculture","Food and Nutrition Service",11075048.73
"Department of Agriculture","Food Safety and Inspection Service",1048447.16
"Department of Agriculture","Foreign Agricultural Service",10921268.46
"Department of Agriculture","Forest Service",99668479.37
"Department of Agriculture","National Agricultural Statistics Service",1127023.8
"Department of Agriculture","National Institute of Food and Agriculture",1297124817.69
"Department of Agriculture","Natural Resources Conservation Service",121118.2
"Department of Agriculture","Office of the Chief Economist",49700
"Department of Agriculture","Risk Management Agency",81250
"Department of Agriculture","Rural Business Cooperative Service",8505047
"Department of Agriculture","Rural Housing Service",5008965
"Department of Agriculture","Rural Utilities Service",14173607
"Department of Commerce","Bureau of Industry and Security",-68.82
"Department of Commerce","Economic Development Administration",67250949.94
"Department of Commerce","International Trade Administration",117127.54
"Department of Commerce","Minority Business Development Agency",6988856
"Department of Commerce","National Institute of Standards and Technology",210063449.03
"Department of Commerce","National Oceanic and Atmospheric Administration",561038155.15
"Department of Commerce","National Telecommunications and Information Administration",-152108
"Department of Commerce","Office of the Secretary",1400
"Department of Commerce","U.S. Census Bureau",809857.13
"Department of Defense","Defense Advanced Research Projects Agency",404832417.28
"Department of Defense","Defense Contract Audit Agency",980184.39
"Department of Defense","Defense Health Agency",20312275.68
"Department of Defense","Defense Information Systems Agency",14752.47
"Department of Defense","Defense Intelligence Agency",20351386.59
"Department of Defense","Defense Logistics Agency",18948109.76
"Department of Defense","Defense Media Activity",4964204
"Department of Defense","Defense Microelectronics Activity",545328
"Department of Defense","Defense Security Service",459354
"Department of Defense","Defense Threat Reduction Agency",103541309.88
"Department of Defense","Department of Defense",354417212.63
"Department of Defense","Department of Defense Education Activity",3284056.92
"Department of Defense","Department of the Air Force",2579164863.55
"Department of Defense","Department of the Army",1960054549.94
"Department of Defense","Department of the Navy",2297422220.32
"Department of Defense","Missile Defense Agency",182188713.31
"Department of Defense","National Geospatial-Intelligence Agency",1083902
"Department of Defense","Office of Economic Adjustment",12382023
"Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",4852558.15
"Department of Defense","U.S. Special Operations Command",17604074.75
"Department of Defense","Uniformed Services University of the Health Sciences",11412598.06
"Department of Defense","Washington Headquarters Services",32771332.4
"Department of Education","Department of Education",3113020167.29
"Department of Energy","Department of Energy",4557865611.85
"Department of Energy","Federal Energy Regulatory Commission",102649
"Department of Health and Human Services","Administration for Children and Families",309152665
"Department of Health and Human Services","Administration for Community Living",1493582
"Department of Health and Human Services","Administration on Aging",171241802
"Department of Health and Human Services","Agency for Healthcare Research and Quality",310391127.71
"Department of Health and Human Services","Centers for Disease Control and Prevention",837375492.4
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",129790351.49
"Department of Health and Human Services","Food and Drug Administration",155201485.68
"Department of Health and Human Services","Health Resources and Services Administration",829142789.55
"Department of Health and Human Services","Indian Health Service",12914250.33
"Department of Health and Human Services","National Institutes of Health",41285030185.84
"Department of Health and Human Services","Office of Assistant Secretary for Health",28546503
"Department of Health and Human Services","Office of Assistant Secretary for Preparedness and Response",79829570.14
"Department of Health and Human Services","Office of the Assistant Secretary for Administration",40945655.23
"Department of Health and Human Services","Office of the Inspector General",6086
"Department of Health and Human Services","Office of the National Coordinator for Health Information Technology",-26054
"Department of Health and Human Services","Substance Abuse and Mental Health Services Administration",134753454
"Department of Homeland Security","Department of Homeland Security",32136338
"Department of Homeland Security","Domestic Nuclear Detection Office",7068448.47
"Department of Homeland Security","Federal Emergency Management Agency",153855006.7
"Department of Homeland Security","Federal Law Enforcement Training Center",-9561
"Department of Homeland Security","Immediate Office of the Under Secretary for Management",-1821089.54
"Department of Homeland Security","National Protection and Programs Directorate",3289876.85
"Department of Homeland Security","Office of Health Affairs",1399408.77
"Department of Homeland Security","Office of the Chief Information Officer",285626.77
"Department of Homeland Security","Office of the Chief Procurement Officer",727685.85
"Department of Homeland Security","Office of the Inspector General",49647.09
"Department of Homeland Security","Office of the Under Secretary for Management",2815864.68
"Department of Homeland Security","Office of the Under Secretary for Science and Technology",32313919.79
"Department of Homeland Security","Transportation Security Administration",9016603.09
"Department of Homeland Security","U.S. Citizenship and Immigration Services",151095
"Department of Homeland Security","U.S. Coast Guard",2823718.62
"Department of Homeland Security","U.S. Customs and Border Protection",21334734.01
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",735569.52
"Department of Homeland Security","U.S. Secret Service",2759467.42
"Department of Housing and Urban Development","Assistant Secretary for Community Planning and Development",447368.58
"Department of Housing and Urban Development","Assistant Secretary for Fair Housing and Equal Opportunity",710817.64
"Department of Housing and Urban Development","Assistant Secretary for Housing--Federal Housing Commissioner",1002281.77
"Department of Housing and Urban Development","Assistant Secretary for Policy Development and Research",3397818.47
"Department of Housing and Urban Development","Assistant Secretary for Public and Indian Housing",1294000
"Department of Housing and Urban Development","Department of Housing and Urban Development",71523
"Department of Housing and Urban Development","Office of Lead Hazard Control and Healthy Homes",4430239.65
"Department of Justice","Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division",1407905.04
"Department of Justice","Drug Enforcement Administration",487596.98
"Department of Justice","Federal Bureau of Investigation",926386.08
"Department of Justice","Federal Prison System / Bureau of Prisons",101078459.61
"Department of Justice","Office of Justice Programs",177710577.25
"Department of Justice","Offices, Boards and Divisions",31156434.83
"Department of Justice","U.S. Marshals Service",157683
"Department of Labor","Bureau of Labor Statistics",12334103.49
"Department of Labor","Employee Benefits Security Administration",-3180000
"Department of Labor","Employment and Training Administration",23122480.95
"Department of Labor","Mine Safety and Health Administration",3415965.72
"Department of Labor","Occupational Safety and Health Administration",19051382.83
"Department of Labor","Office of the Assistant Secretary for Administration and Management",-2602.36
"Department of Labor","Office of Workers Compensation Program",-11532
"Department of Labor","President's Committee on Employment of the Handicapped",4835314
"Department of Labor","Veterans Employment and Training Services",77003.68
"Department of State","Department of State",146722129.34
"Department of State","International Boundary and Water Commission: U.S.-Mexico",9560
"Department of the Interior","Bureau of Indian Affairs and Bureau of Indian Education",84302804.61
"Department of the Interior","Bureau of Land Management",15935295.92
"Department of the Interior","Bureau of Ocean Energy Management",6684419.7
"Department of the Interior","Bureau of Reclamation",21835734.96
"Department of the Interior","Bureau of Safety and Environmental Enforcement",99116.75
"Department of the Interior","Department of the Interior",1983334
"Department of the Interior","Departmental Offices",71404589.68
"Department of the Interior","Insular Affairs",2081589.83
"Department of the Interior","National Park Service",52149118.4
"Department of the Interior","Office of Surface Mining, Reclamation and Enforcement",144101.02
"Department of the Interior","U.S. Fish and Wildlife Service",22074359.4
