"agency","subagency","Recipient","family","type","obligation"
"Access Board","Access Board","Massachusetts Institute of Technology","OTHER R&D","contract",-176.83
"Access Board","Access Board","University of Illinois at Chicago","EDUCATION & TRAINING SERVICES","contract",44863.92
"Agency for International Development","Agency for International Development","Arizona State University-Tempe","Humanitarian Assistance","grant",10061825
"Agency for International Development","Agency for International Development","Baylor College of Medicine","Humanitarian Assistance","grant",900000
"Agency for International Development","Agency for International Development","Baylor University","Academic Exchange Programs","grant",900000
"Agency for International Development","Agency for International Development","Boston University","Academic Exchange Programs","grant",500000
"Agency for International Development","Agency for International Development","Boston University","Humanitarian Assistance","grant",616991
"Agency for International Development","Agency for International Development","College of William and Mary","Humanitarian Assistance","grant",3340570
"Agency for International Development","Agency for International Development","Columbia University in the City of New York","Humanitarian Assistance","grant",3807625
"Agency for International Development","Agency for International Development","Cornell University","Humanitarian Assistance","grant",2234010
"Agency for International Development","Agency for International Development","Duke University","Humanitarian Assistance","grant",999458
"Agency for International Development","Agency for International Development","Duke University","PROFESSIONAL SERVICES","contract",2493686.18
"Agency for International Development","Agency for International Development","Eastern Mennonite University","EDUCATION & TRAINING SERVICES","contract",33012
"Agency for International Development","Agency for International Development","Eastern Mennonite University","Humanitarian Assistance","grant",-5475
"Agency for International Development","Agency for International Development","Eastern Virginia Medical School","Humanitarian Assistance","grant",13686000
"Agency for International Development","Agency for International Development","Emory University","Humanitarian Assistance","grant",1000000
"Agency for International Development","Agency for International Development","Florida International University","Humanitarian Assistance","grant",467455
"Agency for International Development","Agency for International Development","Florida International University","PREFAB STRUCTURES & SCAFFOLDING","contract",-15901.63
"Agency for International Development","Agency for International Development","Georgetown University","EDUCATION & TRAINING SERVICES","contract",4660
"Agency for International Development","Agency for International Development","Georgetown University","Humanitarian Assistance","grant",5495810
"Agency for International Development","Agency for International Development","Georgetown University","TECHNICAL REPRESENTATIVE SERVICES","contract",4551.15
"Agency for International Development","Agency for International Development","Harvard University","Humanitarian Assistance","grant",1037429
"Agency for International Development","Agency for International Development","Johns Hopkins University","Academic Exchange Programs","grant",500000
"Agency for International Development","Agency for International Development","Johns Hopkins University","Humanitarian Assistance","grant",95643077
"Agency for International Development","Agency for International Development","Kansas State University","Humanitarian Assistance","grant",15342771
"Agency for International Development","Agency for International Development","Lakeland University","Humanitarian Assistance","grant",-202676
"Agency for International Development","Agency for International Development","Marquette University","Humanitarian Assistance","grant",-1710
"Agency for International Development","Agency for International Development","Massachusetts General Hospital Dietetic Internship","Humanitarian Assistance","grant",400000
"Agency for International Development","Agency for International Development","Massachusetts Institute of Technology","Humanitarian Assistance","grant",2184925
"Agency for International Development","Agency for International Development","Medical College of Wisconsin","Humanitarian Assistance","grant",-6270
"Agency for International Development","Agency for International Development","Michigan State University","Humanitarian Assistance","grant",25012898
"Agency for International Development","Agency for International Development","Northeastern University","Humanitarian Assistance","grant",250000
"Agency for International Development","Agency for International Development","Pennsylvania State University","Humanitarian Assistance","grant",-3
"Agency for International Development","Agency for International Development","Purdue University-Main Campus","Humanitarian Assistance","grant",8025570
"Agency for International Development","Agency for International Development","Rice University","Humanitarian Assistance","grant",1290144
"Agency for International Development","Agency for International Development","Santa Clara University","Humanitarian Assistance","grant",165148
"Agency for International Development","Agency for International Development","SIT Graduate Institute","Humanitarian Assistance","grant",23407555
"Agency for International Development","Agency for International Development","SIT Graduate Institute","PROFESSIONAL SERVICES","contract",1443867.54
"Agency for International Development","Agency for International Development","Stanford University","OFFICE SUPPLIES & DEVICES","contract",12600
"Agency for International Development","Agency for International Development","Stanford University","TRAINING AIDS & DEVICES","contract",12600
"Agency for International Development","Agency for International Development","SUNY at Albany","Humanitarian Assistance","grant",281900
"Agency for International Development","Agency for International Development","SUNY at Albany","PROFESSIONAL SERVICES","contract",10200791
"Agency for International Development","Agency for International Development","Texas A & M University-College Station","Humanitarian Assistance","grant",4181348
"Agency for International Development","Agency for International Development","The University of Texas at El Paso","Humanitarian Assistance","grant",797869
"Agency for International Development","Agency for International Development","Towson University","Humanitarian Assistance","grant",32424
