"institution","state","type","undergrad_students","grad_students","non-research_grants","research_grants","contracts","subsidized_student_loans","unsubsidized_student_loan","parent_plus","grad_plus","pell_teach_service_grants","perkins_loans_AY17","fseog_AY17","federal_work_study_AY17"
"A T Still University of Health Sciences","MO","Private not-for-profit, 4-year or above","NULL","3357",1886781,382343,1467225.94,0,79009229,0,76413645,NA,NA,NA,NA
"Aaniiih Nakoda College","MT","Public, 2-year","291","NULL",4052195.08,2913653,0,NA,NA,NA,NA,432579.36,NA,NA,NA
"Abilene Christian University","TX","Private not-for-profit, 4-year or above","3650","784",580437.2,297481,0,6650597,23215164,5653936,2853318,2111750,NA,NA,NA
"Abraham Baldwin Agricultural College","GA","Public, 4-year or above","3458","NULL",2122924.25,0,0,5101418,5934549,1025031,0,9037422.8,NA,103500,253948
"Academy for Five Element Acupuncture","FL","Private not-for-profit, 4-year or above","NULL","57",0,0,0,0,1031537,0,145913,NA,NA,NA,NA
"Academy for Jewish Religion-California","CA","Private not-for-profit, 4-year or above","NULL","64",0,0,0,0,235150,0,0,NA,NA,NA,NA
"Academy for Nursing and Health Occupations","FL","Private not-for-profit, 2-year","819","NULL",0,0,0,1104155,1365763,95384,0,1456869.65,NA,NA,NA
"Academy of Chinese Culture and Health Sciences","CA","Private not-for-profit, 4-year or above","NULL","136",0,0,0,0,665059,0,381122,NA,NA,NA,NA
"Academy of Interactive Entertainment","LA","Private not-for-profit, less-than 2-year","40","NULL",0,0,0,180841,176514,262664,0,213266.98,NA,NA,NA
"Academy of Interactive Entertainment","WA","Private not-for-profit, less-than 2-year","76","NULL",0,0,0,273915,300603,357579,0,239340.1,NA,NA,NA
"Acupuncture and Integrative Medicine College-Berkeley","CA","Private not-for-profit, 4-year or above","NULL","105",0,0,0,0,1186149,0,206632,NA,NA,NA,NA
"Adams State University","CO","Public, 4-year or above","2156","1294",3272026,6055,0,3262580,14254932,2108123,539177,4393221.98,NA,NA,NA
"Adelphi University","NY","Private not-for-profit, 4-year or above","5071","2404",1518903,81248,0,11595524,40042141,18379391,13660199,7081199,NA,NA,NA
"Adirondack Community College","NY","Public, 2-year","4247","NULL",644067,0,0,3281764,3726984,664055,0,5831830.96,NA,NA,NA
"Adler Graduate School","MN","Private not-for-profit, 4-year or above","NULL","311",0,0,0,0,4036743,0,251339,NA,NA,NA,NA
"Adler University","IL","Private not-for-profit, 4-year or above","NULL","988",283692,0,5655,0,19261900,0,16507002,NA,NA,NA,NA
"Adrian College","MI","Private not-for-profit, 4-year or above","1619","28",313406,0,0,4613772,4641648,6411112,6008,2640548,488930,178792,404318
"Adult and Community Education-Hudson","OH","Public, less-than 2-year","236","NULL",0,0,0,361827,554241,11334,0,616785,NA,NA,NA
"Adult and Continuing Education-BCTS","NJ","Public, less-than 2-year","121","NULL",0,0,0,77778,91827,32509,0,158810,NA,NA,NA
"Adventist University of Health Sciences","FL","Private not-for-profit, 4-year or above","1950","178",61732,0,0,3864042,12030034,940353,7418716,2586837.77,NA,NA,NA
"Agnes Scott College","GA","Private not-for-profit, 4-year or above","873","NULL",0,-12231,0,1043182,885999,1980482,0,1845445,NA,NA,NA
"Aiken Technical College","SC","Public, 2-year","2353","NULL",0,0,0,1026657,1442890,0,0,4657402.14,NA,124357,65993
"Aims Community College","CO","Public, 2-year","5001","NULL",379244.95,0,0,1396782,1196420,190932,0,5922579,NA,123846,129320
"Akron School of Practical Nursing","OH","Public, less-than 2-year","59","NULL",0,0,0,27705,69831,11970,0,89559,NA,NA,NA
