"parent_name","psc_description","agency","subagency","Recipient","obligation"
"ADMINISTRATIVE SUPPORT SERVICES","OTHER ADMINISTRATIVE SUPPORT SVCS","Department of Agriculture","Forest Service","Northern Arizona University",3140
"ADMINISTRATIVE SUPPORT SERVICES","OTHER ADMINISTRATIVE SUPPORT SVCS","Department of Commerce","National Oceanic and Atmospheric Administration","University of Southern Mississippi",4200
"ADMINISTRATIVE SUPPORT SERVICES","OTHER ADMINISTRATIVE SUPPORT SVCS","Department of Defense","Department of the Army","University of Central Florida",2507096.66
"ADMINISTRATIVE SUPPORT SERVICES","OTHER ADMINISTRATIVE SUPPORT SVCS","Department of Defense","Department of the Navy","University of Virginia",28894
"ADMINISTRATIVE SUPPORT SERVICES","OTHER ADMINISTRATIVE SUPPORT SVCS","Department of Energy","Department of Energy","University of Houston",7702.1
"ADMINISTRATIVE SUPPORT SERVICES","OTHER ADMINISTRATIVE SUPPORT SVCS","Department of Health and Human Services","National Institutes of Health","Stanford University",5597.8
"ADMINISTRATIVE SUPPORT SERVICES","OTHER ADMINISTRATIVE SUPPORT SVCS","Department of Health and Human Services","National Institutes of Health","University of Washington",313979
"ADMINISTRATIVE SUPPORT SERVICES","OTHER ADMINISTRATIVE SUPPORT SVCS","Department of Health and Human Services","Office of the Assistant Secretary for Administration","George Washington University",-64635.49
"ADMINISTRATIVE SUPPORT SERVICES","OTHER ADMINISTRATIVE SUPPORT SVCS","Department of Health and Human Services","Office of the Assistant Secretary for Administration","University of Chicago",2019662.38
"ADMINISTRATIVE SUPPORT SERVICES","OTHER ADMINISTRATIVE SUPPORT SVCS","Department of the Interior","U.S. Geological Survey","University of Rhode Island",1200
"ADMINISTRATIVE SUPPORT SERVICES","OTHER ADMINISTRATIVE SUPPORT SVCS","Department of Transportation","National Highway Traffic Safety Administration","Ohio State University",5000
"ADMINISTRATIVE SUPPORT SERVICES","OTHER ADMINISTRATIVE SUPPORT SVCS","Department of Veterans Affairs","Department of Veterans Affairs","University of Minnesota-Twin Cities",136440.04
"ADMINISTRATIVE SUPPORT SERVICES","OTHER ADMINISTRATIVE SUPPORT SVCS","Environmental Protection Agency","Environmental Protection Agency","University of Northern Iowa",20809.56
"ADMINISTRATIVE SUPPORT SERVICES","OTHER ADMINISTRATIVE SUPPORT SVCS","Equal Employment Opportunity Commission","Equal Employment Opportunity Commission","New York Law School",14680
"ADMINISTRATIVE SUPPORT SERVICES","OTHER ADMINISTRATIVE SUPPORT SVCS","Executive Office of the President","Executive Office of the President","Johns Hopkins University",1237087
"ADMINISTRATIVE SUPPORT SERVICES","OTHER ADMINISTRATIVE SUPPORT SVCS","National Aeronautics and Space Administration","National Aeronautics and Space Administration","The University of Texas at Austin",40595
"ADMINISTRATIVE SUPPORT SERVICES","OTHER ADMINISTRATIVE SUPPORT SVCS","National Aeronautics and Space Administration","National Aeronautics and Space Administration","University of Colorado Boulder",52987
"ADMINISTRATIVE SUPPORT SERVICES","OTHER ADMINISTRATIVE SUPPORT SVCS","Smithsonian Institution","Smithsonian Institution","Harvard University",5280
"ADMINISTRATIVE SUPPORT SERVICES","SUPPORT- ADMINISTRATIVE: INFORMATION RETRIEVAL","Department of Health and Human Services","National Institutes of Health","University of Pittsburgh-Pittsburgh Campus",-2365.84
"ADMINISTRATIVE SUPPORT SERVICES","SUPPORT- ADMINISTRATIVE: LIBRARY","Department of Defense","Department of the Army","University of Georgia",-3268.19
"ADMINISTRATIVE SUPPORT SERVICES","SUPPORT- ADMINISTRATIVE: LIBRARY","Department of Defense","Department of the Navy","University of Connecticut",-4800
"ADMINISTRATIVE SUPPORT SERVICES","SUPPORT- ADMINISTRATIVE: LIBRARY","Department of Health and Human Services","National Institutes of Health","University of Maryland, Baltimore",-43644.8
