"family","program_title","agency","subagency","Recipient","obligation"
"Academic Exchange Programs","Academic Exchange Programs - English Language Programs","Department of State","Department of State","Georgetown University",15752515
"Academic Exchange Programs","Academic Exchange Programs - Scholars","Department of State","Department of State","Bard College",280000
"Academic Exchange Programs","Academic Exchange Programs - Scholars","Department of State","Department of State","New York University",279947
"Academic Exchange Programs","Academic Exchange Programs - Scholars","Department of State","Department of State","Ohio University",279781
"Academic Exchange Programs","Academic Exchange Programs - Scholars","Department of State","Department of State","Seattle University",289618
"Academic Exchange Programs","Academic Exchange Programs - Scholars","Department of State","Department of State","SIT Graduate Institute",4737000
"Academic Exchange Programs","Academic Exchange Programs - Scholars","Department of State","Department of State","The University of Montana",1049996
"Academic Exchange Programs","Academic Exchange Programs - Scholars","Department of State","Department of State","University of California-Santa Barbara",-6324
"Academic Exchange Programs","Academic Exchange Programs - Scholars","Department of State","Department of State","University of Delaware",280000
"Academic Exchange Programs","Academic Exchange Programs - Scholars","Department of State","Department of State","University of Massachusetts-Amherst",289956
"Academic Exchange Programs","Academic Exchange Programs - Teachers","Department of State","Department of State","Florida State University",870000
"Academic Exchange Programs","Academic Exchange Programs - Undergraduate Programs","Department of State","Department of State","Bard College",240000
"Academic Exchange Programs","Academic Exchange Programs - Undergraduate Programs","Department of State","Department of State","California State University-Chico",236235
"Academic Exchange Programs","Academic Exchange Programs - Undergraduate Programs","Department of State","Department of State","Edmonds Community College",-477383
"Academic Exchange Programs","Academic Exchange Programs - Undergraduate Programs","Department of State","Department of State","Kansas State University",-40762
"Academic Exchange Programs","Academic Exchange Programs - Undergraduate Programs","Department of State","Department of State","Northern Virginia Community College",5375000
"Academic Exchange Programs","Academic Exchange Programs - Undergraduate Programs","Department of State","Department of State","Saint Mary's College",-6174
"Academic Exchange Programs","Academic Exchange Programs - Undergraduate Programs","Department of State","Department of State","SIT Graduate Institute",7393684
"Academic Exchange Programs","Academic Exchange Programs - Undergraduate Programs","Department of State","Department of State","The University of Montana",1539997
"Academic Exchange Programs","Academic Exchange Programs - Undergraduate Programs","Department of State","Department of State","University of Connecticut",1539885
"Academic Exchange Programs","Academic Exchange Programs - Undergraduate Programs","Department of State","Department of State","University of Kansas",1299996
"Academic Exchange Programs","Academic Exchange Programs - Undergraduate Programs","Department of State","Department of State","University of Massachusetts-Amherst",544710
"Academic Exchange Programs","Academic Exchange Programs - Undergraduate Programs","Department of State","Department of State","University of Nebraska at Omaha",1299993
"Academic Exchange Programs","Educational and Cultural Exchange Programs Appropriation Overseas Grants","Department of State","Department of State","Georgetown University",3659
"Academic Exchange Programs","Foreign Assistance to American Schools and Hospitals Abroad (ASHA)","Agency for International Development","Agency for International Development","Baylor University",900000
"Academic Exchange Programs","Foreign Assistance to American Schools and Hospitals Abroad (ASHA)","Agency for International Development","Agency for International Development","Boston University",500000
"Academic Exchange Programs","Foreign Assistance to American Schools and Hospitals Abroad (ASHA)","Agency for International Development","Agency for International Development","Johns Hopkins University",500000
"Academic Exchange Programs","Foreign Assistance to American Schools and Hospitals Abroad (ASHA)","Agency for International Development","Agency for International Development","University of Utah",750000
"Academic Exchange Programs","Foreign Assistance to American Schools and Hospitals Abroad (ASHA)","Agency for International Development","Agency for International Development","Washington University in St Louis",1100000
"Academic Exchange Programs","Foreign Assistance to American Schools and Hospitals Abroad (ASHA)","Agency for International Development","Agency for International Development","Worcester Polytechnic Institute",650100
"Academic Exchange Programs","IIP Individual Grants","Department of State","Department of State","SIT Graduate Institute",4201166
"Academic Exchange Programs","Language Grant Program","Department of Defense","Department of the Air Force","University of Massachusetts-Amherst",585914
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","Boston University",76277
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","Brown University",39700
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","Columbia University in the City of New York",60152
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","Cornell University",241157
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","CUNY Graduate School and University Center",138906
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","Duke University",43996
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","Emory University",114888
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","George Washington University",-2142.94
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","Georgetown University",102984.63
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","Harvard University",132101
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","Indiana University-Bloomington",72740
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","Michigan State University",179139
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","New York University",106714
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","Northwestern University",20645
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","Ohio State University",222535
