"cfda_number","family","program_title","agency","subagency","Recipient","obligation"
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","Auburn University",309334
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","Colorado State University-Fort Collins",1602894.94
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","Iowa State University",927922.28
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","Kansas State University",2329595
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","Michigan State University",2652110.32
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","Mississippi State University",1238707
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","North Dakota State University-Main Campus",364400
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","Oklahoma State University",186545.12
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","Pennsylvania State University",1443927.91
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","Rutgers University-New Brunswick",3819956
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","University of California-Davis",3151975.27
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","University of California-Riverside",9900
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","University of Florida",2150913
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","University of Georgia",-57.14
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","University of Hawaii at Manoa",929280
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","University of Idaho",196400
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","University of Illinois at Urbana-Champaign",-10034.06
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","University of Maine",432119.38
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","University of Maryland-College Park",929279.99
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","University of Washington",929280
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","University of Wisconsin-Madison",1272357
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","Virginia Polytechnic Institute and State University",904056
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","Washington State University",884570
"10.202","Environment","Cooperative Forestry Research","Department of Agriculture","National Institute of Food and Agriculture","Alcorn State University",-116798.04
"10.202","Environment","Cooperative Forestry Research","Department of Agriculture","National Institute of Food and Agriculture","Florida Agricultural and Mechanical University",-23460.16
"10.202","Environment","Cooperative Forestry Research","Department of Agriculture","National Institute of Food and Agriculture","Fort Valley State University",-20894.66
