"Recipient","INST_TYPE_1","INST_TYPE_2","total_awards","grants","contracts","student_aid","Total_Federal_Investment"
"A T Still University of Health Sciences","Private not-for-profit"," 4-year or above",3736349.94,2269124,1467225.94,155422874,159159223.9
"Aaniiih Nakoda College","Public"," 2-year",6965848.08,6965848.08,0,432579.36,7398427.48
"Abilene Christian University","Private not-for-profit"," 4-year or above",877918.2,877918.2,0,40484765,41362683.2
"Abraham Baldwin Agricultural College","Public"," 4-year or above",2122924.25,2122924.25,0,21098420.8,23221345.05
"Academy for Five Element Acupuncture","Private not-for-profit"," 4-year or above",0,0,0,1177450,1177450
"Academy for Jewish Religion-California","Private not-for-profit"," 4-year or above",0,0,0,235150,235150
"Academy for Nursing and Health Occupations","Private not-for-profit"," 2-year",0,0,0,4022171.65,4022171.6
"Academy of Chinese Culture and Health Sciences","Private not-for-profit"," 4-year or above",0,0,0,1046181,1046181
"Academy of Interactive Entertainment","Private not-for-profit"," less-than 2-year",0,0,0,833285.98,833286
"Academy of Interactive Entertainment","Private not-for-profit"," less-than 2-year",0,0,0,1171437.1,1171437.1
"Acupuncture and Integrative Medicine College-Berkeley","Private not-for-profit"," 4-year or above",0,0,0,1392781,1392781
"Adams State University","Public"," 4-year or above",3278081,3278081,0,24558033.98,27836115
"Adelphi University","Private not-for-profit"," 4-year or above",1600151,1600151,0,90758454,92358605
"Adirondack Community College","Public"," 2-year",644067,644067,0,13504633.96,14148701
"Adler Graduate School","Private not-for-profit"," 4-year or above",0,0,0,4288082,4288082
"Adler University","Private not-for-profit"," 4-year or above",289347,283692,5655,35768902,36058249
"Adrian College","Private not-for-profit"," 4-year or above",313406,313406,0,18313088,18626494
"Adult and Community Education-Hudson","Public"," less-than 2-year",0,0,0,1544187,1544187
"Adult and Continuing Education-BCTS","Public"," less-than 2-year",0,0,0,360924,360924
"Adventist University of Health Sciences","Private not-for-profit"," 4-year or above",61732,61732,0,26839982.77,26901714.8
"Agnes Scott College","Private not-for-profit"," 4-year or above",-12231,-12231,0,5755108,5742877
"Aiken Technical College","Public"," 2-year",0,0,0,7126949.14,7126949.1
"Aims Community College","Public"," 2-year",379244.95,379244.95,0,8706713,9085957.95
"Akron School of Practical Nursing","Public"," less-than 2-year",0,0,0,199065,199065
"Alabama A & M University","Public"," 4-year or above",16546917.72,16570973.99,-24056.27,75730834.24,92277751.92
