"source","target","value"
"Access Board","University of Illinois at Chicago",44863.92
"Administration for Children and Families","Teachers College of San Joaquin",20446452
"Administration for Children and Families","Education and Technology Institute",15478645
"Administration for Children and Families","Southern Illinois University-Edwardsville",12046610
"Administration for Children and Families","Fort Valley State University",9242062
"Administration for Children and Families","Mt Hood Community College",9047587
"Administration for Community Living","University of Massachusetts-Boston",1493582
"Administration on Aging","University of Illinois at Chicago",4750655
"Administration on Aging","University of Washington",4427332
"Administration on Aging","University of Pittsburgh-Pittsburgh Campus",4210179
"Administration on Aging","University of Alabama at Birmingham",3950329
"Administration on Aging","Georgia Institute of Technology-Main Campus",3949476
"Agency for Healthcare Research and Quality","Oregon Health & Science University",13023259
"Agency for Healthcare Research and Quality","University of Michigan-Ann Arbor",8414653
"Agency for Healthcare Research and Quality","Northwestern University",7165885
"Agency for Healthcare Research and Quality","Pardee RAND Graduate School",6644377.01
"Agency for Healthcare Research and Quality","University of California-San Francisco",6453197
"Agency for International Development","Johns Hopkins University",96143077
"Agency for International Development","University of North Carolina at Chapel Hill",60036608
"Agency for International Development","University of California-Davis",29819065
"Agency for International Development","Michigan State University",25012898
"Agency for International Development","SIT Graduate Institute",24851422.54
"Agricultural Marketing Service","Cornell University",98479
"Agricultural Marketing Service","University of Delaware",87261
"Agricultural Marketing Service","Georgetown University",23900
"Agricultural Research Service","Baylor College of Medicine",12960500
"Agricultural Research Service","Tufts University",11708036
"Agricultural Research Service","Mississippi State University",10101135
"Agricultural Research Service","Cornell University",8093977.51
"Agricultural Research Service","Washington State University",6400830.02
"Animal and Plant Health Inspection Service","North Carolina State University at Raleigh",4570953
"Animal and Plant Health Inspection Service","Iowa State University",3713722.25
"Animal and Plant Health Inspection Service","University of Georgia",2801696.92
"Animal and Plant Health Inspection Service","University of California-Davis",1437036.94
"Animal and Plant Health Inspection Service","Colorado State University-Fort Collins",1188728.11
"Assistant Secretary for Community Planning and Development","University of Nebraska-Lincoln",347500.26
"Assistant Secretary for Community Planning and Development","University of Southern Mississippi",299864
"Assistant Secretary for Community Planning and Development","Southeastern Louisiana University",145496.62
"Assistant Secretary for Community Planning and Development","The University of Tennessee-Knoxville",132282
"Assistant Secretary for Fair Housing and Equal Opportunity","The John Marshall Law School",425000
"Assistant Secretary for Fair Housing and Equal Opportunity","Suffolk University",299935.47
"Assistant Secretary for Housing--Federal Housing Commissioner","Brighton Center's Center for Employment Training",507245
"Assistant Secretary for Housing--Federal Housing Commissioner","Ohio Valley University",495534
"Assistant Secretary for Policy Development and Research","Johns Hopkins University",1694734.99
"Assistant Secretary for Policy Development and Research","University of North Carolina at Chapel Hill",571494
"Assistant Secretary for Policy Development and Research","Temple University",308660
"Assistant Secretary for Policy Development and Research","University of Idaho",243763
"Assistant Secretary for Policy Development and Research","West Virginia University",112500
"Assistant Secretary for Public and Indian Housing","Marquette University",1300000
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","Johns Hopkins University",545169.28
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","Missouri University of Science and Technology",471313.8
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","Oklahoma State University",281738.26
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","Central Michigan University",36504
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","University of Notre Dame",27687
"Bureau of Engraving and Printing","Tarrant County College District",28995
"Bureau of Indian Affairs and Bureau of Indian Education","Dine College",13962434
"Bureau of Indian Affairs and Bureau of Indian Education","Oglala Lakota College",8419634
"Bureau of Indian Affairs and Bureau of Indian Education","Northwest Indian College",5572714
"Bureau of Indian Affairs and Bureau of Indian Education","Turtle Mountain Community College",5569530
"Bureau of Indian Affairs and Bureau of Indian Education","Salish Kootenai College",5131354
"Bureau of Labor Statistics","Ohio State University",11942226.82
"Bureau of Labor Statistics","University of Chicago",270354
"Bureau of Labor Statistics","University of Wisconsin-Madison",121522.67
"Bureau of Land Management","Oregon State University",2287068.29
"Bureau of Land Management","Utah State University",2195670.6
"Bureau of Land Management","University of Alaska Anchorage",2064629.84
"Bureau of Land Management","Saint Mary's University of Minnesota",1751417.35
"Bureau of Land Management","University of Nevada-Reno",1344871.71
"Bureau of Ocean Energy Management","University of New Hampshire-Main Campus",1089911
"Bureau of Ocean Energy Management","University of North Carolina Wilmington",1043497
"Bureau of Ocean Energy Management","University of Alaska Fairbanks",1028077.22
"Bureau of Ocean Energy Management","University of California-Santa Cruz",884000
"Bureau of Ocean Energy Management","University of Rhode Island",827802
"Bureau of Reclamation","California State University-Chico",3410000
"Bureau of Reclamation","University of California-Santa Cruz",3380362.43
"Bureau of Reclamation","University of California-Davis",3327242.94
"Bureau of Reclamation","Colorado State University-Fort Collins",1634965
"Bureau of Reclamation","University of Colorado Boulder",1212908.73
"Bureau of Safety and Environmental Enforcement","University of Alaska Anchorage",100000
"Bureau of the Fiscal Service","California Institute of Technology",399261
"Bureau of the Fiscal Service","Auburn University",9660
"Bureau of the Fiscal Service","Massachusetts Institute of Technology",3900
"Centers for Disease Control and Prevention","Columbia University in the City of New York",168144310.87
"Centers for Disease Control and Prevention","University of Maryland, Baltimore",89744043
"Centers for Disease Control and Prevention","University of Chicago",45617634.02
"Centers for Disease Control and Prevention","Icahn School of Medicine at Mount Sinai",42876481.46
"Centers for Disease Control and Prevention","University of Washington",41279066.59
"Centers for Medicare and Medicaid Services","University of Chicago",39098880.67
"Centers for Medicare and Medicaid Services","Pardee RAND Graduate School",30680174.82
"Centers for Medicare and Medicaid Services","Indiana University-Bloomington",16005504
"Centers for Medicare and Medicaid Services","University of Washington",6290981
"Centers for Medicare and Medicaid Services","University of Massachusetts Medical School Worcester",5722347
"Consumer Financial Protection Bureau","Pardee RAND Graduate School",270415
"Consumer Financial Protection Bureau","Gettysburg College",44882.2
"Consumer Product Safety Commission","University of Michigan-Ann Arbor",1034616
"Consumer Product Safety Commission","University of Cincinnati",767885.6
"Consumer Product Safety Commission","University of Arkansas for Medical Sciences",248432
"Consumer Product Safety Commission","University of Arizona",135225
"Consumer Product Safety Commission","Mercy Hospital School of Nursing",82099.48
"Corporation for National and Community Service","Arizona State University-Tempe",6373942
"Corporation for National and Community Service","University of Maryland-College Park",5347108
"Corporation for National and Community Service","University of Hawaii at Manoa",3116587
"Corporation for National and Community Service","Western Washington University",2440578
"Corporation for National and Community Service","Allegheny College",1448667
"Defense Advanced Research Projects Agency","Johns Hopkins University",31402822.87
"Defense Advanced Research Projects Agency","Massachusetts Institute of Technology",30492339.23
"Defense Advanced Research Projects Agency","University of Southern California",27188451
"Defense Advanced Research Projects Agency","Georgia Institute of Technology-Main Campus",16208563.81
"Defense Advanced Research Projects Agency","Vanderbilt University",11858423
"Defense Contract Audit Agency","Harvard University",251440
"Defense Contract Audit Agency","University of Pennsylvania",162500
"Defense Contract Audit Agency","Northwestern University",156500
"Defense Contract Audit Agency","Pennsylvania State University",150500
"Defense Contract Audit Agency","University of Virginia",140744.39
"Defense Health Agency","University of Pittsburgh-Pittsburgh Campus",8811342.88
"Defense Health Agency","University of Central Florida",7657866
"Defense Health Agency","Charles R Drew University of Medicine and Science",1532691
"Defense Health Agency","University of New Mexico-Main Campus",782611
"Defense Health Agency","University of Pennsylvania",733396
"Defense Information Systems Agency","Texas A & M University-College Station",14752.52
"Defense Intelligence Agency","Rutgers University-New Brunswick",2000000
"Defense Intelligence Agency","The University of Texas at San Antonio",2000000
"Defense Intelligence Agency","University of Alabama in Huntsville",2000000
"Defense Intelligence Agency","University of New Mexico-Main Campus",2000000
"Defense Intelligence Agency","Florida International University",1996720
"Defense Logistics Agency","University of Dayton",1500000
"Defense Logistics Agency","Wichita State University",873065
"Defense Logistics Agency","University of Northern Iowa",808000
"Defense Logistics Agency","The University of Tennessee-Knoxville",764880
"Defense Logistics Agency","Georgia Institute of Technology-Main Campus",750000
"Defense Media Activity","University of Southern California",3978783
"Defense Media Activity","Syracuse University",985421
"Defense Microelectronics Activity","University of Michigan-Ann Arbor",545328
"Defense Security Service","Georgia Institute of Technology-Main Campus",459354
"Defense Threat Reduction Agency","University of Alaska Fairbanks",4370868
"Defense Threat Reduction Agency","University of Washington",4103979.98
"Defense Threat Reduction Agency","University of Pittsburgh-Pittsburgh Campus",4070253
"Defense Threat Reduction Agency","Northwestern University",3979241
"Defense Threat Reduction Agency","University of California-Irvine",3942534.84
"Department of Agriculture","Iowa State University",3195.54
"Department of Defense","Georgia Institute of Technology-Main Campus",132543962
"Department of Defense","Johns Hopkins University",75650584.32
"Department of Defense","Pardee RAND Graduate School",61795381.29
"Department of Defense","Massachusetts Institute of Technology",39809126.65
"Department of Defense","Stevens Institute of Technology",8451508.59
"Department of Defense Education Activity","The University of Texas at Austin",2918674.31
"Department of Defense Education Activity","University of Wisconsin-Madison",306000
"Department of Defense Education Activity","Orange Ulster BOCES-Practical Nursing Program",32997
"Department of Defense Education Activity","Temple University",24960
"Department of Defense Education Activity","Washington State University",1425.61
"Department of Education","University of Massachusetts-Boston",45870012.62
"Department of Education","Berea College",43035709
"Department of Education","Baton Rouge Community College",34427861.88
"Department of Education","Madison Area Technical College",29672843.16
"Department of Education","The University of Texas at Austin",25333591.19
"Department of Energy","University of California-Berkeley",1021148682.46
"Department of Energy","Stanford University",581413792.52
"Department of Energy","University of California-System Administration Central Office",144998505
"Department of Energy","Princeton University",138217488.87
"Department of Energy","Michigan State University",122401867.37
"Department of Homeland Security","Texas A & M University-College Station",3850604
"Department of Homeland Security","University of Illinois at Urbana-Champaign",3500000
"Department of Homeland Security","Stevens Institute of Technology",2723000
"Department of Homeland Security","University of Mississippi Medical Center",1999998
