"family","Program_Title","Agency","Subagency","Recipient","Obligation"
"SPACE R&D","R&D-SPACE SCIENCE & APPL-A RES/EXPL","National Aeronautics and Space Administration","National Aeronautics and Space Administration","California Institute of Technology",2406260550.01
"OPERATE GOVERNMENT OWNED BUILDINGS","OPER OF GOVT R&D GOCO FACILITIES","Department of Energy","Department of Energy","University of California-Berkeley",992153754.07
"DEFENSE SYSTEMS R&D","R&D-ELECTRONICS & COMM EQ-B RES","Department of Defense","Department of the Air Force","Massachusetts Institute of Technology",939917759.71
"OPERATE GOVERNMENT OWNED BUILDINGS","OPER OF GOVT R&D GOCO FACILITIES","Department of Energy","Department of Energy","Stanford University",565301271.07
"DEFENSE (OTHER) R&D","SERVICES (ENGINEERING)","Department of Defense","Department of the Navy","Johns Hopkins University",365521343.23
"SPACE R&D","R&D-SPACE SCIENCE & APPL-A RES/EXPL","Department of Defense","Department of the Air Force","California Institute of Technology",289237430.52
"SPACE R&D","R&D-SPACE SCIENCE & APPL-B RES","National Aeronautics and Space Administration","National Aeronautics and Space Administration","Johns Hopkins University",271811633.1
"OTHER R&D","R&D-OTHER R & D-ENG DEV","Department of Defense","Department of the Navy","Johns Hopkins University",223747628.53
"DEFENSE (OTHER) R&D","SERVICES (ENGINEERING)","Department of Defense","Department of the Navy","Pennsylvania State University",182029326.59
"OPERATE GOVERNMENT OWNED BUILDINGS","OPER OF GOVT R&D GOCO FACILITIES","Department of Energy","Department of Energy","University of California-System Administration Central Office",144998505
"DEFENSE SYSTEMS R&D","R&D-ELECTRONICS & COMM EQ-B RES","Department of Defense","Department of the Air Force","Carnegie Mellon University",127754512.15
"OPERATE GOVERNMENT OWNED BUILDINGS","OPER OF GOVT R&D GOCO FACILITIES","Department of Energy","Department of Energy","Princeton University",121868000
"OTHER R&D","R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of Defense","Department of Defense","Georgia Institute of Technology-Main Campus",108780117.35
"DEFENSE SYSTEMS R&D","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of Defense","Missile Defense Agency","Johns Hopkins University",86644073.68
"DEFENSE (OTHER) R&D","SERVICES (ENGINEERING)","Department of Defense","Department of the Navy","The University of Texas at Austin",80925906.37
"GEN. SCIENCE & TECHNOLOGY R&D","ENGINEERING (BASIC)","Department of Defense","Department of Defense","Johns Hopkins University",69651735.59
"SPECIAL STUDIES - NOT R&D","SPECIAL STUDIES/ANALYSIS- DEFENSE","Department of Defense","Department of Defense","Pardee RAND Graduate School",61795381.29
"OPERATE GOVERNMENT OWNED BUILDINGS","OPER OF GOVT R&D GOCO FACILITIES","Department of Energy","Department of Energy","Iowa State University",61296316.91
"SPECIAL STUDIES - NOT R&D","SPECIAL STUDIES/ANALYSIS- ORGANIZATION/ADMINISTRATIVE/PERSONNEL","Department of Homeland Security","Federal Emergency Management Agency","Pardee RAND Graduate School",56778614.69
"SPACE R&D","R&D-OTHER SPACE-B RES","National Aeronautics and Space Administration","National Aeronautics and Space Administration","Harvard University",55608560
"PROFESSIONAL SERVICES","ENGINEERING AND TECHNICAL SERVICES","Department of Defense","Department of the Air Force","University of Dayton",53400572.56
"SPECIAL STUDIES - NOT R&D","OTHER SPECIAL STUDIES AND ANALYSES","Department of Defense","Department of the Air Force","Pardee RAND Graduate School",47876015
"GEN. SCIENCE & TECHNOLOGY R&D","ENGINEERING (BASIC)","Department of Defense","Department of the Army","Georgia Institute of Technology-Main Campus",46280420.29
"ELECTRICAL COMPONENTS & EQUIPMENT","ANTENNAS, WAVEGUIDES, AND RELATED EQUIPMENT","Department of Defense","Department of the Air Force","Georgia Institute of Technology-Main Campus",42640382
"GENERAL HEALTH CARE SERVICES","GENERAL HEALTH CARE SERVICES","Department of Justice","Federal Prison System / Bureau of Prisons","University of Massachusetts Medical School Worcester",40011291.73
"DEFENSE SYSTEMS R&D","R&D-ELECTRONICS & COMM EQ-B RES","Department of Defense","Department of Defense","Massachusetts Institute of Technology",39809126.65
"PROFESSIONAL SERVICES","OTHER PROFESSIONAL SERVICES","Department of Health and Human Services","Centers for Disease Control and Prevention","University of Chicago",38396679.1
"SPECIAL STUDIES - NOT R&D","SPECIAL STUDIES/ANALYSIS- DEFENSE","Department of Defense","Department of the Army","Pardee RAND Graduate School",37926772.58
"PROFESSIONAL SERVICES","OTHER PROFESSIONAL SERVICES","Department of Health and Human Services","Centers for Medicare and Medicaid Services","Pardee RAND Graduate School",30680174.82
"MEDICAL R&D","R&D- MEDICAL: BIOMEDICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of Health and Human Services","National Institutes of Health","Johns Hopkins University",28840938.86
"DEFENSE (OTHER) R&D","R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","Department of Defense","Department of the Air Force","George Mason University",28663000
"DEFENSE SYSTEMS R&D","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ADVANCED DEVELOPMENT)","Department of Defense","Missile Defense Agency","Johns Hopkins University",28652750.3
"GENERAL HEALTH CARE SERVICES","GENERAL HEALTH CARE SERVICES","Department of Health and Human Services","Centers for Disease Control and Prevention","Icahn School of Medicine at Mount Sinai",27502000.46
"DEFENSE SYSTEMS R&D","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Department of Defense","Department of the Air Force","Utah State University",26333025
"DEFENSE SYSTEMS R&D","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ADVANCED DEVELOPMENT)","Department of Defense","Missile Defense Agency","Utah State University",26074481.36
