"Recipient","agency","subagency","product_or_service_code","product_or_service_description","obligation","parent","parent_name","icon"
"A T Still University of Health Sciences","Department of Defense","Department of the Navy","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",1083243.06,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Adler University","Department of Defense","Department of the Navy","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",41470,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Alabama A & M University","Department of Defense","Missile Defense Agency","AC21","R&D-MISSILE & SPACE SYS-B RES",349987.97,"AC","DEFENSE SYSTEMS R&D","136-submarine.svg"
"Alabama A & M University","Department of Homeland Security","U.S. Coast Guard","U009","EDUCATION/TRAINING- GENERAL",4623,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Alabama College of Osteopathic Medicine","Department of Defense","Department of the Navy","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",375760,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Alamo Community College District Central Office","Department of Defense","Department of the Air Force","X1PZ","LEASE/RENTAL OF OTHER NON-BUILDING FACILITIES",6479,"X1","LEASE & RENTAL OF BUILDINGS","013-buildings-group.svg"
"Albany Medical College","Department of Defense","Department of the Navy","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",211141,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Albany Medical College","Department of Veterans Affairs","Department of Veterans Affairs","Q514","MEDICAL- OTOLARYNGOLOGY",193074.08,"Q5","MEDICAL, DENTAL, & SURGICAL SERVICES","001-transfusion.svg"
"Albany Medical College","Department of Veterans Affairs","Department of Veterans Affairs","Q522","MEDICAL- RADIOLOGY",34739.74,"Q5","MEDICAL, DENTAL, & SURGICAL SERVICES","001-transfusion.svg"
"Albany Medical College","Department of Veterans Affairs","Department of Veterans Affairs","Q524","MEDICAL- THORACIC",309144.3,"Q5","MEDICAL, DENTAL, & SURGICAL SERVICES","001-transfusion.svg"
"Alcorn State University","Department of Defense","Department of the Army","AZ12","R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",23680.24,"AZ","OTHER R&D","176-microscope.svg"
"Alcorn State University","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only","AZ12","R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",35909.76,"AZ","OTHER R&D","176-microscope.svg"
"Alfred University","Department of the Interior","U.S. Geological Survey","F103","ENVIRONMENTAL SYSTEMS PROTECTION- WATER QUALITY SUPPORT",1500,"F1","ENVIRONMENTAL SYSTEMS PROTECTION","035-world-in-your-hands.svg"
"Allan Hancock College","Department of Justice","Federal Prison System / Bureau of Prisons","U009","EDUCATION/TRAINING- GENERAL",55122,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Alverno College","Department of the Interior","Bureau of Indian Affairs and Bureau of Indian Education","U099","OTHER ED & TRNG SVCS",8626.45,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"American University","Agency for International Development","Agency for International Development","U009","EDUCATION/TRAINING- GENERAL",9950,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"American University","Department of Agriculture","Animal and Plant Health Inspection Service","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",10304,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"American University","Department of Agriculture","Office of the Chief Financial Officer","U008","TRAINING/CURRICULUM DEVELOPMENT",4926,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"American University","Department of Defense","Department of the Army","3590","MISC SERVICE & TRADE EQ",131950,"35","SERVICE & TRADE EQUIPMENT","098-paint-roller.svg"
"American University","Department of Defense","Department of the Navy","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",16543,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"American University","Department of Defense","Department of the Navy","U099","OTHER ED & TRNG SVCS",138311.04,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"American University","Department of Health and Human Services","National Institutes of Health","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",172434.37,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"American University","Department of Homeland Security","Office of the Inspector General","U008","TRAINING/CURRICULUM DEVELOPMENT",15500,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"American University","Department of Homeland Security","Transportation Security Administration","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",821258,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"American University","Department of Homeland Security","U.S. Secret Service","W058","LEASE OR RENTAL OF EQUIPMENT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT",9105.96,"W0","LEASE & RENTAL EQUIPMENT","198-real-estate.svg"
