"agency","contracts13","grants13","contracts14","grants14","contracts15","grants15","contracts16","grants16"
"Access Board",8571.44,NA,38571.48,NA,142857.2,NA,56823.92,NA
"Agency for International Development",71711784.8,291689903,46105395.95,406869149,17069913.01,507096905,33935371.27,306263759
"Broadcasting Board of Governors",13606.25,NA,5675,NA,5000,NA,1050,NA
"Commodity Futures Trading Commission",17880,NA,NA,NA,NA,NA,NA,NA
"Consumer Financial Protection Bureau",986666,NA,627860.25,NA,143290,NA,70234.3,NA
"Consumer Product Safety Commission",338201.05,NA,298815,NA,309926,NA,1566994.69,NA
"Corporation for National and Community Service",906559.77,13539257,970101.61,23359083,133073.12,27676349,627116.02,26778020
"Court Services and Offender Supervision Agency",16104.9,NA,8999.75,NA,NA,NA,NA,NA
"Department of Agriculture",7811847.42,1230655831.45,14584349.84,1455771388.44,22793714.05,1451425875.34,19332647.32,1472000426.03
"Department of Commerce",33969878.87,448013192,31370197.39,532048106,31789256.56,595947693,43466525.55,559079267.02
"Department of Defense",3066144282.64,1740111590,3372817768.77,2005125521,3182220004.4,2071919601,3565467358.97,2261336055
"Department of Education",15023484.18,2783472692,7284344.8,3007790071,6117650.44,2925778142,5932085,2975100246
"Department of Energy",1154630897.05,1201777437,1570188997.54,1407661547,1379617354.38,1429113615,2120405769.87,1407025091.33
"Department of Health and Human Services",1076756597.99,18822978645,729608737.03,19778858339,734397093.86,20184850254,800967775.63,21588032629
"Department of Homeland Security",68012326.54,136015056.32,68584751.89,145387077.77,67072460.44,165788425.32,57637670.78,151687838.28
"Department of Housing and Urban Development",42398,17810913,42398,4696631,61640.57,547474,NA,6933591
"Department of Justice",119844750.84,86711399,116601676.04,96530236,149459446.18,162336870.54,127573013.24,130242450.56
"Department of Labor",17493614.33,465045171.51,23893072.79,558070802.42,21466261.01,114649677.33,17545407.74,186418355.87
"Department of State",1480415.88,108571631,3316426.18,100473641,2425463.32,108988980,5452081.58,119430301
"Department of the Interior",16279468.93,195339250,23992585.49,299518760,19846928.62,285984798.01,20287631.35,302191791.11
"Department of the Treasury",795438.1,3255371,2222400.88,3523537,639446.46,3606097,915551.41,4602806
"Department of Transportation",42086077.94,172574400.54,47233067.27,155347100.11,42974777.22,151660658.76,44444084.23,105801933.01
"Department of Veterans Affairs",252473538.35,26218,232143429.09,623447,215680413.2,30788,215439842.82,975558.06
"Environmental Protection Agency",6137484.02,74851550,4556141.62,100009526,5981490.58,73120137,12242334.68,101183374
"Equal Employment Opportunity Commission",80750.6,NA,48095.32,NA,19114.49,NA,17460,NA
"Federal Trade Commission",14700,NA,NA,NA,NA,NA,31170.39,NA
"General Services Administration",1170541.58,NA,1698341.32,NA,2229215.8,NA,2993607.28,NA
"Government Accountability Office",133282.75,NA,NA,NA,110600,NA,2575,NA
"International Trade Commission",179800,NA,174820,NA,113437,NA,91469.48,NA
"Millennium Challenge Corporation",3888815.67,NA,854647.98,NA,1690604.79,NA,116955.46,NA
"National Aeronautics and Space Administration",2025365597.56,609117154.99,2141252311.26,644207340.64,2332311724.27,677088165.2,2579068868.24,721345825.28
"National Archives and Records Administration",7127944.87,2434360,6619928.92,1595430,6679360.89,2022325.69,7868144,3086310.43
"National Science Foundation",10167083,5099274290,13222208.38,5233443467,11882314.64,5575078975,13505036.41,5561911289
"National Transportation Safety Board",142280,NA,264520,NA,178271.72,NA,64201.3,NA
"Nuclear Regulatory Commission",2186075.67,8633363,2642436.39,23064990,2647444.74,19705896,3036332.1,16615542
"Office of Personnel Management",37748.52,NA,19619,NA,716048.32,NA,66816.45,NA
"Peace Corps",461199.76,NA,404759.87,NA,970571.3,NA,1122852.09,NA
"Pension Benefit Guaranty Corporation",22488,NA,23388,NA,24330,NA,25302,NA
"Securities and Exchange Commission",245809,NA,368365,NA,452062.75,NA,1241457.75,NA
"Small Business Administration",751000,104739812,1933164,103859173,1804072.62,107765893,1905171,103520788
"Smithsonian Institution",1759919.6,NA,1815204.9,NA,1332499.64,NA,1997910.64,NA
"Social Security Administration",3062048.65,5110502,3489346.55,5699351,5339789.29,5809475,4912947.85,4924561
"Advisory Council on Historic Preservation",NA,NA,45763,NA,17705,NA,NA,NA
"Executive Office of the President",NA,NA,10046,15841061,19964.04,17490208.97,16780,22793589.92
"Federal Communications Commission",NA,NA,74820,NA,NA,NA,225616.99,NA
"John F. Kennedy Center for the Performing Arts",NA,NA,3000,NA,NA,NA,NA,NA
"National Endowment for the Arts",NA,4503000,552440,4735000,243356,4881000,243356,4513000
"National Mediation Board",NA,NA,1500,NA,NA,NA,NA,NA
"United States Chemical Safety Board",NA,NA,21600,NA,4200,NA,NA,NA
"National Labor Relations Board",NA,NA,NA,NA,4164,NA,NA,NA
"Office of Government Ethics",NA,NA,NA,NA,10250,NA,NA,NA
"National Endowment for the Humanities",NA,34470966,NA,37677044,NA,31056502,71867,37389745
"Appalachian Regional Commission",NA,3645671,NA,6199255,NA,18432153,NA,NA
"Armed Forces Retirement Home",NA,2463748,NA,1244000,NA,1010000,NA,632830
"Delta Regional Authority",NA,97771,NA,126206,NA,95000,NA,300000
"Institute of Museum and Library Services",NA,20256342,NA,24576714,NA,21423407,NA,28779255
"Surface Transportation Board",NA,887276,NA,750032,NA,NA,NA,NA
"Japan-United States Friendship Commission",NA,NA,NA,225000,NA,141334,NA,260000
"Selective Service System",NA,NA,NA,408195,NA,NA,NA,NA
"Denali Commission",NA,NA,NA,NA,NA,NA,NA,50000
"National Credit Union Administration",NA,NA,NA,NA,NA,NA,NA,186235
