"Recipient","contracts13","grants13","contracts14","grants14","contracts15","grants15","contracts16","grants16"
"A T Still University of Health Sciences",1665634.87,1570674,1287708.72,1395760,1152414.87,1102198,1056414,1064596
"Adelphi University",37822.62,1187289,41518.28,817234,68352.6,1118551,NA,1721501
"Alabama A & M University",148726.41,16046219,136600,13395291,166000,19127866,60127,21129807
"Alabama College of Osteopathic Medicine",20247.5,NA,87690,NA,200223.5,NA,364024,NA
"Alaska Pacific University",6166.88,129181,10735.24,1481762,7690.07,NA,12696.69,77227
"Albany Medical College",1200430.14,12178539,1595195.05,9829800,591414.46,11584391,562106.18,13698755
"Alcorn State University",15800,11600522,115401.87,10902322,NA,12817549.53,11985.91,12264814
"Alfred University",16324,402883,1374,908613,24832,532683,1500,1188188
"American University",1056324.24,8136038,945187.49,5384071,1303700.83,11675439,1769507.12,8313356
"Anderson University",4162,NA,NA,NA,NA,NA,NA,NA
"Anoka-Ramsey Community College",11230,1260289,NA,1403943,NA,1566922,NA,1596335
"Arapahoe Community College",117018.12,217971,162566.84,2624110,24708.6,230000,40399.2,NA
"Arizona State University-Tempe",8035668.36,181631270,19927916.45,164783604,13235835,171423328.67,16364661.26,178849922.21
"Arkansas State University-Main Campus",31820,1900780,NA,4414658,31000,3767320.89,36078,6196570
"Arkansas Tech University",2542,661122,1914,557238,24900,750189,24684.5,761894
"Armstrong State University",28449.58,999570,NA,497629,37722,1166620,44474,2490844
"Asheville-Buncombe Technical Community College",4000,NA,NA,NA,NA,1510430,NA,NA
"Ashland University",8484.44,521677,NA,NA,NA,67575,NA,305615
"Auburn University",4550174.27,40646410,4548085,36940464.68,9083679.45,40008825.61,3238995.2,49607882.38
"Auburn University at Montgomery",6000,1629168,NA,390902,NA,434822,NA,195451
"Augusta University",1624846.63,50759491,3211502.09,48438073,3297740.06,49678979,7669702.91,50779462
"Bakersfield College",1560.79,1225929,NA,1142032,NA,1672625,NA,554582
"Barry University",67440.06,1563895,84223.39,1926627,51791.1,2289143,131.06,3138840
"Barton County Community College",115150,1782221,111850,1117749,151740,1470515,112077.6,1494868
"Baylor College of Medicine",14435405.9,237458379,5072545.24,241887768,28117758.3,254623448,40635794.45,265809836
"Baylor University",700745.84,15174872,891229.95,9959403,758029.48,9684860,769555.5,11225982
"Bellevue University",3475,NA,3000,NA,NA,NA,NA,NA
"Bemidji State University",7320,1766298,NA,3610005,NA,969600,NA,3504727
"Benedict College",5000,5424391,5000,5296894,NA,4519086,NA,5387142
"Big Bend Community College",33120.25,2922691,37232,2878586,12000,2696377,13232,2897852
"Bishop State Community College",7500,3531453,NA,3757637,NA,4185913,NA,3405143
"Blinn College",240962.8,NA,238837.1,NA,240047,NA,245232.62,214710
"Boise State University",19948,13784582,50555,17908703.99,98575.13,18613606.72,62592.88,28381704
"Boston College",3666058,23717543,2463783,24188724,2063971.5,23938636,2014884.8,25602325
"Boston University",14482847.57,252478535,16879515.46,268789217,9701990.04,253503751,12117034.47,311945854.31
"Bowdoin College",10400,1617804,NA,2428359,NA,2146906,NA,1369134
"Bowling Green State University-Main Campus",204723.24,5016127,11231,5950634,NA,10185220,NA,6006276
"Brandeis University",240,34697606,NA,39460684,NA,38524245,NA,34826334
"Brevard College",5016,NA,NA,NA,NA,NA,NA,5504.99
"Bridgewater State University",4000,756073,NA,518281,NA,NA,NA,978715
"Brigham Young University-Provo",1142692.59,13766156,925994.98,14403480,1769465.77,17519851,880716.49,21426498
"Brown University",2088806.33,104831118,1553034.76,111211560,1611779.42,114687328,3824708.09,122272094
"Bucks County Community College",248417.5,20000,385778.5,NA,304552,364976,462245.5,15000
"California Institute of Technology",1709875257.61,202379003,1718575771.47,211935514,1857982224.86,174113051,2140215366.05,188609983
"California Polytechnic State University-San Luis Obispo",1368959,8336061,298447,7488035,1200663,10070286,1129609,10650054
"California State Polytechnic University-Pomona",24357,7981320,258402,6013026,273287,8775547,156439,8000071
"California State University-Bakersfield",36140,7461849,18301,5850548,NA,8385656,NA,10104219
"California State University-Chico",38772,7710448,79109,8800301,8000,7142906,7000,12056954.89
"California State University-Dominguez Hills",157,12146545,NA,15853402,NA,8677231,NA,12843523
"California State University-East Bay",182,4844119,NA,14035025,NA,10937783,NA,12044744
"California State University-Fresno",3784.5,6938169,57475,10449327,3790.5,8290611.7,75000,10681523
"California State University-Fullerton",3976,14797967,9901,15151122,8790.87,11551851,NA,15355205
"California State University-Long Beach",37975,12125298,24950,17428615,13226,17303367,30490,18827891
"California State University-Monterey Bay",91524,4471045,6121.5,8234079,9643,8283326,4894,9244362
"California State University-Northridge",24800,27392810,65766,21997568,35000,23251624,24000,17127900
"California State University-Sacramento",137831.49,6176194,165706,8486583,123329,9117157,155337.71,13124372
"California State University-San Bernardino",15000,9739661.96,NA,9693901,5928.02,12716479,5420.34,19161420
"California Western School of Law",14000,2240045,NA,NA,NA,227714,NA,1250000
"Cameron University",631.95,974466,NA,1028243,8716.8,1028243,374.87,1065269
"Campbell University",264356.88,NA,296694.78,469400,395728.43,NA,527288.14,NA
"Canadian Valley Technology Center",323355.48,NA,279293.59,NA,331158.82,NA,270227.86,NA
"Carnegie Mellon University",109106072.96,148346524,159605615.73,138135339,138370800.8,127753313,150361765.57,127653551.53
"Case Western Reserve University",12867847.15,288474075,1589215.18,282578634,9172756.16,294598389,10382370.01,314447852
"Castleton University",4000,1353833,NA,1502493,NA,1404826,NA,1446971
"Catholic University of America",507768.14,9933490,289570.5,11645747,213300,11170869,60040,11579938
"Cecil College",7970,NA,NA,NA,NA,101825,NA,NA
"Cedar Valley College",183689,NA,302,NA,130728,775557,42678,472126
"Cedarville University",1492,NA,NA,NA,NA,NA,NA,NA
"Central Connecticut State University",15000,616117,NA,356677,NA,523721.34,NA,702914
"Central Georgia Technical College",324908,2892049,170676,3523583,200131,1594404,283734,597587
"Central Louisiana Technical Community College",275347.76,2749939,367263.04,NA,754612.12,NA,385035.72,NA
"Central Oregon Community College",4495,NA,NA,NA,NA,199873,NA,450000
"Central Texas College",16236719.02,NA,14957449.18,NA,9990580.14,NA,13305211.04,NA
"Central Washington University",31852.5,7498311,NA,6577081,NA,7635153,NA,8394320
"Chemeketa Community College",30577.5,1904305,59794,1943946,73734,2140587,76380,1984625
"Christopher Newport University",46212.95,1291167.74,NA,608801,150,665065,12562.4,951092
"Citadel Military College of South Carolina",2401314.08,1199639,4581.84,5997,5600,8791,9740,301740
"Clark Atlanta University",57731,14488007,135048,13735492,87042,14292639,50903,14665992
"Clarkson University",66000,4437349,557320.5,4522261,555085.5,6391535,634230.38,7210520
"Clatsop Community College",2500,848846,NA,895691,NA,935673,NA,928716
"Clemson University",760547.5,42784397,913995.73,51260399,916432.75,59588372,2164676.39,78634399.92
"Cleveland Clinic Health System-School of Diagnostic Imaging",117895.48,2829150,310995.37,3720885,1067435.68,10618468,993492.99,15263905
"Cleveland Institute of Art",6000,NA,15000,NA,6920.4,NA,6190.83,NA
"Cleveland State University",250456,7451470,62692.92,3495368,8400,4409314,24720,3300569
"Clover Park Technical College",217157.15,NA,222209.24,2499973,111179.62,NA,478100.79,NA
"Coastal Bend College",183988.32,2241265,77985,2278736,81363,1975694,86893.32,1269234
"Coastal Carolina Community College",37264.27,NA,62085.39,NA,56676.89,NA,67097.38,NA
"College of Southern Nevada",60000,234635,44400,247584,NA,364390,NA,255012
"College of Staten Island CUNY",24353.47,133625,NA,1203483,NA,3289666,4000,2831742
"College of the Albemarle",7293,NA,NA,NA,NA,NA,NA,288492
"College of Western Idaho",15100,NA,14398.55,NA,NA,NA,NA,NA
"College of William and Mary",316264,23358425,191476,18741263,90364,25065175,125522.45,21382874
