"agency","subagency","Recipient","product_or_service_code","product_or_service_description","obligation","parent","parent_name","icon"
"Access Board","Access Board","SUNY Buffalo State","AQ91","R&D- SOCIAL SERVICES: OTHER (BASIC RESEARCH)",85638,"AQ","SOCIAL SERVICES R&D","074-meeting-2.svg"
"Access Board","Access Board","University of Illinois at Chicago","U099","OTHER ED & TRNG SVCS",44863.92,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Agency for International Development","Agency for International Development","American University","U009","EDUCATION/TRAINING- GENERAL",9950,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Agency for International Development","Agency for International Development","Georgetown University","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",3748.5,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Agency for International Development","Agency for International Development","Georgetown University","U009","EDUCATION/TRAINING- GENERAL",6718.5,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Agency for International Development","Agency for International Development","SIT Graduate Institute","R408","SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT",4185172.01,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Agency for International Development","Agency for International Development","SUNY at Albany","R499","OTHER PROFESSIONAL SERVICES",8535398.61,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Agency for International Development","Agency for International Development","Tufts University","R425","ENGINEERING AND TECHNICAL SERVICES",4500000,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Agency for International Development","Agency for International Development","Tufts University","R499","OTHER PROFESSIONAL SERVICES",1299999.75,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Agency for International Development","Agency for International Development","University of Chicago","B513","SPECIAL STUDIES/ANALYSIS- FEASIBILITY (NON-CONSTRUCTION)",22562,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Agency for International Development","Agency for International Development","University of Chicago","R408","SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT",5700531,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Agency for International Development","Agency for International Development","University of Chicago","R425","ENGINEERING AND TECHNICAL SERVICES",4705000,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"American Battle Monuments Commission","American Battle Monuments Commission","George Mason University","T016","PHOTO/MAP/PRINT/PUBLICATION- AUDIO/VISUAL",111000,"T0","PHOTOGRAPHY, MAPPING, PRINTING, PUBLISHING","204-technology.svg"
"Broadcasting Board of Governors","Broadcasting Board of Governors","George Washington University","U009","EDUCATION/TRAINING- GENERAL",12605,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Broadcasting Board of Governors","Broadcasting Board of Governors","George Washington University","U099","OTHER ED & TRNG SVCS",6450,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Broadcasting Board of Governors","Broadcasting Board of Governors","George Washington University","X1AB","LEASE/RENTAL OF CONFERENCE SPACE AND FACILITIES",4534,"X1","LEASE & RENTAL OF BUILDINGS","013-buildings-group.svg"
"Broadcasting Board of Governors","Broadcasting Board of Governors","Stanford University","D399","OTHER ADP & TELECOMMUNICATIONS SVCS",725,"D3","IT & TELECOMMUNICATIONS","171-desktop-computer.svg"
"Broadcasting Board of Governors","Broadcasting Board of Governors","University of California-Berkeley","D399","OTHER ADP & TELECOMMUNICATIONS SVCS",525,"D3","IT & TELECOMMUNICATIONS","171-desktop-computer.svg"
"Broadcasting Board of Governors","Broadcasting Board of Governors","University of Minnesota-Twin Cities","R499","OTHER PROFESSIONAL SERVICES",3305,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Consumer Financial Protection Bureau","Consumer Financial Protection Bureau","Pardee RAND Graduate School","B507","ECONOMIC STUDIES",689453,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Consumer Financial Protection Bureau","Consumer Financial Protection Bureau","Washington University in St Louis","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",4525,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Consumer Product Safety Commission","Consumer Product Safety Commission","Finger Lakes Health College of Nursing","R702","DATA COLLECTION SERVICES",6873.35,"R7","MANAGEMENT SUPPORT SERVICES","214-manager.svg"
"Consumer Product Safety Commission","Consumer Product Safety Commission","Massachusetts General Hospital Dietetic Internship","R702","DATA COLLECTION SERVICES",42400,"R7","MANAGEMENT SUPPORT SERVICES","214-manager.svg"
"Consumer Product Safety Commission","Consumer Product Safety Commission","Mercy Hospital School of Nursing","R702","DATA COLLECTION SERVICES",79577.4,"R7","MANAGEMENT SUPPORT SERVICES","214-manager.svg"
"Consumer Product Safety Commission","Consumer Product Safety Commission","Regional West Medical Center School of Radiologic Technology","R702","DATA COLLECTION SERVICES",16636.15,"R7","MANAGEMENT SUPPORT SERVICES","214-manager.svg"
"Consumer Product Safety Commission","Consumer Product Safety Commission","University of Arizona","R702","DATA COLLECTION SERVICES",205140,"R7","MANAGEMENT SUPPORT SERVICES","214-manager.svg"
"Consumer Product Safety Commission","Consumer Product Safety Commission","University of Cincinnati","B504","STUDY/CHEMICAL-BIOLOGICAL",435887,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Consumer Product Safety Commission","Consumer Product Safety Commission","University of New Mexico-Main Campus","R702","DATA COLLECTION SERVICES",2250,"R7","MANAGEMENT SUPPORT SERVICES","214-manager.svg"
"Consumer Product Safety Commission","Consumer Product Safety Commission","University of Pennsylvania","R702","DATA COLLECTION SERVICES",17653,"R7","MANAGEMENT SUPPORT SERVICES","214-manager.svg"
"Corporation for National and Community Service","Corporation for National and Community Service","Carnegie Mellon University","U099","OTHER ED & TRNG SVCS",4500,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Corporation for National and Community Service","Corporation for National and Community Service","University of Chicago","R408","SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT",749124.94,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Department of Agriculture","Agricultural Marketing Service","George Mason University","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",8818.5,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Department of Agriculture","Agricultural Marketing Service","Georgetown University","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",3889,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Department of Agriculture","Agricultural Marketing Service","North Carolina State University at Raleigh","H387","INSPECTION- AGRICULTURAL SUPPLIES",4800,"H3","INSPECTION SERVICES","009-search-in-folder.svg"
"Department of Agriculture","Agricultural Marketing Service","University of North Carolina at Charlotte","U008","TRAINING/CURRICULUM DEVELOPMENT",6675,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Department of Agriculture","Agricultural Research Service","Arizona State University-Tempe","AZ14","R&D-OTHER R & D-ENG DEV",4000,"AZ","OTHER R&D","176-microscope.svg"
"Department of Agriculture","Agricultural Research Service","Arkansas State University-Main Campus","H146","QUALITY CONT SV/WATER PURIFYING EQ",15930,"H1","QUALITY CONTROL SERVICES","064-id-card.svg"
"Department of Agriculture","Agricultural Research Service","Brigham Young University-Provo","6685","PRESSURE, TEMPERATURE, AND HUMIDITY MEASURING AND CONTROLLING INSTRUMENTS",9500,"66","INSTRUMENTS & LABORATORY EQUIPMENT","192-chemistry.svg"
"Department of Agriculture","Agricultural Research Service","Colorado State University-Fort Collins","6340","AIRCRAFT ALARM AND SIGNAL SYSTEMS",10675,"63","ALARMS, SIGNALS, & SECURITY","177-cctv.svg"
"Department of Agriculture","Agricultural Research Service","Colorado State University-Fort Collins","B529","SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA",2841,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Department of Agriculture","Agricultural Research Service","Colorado State University-Fort Collins","B599","OTHER SPECIAL STUDIES AND ANALYSES",50060.75,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Department of Agriculture","Agricultural Research Service","Colorado State University-Fort Collins","H389","INSPECT SVCS/SUBSISTENCE",6191.15,"H3","INSPECTION SERVICES","009-search-in-folder.svg"
"Department of Agriculture","Agricultural Research Service","Colorado State University-Fort Collins","H999","OTHER QC/TEST/INSPECT- MISCELLANEOUS",7635,"H9","OTHER QUALITY, TEST, & INSPECTION SERVICES","205-archeologist.svg"
"Department of Agriculture","Agricultural Research Service","Colorado State University-Fort Collins","R430","SUPPORT- PROFESSIONAL: PHYSICAL SECURITY AND BADGING",6734,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Department of Agriculture","Agricultural Research Service","Colorado State University-Fort Collins","S205","TRASH/GARBAGE COLLECTION",13076,"S2","HOUSEKEEPING SERVICES","062-maid-1.svg"
"Department of Agriculture","Agricultural Research Service","Colorado State University-Fort Collins","S208","HOUSEKEEPING- LANDSCAPING/GROUNDSKEEPING",8288.5,"S2","HOUSEKEEPING SERVICES","062-maid-1.svg"
"Department of Agriculture","Agricultural Research Service","Colorado State University-Fort Collins","S211","SURVEILLANCE SERVICES",21509.15,"S2","HOUSEKEEPING SERVICES","062-maid-1.svg"
"Department of Agriculture","Agricultural Research Service","Colorado State University-Fort Collins","X1AB","LEASE/RENTAL OF CONFERENCE SPACE AND FACILITIES",4532.48,"X1","LEASE & RENTAL OF BUILDINGS","013-buildings-group.svg"
"Department of Agriculture","Agricultural Research Service","Cornell University","AA92","R&D- AGRICULTURE: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",3100,"AA","AGRICULTURE R&D","160-corn.svg"
"Department of Agriculture","Agricultural Research Service","Cornell University","B504","STUDY/CHEMICAL-BIOLOGICAL",3744,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Department of Agriculture","Agricultural Research Service","Cornell University","B529","SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA",31377.82,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Department of Agriculture","Agricultural Research Service","Cornell University","D317","AUTO NEWS, DATA & OTHER SVCS",6700,"D3","IT & TELECOMMUNICATIONS","171-desktop-computer.svg"
"Department of Agriculture","Agricultural Research Service","Cornell University","H387","INSPECTION- AGRICULTURAL SUPPLIES",12000,"H3","INSPECTION SERVICES","009-search-in-folder.svg"
"Department of Agriculture","Agricultural Research Service","Drexel University","B529","SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA",4000,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Department of Agriculture","Agricultural Research Service","Harvard University","Q301","MEDICAL- LABORATORY TESTING",12552,"Q3","LABORATORY TESTING SERVICES","192-chemistry.svg"
