"Agency","Subagency","accountID","Title","Obligation","Unobligated","federal_account_id"
"Department of Defense","Military Construction",2588,"Department of Defense Base Closure Account, Defense",0,7771167.72,5996
"Department of Defense","Military Construction",2587,"Department of Defense Base Closure Account 2005, Defense",0,5209355.22,5995
"Department of Defense","Military Construction",2584,"Military Construction, Defense-Wide",0,202030.29,5992
"Department of Defense","Military Construction",2580,"Chemical Demilitarization Construction, Defense-Wide",0,1536926.6,5987
"Department of Education","Departmental Management",2525,"Contributions,  Education",36625.32,621014.83,5920
"Department of Education","Office of Federal Student Aid",2518,"Health Education Assistance Loans Liquidating Account, Education",532522.86,2467477.14,5913
"Department of Education","Office of Federal Student Aid",2517,"Federal Student Loan Reserve Fund, Education",0,2076589949,5912
"Department of Education","Office of Postsecondary Education",2516,"College Housing Loans, Education",95360.47,669639.54,5911
"Department of Education","Office of Postsecondary Education",2515,"Historically Black College and University Capital Financing Program Account, Education",157898022.3,64154944.81,5909
"Department of Education","Departmental Management",2513,"Office of the Inspector General, Departmental Management,  Education",26596976.86,9055330.49,5907
"Department of Education","Office of English Language Acquisition",2512,"Bilingual and Immigrant Education, Education",307055,7429934.45,5906
"Department of Education","Institute of Education Sciences",2511,"Institute of Education Sciences, Department of Education",200510037.9,152010016,5905
"Department of Education","Office of Elementary and Secondary Education",2510,"School Improvement Programs,  Education",1670553241,49829834.96,5903
"Department of Education","Office of Elementary and Secondary Education",2509,"Education for the Disadvantaged, Education",10769245026,44007502.23,5901
"Department of Education","Departmental Management",2508,"Program Administration, Departmental Management,  Education",180706986,51369095.67,5900
"Department of Education","Departmental Management",2507,"Office for Civil Rights, Departmental Management, Education",51174704.82,6070608.85,5899
"Department of Education","Office of Postsecondary Education",2506,"Howard University,  Education",103411835,8977733,5898
"Department of Education","Office of Special Education and Rehabilitative Services",2505,"Gallaudet University, Special Institutions for Persons with Disabilities, Education",62434838,0,5897
"Department of Education","Office of Special Education and Rehabilitative Services",2504,"National Technical Institute for the Deaf, Special Institutions for Persons with Disabilities, Department of Education",36010452,66230,5896
"Department of Education","Office of Special Education and Rehabilitative Services",2503,"American Printing House for the Blind, Special Institutions for Persons with Disabilities, Education",13115506,0,5895
"Department of Education","Office of Career, Technical, and Adult Education",2502,"Career, Technical, and Adult Education, Education",770253852.6,53739031.85,5894
"Department of Education","Office of Special Education and Rehabilitative Services",2501,"Rehabilitation Services, Education",1552716319,358613911.5,5892
"Department of Education","Office of Special Education and Rehabilitative Services",2500,"Special Education, Education",9220502717,57711105.47,5891
"Department of Education","Office of Federal Student Aid",2499,"Iraq and Afghanistan Service Grants Program, Office of Federal Student AID, Education",206139.16,361037.01,5889
"Department of Education","Office of Federal Student Aid",2497,"Federal Direct Student Loan Program, Education",3620087826,5240069675,5887
"Department of Education","Office of Postsecondary Education",2496,"College Housing and Academic Facilities Loans, Liquidating Account, Education",0,4000000,5886
"Department of Education","Office of Postsecondary Education",2495,"College Housing and Academic Facilities Loans Program,  Education",188380.18,92444.43,5885
"Department of Education","Office of Postsecondary Education",2494,"Higher Education Facilities Loans and Insurance,  Education",74792.53,525207.47,5884
"Department of Education","Office of Federal Student Aid",2492,"Guaranteed Student Loans, Liquidating Account, Education",14717193.26,707920259.1,5882
"Department of Education","Office of Elementary and Secondary Education",2491,"Chicago Litigation Settlement, Education",0,27546.9,5881
"Department of Education","Office of Federal Student Aid",2490,"Teach Grant Program Account,  Education",4890858,23931330,5879
"Department of Education","Office of Innovation and Improvement",2488,"Innovation and Improvement, Education",36433877.66,298723910.5,5877
"Department of Education","Office of Elementary and Secondary Education",2487,"Safe Schools and Citizenship Education,  Education",79869874.43,33591967.7,5876
"Department of Education","Office of Federal Student Aid",2486,"Student and Administration, Education",551525489.6,312462562.7,5875
"Department of Education","Office of Postsecondary Education",2485,"Higher Education, Department of Education",2178034.4,1631528049,5874
"Department of Education","Office of Federal Student Aid",2484,"Student Financial Assistance, Education",822667351.9,27163552794,5873
"Department of Education","Office of Elementary and Secondary Education",2483,"Impact AID, Education",1000261226,166723240.5,5867
"Department of Education","Office of Elementary and Secondary Education",2482,"Indian Education, Office of Elementary and Secondary Education,  Education",894064,42466955.91,5866
"Department of Education","Hurricane Education Recovery",2481,"Hurricane Education Recovery, Office of Elementary and Secondary Education, Education",0,4076700.68,5865
"Department of Energy","Departmental Administration",2477,"Gifts and Donations, Energy",0,68393.08,5860
"Department of Energy","Energy Programs",2476,"Advances for Cooperative Work, Departmental Operations, Energy",0,68467.57,5859
"Department of Energy","Power Marketing Administration",2461,"Continuing Fund, Southeastern Power Administration, Power Marketing Administration, Energy",0,30000000,5843
"Department of Energy","Power Marketing Administration",2460,"Continuing Fund, Southwestern Power Administration, Power Marketing Administration, Energy",0,300000,5842
"Department of Energy","Energy Programs",2459,"Energy Security and Infrastructure Modernization Fund",175391.06,158405189.4,5841
"Department of Energy","Energy Programs",2457,"Sales of Uranium, Energy Programs, Energy",0,0.17,5839
"Department of Energy","Energy Programs",2456,"Ultra-Deepwater and Unconventional Natural Gas and Other Petroleum Research Fund, Energy",0,1147791.42,5838
"Department of Energy","Energy Programs",2454,"Northeast Home Heating Oil Reserve, Energy Programs, Energy",4639510,6158828.49,5835
"Department of Energy","Energy Programs",2451,"Uranium Enrichment Decontamination and Decommissioning Fund, Energy Programs, Energy",356291265.8,496521456,5832
"Department of Energy","Energy Programs",2448,"Nuclear Waste Disposal Fund, Energy Programs, Energy",1337944.68,7866274.65,5829
"Department of Energy","Power Marketing Administration",2445,"Falcon and Amistad Operating and Maintenance Fund, Energy",739549.92,4537758.76,5826
"Department of Energy","Power Marketing Administration",2443,"Emergency Fund, Western Area Power Administration, Power Marketing Administration, Energy",0,500000,5824
"Department of Energy","Power Marketing Administration",2442,"Construction, Rehabilitation, Operation, and Maintenance, Western Area Power Administration, Power Marketing Administration, Energy",282615470.6,1364588285,5823
"Department of Energy","Departmental Administration",2441,"Working Capital Fund, Departmental Administration, Energy",91788398.42,265326151.4,5822
"Department of Energy","Power Marketing Administration",2440,"Colorado River Basins Power Marketing Fund, Western Area Power Administration, Power Marketing Administration, Energy",57617177.77,252454689.8,5821
"Department of Energy","Power Marketing Administration",2438,"Western Area Power Administration, Borrowing Authority - Recovery Act, Energy",4975612.62,42087609.02,5819
"Department of Energy","Energy Programs",2437,"Expenses, Isotope Production and Distribution Program Fund, Energy",41940067.94,68075122.19,5818
"Department of Energy","Power Marketing Administration",2436,"Bonneville Power Administration Fund, Power Marketing Administration, Energy",1550805259,3338937931,5817
"Department of Energy","Energy Programs",2432,"Advanced Research Projects Agency-Energy, Energy Programs, Energy",71065185.48,550687203.4,5813
"Department of Energy","Energy Programs",2431,"Advanced Technology Vehicle Manufacturing Loan Program-Recovery Act, Energy",0,7.27,5808
"Department of Energy","Energy Programs",2430,"Advanced Technology Vehicles Manufacturing Loan Program, Energy Programs, Energy",1611563.58,4444349859,5807
"Department of Energy","Energy Programs",2429,"Energy Efficiency and Renewable Energy, Energy Programs, Energy",577540758.5,2622346614,5806
"Department of Energy","Energy Programs",2428,"Legacy Management, Energy Programs, Energy",0,99000.44,5805
"Department of Energy","Energy Programs",2427,"Nuclear Energy, Energy Programs, Energy",404342898.1,1123038677,5804
"Department of Energy","Energy Programs",2426,"Electricity Delivery and Energy Reliability, Energy Programs, Energy",58999249.81,255511844.6,5803
"Department of Energy","Energy Programs",2425,"Non-Defense Environmental Cleanup, Energy Programs, Energy",121542732.4,232830924.9,5802
