"Agency","Subagency","Title","federal_account_code","q","fy","reporting_period_end","Obligation","Unobligated"
"Agency for International Development","Agency for International Development (no sub-agencies)","Acquisition of Property Revolving Fund, Agency for International Development","072-4590","2","2017","2017-03-31",0,46299.08
"Agency for International Development","Agency for International Development (no sub-agencies)","Assistance for Eastern Europe and the Baltic States, Funds Appropriated to the President","072-1010","2","2017","2017-03-31",0,5647438.5
"Agency for International Development","Agency for International Development (no sub-agencies)","Assistance for Europe, Eurasia, and Central Asia, Funds Appropriated to the President, US Agency for International Development","072-0306","2","2017","2017-03-31",227349432.83,1096552751.5
"Agency for International Development","Agency for International Development (no sub-agencies)","Assistance for the Independent States of the Former Soviet Union, Funds Appropriated to the President","072-1093","2","2017","2017-03-31",72350,9859210.41
"Agency for International Development","Agency for International Development (no sub-agencies)","Assistance for the New Independent States of the Former Soviet Union:  Ukraine Export Credit Insurance Program Account","072-0402","2","2017","2017-03-31",0,19778.82
"Agency for International Development","Agency for International Development (no sub-agencies)","Capital Investment Fund of the United States Agency for International Development, Funds Appropriated to the President","072-0300","2","2017","2017-03-31",2122237.56,132941637.87
"Agency for International Development","Agency for International Development (no sub-agencies)","Child Survival and Health Program Fund, Agency for International Development","072-1095","2","2017","2017-03-31",564941.7,37120266.52
"Agency for International Development","Agency for International Development (no sub-agencies)","Civilian Stabilization Initiative, Funds Appropriated to the President, Agency for International Development","072-0305","2","2017","2017-03-31",445978.83,2434927.88
"Agency for International Development","Agency for International Development (no sub-agencies)","Demobilization and Transition Fund, Funds Appropriated to the President","072-1500","2","2017","2017-03-31",0,87327.23
"Agency for International Development","Agency for International Development (no sub-agencies)","Development Assistance, Agency for International Development, Funds Appropriated to the President","072-1021","2","2017","2017-03-31",1529243545.53,2807889828.55
"Agency for International Development","Agency for International Development (no sub-agencies)","Development Credit Authority, United States Agency for International Development","072-1264","2","2017","2017-03-31",5913628.27,32801856.42
"Agency for International Development","Agency for International Development (no sub-agencies)","Development Loan Fund, Executive","072-4103","2","2017","2017-03-31",3886121.66,155215959.15
"Agency for International Development","Agency for International Development (no sub-agencies)","Education and Human Resources Development, Development Assistance, Economic Assistance, Funds Appropriated to the President","072-1025","2","2017","2017-03-31",0,2649022.09
"Agency for International Development","Agency for International Development (no sub-agencies)","Food and Nutrition, Development Assistance, Economic Assistance, Funds Appropriated to the President","072-1023","2","2017","2017-03-31",0,2767500.48
"Agency for International Development","Agency for International Development (no sub-agencies)","Foreign National Employees Separation Liability Fund, Agency for International Development","072-8342","2","2017","2017-03-31",16358577.39,2351171.5
"Agency for International Development","Agency for International Development (no sub-agencies)","Gifts and Donations, Agency for International Development","072-8824","2","2017","2017-03-31",37826339.76,65024400.69
"Agency for International Development","Agency for International Development (no sub-agencies)","HIV/AIDS Working Capital Fund, Agency for International Development","072-1033","2","2017","2017-03-31",314981121,749036554.53
"Agency for International Development","Agency for International Development (no sub-agencies)","Housing and Other Credit Guaranty Programs, Liquidating Account, Agency for International Development","072-4340","2","2017","2017-03-31",5016081.57,12724100.45
"Agency for International Development","Agency for International Development (no sub-agencies)","International Disaster Assistance, Funds Appropriated to the President, US Agency for International Development","072-1035","2","2017","2017-03-31",902224141.49,2465376618.34
"Agency for International Development","Agency for International Development (no sub-agencies)","Loan Guarantees to Israel Program, Reimbursements of Administrative Expenses, Agency for International Development","072-5318","2","2017","2017-03-31",0,27000
"Agency for International Development","Agency for International Development (no sub-agencies)","MENA Loan Guarantee Program Account, Funds Appropriated to the President, US Agency for International Development","072-0409","2","2017","2017-03-31",255312109,0
"Agency for International Development","Agency for International Development (no sub-agencies)","Micro and Small Enterprise Development Program Accountt, Agency for International Development","072-0400","2","2017","2017-03-31",0,2658998.21
"Agency for International Development","Agency for International Development (no sub-agencies)","Operating Expenses of the United States Agency for International Development, Funds Appropriated to the President","072-1000","2","2017","2017-03-31",535845381.21,490215332.77
"Agency for International Development","Agency for International Development (no sub-agencies)","Operating Expenses of the United States Agency for International Development, Office of Inspector General, Funds Appropriated to the President","072-1007","2","2017","2017-03-31",30758788.19,39294026.29
"Agency for International Development","Agency for International Development (no sub-agencies)","Population Planning and Health, Development Assistance, Economic Assistance, Funds Appropriated to the President","072-1024","2","2017","2017-03-31",0,272441.82
"Agency for International Development","Agency for International Development (no sub-agencies)","Private Sector Revolving Fund, Liquidating Account, Agency for  International Development","072-4341","2","2017","2017-03-31",0,37575.11
"Agency for International Development","Agency for International Development (no sub-agencies)","Property Management Fund, Agency for International Development","072-4175","2","2017","2017-03-31",0,26941433.42
