"Agency","Subagency","Title","federal_account_id","q","fy","reporting_period_end","Obligation","Unobligated"
"Agency for International Development","Agency for International Development (no sub-agencies)","Acquisition of Property Revolving Fund, Agency for International Development",5362,"2","2017","2017-03-31",0,46299.08
"Agency for International Development","Agency for International Development (no sub-agencies)","Assistance for Eastern Europe and the Baltic States, Funds Appropriated to the President",5337,"2","2017","2017-03-31",0,5647438.5
"Agency for International Development","Agency for International Development (no sub-agencies)","Assistance for Europe, Eurasia, and Central Asia, Funds Appropriated to the President, US Agency for International Development",5329,"2","2017","2017-03-31",227349432.83,1096552751.5
"Agency for International Development","Agency for International Development (no sub-agencies)","Assistance for the Independent States of the Former Soviet Union, Funds Appropriated to the President",5352,"2","2017","2017-03-31",72350,9859210.41
"Agency for International Development","Agency for International Development (no sub-agencies)","Assistance for the New Independent States of the Former Soviet Union:  Ukraine Export Credit Insurance Program Account",5332,"2","2017","2017-03-31",0,19778.82
"Agency for International Development","Agency for International Development (no sub-agencies)","Capital Investment Fund of the United States Agency for International Development, Funds Appropriated to the President",5324,"2","2017","2017-03-31",2122237.56,132941637.87
"Agency for International Development","Agency for International Development (no sub-agencies)","Child Survival and Health Program Fund, Agency for International Development",5353,"2","2017","2017-03-31",564941.7,37120266.52
"Agency for International Development","Agency for International Development (no sub-agencies)","Civilian Stabilization Initiative, Funds Appropriated to the President, Agency for International Development",5328,"2","2017","2017-03-31",445978.83,2434927.88
"Agency for International Development","Agency for International Development (no sub-agencies)","Demobilization and Transition Fund, Funds Appropriated to the President",5356,"2","2017","2017-03-31",0,87327.23
"Agency for International Development","Agency for International Development (no sub-agencies)","Development Assistance, Agency for International Development, Funds Appropriated to the President",5341,"2","2017","2017-03-31",1529243545.53,2807889828.55
"Agency for International Development","Agency for International Development (no sub-agencies)","Development Credit Authority, United States Agency for International Development",5355,"2","2017","2017-03-31",5913628.27,32801856.42
"Agency for International Development","Agency for International Development (no sub-agencies)","Development Loan Fund, Executive",5357,"2","2017","2017-03-31",3886121.66,155215959.15
