"Agency","Subagency","accountID","Title","Obligation","Unobligated"
"US Agencies - Non-CFO Act","Government Accountability Office",114,"Salaries and Expenses, Government Accountability Office",130946170.9,89131278.88
"US Agencies - Non-CFO Act","Legislative Branch Boards and Commissions",122,"International Conferences and Contingencies, House and Senate   Expenses",0,1763227.47
"US Agencies - Non-CFO Act","Courts of Appeals, District Courts, and Other Judicial Services",146,"Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",118291707.9,49004483.16
"Department of Agriculture","Office of the Secretary",275,"Office of the Under Secretary for Marketing and Regulatory Programs, Cooperative State Research, Education, and Extension Service, Agriculture",181361.65,498303.81
"Department of Agriculture","Office of the Secretary",268,"Production, Processing and Marketing, Office of the Secretary, Agriculture",21031339.19,19275941.72
"Department of Agriculture","Office of the Secretary",271,"Office of the Assistant Secretary for Administration, Agriculture",0,4846.37
"Department of Agriculture","Office of the Secretary",392,"Office of the Under Secretary for Food Safety, Agriculture",50653.56,660380.17
"Department of Agriculture","Office of the Secretary",272,"Office of the Assistant Secretary for Governmental and Public Affairs, Agriculture",0,138694.05
"Department of Agriculture","Office of the Secretary",274,"Office of the Under Secretary for Research, Education and Economics, Agriculture",577062.39,951288.96
"Department of Agriculture","Office of the Secretary",276,"Office of the Under Secretary for Farm and Foreign Agricultural Services, Agriculture",120767.77,432716.55
"Department of Agriculture","Office of the Secretary",277,"Office of the Under Secretary for Rural Development, Agriculture",309326.83,354134.95
"Department of Agriculture","Office of the Secretary",278,"Office of the Assistant Secretary for Natural Resources and Environment, Agriculture",12048.36,654532.87
"Department of Agriculture","Office of the Secretary",279,"Office of the Under Secretary for Food, Nutrition and Consumer Services, Agriculture",101992.92,545667.54
"Department of Agriculture","Office of the Secretary",270,"Departmental Administration, Agriculture",0,68086.27
"Department of Agriculture","Office of the Secretary",298,"Outreach for Socially Disadvantaged Farmers, National Institute of Food and Agriculture, Agriculture",405250.82,1019620.6
"Department of Agriculture","Office of the Secretary",280,"Office of the Assistant Secretary for Civil Rights, Agriculture",8294.76,558785.54
"Department of Agriculture","Office of the Secretary",286,"Office of Communications, Agriculture",0,92943.3
"Department of Agriculture","Office of the Secretary",266,"Homeland Security Staff, Agriculture",0,5962.28
"Department of Agriculture","Office of the Secretary",281,"Office of Tribal Relations, Agriculture",0,2078.74
"Department of Agriculture","Office of the Secretary",282,"Office of Advocacy and Outreach, Executive Operations, Agriculture",0,144218.03
"Department of Agriculture","Office of the Secretary",476,"Gifts and Bequests, Agriculture",30385.22,5194764.64
"Department of Agriculture","Executive Operations",273,"Office of the Chief Economist, Executive Operations, Agriculture",2502893.55,6756599.41
"Department of Agriculture","Executive Operations",299,"Office of Hearings and Appeals Division, Executive Operations, Agriculture",2939538.07,2395213.11
"Department of Agriculture","Executive Operations",296,"Office of Budget and Program Analysis, Executive Operations, Agriculture",2036213.87,5194826.01
"Department of Agriculture","Executive Operations",267,"Expenses, Common Computing Environment, Agriculture",0,35128.15
