"agency","subagency","recipient","obligation"
"Department of Defense","Department of the Navy","LOCKHEED MARTIN CORPORATION",28877165619.42
"Department of Defense","Department of the Air Force","LOCKHEED MARTIN CORPORATION",8139177263.94
"Department of Defense","Department of the Navy","HUNTINGTON INGALLS INCORPORATED",6465748099.42
"Department of Defense","Department of the Air Force","BOEING COMPANY THE",5822670178.65
"Department of Veterans Affairs","Department of Veterans Affairs","MCKESSON CORPORATION",5544077018.63
"Department of Defense","Department of the Navy","ELECTRIC BOAT CORPORATION",5228237737.3
"Department of Defense","Department of the Navy","RAYTHEON COMPANY",4974768964.04
"Department of Defense","Department of the Army","LOCKHEED MARTIN CORPORATION",3967743736
"Department of Defense","Department of the Navy","NORTHROP GRUMMAN SYSTEMS CORPORATION",3752454406.45
"Department of Defense","Department of the Navy","BOEING COMPANY THE",3678705307.4
"Department of Defense","Defense Health Agency","HUMANA MILITARY HEALTHCARE SERVICES INC",3629433963.31
"Department of Defense","Department of the Air Force","THE BOEING COMPANY",2938064654.86
"Department of Defense","Defense Health Agency","HEALTH NET FEDERAL SERVICES LLC",2899550250.97
"Department of Defense","Defense Health Agency","UNITEDHEALTH MILITARY & VETERANS SERVICES LLC",2896717035.48
"Department of Defense","Department of the Army","RAYTHEON COMPANY",2867706711.63
"Department of Defense","Department of the Navy","THE BOEING COMPANY",2821674138.3
"Department of Defense","Defense Logistics Agency","MCKESSON CORPORATION",2817862689.71
"Department of Defense","Department of the Air Force","NORTHROP GRUMMAN SYSTEMS CORPORATION",2685527017.34
"Department of Defense","Department of the Air Force","RAYTHEON COMPANY",2563181115.62
"Department of Defense","Department of the Army","BOEING COMPANY THE",2497764035.89
"Department of Defense","Department of the Navy","BELL BOEING JOINT PROJECT OFFICE",2440474872.17
"Department of Veterans Affairs","Department of Veterans Affairs","TRIWEST HEALTHCARE ALLIANCE CORP",2439904195.98
"Department of Energy","Department of Energy","CONSOLIDATED NUCLEAR SECURITY LLC",2342917430.34
"National Aeronautics and Space Administration","National Aeronautics and Space Administration","CALIFORNIA INSTITUTE OF TECHNOLOGY",2292005232.67
"Department of Defense","Defense Logistics Agency","AMERISOURCEBERGEN DRUG CORPORATION",2217502247.7
"Department of Energy","Department of Energy","LOS ALAMOS NATIONAL SECURITY LIMITED LIABILITY COMPANY",2144362470.06
"Department of Defense","Department of the Army","SIKORSKY AIRCRAFT CORPORATION",2107716972.23
"Department of Defense","Department of the Air Force","L-3 COMMUNICATIONS CORPORATION",2053314158.96
"Department of Defense","Department of the Navy","BATH IRON WORKS CORPORATION",2012518464.41
"Department of Defense","Department of the Air Force","UNITED LAUNCH SERVICES LLC",1951439118.44
"Department of Defense","Department of the Navy","Other",1919646738.13
"Department of Energy","Department of Energy","NATIONAL TECHNOLOGY & ENGINEERING SOLUTIONS OF SANDIA LLC",1903853331.21
"Department of Defense","Department of the Army","GENERAL DYNAMICS LAND SYSTEMS INC",1791682755.65
"Department of Health and Human Services","Centers for Disease Control and Prevention","MERCK SHARP & DOHME CORP",1727079245.49
"Department of Veterans Affairs","Department of Veterans Affairs","HEALTH NET FEDERAL SERVICES LLC",1700830027.78
"Department of Defense","Department of the Navy","BECHTEL MARINE PROPULSION CORPORATION",1653076924.02
"Department of Veterans Affairs","Department of Veterans Affairs","Other",1636634913.08
"Agency for International Development","Agency for International Development","CHEMONICS INTERNATIONAL INC",1631477250.96
"Department of State","Department of State","BL HARBERT INTERNATIONAL LLC",1569174577.52
"Department of Energy","Department of Energy","LAWRENCE LIVERMORE NATIONAL SECURITY LIMITED LIABILITY COMPANY",1523417513.62
"Department of Defense","Department of the Navy","BECHTEL PLANT MACHINERY INC",1479971767
"Department of Defense","Department of the Army","Other",1458548991.62
"Department of Defense","Defense Logistics Agency","ATLANTIC DIVING SUPPLY INC",1446616623.05
"Department of Defense","Department of the Air Force","Other",1419378659.74
"Department of Defense","Missile Defense Agency","RAYTHEON COMPANY",1391743371.08
"Department of Defense","Department of the Air Force","GENERAL ATOMICS AERONAUTICAL SYSTEMS INC",1379608540.51
"Department of Defense","Department of the Army","OSHKOSH DEFENSE LLC",1347060403.35
"Department of Energy","Department of Energy","UT BATTELLE LIMITED LIABILITY COMPANY",1308992270.9
"Department of Energy","Department of Energy","BECHTEL MARINE PROPULSION CORPORATION",1290396878.11
"Department of Defense","Defense Logistics Agency","Other",1201447738.36
"Department of Defense","Department of the Air Force","UNITED TECHNOLOGIES CORPORATION",1190576623.73
"Department of Defense","Missile Defense Agency","LOCKHEED MARTIN CORPORATION",1155449423.19
"Department of Defense","Department of the Army","NORTHROP GRUMMAN SYSTEMS CORPORATION",1149968813.92
"National Aeronautics and Space Administration","National Aeronautics and Space Administration","LOCKHEED MARTIN CORPORATION",1146660417.78
"Department of State","Department of State","CADDELL CONSTRUCTION CO DE LLC",1119500133.65
"Department of Health and Human Services","Centers for Disease Control and Prevention","PFIZER INC",1114669273.92
"Department of Defense","Department of the Navy","SIKORSKY AIRCRAFT CORPORATION",1065440694.58
"Department of Defense","Defense Logistics Agency","BP PRODUCTS NORTH AMERICA INC",1034063822.83
"Department of Energy","Department of Energy","BATTELLE ENERGY ALLIANCE LIMITED LIABILITY COMPANY",1031504895.09
"Department of Defense","Missile Defense Agency","BOEING COMPANY THE",1014194976.72
"Department of Defense","Department of the Air Force","MASSACHUSETTS INSTITUTE OF TECHNOLOGY",1003672233.44
"Department of Defense","Department of the Army","THE BOEING COMPANY",992694374.49
"National Aeronautics and Space Administration","National Aeronautics and Space Administration","SPACE EXPLORATION TECHNOLOGIES CORP",976386625.59
"Department of Energy","Department of Energy","SAVANNAH RIVER NUCLEAR SOLUTIONS LLC",974067418.4
"Department of Energy","Department of Energy","SANDIA CORP",959878968.23
"Department of Defense","Department of the Army","RAYTHEON TECHNICAL SERVICES COMPANY LIMITED LIABILITY COMPANY 5772",930918333.74
"Department of Defense","Department of the Army","SCIENCE APPLICATIONS INTERNATIONAL CORPORATION",906497737.15
"Department of Defense","Department of the Navy","UNITED TECHNOLOGIES CORPORATION",902367985.42
"Department of Defense","Department of the Navy","GENERAL ELECTRIC COMPANY",888532073.43
"Department of Defense","Department of the Air Force","THE AEROSPACE CORPORATION",886027468.9
"Department of Energy","Department of Energy","BATTELLE MEMORIAL INSTITUTE",868816823.8
"National Aeronautics and Space Administration","National Aeronautics and Space Administration","THE BOEING COMPANY",866469101.94
"Department of Energy","Department of Energy","THE REGENTS OF THE UNIVERSITY OF CALIFORNIA 1741",862665030.72
"Department of Defense","Department of the Army","BOOZ ALLEN HAMILTON INC",853588866.72
"Department of Defense","Department of the Navy","NATIONAL STEEL AND SHIPBUILDING COMPANY",850904737.2
"Department of Defense","Department of the Army","AM GENERAL LLC",832582129.39
