cluster_final,coc_number,coc_name,Total_Year_Round_Beds,density,weighted_income,weighted_estimate_median_gross_rent,rent_pct_income,land_area,estimated_pop_2018,total_homeless,homeless_individuals,homeless_people_in_families
1,CA-501,San Francisco CoC,2759,18141.2844,16184,1880,1.393969352,46.87,883305,6857,6211,646
1,NJ-506,Jersey City/Bayonne/Hudson County CoC,377,14473.39251,13431,1419,1.267813268,46.19,676061,860,672,188
1,PA-500,Philadelphia CoC,5324,11632.64728,7708,1032,1.606642449,134.1,1584138,5788,3589,2199
1,DC-500,District of Columbia CoC,7402,10794.57821,10777,1516,1.688039343,61.05,702455,6904,3770,3134
1,MD-501,Baltimore City CoC,2429,7672.349889,7753,1057,1.636011866,80.94,602495,2508,2117,391
1,NJ-504,Newark/Essex County CoC,1905,6279.898582,10947,1187,1.301178405,126.21,799767,2228,1367,861
1,NJ-501,Bergen County CoC,368,3992.575426,19952,1459,0.877506014,233.01,936692,354,223,131
1,WI-501,Milwaukee City & County CoC,1106,3957.357084,10331,861,1.000096796,241.4,948201,871,658,213
1,FL-502,St. Petersburg/Clearwater/Largo/Pinellas County CoC,2047,3431.512053,12598,1119,1.065883474,273.8,975280,2612,2253,359
1,VA-601,Fairfax County CoC,760,2911.575741,30148,1851,0.736765291,397.21,1150795,987,499,488
1,IL-514,DuPage County CoC,351,2860.831335,20067,1178,0.704440126,325.26,930514,295,171,124
1,GA-508,DeKalb County CoC,341,2778.254529,11900,1018,1.026554622,260.56,723902,321,170,151
1,OH-502,Cleveland/Cuyahoga County CoC,1603,2753.144207,9284,795,1.027574321,457.19,1243857,1808,1377,431
1,NJ-507,New Brunswick/Middlesex County CoC,224,2692.861999,19844,1467,0.887119532,308.91,829685,597,355,242
1,MA-516,Massachusetts Balance of State CoC,1626,2358.399882,15093.5,1592.5,1.266107927,473.34,1512640,2296,645,1651
1,IN-503,Indianapolis CoC,1750,2352.112036,10559,882,1.002367648,396.3,954670,1682,1299,383
1,OH-503,Columbus/Franklin County CoC,1229,2315.184427,14161,965,0.81773886,532.19,1310300,1807,1241,566
1,NY-604,Yonkers/Mount Vernon/New Rochelle/Westchester CoC,1820,2251.40302,17442,1483,1.020295838,430.5,967612,1827,611,1216
1,MN-500,Minneapolis/Hennepin County CoC,2894,2184.405426,16761,1139,0.815464471,553.59,1259428,3013,1692,1321
1,GA-506,Marietta/Cobb County CoC,285,2145.156825,21019,1236,0.705647272,339.55,756865,384,245,139
1,MD-601,Montgomery County CoC,510,2089.304835,24790,1746,0.845179508,491.25,1052567,840,568,272
1,KY-501,Louisville/Jefferson County CoC,917,1997.0664,12335,874,0.850263478,380.42,770517,926,703,223
1,OH-500,Cincinnati/Hamilton County CoC,971,1985.57562,11401,803,0.845189019,405.91,816684,1114,831,283
1,MO-500,St. Louis County CoC,411,1970.38204,15758,966,0.735626349,507.8,996945,450,258,192
1,NC-505,Charlotte/Mecklenberg CoC,1187,1931.45617,16286,1162,0.856195505,523.84,1093901,1668,1133,535
1,MD-600,Prince George`s County/Maryland CoC,389,1859.771282,21484,1459,0.814932042,482.69,909308,478,205,273
1,OR-501,Portland-Gresham-Multnomah County CoC,2562,1804.296313,14907,1280,1.030388408,431.3,811880,4019,3394,625
1,MI-503,St. Clair Shores/Warren/Macomb County CoC,306,1793.963107,15777,933,0.709640616,479.22,874759,270,197,73
1,LA-503,New Orleans/Jefferson Parish CoC,1053,1759.221589,9123,970,1.275896087,465.05,825057,1188,1057,131
1,PA-504,Lower Marion/Norristown/Abington/Montgomery County CoC,289,1689.044386,21747,1257,0.693612912,483.04,828604,291,141,150
1,PA-600,Pittsburgh/McKeesport/Penn Hills/Allegheny County CoC,1092,1685.263057,12631,880,0.836038318,730.07,1218452,783,509,274
1,CA-512,Daly/San Mateo County CoC,637,1683.164961,25039,2389,1.144933903,448.41,769545,1238,811,427
1,HI-501,Honolulu CoC,3216,1642.972001,20074,1726,1.031782405,600.74,980080,4495,2905,1590
1,IL-502,Waukegan/North Chicago/Lake County CoC,228,1584.263078,19003,1199,0.757143609,443.67,700832,277,161,116
1,CA-505,Richmond/Contra Costa County CoC,677,1547.510965,22513,1827,0.973837338,715.94,1150215,2234,1955,279
1,CA-503,Sacramento City & County CoC,1431,1533.52546,14704,1300,1.0609358,964.64,1540975,3621,3104,517
1,CT-503,Bridgeport/Norwalk /Stamford/Fairfield County CoC,755,1506.854006,17432,1439,0.990592015,624.89,943823,741,432,309
1,UT-500,Salt Lake City & County CoC,1711,1471.840815,20039,1140,0.682668796,742.28,1152633,1804,1184,620
1,MI-504,Pontiac/Royal Oak/Oakland County CoC,269,1423.616394,17622,1033,0.703438883,867.66,1259201,427,293,134
1,MD-505,Baltimore County CoC,450,1380.020057,17743,1255,0.848785437,598.3,828431,758,429,329
1,NJ-508,Monmouth County CoC,246,1338.620704,20398,1402,0.824786744,468.79,621354,335,187,148
1,TN-504,Nashville/Davidson County CoC,1783,1325.089776,14696,1121,0.915351116,504.03,692587,2298,2103,195
1,GA-502,Fulton County Continuum of Care,264,1308.951311,14086,1230,1.047848928,400.5,1050114,222,115,107
1,FL-501,Tampa/Hillsborough County CoC,1108,1296.849668,13189,1161,1.056334824,1020.21,1436888,1795,1193,602
1,MA-510,"Gloucester, Haverhill, Salem/Essex County CoC",693,1255.987702,14724,1278,1.041564792,474.89,790638,732,240,492
1,TN-501,Memphis/Shelby County CoC,1524,1227.760525,8814,902,1.22804629,763.17,935764,1226,878,348
1,KS-505,Overland Park/Shawnee/Johnson County CoC,161,1209.261254,22279,1109,0.597333812,473.37,597555,168,64,104
1,NC-507,Raleigh/Wake County CoC,736,1195.584397,20699,1164,0.674815208,835.22,1092305,983,665,318
1,TX-503,Austin/Travis County CoC,1309,1159.539487,16776,1321,0.944921316,990.2,1248743,2147,1595,552
1,NY-500,Rochester/Irondequoit/Greece/Monroe County CoC,637,1140.025258,12257,919,0.899730766,657.21,742474,835,543,292
1,MO-604,"Kansas City, Independence, Lee's Summit/Jackson, Wyandotte Counties CoC",1831,1118.191678,12062,915,0.9102968,756.06,865631,1798,1200,598
1,OK-501,Tulsa City & County/Broken Arrow CoC,848,1104.468216,12967,858,0.794015578,570.25,648360,1083,876,207
1,OK-502,Oklahoma City CoC,1357,1078.832426,12674,883,0.836042291,708.82,792582,1183,940,243
1,PA-511,Bristol/Bensalem/Bucks County CoC,467,1036.256226,22319,1267,0.681213316,604.31,628195,397,194,203
