"cluster_final","coc_number","coc_name","Total_Year_Round_Beds","density","weighted_income","weighted_estimate_median_gross_rent","rent_pct_income","land_area","estimated_pop_2018","total_homeless","homeless_individuals","homeless_people_in_families","CoC_program_funding","Other_program_funding"
"1","CA-501","San Francisco CoC",2759,18141.2844,16184,1880,1.39396935244686,46.87,883305,6857,6211,646,42065399.79,486244.86
"1","NJ-506","Jersey City/Bayonne/Hudson County CoC",377,14473.39251,13431,1419,1.26781326781327,46.19,676061,860,672,188,5521821.64,1523827.91
"1","PA-500","Philadelphia CoC",5324,11632.64728,7708,1032,1.60664244940322,134.1,1584138,5788,3589,2199,30416568.7,3611899.83
"1","DC-500","District of Columbia CoC",7402,10794.57821,10777,1516,1.68803934304537,61.05,702455,6904,3770,3134,18305222.87,677912.57
"1","MD-501","Baltimore City CoC",2429,7672.349889,7753,1057,1.63601186637431,80.94,602495,2508,2117,391,17778654.77,2810669.52
"1","NJ-504","Newark/Essex County CoC",1905,6279.898582,10947,1187,1.30117840504248,126.21,799767,2228,1367,861,2614855.77,2057634.8
"1","NJ-501","Bergen County CoC",368,3992.575426,19952,1459,0.877506014434643,233.01,936692,354,223,131,4479022,839560.84
"1","WI-501","Milwaukee City & County CoC",1106,3957.357084,10331,861,1.00009679605072,241.4,948201,871,658,213,10164507.7,1767415
"1","FL-502","St. Petersburg/Clearwater/Largo/Pinellas County CoC",2047,3431.512053,12598,1119,1.06588347356723,273.8,975280,2612,2253,359,6816366.01,1393059.83
"1","VA-601","Fairfax County CoC",760,2911.575741,30148,1851,0.736765291229932,397.21,1150795,987,499,488,8618571.82,570378.61
"1","IL-514","DuPage County CoC",351,2860.831335,20067,1178,0.704440125579309,325.26,930514,295,171,124,2302500.84,589422.36
"1","GA-508","DeKalb County CoC",341,2778.254529,11900,1018,1.02655462184874,260.56,723902,321,170,151,3362535.55,745389.45
"1","OH-502","Cleveland/Cuyahoga County CoC",1603,2753.144207,9284,795,1.02757432141318,457.19,1243857,1808,1377,431,26788554.01,3157824.83
"1","NJ-507","New Brunswick/Middlesex County CoC",224,2692.861999,19844,1467,0.887119532352348,308.91,829685,597,355,242,2606379.34,225347.78
"1","MA-516","Massachusetts Balance of State CoC",1626,2358.399882,15093.5,1592.5,1.26610792725345,473.34,1512640,2296,645,1651,513272.08,731267
"1","IN-503","Indianapolis CoC",1750,2352.112036,10559,882,1.00236764845156,396.3,954670,1682,1299,383,9566122.98,4992855.07
"1","OH-503","Columbus/Franklin County CoC",1229,2315.184427,14161,965,0.817738860249982,532.19,1310300,1807,1241,566,886735.77,6700389.28
"1","NY-604","Yonkers/Mount Vernon/New Rochelle/Westchester CoC",1820,2251.40302,17442,1483,1.0202958376333,430.5,967612,1827,611,1216,14901325.14,376840.91
"1","MN-500","Minneapolis/Hennepin County CoC",2894,2184.405426,16761,1139,0.81546447109361,553.59,1259428,3013,1692,1321,7805378.61,2465002.44
"1","GA-506","Marietta/Cobb County CoC",285,2145.156825,21019,1236,0.705647271516247,339.55,756865,384,245,139,1443839.14,224517.5
"1","MD-601","Montgomery County CoC",510,2089.304835,24790,1746,0.845179507866075,491.25,1052567,840,568,272,7329548.06,656940
"1","KY-501","Louisville/Jefferson County CoC",917,1997.0664,12335,874,0.850263477908391,380.42,770517,926,703,223,8754789.81,824008.13
"1","OH-500","Cincinnati/Hamilton County CoC",971,1985.57562,11401,803,0.845189018507148,405.91,816684,1114,831,283,1291478.63,1323273.51
"1","MO-500","St. Louis County CoC",411,1970.38204,15758,966,0.735626348521386,507.8,996945,450,258,192,795272.92,924737
"1","NC-505","Charlotte/Mecklenberg CoC",1187,1931.45617,16286,1162,0.856195505342011,523.84,1093901,1668,1133,535,6629888.71,957237
"1","MD-600","Prince George`s County/Maryland CoC",389,1859.771282,21484,1459,0.814932042450195,482.69,909308,478,205,273,4411163.9,422670.34
"1","OR-501","Portland-Gresham-Multnomah County CoC",2562,1804.296313,14907,1280,1.03038840813041,431.3,811880,4019,3394,625,20981686.57,930812.78
"1","MI-503","St. Clair Shores/Warren/Macomb County CoC",306,1793.963107,15777,933,0.709640616086708,479.22,874759,270,197,73,145495,-0.22
"1","LA-503","New Orleans/Jefferson Parish CoC",1053,1759.221589,9123,970,1.27589608681355,465.05,825057,1188,1057,131,19179566.71,1990006.51
"1","PA-504","Lower Marion/Norristown/Abington/Montgomery County CoC",289,1689.044386,21747,1257,0.69361291212581,483.04,828604,291,141,150,3385297.09,268245.44
"1","PA-600","Pittsburgh/McKeesport/Penn Hills/Allegheny County CoC",1092,1685.263057,12631,880,0.836038318422928,730.07,1218452,783,509,274,-338003,2261203
"1","CA-512","Daly/San Mateo County CoC",637,1683.164961,25039,2389,1.14493390311115,448.41,769545,1238,811,427,12089765.56,305867.62
"1","HI-501","Honolulu CoC",3216,1642.972001,20074,1726,1.03178240510113,600.74,980080,4495,2905,1590,8473129.44,1766915.38
"1","IL-502","Waukegan/North Chicago/Lake County CoC",228,1584.263078,19003,1199,0.757143608903857,443.67,700832,277,161,116,796856.43,224136.75
"1","CA-505","Richmond/Contra Costa County CoC",677,1547.510965,22513,1827,0.973837338426687,715.94,1150215,2234,1955,279,15830269.42,341651.32
"1","CA-503","Sacramento City & County CoC",1431,1533.52546,14704,1300,1.06093579978237,964.64,1540975,3621,3104,517,21040991.77,11397889.51
"1","CT-503","Bridgeport/Norwalk /Stamford/Fairfield County CoC",755,1506.854006,17432,1439,0.990592014685636,624.89,943823,741,432,309,4016154.68,1709430.64
"1","UT-500","Salt Lake City & County CoC",1711,1471.840815,20039,1140,0.682668795848096,742.28,1152633,1804,1184,620,7287796.4,1792196.94
"1","MI-504","Pontiac/Royal Oak/Oakland County CoC",269,1423.616394,17622,1033,0.703438883214164,867.66,1259201,427,293,134,7009236.03,1111316
"1","MD-505","Baltimore County CoC",450,1380.020057,17743,1255,0.848785436510173,598.3,828431,758,429,329,6529305.1,13980.37
"1","NJ-508","Monmouth County CoC",246,1338.620704,20398,1402,0.824786743798412,468.79,621354,335,187,148,5576521.5,276403
"1","TN-504","Nashville/Davidson County CoC",1783,1325.089776,14696,1121,0.915351115949918,504.03,692587,2298,2103,195,3084631.23,4035139
"1","GA-502","Fulton County Continuum of Care",264,1308.951311,14086,1230,1.04784892801363,400.5,1050114,222,115,107,NA,NA
"1","FL-501","Tampa/Hillsborough County CoC",1108,1296.849668,13189,1161,1.05633482447494,1020.21,1436888,1795,1193,602,4690165.79,798687.92
"1","MA-510","Gloucester, Haverhill, Salem/Essex County CoC",693,1255.987702,14724,1278,1.04156479217604,474.89,790638,732,240,492,1040379.06,449313
"1","TN-501","Memphis/Shelby County CoC",1524,1227.760525,8814,902,1.22804628999319,763.17,935764,1226,878,348,6052141.37,518869.93
"1","KS-505","Overland Park/Shawnee/Johnson County CoC",161,1209.261254,22279,1109,0.597333812110059,473.37,597555,168,64,104,286789.48,0
"1","NC-507","Raleigh/Wake County CoC",736,1195.584397,20699,1164,0.674815208464177,835.22,1092305,983,665,318,4537685.76,10623633.58
"1","TX-503","Austin/Travis County CoC",1309,1159.539487,16776,1321,0.944921316165951,990.2,1248743,2147,1595,552,6290747.65,10723944.26
"1","NY-500","Rochester/Irondequoit/Greece/Monroe County CoC",637,1140.025258,12257,919,0.899730766092845,657.21,742474,835,543,292,7696039.79,1197554.48
"1","MO-604","Kansas City, Independence, Lee's Summit/Jackson, Wyandotte Counties CoC",1831,1118.191678,12062,915,0.910296799867352,756.06,865631,1798,1200,598,9803175,839719.46
"1","OK-501","Tulsa City & County/Broken Arrow CoC",848,1104.468216,12967,858,0.794015578005707,570.25,648360,1083,876,207,2727187,282558.5
"1","OK-502","Oklahoma City CoC",1357,1078.832426,12674,883,0.836042291305034,708.82,792582,1183,940,243,3920624.23,3042175.9
"1","PA-511","Bristol/Bensalem/Bucks County CoC",467,1036.256226,22319,1267,0.681213316008782,604.31,628195,397,194,203,787597,175337.55
"1","RI-500","Rhode Island Statewide CoC",1069,1020.004643,16765.75,1104.25,0.790361302059258,1033.81,1008666,1101,747,354,5158764.52,2516468.94
"2","NJ-510","Lakewood Township/Ocean County CoC",127,932.2274882,17176,1435,1.00256171401956,628.78,601651,354,193,161,-68489,-71003
"2","FL-603","Ft Myers/Cape Coral/Lee County CoC",286,868.0195281,13123,1190,1.08816581574335,784.51,754610,728,423,305,1689189,-3880.73
"2","NJ-503","Camden City/Camden, Cumberland, Gloucester, Cape May Counties CoC",795,824.1452139,15187,1133.75,0.895831961546059,1278.39,1042018,999,705,294,2241593.62,821895.4
"2","TX-603","El Paso City & County CoC",1259,823.1462738,9793,801,0.98151741039518,1012.69,840758,892,572,320,2416001.93,1198179.52
"2","OR-506","Hillsboro/Beaverton/Washington County CoC",248,778.8796377,22480,1386,0.739857651245552,724.23,597695,522,407,115,3540331.37,181923
