report_date,today
2008-02-21,515
2008-02-22,101
2008-02-25,135
2008-02-27,76
2008-02-29,196
2008-03-06,184
2008-03-12,73
2008-03-14,74
2008-03-19,385
2008-03-20,246
2008-03-21,57
2008-03-24,146
2008-03-25,132
2008-03-26,57
2008-03-27,176
2008-03-31,146
2008-04-01,89
2008-04-03,60
2008-04-04,176
2008-04-07,75
2008-04-18,153
2008-04-21,349
2008-04-23,52
2008-04-24,190
2008-04-25,159
2008-04-30,159
2008-05-01,74
2008-05-07,125
2008-05-12,64
2008-05-20,212
2008-05-21,444
2008-05-22,105
2008-05-23,193
2008-05-28,75
2008-05-29,60
2008-05-30,100
2008-06-02,54
2008-06-04,80
2008-06-09,58
2008-06-17,73
2008-06-18,319
2008-06-20,236
2008-06-23,159
2008-06-24,139
2008-06-25,153
2008-06-30,90
2008-07-01,74
2008-07-16,198
2008-07-18,151
2008-07-21,302
2008-07-22,153
2008-07-23,120
2008-07-24,207
2008-07-25,123
2008-07-28,64
2008-07-31,98
2008-08-01,94
2008-08-07,91
2008-08-20,449
2008-08-21,264
2008-08-22,207
2008-08-25,127
2008-08-29,136
2008-09-11,57
2008-09-12,122
2008-09-18,50
2008-09-19,410
2008-09-22,229
2008-09-23,98
2008-09-24,179
2008-09-25,138
2008-09-26,91
2008-09-30,98
2008-10-01,76
2008-10-08,68
2008-10-10,102
2008-10-16,58
2008-10-17,56
2008-10-20,54
2008-10-21,83
2008-10-22,162
2008-10-23,448
2008-10-24,251
2008-10-27,55
2008-10-30,104
2008-10-31,98
2008-11-03,50
2008-11-06,96
2008-11-19,393
2008-11-20,128
2008-11-21,144
2008-11-24,173
2008-11-25,181
2008-11-26,171
2008-12-01,58
2008-12-03,73
2008-12-04,51
2008-12-05,104
2008-12-17,53
2008-12-18,73
2008-12-19,311
2008-12-22,319
2008-12-23,150
2008-12-24,189
2008-12-30,63
2008-12-31,217
2009-01-06,76
2009-01-08,90
2009-01-14,61
2009-01-20,171
2009-01-21,210
2009-01-22,374
2009-01-23,292
2009-01-28,52
2009-01-29,55
2009-01-30,123
2009-02-06,70
2009-02-13,50
2009-02-18,51
2009-02-19,129
2009-02-20,110
2009-02-23,424
2009-02-24,147
2009-02-25,136
2009-02-26,101
2009-02-27,149
2009-03-06,128
2009-03-18,71
2009-03-19,140
2009-03-20,147
2009-03-23,127
2009-03-24,483
2009-03-25,171
2009-03-31,122
