report_date,today
2014-10-01,1396
2014-10-02,1298
2014-10-03,1297
2014-10-06,1201
2014-10-07,1180
2014-10-08,1498
2014-10-09,1209
2014-10-10,1092
2014-10-14,1558
2014-10-15,2071
2014-10-16,1701
2014-10-17,1821
2014-10-20,1559
2014-10-21,1544
2014-10-22,1996
2014-10-23,2367
2014-10-24,1541
2014-10-27,1526
2014-10-28,1547
2014-10-29,1753
2014-10-30,1318
2014-10-31,1274
2014-11-03,1229
2014-11-04,1242
2014-11-05,1721
2014-11-06,1373
2014-11-07,1189
2014-11-10,1158
2014-11-12,2011
2014-11-13,1786
2014-11-14,1614
2014-11-17,1480
2014-11-18,1353
2014-11-19,1940
2014-11-20,1767
2014-11-21,1661
2014-11-24,2247
2014-11-25,2043
2014-11-26,1661
2014-11-28,1840
2014-12-01,1594
2014-12-02,1421
2014-12-03,1826
2014-12-04,1752
2014-12-05,1157
2014-12-08,1206
2014-12-09,1594
2014-12-10,1441
2014-12-11,1053
2014-12-12,672
2014-12-15,651
2014-12-16,1225
2014-12-17,1916
2014-12-18,1693
2014-12-19,1547
2014-12-22,1609
2014-12-23,2050
2014-12-24,3313
2014-12-26,1469
2014-12-29,1205
2014-12-30,1919
2014-12-31,2307
2015-01-02,2160
2015-01-05,1343
2015-01-06,1741
2015-01-07,1484
2015-01-08,753
2015-01-09,733
2015-01-12,834
2015-01-13,1516
2015-01-14,1751
2015-01-15,1218
2015-01-16,1415
2015-01-20,1873
2015-01-21,2022
2015-01-22,2100
2015-01-23,1713
2015-01-26,1744
2015-01-27,2273
2015-01-28,1775
2015-01-29,1769
2015-01-30,1281
2015-02-02,1229
2015-02-03,1217
2015-02-04,1442
2015-02-05,1409
2015-02-06,1294
2015-02-09,1368
2015-02-10,1304
2015-02-11,1509
2015-02-12,1439
2015-02-13,1376
2015-02-17,1606
2015-02-18,2152
2015-02-19,2157
2015-02-20,1868
2015-02-23,1706
2015-02-24,1671
2015-02-25,2474
2015-02-26,1912
2015-02-27,1539
2015-03-02,1236
2015-03-03,1414
2015-03-04,1538
2015-03-05,1182
2015-03-06,1258
2015-03-09,1251
2015-03-10,1236
2015-03-11,1503
2015-03-12,1305
2015-03-13,1175
2015-03-16,1222
2015-03-17,1631
2015-03-18,1779
2015-03-19,1520
2015-03-20,1713
2015-03-23,1722
2015-03-24,1679
2015-03-25,2585
2015-03-26,1661
2015-03-27,1426
2015-03-30,1362
2015-03-31,2002
2015-04-01,1507
2015-04-02,1233
2015-04-03,1289
2015-04-06,1290
2015-04-07,1094
2015-04-08,1587
2015-04-09,1187
2015-04-10,1157
2015-04-13,1146
2015-04-14,1617
2015-04-15,1541
2015-04-16,1335
2015-04-17,1536
2015-04-20,1309
2015-04-21,1619
2015-04-22,1856
2015-04-23,1905
2015-04-24,1422
2015-04-27,1405
2015-04-28,1615
2015-04-29,1555
2015-04-30,1353
2015-05-01,1443
2015-05-04,1462
2015-05-05,1504
2015-05-06,1790
2015-05-07,1505
2015-05-08,1368
2015-05-11,1316
2015-05-12,1650
2015-05-13,1557
2015-05-14,1383
2015-05-15,1462
2015-05-18,1423
2015-05-19,1582
2015-05-20,1973
2015-05-21,1818
2015-05-22,1702
2015-05-26,2258
2015-05-27,2426
2015-05-28,2148
2015-05-29,1449
2015-06-01,1401
2015-06-02,1264
2015-06-03,1543
2015-06-04,1268
2015-06-05,1154
2015-06-08,1160
2015-06-09,1054
2015-06-10,1153
2015-06-11,1211
2015-06-12,1291
2015-06-15,1368
2015-06-16,1377
2015-06-17,1795
2015-06-18,1698
2015-06-19,1567
2015-06-22,2017
2015-06-23,1774
2015-06-24,2148
2015-06-25,1449
2015-06-26,1566
2015-06-29,1617
2015-06-30,1377
2015-07-01,1684
2015-07-02,1369
2015-07-03,805
2015-07-06,1095
2015-07-07,1337
2015-07-08,1680
2015-07-09,1175
2015-07-10,1159
2015-07-13,1268
2015-07-14,1402
2015-07-15,1539
