report_date,today
2005-06-09,833
2005-06-10,900
2005-06-13,803
2005-06-14,765
2005-06-15,1346
2005-06-16,1124
2005-06-17,1136
2005-06-20,1000
2005-06-21,1529
2005-06-22,1526
2005-06-23,959
2005-06-24,1095
2005-06-27,806
2005-06-28,1496
2005-06-29,1561
2005-06-30,920
2005-07-01,5249
2005-07-05,898
2005-07-06,1621
2005-07-07,1218
2005-07-08,1002
2005-07-11,900
2005-07-12,1106
2005-07-13,1387
2005-07-14,976
2005-07-15,1126
2005-07-18,894
2005-07-19,1003
2005-07-20,941
2005-07-21,1100
2005-07-22,1323
2005-07-25,1033
2005-07-26,1451
2005-07-27,1622
2005-07-28,1089
2005-07-29,1103
2005-08-01,4972
2005-08-02,1363
2005-08-03,1421
2005-08-04,786
2005-08-05,1107
2005-08-08,824
2005-08-09,1091
2005-08-10,1116
2005-08-11,930
2005-08-12,996
2005-08-15,821
2005-08-16,1315
2005-08-17,1219
2005-08-18,942
2005-08-19,1176
2005-08-22,983
2005-08-23,1380
2005-08-24,1552
2005-08-25,1073
2005-08-26,1116
2005-08-29,921
2005-08-30,1349
2005-08-31,1288
2005-09-01,5410
2005-09-02,868
2005-09-06,911
2005-09-07,1618
2005-09-08,1517
2005-09-09,1104
2005-09-12,786
2005-09-13,1222
2005-09-14,1177
2005-09-15,835
2005-09-16,959
2005-09-19,833
2005-09-20,896
2005-09-21,1431
2005-09-22,1105
2005-09-23,1240
2005-09-26,985
2005-09-27,1527
2005-09-28,1411
2005-09-29,974
2005-09-30,5337
2005-10-03,951
2005-10-04,1287
2005-10-05,1384
2005-10-06,935
2005-10-07,953
2005-10-11,1116
2005-10-12,1452
2005-10-13,1261
2005-10-14,937
2005-10-17,926
2005-10-18,1219
2005-10-19,1506
2005-10-20,1083
2005-10-21,1143
2005-10-24,1084
2005-10-25,1444
2005-10-26,1438
2005-10-27,900
2005-10-28,1052
2005-10-31,912
2005-11-01,5493
2005-11-02,1429
2005-11-03,964
2005-11-04,912
2005-11-07,825
2005-11-08,1216
2005-11-09,1040
2005-11-10,1017
2005-11-14,1021
2005-11-15,1418
2005-11-16,1614
2005-11-17,1206
2005-11-18,1187
2005-11-21,1017
2005-11-22,1546
2005-11-23,1705
2005-11-25,983
2005-11-28,1032
2005-11-29,1590
2005-11-30,1756
2005-12-01,5597
2005-12-02,1097
2005-12-05,915
2005-12-06,1264
2005-12-07,1090
2005-12-08,905
2005-12-09,605
2005-12-12,572
2005-12-13,1175
2005-12-14,1283
2005-12-15,1069
2005-12-16,1038
2005-12-19,924
2005-12-20,1391
2005-12-21,1429
2005-12-22,1277
2005-12-23,1047
2005-12-27,881
2005-12-28,2210
2005-12-29,1345
2005-12-30,1272
2006-01-03,7815
2006-01-04,1888
2006-01-05,1345
2006-01-06,1100
2006-01-09,867
2006-01-10,724
2006-01-11,1249
2006-01-12,1245
2006-01-13,1058
2006-01-17,1105
2006-01-18,1253
2006-01-19,1245
2006-01-20,1201
2006-01-23,1037
2006-01-24,1421
2006-01-25,1550
2006-01-26,1121
2006-01-27,1131
2006-01-30,909
2006-01-31,1308
2006-02-01,9098
2006-02-02,1091
2006-02-03,897
2006-02-06,818
2006-02-07,1199
2006-02-08,1719
2006-02-09,853
2006-02-10,890
2006-02-13,671
2006-02-14,1176
2006-02-15,988
2006-02-16,860
2006-02-17,943
2006-02-21,1102
2006-02-22,2162
2006-02-23,1690
2006-02-24,1301
2006-02-27,1064
2006-02-28,1539
2006-03-01,9517
2006-03-02,1067
2006-03-03,996
2006-03-06,801
2006-03-07,1177
2006-03-08,1336
2006-03-09,1044
2006-03-10,1049
2006-03-13,827
2006-03-14,1288
2006-03-15,1193
2006-03-16,1043
2006-03-17,1004
2006-03-20,1070
2006-03-21,1314
2006-03-22,1732
2006-03-23,1225
2006-03-24,1159
2006-03-27,1028
2006-03-28,1453
2006-03-29,1287
2006-03-30,1082
2006-03-31,8738
2006-04-03,1079
2006-04-04,1192
2006-04-05,1334
2006-04-06,1064
2006-04-07,974
2006-04-10,904
2006-04-11,1291
2006-04-12,1108
2006-04-13,955
2006-04-14,977
2006-04-17,850
2006-04-18,1188
2006-04-19,1409
2006-04-20,1274
2006-04-21,1275
2006-04-24,1039
2006-04-25,1640
2006-04-26,1391
2006-04-27,1125
2006-04-28,1112
2006-05-01,9430
2006-05-02,1239
2006-05-03,1391
2006-05-04,1108
2006-05-05,1027
2006-05-08,835
2006-05-09,1510
2006-05-10,1194
2006-05-11,984
2006-05-12,1012
2006-05-15,880
2006-05-16,1296
2006-05-17,1538
2006-05-18,1246
2006-05-19,1210
2006-05-22,1036
2006-05-23,1584
2006-05-24,1406
2006-05-25,1134
2006-05-26,1110
2006-05-30,995
2006-05-31,2005
2006-06-01,10541
2006-06-02,1145
2006-06-05,860
2006-06-06,1269
2006-06-07,1100
2006-06-08,1021
2006-06-09,922
2006-06-12,931
2006-06-13,774
2006-06-14,1280
2006-06-15,1158
2006-06-16,1135
2006-06-19,955
2006-06-20,1455
2006-06-21,1442
2006-06-22,1157
2006-06-23,1121
2006-06-26,1058
2006-06-27,1418
2006-06-28,1496
2006-06-29,1267
2006-06-30,10118
2006-07-03,1052
2006-07-05,1171
2006-07-06,1425
2006-07-07,1313
2006-07-10,889
2006-07-11,1157
2006-07-12,1401
2006-07-13,1081
2006-07-14,1068
2006-07-17,928
2006-07-18,1170
2006-07-19,791
2006-07-20,1079
2006-07-21,1066
2006-07-24,1078
2006-07-25,1374
2006-07-26,1585
2006-07-27,1195
2006-07-28,1170
2006-07-31,928
2006-08-01,11168
2006-08-02,1667
2006-08-03,931
2006-08-04,1413
2006-08-07,814
2006-08-08,1135
2006-08-09,1344
2006-08-10,1060
2006-08-11,1161
2006-08-14,808
2006-08-15,1331
2006-08-16,1203
2006-08-17,1102
2006-08-18,1142
2006-08-21,1021
2006-08-22,1430
2006-08-23,1662
2006-08-24,1234
2006-08-25,1197
2006-08-28,908
2006-08-29,1429
2006-08-30,1160
2006-08-31,989
2006-09-01,10393
2006-09-05,880
2006-09-06,1684
2006-09-07,1464
2006-09-08,1069
2006-09-11,817
2006-09-12,1286
2006-09-13,1155
2006-09-14,1000
2006-09-15,1054
2006-09-18,939
2006-09-19,921
2006-09-20,1548
2006-09-21,1331
2006-09-22,1365
2006-09-25,501
2006-09-26,486
2006-09-27,316
2006-09-28,245
2006-09-29,207
2006-10-02,9517
2006-10-03,3794
2006-10-04,3020
2006-10-05,914
2006-10-06,969
2006-10-10,1054
2006-10-11,2119
2006-10-12,1434
2006-10-13,1118
2006-10-16,941
2006-10-17,1126
2006-10-18,1489
2006-10-19,1254
2006-10-20,1386
2006-10-24,1534
2006-10-25,1357
2006-10-26,990
2006-10-27,1020
2006-10-30,907
2006-10-31,1323
2006-11-01,10738
2006-11-02,1245
2006-11-03,1157
2006-11-06,786
2006-11-07,1324
2006-11-08,1197
2006-11-09,1014
2006-11-13,801
2006-11-14,1139
2006-11-15,1584
2006-11-16,1217
2006-11-17,1312
2006-11-20,914
2006-11-21,1639
2006-11-22,1813
2006-11-24,1079
2006-11-27,868
2006-11-28,1841
2006-11-29,1820
2006-11-30,1218
2006-12-01,11004
2006-12-04,914
2006-12-05,1384
2006-12-06,1310
2006-12-07,872
2006-12-08,678
2006-12-11,565
2006-12-12,1062
2006-12-13,1377
2006-12-14,1056
2006-12-15,1555
2006-12-18,812
2006-12-19,1435
2006-12-20,1397
2006-12-21,1209
2006-12-22,1288
2006-12-26,925
2006-12-27,2271
2006-12-28,1674
2006-12-29,1440
2007-01-02,10314
2007-01-03,1747
2007-01-04,1406
2007-01-05,1166
2007-01-08,901
2007-01-09,786
2007-01-10,1248
2007-01-11,1090
2007-01-12,1105
2007-01-16,874
2007-01-17,1467
2007-01-18,1217
2007-01-19,1254
2007-01-22,1098
2007-01-23,1480
2007-01-24,1517
2007-01-25,1309
2007-01-26,1206
2007-01-29,884
2007-01-30,1426
2007-01-31,1147
2007-02-01,11001
2007-02-02,1036
2007-02-05,823
2007-02-06,1254
2007-02-07,1378
2007-02-08,1198
2007-02-09,1112
2007-02-12,828
2007-02-13,1373
2007-02-14,1045
2007-02-15,1016
2007-02-16,1156
2007-02-20,1133
2007-02-21,2091
2007-02-22,1879
2007-02-23,1348
2007-02-26,1023
2007-02-27,1597
2007-02-28,1300
2007-03-01,10830
2007-03-02,1082
2007-03-05,826
2007-03-06,1119
2007-03-07,1386
2007-03-08,1097
2007-03-09,1093
2007-03-12,842
2007-03-13,1389
2007-03-14,1123
2007-03-15,1081
2007-03-16,1072
2007-03-19,941
2007-03-20,1397
2007-03-21,1679
2007-03-22,1259
2007-03-23,1358
2007-03-26,929
2007-03-27,1651
2007-03-28,1283
2007-03-29,1093
2007-03-30,10997
2007-04-02,933
2007-04-03,1229
2007-04-04,1391
2007-04-05,1046
2007-04-06,1032
2007-04-09,749
2007-04-10,1399
2007-04-11,1138
2007-04-12,964
2007-04-13,1039
2007-04-16,926
2007-04-17,1310
2007-04-18,1477
2007-04-19,1354
2007-04-20,1380
2007-04-23,1067
2007-04-24,1722
2007-04-25,1370
2007-04-26,1070
2007-04-27,1186
2007-04-30,931
2007-05-01,11316
2007-05-02,1440
2007-05-03,1100
2007-05-04,1097
2007-05-07,825
2007-05-08,1343
2007-05-09,1156
2007-05-10,937
2007-05-11,1157
2007-05-14,796
2007-05-15,1259
2007-05-16,1522
2007-05-17,1368
2007-05-18,1352
2007-05-21,986
2007-05-22,1653
2007-05-23,1496
2007-05-24,1168
2007-05-25,1270
2007-05-29,966
2007-05-30,2469
2007-05-31,1187
2007-06-01,11253
2007-06-04,786
2007-06-05,1295
2007-06-06,1128
2007-06-07,15424
2007-06-08,980
2007-06-11,677
2007-06-12,765
2007-06-13,1189
2007-06-14,1105
2007-06-15,1114
2007-06-18,907
2007-06-19,1441
2007-06-20,1345
2007-06-21,1140
2007-06-22,1346
2007-06-25,1053
2007-06-26,1503
2007-06-27,1612
2007-06-28,1212
2007-06-29,13532
2007-07-02,918
2007-07-03,1396
2007-07-05,1226
2007-07-06,1414
2007-07-09,1023
2007-07-10,1296
2007-07-11,1433
2007-07-12,1146
2007-07-13,1142
2007-07-16,843
2007-07-17,1311
2007-07-18,1156
2007-07-19,910
2007-07-20,1220
2007-07-23,1011
2007-07-24,1549
2007-07-25,1438
2007-07-26,1194
2007-07-27,1277
2007-07-30,974
2007-07-31,1568
2007-08-01,13006
2007-08-02,980
2007-08-03,1087
2007-08-06,861
2007-08-07,1326
2007-08-08,1281
2007-08-09,1676
2007-08-10,1140
2007-08-13,741
2007-08-14,1295
2007-08-15,1084
2007-08-16,1003
2007-08-17,1232
2007-08-20,918
2007-08-21,1602
2007-08-22,1533
2007-08-23,1170
2007-08-24,1322
2007-08-27,970
2007-08-28,1571
2007-08-29,1163
2007-08-30,957
2007-08-31,11455
2007-09-04,1125
2007-09-05,1754
2007-09-06,1139
2007-09-07,1392
2007-09-10,855
2007-09-11,1376
2007-09-12,1117
2007-09-13,917
2007-09-14,1040
2007-09-17,776
2007-09-18,920
2007-09-19,1328
2007-09-20,1172
2007-09-21,1342
2007-09-24,1073
2007-09-25,1908
2007-09-26,1355
2007-09-27,1013
2007-09-28,1296
2007-10-01,11425
2007-10-02,1375
2007-10-03,1451
2007-10-04,1031
2007-10-05,1011
2007-10-09,996
2007-10-10,2033
2007-10-11,1159
2007-10-12,1140
2007-10-15,889
2007-10-16,1323
2007-10-17,1551
2007-10-18,1313
2007-10-19,1143
2007-10-22,966
2007-10-23,1593
2007-10-24,1283
2007-10-25,941
2007-10-26,1132
2007-10-29,1021
2007-10-30,1312
2007-10-31,1619
2007-11-01,8297
2007-11-02,982
2007-11-05,748
2007-11-06,1384
2007-11-07,1202
2007-11-08,955
2007-11-09,1001
2007-11-13,1074
2007-11-14,1908
2007-11-15,1721
2007-11-16,1317
2007-11-19,1044
2007-11-20,1624
2007-11-21,1568
2007-11-23,1297
2007-11-26,1019
2007-11-27,1848
2007-11-28,2024
2007-11-29,1238
2007-11-30,10662
2007-12-03,1040
2007-12-04,1455
2007-12-05,1325
2007-12-06,800
2007-12-07,792
2007-12-10,537
2007-12-11,925
2007-12-12,1529
2007-12-13,1065
2007-12-14,1150
2007-12-17,904
2007-12-18,1523
2007-12-19,1432
2007-12-20,1182
2007-12-21,1416
2007-12-24,999
2007-12-26,1184
2007-12-27,2354
2007-12-28,1783
2007-12-31,1153
2008-01-02,12417
2008-01-03,1693
2008-01-04,1441
2008-01-07,905
2008-01-08,920
2008-01-09,970
2008-01-10,975
2008-01-11,1149
2008-01-14,919
2008-01-15,1185
2008-01-16,792
2008-01-17,845
2008-01-18,1009
2008-01-22,1196
2008-01-23,2002
2008-01-24,1454
2008-01-25,1356
2008-01-28,1085
2008-01-29,1534
2008-01-30,1217
2008-01-31,1002
2008-02-01,12352
2008-02-04,867
2008-02-05,1244
2008-02-06,1339
2008-02-07,1070
2008-02-08,1181
2008-02-11,869
2008-02-12,1443
2008-02-13,1221
2008-02-14,965
2008-02-15,1169
2008-02-19,1241
2008-02-20,2246
2008-02-21,1621
2008-02-22,1446
2008-02-25,1225
2008-02-26,1413
2008-02-27,1398
2008-02-28,1136
2008-02-29,12467
2008-03-03,1132
2008-03-04,908
2008-03-05,1529
2008-03-06,1145
2008-03-07,1123
2008-03-10,1156
2008-03-11,1174
2008-03-12,1260
2008-03-13,981
2008-03-14,1081
2008-03-17,1008
2008-03-18,1099
2008-03-19,1686
2008-03-20,1302
2008-03-21,1380
2008-03-24,1342
2008-03-25,1439
2008-03-26,1543
2008-03-27,1135
2008-03-28,1305
2008-03-31,1126
2008-04-01,12314
2008-04-02,1578
2008-04-03,1122
2008-04-04,1800
2008-04-07,1004
2008-04-08,1074
2008-04-09,1223
2008-04-10,940
2008-04-11,1275
2008-04-14,978
2008-04-15,1154
2008-04-16,1757
2008-04-17,1279
2008-04-18,1462
2008-04-21,1324
2008-04-22,1476
2008-04-23,1601
2008-04-24,1160
2008-04-25,1411
2008-04-28,1191
2008-04-29,1105
2008-04-30,1652
2008-05-01,12550
2008-05-02,1248
2008-05-05,1033
2008-05-06,1099
2008-05-07,1316
2008-05-08,1021
2008-05-09,1106
2008-05-12,1022
2008-05-13,1093
2008-05-14,1597
2008-05-15,1197
2008-05-16,1369
2008-05-19,1152
2008-05-20,1406
2008-05-21,1680
2008-05-22,1233
2008-05-23,1392
2008-05-27,1320
2008-05-28,2000
2008-05-29,1643
2008-05-30,12931
2008-06-02,1191
2008-06-03,1214
2008-06-04,1094
2008-06-05,1010
2008-06-06,1416
2008-06-09,711
2008-06-10,430
2008-06-11,934
2008-06-12,1034
2008-06-13,1349
2008-06-16,1134
2008-06-17,1187
2008-06-18,1243
2008-06-19,1216
2008-06-20,1423
2008-06-23,1274
2008-06-24,1285
2008-06-25,1787
2008-06-26,1240
2008-06-27,1342
2008-06-30,1124
2008-07-01,15206
2008-07-02,1258
2008-07-03,933
2008-07-07,1111
2008-07-08,1272
2008-07-09,1678
2008-07-10,1523
2008-07-11,1328
2008-07-14,1072
2008-07-15,1215
2008-07-16,1277
2008-07-17,987
2008-07-18,1348
2008-07-21,887
2008-07-22,1284
2008-07-23,1759
2008-07-24,1269
2008-07-25,1186
2008-07-28,1064
2008-07-29,1283
2008-07-30,1337
2008-07-31,992
2008-08-01,14403
2008-08-04,1080
2008-08-05,1082
2008-08-06,1397
2008-08-07,1220
2008-08-08,1387
2008-08-11,1131
2008-08-12,1190
2008-08-13,1336
2008-08-14,1046
2008-08-15,1357
2008-08-18,1487
2008-08-19,983
2008-08-20,1542
2008-08-21,1267
2008-08-22,1616
2008-08-25,1279
2008-08-26,1502
2008-08-27,1357
2008-08-28,1132
2008-08-29,12907
2008-09-02,1273
2008-09-03,1512
2008-09-04,1424
2008-09-05,1314
2008-09-08,1054
2008-09-09,1114
2008-09-10,1204
2008-09-11,1003
2008-09-12,1245
2008-09-15,909
2008-09-16,611
2008-09-17,1273
2008-09-18,1346
2008-09-19,1468
2008-09-22,1356
2008-09-23,1565
