date,name,amount
10/1/14,Marketplace Payments,0
10/2/14,Marketplace Payments,0
10/3/14,Marketplace Payments,0
10/6/14,Marketplace Payments,0
10/7/14,Marketplace Payments,0
10/8/14,Marketplace Payments,0
10/9/14,Marketplace Payments,0
10/10/14,Marketplace Payments,0
10/14/14,Marketplace Payments,0
10/15/14,Marketplace Payments,0
10/16/14,Marketplace Payments,0
10/17/14,Marketplace Payments,0
10/20/14,Marketplace Payments,0
10/21/14,Marketplace Payments,1770
10/22/14,Marketplace Payments,0
10/23/14,Marketplace Payments,0
10/24/14,Marketplace Payments,0
10/27/14,Marketplace Payments,0
10/28/14,Marketplace Payments,0
10/29/14,Marketplace Payments,0
10/30/14,Marketplace Payments,0
10/31/14,Marketplace Payments,0
11/3/14,Marketplace Payments,0
11/4/14,Marketplace Payments,0
11/5/14,Marketplace Payments,0
11/6/14,Marketplace Payments,0
11/7/14,Marketplace Payments,0
11/10/14,Marketplace Payments,0
11/12/14,Marketplace Payments,0
11/13/14,Marketplace Payments,0
11/14/14,Marketplace Payments,0
11/17/14,Marketplace Payments,0
11/18/14,Marketplace Payments,0
11/19/14,Marketplace Payments,0
11/20/14,Marketplace Payments,1792
11/21/14,Marketplace Payments,0
11/24/14,Marketplace Payments,0
11/25/14,Marketplace Payments,0
11/26/14,Marketplace Payments,0
11/28/14,Marketplace Payments,0
12/1/14,Marketplace Payments,0
12/2/14,Marketplace Payments,0
12/3/14,Marketplace Payments,0
12/4/14,Marketplace Payments,0
12/5/14,Marketplace Payments,0
12/8/14,Marketplace Payments,0
12/9/14,Marketplace Payments,0
12/10/14,Marketplace Payments,0
12/11/14,Marketplace Payments,0
12/12/14,Marketplace Payments,0
12/15/14,Marketplace Payments,0
12/16/14,Marketplace Payments,0
12/17/14,Marketplace Payments,0
12/18/14,Marketplace Payments,0
12/19/14,Marketplace Payments,1672
12/22/14,Marketplace Payments,0
12/23/14,Marketplace Payments,0
12/24/14,Marketplace Payments,0
12/26/14,Marketplace Payments,0
12/29/14,Marketplace Payments,0
12/30/14,Marketplace Payments,0
12/31/14,Marketplace Payments,0
1/2/15,Marketplace Payments,0
1/5/15,Marketplace Payments,0
1/6/15,Marketplace Payments,0
1/7/15,Marketplace Payments,0
1/8/15,Marketplace Payments,0
1/9/15,Marketplace Payments,0
1/12/15,Marketplace Payments,0
1/13/15,Marketplace Payments,0
1/14/15,Marketplace Payments,0
1/15/15,Marketplace Payments,0
1/16/15,Marketplace Payments,0
1/20/15,Marketplace Payments,0
1/21/15,Marketplace Payments,0
1/22/15,Marketplace Payments,1532
1/23/15,Marketplace Payments,0
1/26/15,Marketplace Payments,0
1/27/15,Marketplace Payments,0
1/28/15,Marketplace Payments,0
1/29/15,Marketplace Payments,0
1/30/15,Marketplace Payments,0
2/2/15,Marketplace Payments,0
2/3/15,Marketplace Payments,0
2/4/15,Marketplace Payments,0
2/5/15,Marketplace Payments,0
2/6/15,Marketplace Payments,0
2/9/15,Marketplace Payments,0
2/10/15,Marketplace Payments,0
2/11/15,Marketplace Payments,0
2/12/15,Marketplace Payments,0
2/13/15,Marketplace Payments,0
2/17/15,Marketplace Payments,0
2/18/15,Marketplace Payments,0
2/19/15,Marketplace Payments,0
2/20/15,Marketplace Payments,0
2/23/15,Marketplace Payments,2607
2/24/15,Marketplace Payments,0
2/25/15,Marketplace Payments,0
2/26/15,Marketplace Payments,0
2/27/15,Marketplace Payments,0
3/2/15,Marketplace Payments,0
3/3/15,Marketplace Payments,0
3/4/15,Marketplace Payments,0
3/5/15,Marketplace Payments,0
3/6/15,Marketplace Payments,0
3/9/15,Marketplace Payments,0
3/10/15,Marketplace Payments,0
3/11/15,Marketplace Payments,0
3/12/15,Marketplace Payments,0
3/13/15,Marketplace Payments,0
3/16/15,Marketplace Payments,0
3/17/15,Marketplace Payments,0
3/18/15,Marketplace Payments,0
3/19/15,Marketplace Payments,0
3/20/15,Marketplace Payments,0
3/23/15,Marketplace Payments,2632
3/24/15,Marketplace Payments,0
3/25/15,Marketplace Payments,0
3/26/15,Marketplace Payments,0
3/27/15,Marketplace Payments,0
3/30/15,Marketplace Payments,0
3/31/15,Marketplace Payments,0
4/1/15,Marketplace Payments,0
4/2/15,Marketplace Payments,0
4/3/15,Marketplace Payments,0
4/6/15,Marketplace Payments,0
4/7/15,Marketplace Payments,0
4/8/15,Marketplace Payments,0
4/9/15,Marketplace Payments,0
4/10/15,Marketplace Payments,0
4/13/15,Marketplace Payments,0
4/14/15,Marketplace Payments,0
4/15/15,Marketplace Payments,0
4/16/15,Marketplace Payments,0
4/17/15,Marketplace Payments,3058
4/20/15,Marketplace Payments,0
4/21/15,Marketplace Payments,0
4/22/15,Marketplace Payments,0
4/23/15,Marketplace Payments,0
4/24/15,Marketplace Payments,0
4/27/15,Marketplace Payments,0
4/28/15,Marketplace Payments,0
4/29/15,Marketplace Payments,0
4/30/15,Marketplace Payments,0
5/1/15,Marketplace Payments,0
5/4/15,Marketplace Payments,0
5/5/15,Marketplace Payments,0
5/6/15,Marketplace Payments,0
5/7/15,Marketplace Payments,0
5/8/15,Marketplace Payments,0
5/11/15,Marketplace Payments,0
5/12/15,Marketplace Payments,0
