"date","Category","Totals"
"2019-01-31","All Categories",807474
"2019-02-01","All Categories",248030
"2019-02-04","All Categories",42702
"2019-02-05","All Categories",265986
"2019-02-06","All Categories",47045
"2019-02-07","All Categories",301057
"2019-02-08","All Categories",39278
"2019-02-11","All Categories",98412
"2019-02-12","All Categories",265044
"2019-02-13","All Categories",82969
"2019-02-14","All Categories",302566
"2019-02-15","All Categories",440648
"2019-02-19","All Categories",286961
"2019-02-20","All Categories",85032
"2019-02-21","All Categories",313414
"2019-02-22","All Categories",108560
"2019-02-25","All Categories",62110
"2019-02-26","All Categories",279538
"2019-02-27","All Categories",163170
"2019-02-28","All Categories",698626
"2019-03-01","All Categories",375533
