cluster_final,coc_number,coc_name,total_homeless
1a,NY-600,New York City CoC,76501
1a,CA-600,Los Angeles City & County CoC,55188
1a,DC-500,District of Columbia CoC,7473
1a,CA-501,San Francisco CoC,6858
1a,MA-500,Boston CoC,6135
1a,PA-500,Philadelphia CoC,5693
1a,IL-510,Chicago CoC,5657
1a,MD-501,Baltimore City CoC,2669
1a,CA-606,Long Beach CoC,1863
1a,NJ-506,Jersey City/Bayonne/Hudson County CoC,822
1a,MA-502,Lynn CoC,582
1a,MA-509,Cambridge CoC,530
2a,FL-600,Miami/Dade County CoC,3721
2a,GA-500,Atlanta Continuum of Care,3572
2a,FL-502,St. Petersburg/Clearwater/Largo/Pinellas County CoC,2831
2a,MI-501,Detroit CoC,2078
2a,IN-503,Indianapolis CoC,1783
2a,OH-502,Cleveland/Cuyahoga County CoC,1727
2a,MO-501,St.Louis City CoC,1336
2a,NM-500,Albuquerque CoC,1318
2a,LA-503,New Orleans/Jefferson Parish CoC,1301
2a,TX-603,El Paso City & County CoC,1193
2a,OH-500,Cincinnati/Hamilton County CoC,1162
2a,KY-501,Louisville/Jefferson County CoC,1034
2a,WI-501,Milwaukee City & County CoC,900
2a,OH-505,Dayton/Kettering/Montgomery County CoC,619
2a,AL-501,Mobile City & County/Baldwin County CoC,606
2a,OH-501,Toledo/Lucas County CoC,499
2a,AL-504,Montgomery City & County CoC,377
2a,FL-515,"Panama City/Bay, Jackson Counties CoC",336
2a,OH-504,Youngstown/Mahoning County CoC,262
2a,GA-503,Athens/Clarke County CoC,239
2a,AL-506,Tuscaloosa City & County CoC,200
2b,MA-504,Springfield/Hampden County CoC,2311
2b,NJ-504,Newark/Essex County CoC,2048
2b,CA-514,Fresno/Madera County CoC,2016
2b,MO-604,"Kansas City, Independence, Lee's Summit/Jackson, Wyandotte Counties CoC",1671
2b,OR-500,Eugene/Springfield/Lane County CoC,1529
2b,TN-501,Memphis/Shelby County CoC,1426
2b,CA-509,Mendocino County CoC,1238
2b,SC-502,Columbia/Midlands CoC,1200
2b,CA-519,Chico/Paradise/Butte County CoC,1195
2b,CA-613,Imperial County CoC,1154
2b,FL-506,Tallahassee/Leon County CoC,1072
2b,KY-502,Lexington/Fayette County CoC,1051
2b,GA-507,Savannah/Chatham County CoC,926
2b,NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",925
2b,CA-513,"Visalia, Kings, Tulare Counties CoC",853
2b,FL-508,"Gainesville/Alachua, Putnam Counties CoC",819
2b,TN-502,Knoxville/Knox County CoC,812
2b,IL-511,Cook County CoC,780
2b,CA-522,Humboldt County CoC,759
2b,FL-504,"Daytona Beach/Daytona/Volusia, Flagler Counties CoC",753
2b,TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",752
2b,FL-514,Ocala/Marion County CoC,725
2b,OR-502,Medford/Ashland/Jackson County CoC,633
2b,FL-517,"Hendry, Hardee, Highlands Counties CoC",609
2b,TN-500,Chattanooga/Southeast Tennessee CoC,576
2b,NC-504,Greensboro/High Point CoC,573
2b,MS-500,"Jackson/Rankin, Madison Counties CoC",511
2b,FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",502
2b,MI-507,Portage/Kalamazoo City & County CoC,479
2b,NC-516,Northwest North Carolina CoC,466
2b,CA-521,Davis/Woodland/Yolo County CoC,459
2b,CA-520,Merced City & County CoC,454
2b,NC-500,Winston Salem/Forsyth County CoC,453
2b,TN-509,Appalachian Regional CoC,450
2b,NC-511,Fayetteville/Cumberland County CoC,442
2b,MI-508,Lansing/East Lansing/Ingham County CoC,435
2b,MI-505,Flint/Genesee County CoC,420
2b,CA-529,Lake County CoC,401
2b,MI-510,Saginaw City & County CoC,388
2b,PA-605,Erie City & County CoC,369
2b,LA-500,Lafayette/Acadiana CoC,357
