cluster_final,coc_number,coc_name,class,type,density,land_area,weighted_estimate_median_gross_rent,weighted_income,estimated_pop_2016,weighted_mental_illness,weighted_alcohol_dependence_or_abuse,weighted_drug_use,days_below_32,Property_crime_rate,Total_Year_Round_Beds,total_homeless,sheltered_homeless,unsheltered_homeless,chronically_homeless,homeless_individuals,homeless_people_in_families
1a,NY-600,New York City CoC,1,1,27959.56055,302.65,1328.60446,10062.74049,8461961,3.750491739,7.096056165,10.547972,63.94161,1718.2,76865,76501,72565,3936,5755,31124,45377
1a,CA-501,San Francisco CoC,1,1,18141.2844,46.87,1632,12883,850282,3.9,8.83,19.46,0,5303.2,2759,6858,2505,4353,2138,6257,601
1a,MA-509,Cambridge CoC,1,1,17316.27543,6.39,1386,17522,110651,3.69,7.45,11.59,131.0689496,2412.2,432,530,463,67,181,395,135
1a,MA-500,Boston CoC,1,1,13943.33057,48.28,1343,8205,673184,3.69,7.45,11.59,113.5629562,2638.9,5905,6135,5949,186,769,2492,3643
1a,IL-510,Chicago CoC,1,1,11883.13491,227.63,999,10977,2704958,3.2,6.88,10.55,123.3873175,3133.2,5138,5657,4096,1561,863,3724,1933
1a,PA-500,Philadelphia CoC,1,1,11632.64728,134.1,943,6911,1559938,4.36,8.01,13.45,72.43385,3387.7,5324,5693,4737,956,898,3341,2352
1a,DC-500,District of Columbia CoC,1,1,10794.57821,61.05,1362,10076,659009,3.78,10.66,14.81,52.78513,5012.5,7402,7473,6576,897,1881,3583,3890
1a,MA-502,Lynn CoC,1,1,8631.005587,10.74,1102,13877,92697,3.93,6.93,11.6,147.5319343,1857.1,539,582,531,51,57,151,431
1a,MD-501,Baltimore City CoC,1,1,7672.349889,80.94,974,7753,621000,3.62,7.69,13.13,90.41743,4718.4,2429,2669,2123,546,699,2178,491
1a,CA-600,Los Angeles City & County CoC,2,1,2337.819315,3954.17,1264,12164,9244135,3.8,6.9,10.92,32.96989051,2128.1,15225,55188,13972,41216,16576,47082,8106
1a,NJ-506,Jersey City/Bayonne/Hudson County CoC,4,2,14473.39251,46.19,1247,11363,668526,3.45,6.9,7.91,82.92427007,1630.7,377,822,638,184,174,668,154
1a,CA-606,Long Beach CoC,4,2,9348.379399,50.29,1264,12164,470130,3.8,6.9,10.92,32.96989051,2640.1,600,1863,655,1208,694,1646,217
2a,MO-501,St.Louis City CoC,1,1,5104.668067,61.91,759,6504,316030,4.41,6.73,9.81,80.9260949,6252.6,1338,1336,1194,142,151,821,515
2a,MI-501,Detroit CoC,2,1,4848.972973,138.75,808,7659,672795,4.01,6.36,13.14,125.8850365,4818.9,1981,2078,1858,220,249,1543,535
2a,WI-501,Milwaukee City & County CoC,2,1,3957.357084,241.4,821,9523,955306,4.05,8.5,10.4,131.713,4588.3,1106,900,765,135,98,687,213
2a,GA-500,Atlanta Continuum of Care,2,1,3548.794593,133.15,1037,11078,472522,3.47,6.47,9.94,57.2810219,5747.4,3419,3572,2891,681,346,3089,483
2a,FL-502,St. Petersburg/Clearwater/Largo/Pinellas County CoC,2,1,3431.512053,273.8,967,11034,939548,4.1,6.1,9.72,0,5642.6,2047,2831,1679,1152,690,2466,365
2a,NM-500,Albuquerque CoC,2,1,2979.156235,187.73,816,10538,559277,4.17,7.97,13.76,89.82997,5446.1,682,1318,934,384,379,1104,214
2a,OH-502,Cleveland/Cuyahoga County CoC,2,1,2753.144207,457.19,742,8786,1258710,4.64,7,8.98,107.0688869,5458.8,1603,1727,1630,97,120,1360,367
2a,IN-503,Indianapolis CoC,2,1,2352.112036,396.3,806,9348,932142,4.4,7.35,8.96,104.9041971,4823.1,1750,1783,1657,126,207,1283,500
2a,KY-501,Louisville/Jefferson County CoC,2,1,1997.0664,380.42,770,11246,759724,4.4,6.11,9.22,74.098996,4196.2,917,1034,883,151,123,769,265
2a,OH-500,Cincinnati/Hamilton County CoC,2,1,1985.57562,405.91,725,9405,805965,4.12,6.76,10.46,108.2344891,5603.5,971,1162,1088,74,90,889,273
2a,LA-503,New Orleans/Jefferson Parish CoC,2,1,1759.221589,465.05,922.0846202,8964.302196,818126,4.058721908,6.941242938,10.02461017,2.331204,3458.8,1053,1301,776,525,404,1158,143
2a,FL-600,Miami/Dade County CoC,2,1,1404.010075,1897.72,1143,9132,2664418,3.39,5.01,6.55,0,4832.7,3009,3721,2710,1011,309,2546,1175
2a,OH-501,Toledo/Lucas County CoC,2,1,1275.597019,340.86,674,8689,434800,4.54,7.16,10.09,113.563,2799.1,823,499,483,16,38,257,242
2a,OH-505,Dayton/Kettering/Montgomery County CoC,2,1,1154.286643,461.55,740,9902,532761,4.99,6.44,9.11,106.0698,2799.1,540,619,566,53,30,459,160
2a,GA-503,Athens/Clarke County CoC,2,1,1023.800336,119.2,800,4818,122037,4.67,5.81,9.26,56.9479927,3281.2,148,239,146,93,53,182,57
2a,TX-603,El Paso City & County CoC,2,1,823.1462738,1012.69,765,9734,833592,4.27,6.34,5.67,36.63321,2141.8,1259,1193,1016,177,96,691,502
2a,OH-504,Youngstown/Mahoning County CoC,3,1,566.0925125,411.62,637,9918,233015,4.74,6.38,8.61,124.2199,2799.1,272,262,256,6,16,163,99
2a,AL-501,Mobile City & County/Baldwin County CoC,3,1,217.7201495,2819.22,829.6035376,10247.8911,613801,4.24,5.89,7.67,19.64872263,3177.6,526,606,341,265,65,426,180
2a,AL-506,Tuscaloosa City & County CoC,3,1,153.1840363,1321.75,784,9752,202471,4.26,5.89,8.94,44.95894,3177.6,176,200,137,63,24,140,60
2a,AL-504,Montgomery City & County CoC,3,1,115.2664364,3335.88,819.8335201,10377.72596,384515,3.95,5.54,7.55,20.97701149,3177.6,393,377,314,63,45,284,93
2a,FL-515,"Panama City/Bay, Jackson Counties CoC",3,1,77.97055676,3869.14,832.3097597,10522.664,301679,4.39,6.5,9.64,27.64142336,3415.5,151,336,143,193,38,285,51
2b,NJ-504,Newark/Essex County CoC,4,2,6279.898582,126.21,1077,10150,792586,3.26,6.33,7.76,79.59398,2851.2,1905,2048,1620,428,181,1253,795
2b,IL-511,Cook County CoC,5,2,3503.926716,719.94,999,10977,2522617,3.2,6.88,10.55,123.3873175,2075.9,483,780,688,92,107,508,272
