"sub","name","size"
"","AT&T MOBILITY LLC",26639.16
"","DOCUMENT IMAGING DIMENSIONS INC",17484.8
"Access Board","1901 GROUP LLC",454501.2
"Access Board","FEITH SYSTEMS AND SOFTWARE INC",146742
"Access Board","MANCOM INC",114700
"Access Board","FEDERAL PRISON INDUSTRIES INC",87146.3
"Access Board","RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK THE",85638
"Access Board","3LINKS TECHNOLOGIES INC",78236.54
"Access Board","BNF TECHNOLOGIES INC",64235.6
"Access Board","DEVELOPMENT INFOSTRUCTURE",54685.74
"Access Board","THUNDERCAT TECHNOLOGY LLC",47658.88
"Access Board","UNIVERSITY OF ILLINOIS",44863.92
"Administrative Conference of the U.S.","HIRE ONE PERSONNEL SERVICES OF WASHINGTON DC LLC",107320
"Administrative Conference of the U.S.","AMPLIA GROUP LLC",63000
"Administrative Conference of the U.S.","AGILEANA LC",46500
"Administrative Conference of the U.S.","PREMIERE PAINTING INC",41248
"Administrative Conference of the U.S.","DATAPRISE INC",30000
"Administrative Conference of the U.S.","ROCHA & COMPANY PC",22000
"Administrative Conference of the U.S.","FEDRESULTS INC",13731
"Administrative Conference of the U.S.","RELX INC",8892
"Administrative Conference of the U.S.","ONLINE VIDEO SERVICE INC",5800
"Administrative Conference of the U.S.","GOVPREDICT INC",4200
"Administrative Office of the U.S. Courts","ARTISAN CONSTRUCTION ENTERPRISES INC",600514
"Administrative Office of the U.S. Courts","EASTERN CONSTRUCTION & ELECTRIC INC",589413.51
"Administrative Office of the U.S. Courts","PATTON CONSTRUCTION INC",584277.29
"Administrative Office of the U.S. Courts","ARNOLD ELECTRIC INC",544469.29
"Administrative Office of the U.S. Courts","J E NOVACK CONSTRUCTION CO",537821
"Administrative Office of the U.S. Courts","CFM PROJECT CONSULTING GROUP INC",497380.01
"Administrative Office of the U.S. Courts","NOACON INC",465019.57
"Administrative Office of the U.S. Courts","NEW AGE PROTECTION INC",457911.39
"Administrative Office of the U.S. Courts","KEN TILLAGE CONSTRUCTION COMPANY LLC",442579.85
"Administrative Office of the U.S. Courts","PACIFIC SOURCE ELECTRIC LLC",416622.63
"Administrative Review Board","MICROPACT INC",374951.1
"Administrative Review Board","ADAMS AND ASSOCIATES INC",40000
"Administrative Review Board","JURIS PUBLISHING INC",22885
"Administrative Review Board","LRP PUBLICATIONS INC",7950
"Administrative Review Board","RELX INC",6933
"Administrative Review Board","WEST PUBLISHING CORPORATION",5131.99
"Administrative Review Board","CELLCO PARTNERSHIP DBA VERIZON WIRELESS",3559.28
"Administrative Review Board","KYOCERA MITA AMERICA INC",-54.36
"Advisory Council on Historic Preservation","KNOWLEDGE CONSULTING GROUP",75544.05
"Advisory Council on Historic Preservation","BLACKWOOD ASSOCIATES INC",60283
"Advisory Council on Historic Preservation","CARAHSOFT TECHNOLOGY CORPORATION",44739
"Advisory Council on Historic Preservation","NORSEMAN INC",37924
"Advisory Council on Historic Preservation","WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY",34899.05
"Advisory Council on Historic Preservation","PANAMERICA COMPUTERS INC",30822
"Advisory Council on Historic Preservation","SOFTCHOICE CORPORATION",24309.46
"Advisory Council on Historic Preservation","IBEX IT BUSINESS EXPERTS LLC",20000
"Advisory Council on Historic Preservation","ACCELERA SOLUTIONS INCORPORATED",18852.5
"Advisory Council on Historic Preservation","STRATEGIC TECHNICAL SERVICES LLC",16645.12
"Agency for Healthcare Research and Quality","PORTLAND VA RESEARCH FOUNDATION INC",986850
"Agency for Healthcare Research and Quality","MATHEMATICA POLICY RESEARCH INC",947670.56
"Agency for Healthcare Research and Quality","EDAPTIVE SYSTEMS LLC",892783.23
"Agency for Healthcare Research and Quality","EVENT PLANNING GROUP LLC THE",752281.7
"Agency for Healthcare Research and Quality","AFYA INC",615848
"Agency for Healthcare Research and Quality","JR REINGOLD & ASSOCIATES INC",611590
"Agency for Healthcare Research and Quality","L & M POLICY RESEARCH LLC",600687.83
"Agency for Healthcare Research and Quality","BROWN UNIVERSITY IN PROVIDENCE IN STATE OF RI AND PROVIDENCE PLANTATIONS",592497.36
"Agency for Healthcare Research and Quality","MAYO CLINIC",520000
"Agency for Healthcare Research and Quality","NOVAD MANAGEMENT CONSULTING LLC",486988
"Agency for International Development","WILLIAMS ADLEY & COMPANY - DC LLP",998299.8
"Agency for International Development","CREDENCE MANAGEMENT SOLUTIONS LIMITED LIABILITY COMPANY",984363.03
"Agency for International Development","AECOM GOVERNMENT SERVICES INC",950588
"Agency for International Development","STARS II PARTNERSHIP JOINT VENTURE LLC",910065.89
"Agency for International Development","PROGRAM FOR APPROPRIATE TECHNOLOGY IN HEALTH",905146.75
"Agency for International Development","LINC LLC",886306.09
"Agency for International Development","RIVERA CONSULTING GROUP INC",869000
"Agency for International Development","VERIS GROUP LLC",850302.07
"Agency for International Development","ONEWORLD COMMUNICATIONS INC",844266.11
"Agency for International Development","LONGEVITY CONSULTING LLC",841823.32
"Agricultural Marketing Service","AQUAS INCORPORATED",997159.65
"Agricultural Marketing Service","FANNING FANNING & ASSOCIATES INC",988775.68
"Agricultural Marketing Service","WESTERN VEG-PRODUCE INC",956499.8
"Agricultural Marketing Service","NEBRASKA BEAN INC",951823.97
"Agricultural Marketing Service","SCIQUEST INC",915365.99
"Agricultural Marketing Service","SAVAN GROUP LLC",913208.36
"Agricultural Marketing Service","MCCALL FARMS INC",911168.57
"Agricultural Marketing Service","HICKMANS EGG RANCH INC",882675
"Agricultural Marketing Service","NATURIPE FOODS LLC",815250.78
"Agricultural Marketing Service","EMIGH WOLF INVESTMENTS LLC",788936.54
"Agricultural Research Service","LIBRARY ASSOCIATES OF MARYLAND LIMITED LIABILITY COMPANY",970048.4
"Agricultural Research Service","FCA US LLC",933855
"Agricultural Research Service","KYNETEC USA INC",916000
"Agricultural Research Service","THERMO ELECTRON NORTH AMERICA LIMITED LIABILITY COMPANY",910763.93
"Agricultural Research Service","DSFEDERAL INC",882149.12
"Agricultural Research Service","JEOL USA INC",875468.64
"Agricultural Research Service","EXECUTIVE INFORMATION SYSTEMS",871975.64
"Agricultural Research Service","STV INCORPORATED",870123.6
"Agricultural Research Service","LOUVIERE STRATTON & YOKEL LLC",851027
"Agricultural Research Service","SCHNEIDER ELECTRIC BUILDINGS AMERICAS INC",841107
"Alcohol and Tobacco Tax and Trade Bureau","GOVSMART INC",872867.27
"Alcohol and Tobacco Tax and Trade Bureau","PHOENIX DATA CORPORATION",872105.6
"Alcohol and Tobacco Tax and Trade Bureau","TECHGLOBAL INC",832565.41
"Alcohol and Tobacco Tax and Trade Bureau","GOVSOLUTIONS INC",818246.07
"Alcohol and Tobacco Tax and Trade Bureau","SNAP INC",683782.09
"Alcohol and Tobacco Tax and Trade Bureau","EMERGENT LLC",461618.98
"Alcohol and Tobacco Tax and Trade Bureau","PROFESSIONAL MANAGEMENT ENTERPRISES INC",442441.6
"Alcohol and Tobacco Tax and Trade Bureau","MINBURN TECHNOLOGY GROUP LLC",365510.43
"Alcohol and Tobacco Tax and Trade Bureau","VETERAN INFORMATION TECHNOLOGIES LLC",330130.55
"Alcohol and Tobacco Tax and Trade Bureau","EXECUTIVE INFORMATION SYSTEMS",316595.82
"American Battle Monuments Commission","GEORGE MASON UNIVERSITY",111000
"American Battle Monuments Commission","KENWOOD USA CORPORATION",825.48
"Animal and Plant Health Inspection Service","R J CORMAN AIRCRAFT MAINTENANCE LLC",996494.68
"Animal and Plant Health Inspection Service","CMGC BUILDING CORP",948096
"Animal and Plant Health Inspection Service","EPOCH CONCEPTS LLC",936779.99
"Animal and Plant Health Inspection Service","IRELAND KELVIN R",894010.1
"Animal and Plant Health Inspection Service","ALLFLEX USA INC",817039.01
"Animal and Plant Health Inspection Service","TECHNIK INC",814999.32
