"CoC.Number","CoC.Name","Total.Homeless","Total.Sheltered.Homeless","Total.Unsheltered.Homeless","Chronically.Homeless..2018","Total.Homeless.Veterans","Total.Homeless.Individuals","Total.Homeless.People.in.Families","Total.Homeless.Unaccompanied.Youth..Under.25","fed_funding"
"AK-500","Anchorage CoC",1094,1000,94,"177",62,814,280,97,3651910.92
"AK-501","Alaska Balance of State CoC",922,707,215,"180",70,620,302,66,810217.18
"AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC",901,682,219,"119",133,720,181,26,8831645.98
"AL-501","Mobile City & County/Baldwin County CoC",551,318,233,"59",52,399,152,16,4118504.66
"AL-502","Florence/Northwest Alabama CoC",256,234,22,"136",8,166,90,17,392132.6
"AL-503","Huntsville/North Alabama CoC",424,308,116,"111",34,336,88,24,405929.54
"AL-504","Montgomery City & County CoC",369,300,69,"63",54,272,97,21,4089720.74
"AL-505","Gadsden/Northeast Alabama CoC",146,86,60,"35",8,119,27,13,-8567.03
"AL-506","Tuscaloosa City & County CoC",57,56,1,"4",10,35,22,0,187087
"AL-507","Alabama Balance of State CoC",730,440,290,"13",40,523,207,41,NA
"AR-500","Little Rock/Central Arkansas CoC",1081,531,550,"232",124,950,131,74,4393244.01
"AR-501","Fayetteville/Northwest Arkansas CoC",474,323,151,"42",60,348,126,51,-24496.68
"AR-503","Arkansas  Balance of State  CoC",768,309,459,"107",31,666,102,92,29652.25
"AR-504","Delta Hills CoC",57,32,25,"18",11,51,6,2,141840
"AR-505","Southeast Arkansas CoC",101,95,6,"0",3,53,48,9,87512.11
"AR-508","Fort Smith CoC",231,165,66,"67",22,212,19,12,NA
"AR-512","Boone, Baxter, Marion, Newton Counties CoC",0,0,0,".",0,0,0,0,NA
"AZ-500","Arizona Balance of State CoC",2187,1102,1085,"537",277,1638,549,120,96887
"AZ-501","Tucson/Pima County CoC",1380,1017,363,"263",203,1079,301,103,7658228.96
"AZ-502","Phoenix, Mesa/Maricopa County CoC",6298,3680,2618,"974",413,4542,1756,415,35485685.08
"CA-500","San Jose/Santa Clara City & County CoC",7254,1806,5448,"2139",658,6267,987,2517,11436237.63
"CA-501","San Francisco CoC",6857,2504,4353,"1757",656,6211,646,1292,42551644.65
"CA-502","Oakland, Berkeley/Alameda County CoC",5496,1633,3863,"1742",526,4801,695,935,36144379.7
"CA-503","Sacramento City & County CoC",3621,1569,2052,"1192",492,3104,517,239,32438881.28
"CA-504","Santa Rosa, Petaluma/Sonoma County CoC",2996,1067,1929,"747",207,2657,339,505,3152822.76
"CA-505","Richmond/Contra Costa County CoC",2234,697,1537,"555",102,1955,279,133,16171920.74
"CA-506","Salinas/Monterey, San Benito Counties CoC",3299,785,2514,"942",167,2683,616,623,1538597.35
"CA-507","Marin County CoC",1095,387,708,"399",89,920,175,133,4648237.2
"CA-508","Watsonville/Santa Cruz City & County CoC",2320,521,1799,"634",245,1911,409,614,2514703.14
"CA-509","Mendocino County CoC",880,157,723,"96",12,829,51,15,1557953
"CA-510","Turlock, Modesto/Stanislaus County CoC",1356,750,606,"241",87,1080,276,79,3148620.12
"CA-511","Stockton/San Joaquin County CoC",1685,1118,567,"262",96,1054,631,58,3112339.71
"CA-512","Daly/San Mateo County CoC",1238,601,637,"238",100,811,427,30,12395633.18
"CA-513","Visalia/Kings, Tulare Counties CoC",967,315,652,"288",46,823,144,72,3947020.46
"CA-514","Fresno City & County/Madera County CoC",2144,463,1681,"524",211,1886,258,97,6431777.2
"CA-515","Roseville, Rocklin/Placer, Nevada Counties CoC",950,492,458,"327",55,766,184,56,1225810.19
"CA-516","Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",1149,459,690,"431",124,955,194,51,156591.46
"CA-517","Napa City & County CoC",322,168,154,"158",23,276,46,14,406066.26
"CA-518","Vallejo/Solano County CoC",1129,212,917,"461",124,1052,77,218,760120.95
"CA-519","Chico, Paradise/Butte County CoC",1125,380,745,"506",109,946,179,68,345856.5
"CA-520","Merced City & County CoC",514,202,312,"148",13,456,58,34,392136
"CA-521","Davis, Woodland/Yolo County CoC",448,239,209,"157",22,316,132,25,463734.62
"CA-522","Humboldt County CoC",703,269,434,"363",106,605,98,70,710804.3
"CA-523","Colusa, Glenn, Trinity Counties CoC",268,95,173,"94",18,162,106,6,6469
"CA-524","Yuba City & County/Sutter County CoC",765,292,473,"172",28,457,308,22,2490
"CA-525","El Dorado County CoC",645,149,496,"211",82,477,168,41,9817
"CA-526","Amador, Calaveras, Mariposa, Tuolumne Counties CoC",398,134,264,"72",19,265,133,22,389982
"CA-527","Tehama County CoC",125,69,56,"55",9,107,18,4,5524
"CA-529","Lake County CoC",615,24,591,"82",12,547,68,33,NA
"CA-530","Alpine, Inyo, Mono Counties CoC",157,1,156,"65",6,145,12,10,-54.18
"CA-600","Los Angeles City & County CoC",49955,12385,37570,"13275",3538,42079,7876,2337,102615281.38
"CA-601","San Diego City and County CoC",8576,3586,4990,"2171",1312,7063,1513,876,19806786.29
"CA-602","Santa Ana, Anaheim/Orange County CoC",4955,2371,2584,"1066",419,3780,1175,125,20982781.59
"CA-603","Santa Maria/Santa Barbara County CoC",1706,813,893,"307",104,1335,371,142,1693115.12
"CA-604","Bakersfield/Kern County CoC",885,515,370,"133",80,715,170,56,6229288.71
"CA-606","Long Beach CoC",1873,665,1208,"587",305,1678,195,67,1555671.28
"CA-607","Pasadena CoC",677,215,462,"164",31,573,104,39,3589942.9
"CA-608","Riverside City & County CoC",2316,631,1685,"474",136,2087,229,240,11527269.83
"CA-609","San Bernardino City & County CoC",2118,675,1443,"423",170,1593,525,142,7399536.8
"CA-611","Oxnard, San Buenaventura/Ventura County CoC",1308,478,830,"280",62,1109,199,41,3585666
"CA-612","Glendale CoC",260,104,156,"49",12,168,92,9,2442379.55
"CA-613","Imperial County CoC",1493,160,1333,"44",130,1311,182,96,121691
"CA-614","San Luis Obispo County CoC",1095,273,822,"301",93,993,102,210,1198098.35
"CO-500","Colorado Balance of State CoC",3989,1481,2508,"797",315,2546,1443,246,1240271
"CO-503","Metropolitan Denver CoC",5317,4009,1308,"1596",566,3915,1402,254,32628373.85
"CO-504","Colorado Springs/El Paso County CoC",1551,1038,513,"345",192,1146,405,93,2033426.28
"CT-503","Bridgeport, Stamford, Norwalk/Fairfield County CoC",741,659,82,"52",41,432,309,53,5725585.32
"CT-505","Connecticut Balance of State CoC",3235,2736,499,"289",149,1848,1387,134,38584756.55
"DC-500","District of Columbia CoC",6904,6304,600,"1781",306,3770,3134,318,18983135.44
"DE-500","Delaware Statewide CoC",1082,989,93,"189",70,708,374,53,8455851.41
"FL-500","Sarasota, Bradenton/Manatee, Sarasota Counties CoC",1192,740,452,"250",108,954,238,57,773486.37
"FL-501","Tampa/Hillsborough County CoC",1795,1155,640,"262",171,1193,602,56,5488853.71
"FL-502","St. Petersburg, Clearwater, Largo/Pinellas County CoC",2612,1647,965,"434",281,2253,359,143,8209425.84
"FL-503","Lakeland, Winterhaven/Polk County CoC",552,418,134,"84",26,354,198,28,1082526.23
"FL-504","Daytona Beach, Daytona/Volusia, Flagler Counties CoC",683,277,406,"90",44,484,199,20,1354333.36
"FL-505","Fort Walton Beach/Okaloosa, Walton Counties CoC",495,83,412,"119",30,348,147,14,-73320.62
"FL-506","Tallahassee/Leon County CoC",909,810,99,"151",108,640,269,56,7047712.99
"FL-507","Orlando/Orange, Osceola, Seminole Counties CoC",2053,1693,360,"272",181,1340,713,120,5904866.57
"FL-508","Gainesville/Alachua, Putnam Counties CoC",756,323,433,"272",114,643,113,48,690151.6
"FL-509","Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",1542,513,1029,"56",61,854,688,38,1658912.76
"FL-510","Jacksonville-Duval, Clay Counties CoC",1794,1365,429,"327",121,1410,384,138,6718630.14
"FL-511","Pensacola/Escambia, Santa Rosa Counties CoC",632,487,145,"78",103,467,165,29,1233340
"FL-512","St. Johns County CoC",342,178,164,"65",30,219,123,25,58424
"FL-513","Palm Bay, Melbourne/Brevard County CoC",734,481,253,"116",169,521,213,88,714593
"FL-514","Ocala/Marion County CoC",572,301,271,"124",69,443,129,48,404477
"FL-515","Panama City/Bay, Jackson Counties CoC",381,109,272,"98",34,313,68,34,51047.1
"FL-517","Hendry, Hardee, Highlands Counties CoC",453,69,384,"259",18,292,161,65,160123
