coc_number,coc_name,sheltered_total_homeless_individuals_2017,unsheltered_homeless_Individuals_2017,homeless_individuals,sheltered_total_homeless_people_in_families_2017,unsheltered_homeless_people_in_families_2017,homeless_people_in_families,sheltered_homeless,unsheltered_homeless,sheltered_total_homeless_veterans_2017,unsheltered_homeless_veterans_2017,homeless_veterans,sheltered_total_homeless_unaccompanied_youth_under_25_2017,sheltered_total_homeless_unaccompanied_youth_under_25_2017,homeless_unacompanied_youth,total_homeless,es_sh_th_avg_days,total_persons_returns_in_6_mths,total_persons_returns_in_12_mths_should_include_the_6_month_cohort,total_persons_returns_in_24_mths_should_include_both_the_6_and_12_month_cohort,percent_with_successful_es_th_sh_ph_rrh_exit,percent_with_successful_ph_retention_or_exit,,amount
AK-500,Anchorage CoC,693,155,848,280,0,280,973,155,57,12,69,101,14,115,1128,65,131,171,236,14%,87%,116,3234396.66
AK-501,Alaska Balance of State CoC,367,139,506,211,0,211,578,139,38,17,55,41,6,47,717,67,13,24,34,38%,81%,141,3399648.24
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",715,217,932,160,0,160,875,217,29,11,40,80,45,125,1092,67,205,303,392,23%,94%,92,10247170.38
AL-501,Mobile City & County/Baldwin County CoC,179,247,426,162,18,180,341,265,50,26,76,9,9,18,606,47,25,44,50,15%,95%,65,4339515.91
AL-502,Florence/Northwest Alabama CoC,133,22,155,0,0,0,133,22,3,8,11,7,1,8,155,0,0,0,0,82%,NA,24,753249
AL-503,Huntsville/North Alabama CoC,230,97,327,107,2,109,337,99,23,4,27,25,5,30,436,115,12,17,27,81%,90%,64,816078.75
AL-504,Montgomery City & County CoC,225,59,284,89,4,93,314,63,53,2,55,23,0,23,377,97,51,72,98,28%,94%,45,2433805.02
AL-505,Gadsden/Northeast Alabama CoC,70,60,130,33,0,33,103,60,1,3,4,18,2,20,163,NA,NA,NA,NA,NA,NA,43,350000
AL-506,Tuscaloosa City & County CoC,77,63,140,60,0,60,137,63,34,7,41,3,28,31,200,248,7,15,23,62%,99%,24,565554.3
AL-507,Alabama Balance of State CoC,321,270,591,95,78,173,416,348,9,6,15,17,22,39,764,310,2,2,4,0%,94%,6,81553
AR-500,Little Rock/Central Arkansas CoC,374,518,892,82,32,114,456,550,67,54,121,37,38,75,1006,71,47,74,130,50%,97%,226,3405157.34
AR-501,Fayetteville/Northwest Arkansas CoC,140,95,235,95,0,95,235,95,29,17,46,8,4,12,330,102,10,10,16,26%,58%,66,276544.96
AR-503,Arkansas  Balance of State  CoC,320,441,761,94,20,114,414,461,20,13,33,26,75,101,875,57,28,35,55,25%,94%,110,496581
AR-505,Southeast Arkansas CoC,49,0,49,39,0,39,88,0,2,0,2,13,0,13,88,52,12,17,25,27%,100%,0,649805.42
