coc_number,coc_name,sheltered_total_homeless_individuals,unsheltered_homeless_individuals,homeless_individuals,sheltered_total_homeless_people_in_families,unsheltered_homeless_people_in_families,homeless_people_in_families,sheltered_homeless,unsheltered_homeless,sheltered_total_homeless_veterans,unsheltered_homeless_veterans,homeless_veterans,sheltered_total_homeless_unaccompanied_youth_under_25,unsheltered_homeless_unaccompanied_youth_under_25,total_homeless_unaccompanied_youth_under_25,total_homeless,es_sh_th_avg_days,total_persons_returns_in_6_mths,total_persons_returns_in_12_mths_should_include_the_6_month_cohort,total_persons_returns_in_24_mths_should_include_both_the_6_and_12_month_cohort,percent_with_successful_es_th_sh_ph_rrh_exit,percent_with_successful_ph_retention_or_exit,amount,chronically_homeless
AK-500,Anchorage CoC,720,94,814,280,0,280,1000,94,58,4,62,94,3,97,1094,65,131,171,236,14%,87%,3651910.92,177
AK-501,Alaska Balance of State CoC,453,167,620,254,48,302,707,215,52,18,70,56,10,66,922,67,13,24,34,38%,81%,810217.18,180
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",501,219,720,181,0,181,682,219,116,17,133,21,5,26,901,67,205,303,392,23%,94%,8831645.98,119
AL-501,Mobile City & County/Baldwin County CoC,183,216,399,135,17,152,318,233,42,10,52,8,8,16,551,47,25,44,50,15%,95%,4118504.66,59
AL-502,Florence/Northwest Alabama CoC,144,22,166,90,0,90,234,22,0,8,8,16,1,17,256,0,0,0,0,82%,NA,392132.6,136
AL-503,Huntsville/North Alabama CoC,230,106,336,78,10,88,308,116,21,13,34,21,3,24,424,115,12,17,27,81%,90%,405929.54,111
AL-504,Montgomery City & County CoC,203,69,272,97,0,97,300,69,48,6,54,19,2,21,369,97,51,72,98,28%,94%,4089720.74,63
AL-505,Gadsden/Northeast Alabama CoC,59,60,119,27,0,27,86,60,5,3,8,11,2,13,146,NA,NA,NA,NA,NA,NA,-8567.03,35
AL-506,Tuscaloosa City & County CoC,34,1,35,22,0,22,56,1,10,0,10,0,0,0,57,248,7,15,23,62%,99%,187087,4
AL-507,Alabama Balance of State CoC,339,184,523,101,106,207,440,290,25,15,40,17,24,41,730,310,2,2,4,0%,94%,0,13
AR-500,Little Rock/Central Arkansas CoC,432,518,950,99,32,131,531,550,70,54,124,36,38,74,1081,71,47,74,130,50%,97%,4393244.01,232
AR-501,Fayetteville/Northwest Arkansas CoC,197,151,348,126,0,126,323,151,40,20,60,45,6,51,474,102,10,10,16,26%,58%,-24496.68,42
AR-503,Arkansas  Balance of State  CoC,224,442,666,85,17,102,309,459,14,17,31,19,73,92,768,57,28,35,55,25%,94%,29652.25,107
AR-504,Delta Hills CoC,32,19,51,0,6,6,32,25,11,0,11,1,1,2,57,NA,NA,NA,NA,NA,NA,141840,18
AR-505,Southeast Arkansas CoC,47,6,53,48,0,48,95,6,3,0,3,9,0,9,101,52,12,17,25,27%,100%,87512.11,0
AR-508,Fort Smith CoC,149,63,212,16,3,19,165,66,12,10,22,12,0,12,231,71,8,17,21,14%,NA,0,67
AR-512,"Boone, Baxter, Marion, Newton Counties CoC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,.
AZ-500,Arizona Balance of State CoC,664,974,1638,438,111,549,1102,1085,107,170,277,57,63,120,2187,69,118,178,278,42%,94%,96887,537
AZ-501,Tucson/Pima County CoC,720,359,1079,297,4,301,1017,363,158,45,203,67,36,103,1380,89,394,531,709,46%,94%,7658228.96,263
AZ-502,"Phoenix, Mesa/Maricopa County CoC",1970,2572,4542,1710,46,1756,3680,2618,275,138,413,273,142,415,6298,97,618,989,1420,33%,93%,35485685.08,974
CA-500,San Jose/Santa Clara City & County CoC,1115,5152,6267,691,296,987,1806,5448,206,452,658,81,2436,2517,7254,124,126,197,261,28%,93%,11436237.63,2139
CA-501,San Francisco CoC,1878,4333,6211,626,20,646,2504,4353,300,356,656,168,1124,1292,6857,590,51,73,87,69%,97%,42551644.65,1757
CA-502,"Oakland, Berkeley/Alameda County CoC",964,3837,4801,669,26,695,1633,3863,148,378,526,197,738,935,5496,170,184,290,433,46%,97%,36144379.7,1742
CA-503,Sacramento City & County CoC,1069,2035,3104,500,17,517,1569,2052,165,327,492,121,118,239,3621,121,312,456,721,42%,97%,32438881.28,1192
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",760,1897,2657,307,32,339,1067,1929,63,144,207,62,443,505,2996,112,70,128,182,41%,92%,3152822.76,747
CA-505,Richmond/Contra Costa County CoC,523,1432,1955,174,105,279,697,1537,56,46,102,38,95,133,2234,135,78,115,178,58%,97%,16171920.74,555
CA-506,"Salinas/Monterey, San Benito Counties CoC",385,2298,2683,400,216,616,785,2514,111,56,167,34,589,623,3299,194,46,72,88,44%,97%,1538597.35,942
CA-507,Marin County CoC,242,678,920,145,30,175,387,708,22,67,89,18,115,133,1095,180,42,65,79,47%,96%,4648237.2,399
CA-508,Watsonville/Santa Cruz City & County CoC,281,1630,1911,240,169,409,521,1799,28,217,245,41,573,614,2320,205,10,32,48,44%,100%,2514703.14,634
CA-509,Mendocino County CoC,106,723,829,51,0,51,157,723,6,6,12,2,13,15,880,112,9,10,16,11%,91%,1557953,96
CA-510,"Turlock, Modesto/Stanislaus County CoC",507,573,1080,243,33,276,750,606,45,42,87,33,46,79,1356,88,63,93,135,26%,98%,3148620.12,241
CA-511,Stockton/San Joaquin County CoC,505,549,1054,613,18,631,1118,567,64,32,96,29,29,58,1685,54,92,141,194,14%,95%,3112339.71,262
CA-512,Daly/San Mateo County CoC,249,562,811,352,75,427,601,637,43,57,100,19,11,30,1238,98,82,120,160,46%,96%,12395633.18,238
CA-513,"Visalia/Kings, Tulare Counties CoC",185,638,823,130,14,144,315,652,6,40,46,23,49,72,967,73,49,79,116,31%,94%,3947020.46,288
CA-514,Fresno City & County/Madera County CoC,214,1672,1886,249,9,258,463,1681,86,125,211,30,67,97,2144,78,71,93,135,69%,91%,6431777.2,524
CA-515,"Roseville, Rocklin/Placer, Nevada Counties CoC",331,435,766,161,23,184,492,458,31,24,55,15,41,56,950,115,63,97,132,31%,89%,1225810.19,327
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",339,616,955,120,74,194,459,690,56,68,124,27,24,51,1149,890,0,0,0,55%,100%,156591.46,431
CA-517,Napa City & County CoC,125,151,276,43,3,46,168,154,13,10,23,9,5,14,322,129,38,71,96,42%,98%,406066.26,158
CA-518,Vallejo/Solano County CoC,166,886,1052,46,31,77,212,917,19,105,124,39,179,218,1129,142,17,28,33,46%,91%,760120.95,461
CA-519,"Chico, Paradise/Butte County CoC",258,688,946,122,57,179,380,745,29,80,109,26,42,68,1125,86,48,71,104,24%,95%,345856.5,506
CA-520,Merced City & County CoC,155,301,456,47,11,58,202,312,3,10,13,13,21,34,514,63,4,7,14,8%,93%,392136,148
CA-521,"Davis, Woodland/Yolo County CoC",112,204,316,127,5,132,239,209,4,18,22,16,9,25,448,109,26,54,61,51%,98%,463734.62,157
CA-522,Humboldt County CoC,204,401,605,65,33,98,269,434,66,40,106,26,44,70,703,124,19,37,86,45%,90%,710804.3,363
CA-523,"Colusa, Glenn, Trinity Counties CoC",10,152,162,85,21,106,95,173,2,16,18,0,6,6,268,0,0,0,0,25%,NA,6469,94
CA-524,Yuba City & County/Sutter County CoC,72,385,457,220,88,308,292,473,1,27,28,2,20,22,765,163,3,3,3,61%,NA,2490,172
CA-525,El Dorado County CoC,119,358,477,30,138,168,149,496,0,82,82,19,22,41,645,138,8,11,13,25%,100%,9817,211
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",45,220,265,89,44,133,134,264,9,10,19,3,19,22,398,74,12,18,34,64%,92%,389982,72
CA-527,Tehama County CoC,51,56,107,18,0,18,69,56,8,1,9,3,1,4,125,35,0,0,0,32%,NA,5524,55
CA-529,Lake County CoC,13,534,547,11,57,68,24,591,1,11,12,1,32,33,615,NA,NA,NA,NA,NA,NA,0,82
CA-530,"Alpine, Inyo, Mono Counties CoC",1,144,145,0,12,12,1,156,0,6,6,0,10,10,157,16,3,3,3,45%,NA,-54.18,65
CA-600,Los Angeles City & County CoC,6175,35904,42079,6210,1666,7876,12385,37570,871,2667,3538,899,1438,2337,49955,388,652,1036,1576,44%,96%,102615281.4,13275
