cluster,coc_number,coc_name,density,land_area,weighted_estimate_median_gross_rent,weighted_income,rent_pct_income,estimated_pop_2016,Property_crime_rate,Total_Year_Round_Beds,total_homeless,homeless_individuals,homeless_people_in_families,CoC_program_funding,other_fed_funding,Total_funding
1,NY-600,New York City CoC,27959.56055,302.65,1328.60446,10062.74049,0.631159787,8461961,1718.2,76865,76501,31124,45377,103229020.8,1121390.03,245510079.9
1,CA-600,Los Angeles City & County CoC,2337.819315,3954.17,1264,12164,0.801951477,9244135,2128.1,15225,55188,47082,8106,107398460.1,16964337,268815188.9
1,DC-500,District of Columbia CoC,10794.57821,61.05,1362,10076,0.61649535,659009,5012.5,7402,7473,3583,3890,23994458.72,19236606,53918073.14
1,CA-501,San Francisco CoC,18141.2844,46.87,1632,12883,0.657832925,850282,5303.2,2759,6858,6257,601,31170400.43,3070517,63849702.43
1,MA-500,Boston CoC,13943.33057,48.28,1343,8205,0.50912137,673184,2638.9,5905,6135,2492,3643,33169205.67,1200548,83786619.67
1,PA-500,Philadelphia CoC,11632.64728,134.1,943,6911,0.610728172,1559938,3387.7,5324,5693,3341,2352,35593330.95,3515967,81293162.95
1,IL-510,Chicago CoC,11883.13491,227.63,999,10977,0.915665666,2704958,3133.2,5138,5657,3724,1933,61966380.2,2923523,171375266.6
1,MD-501,Baltimore City CoC,7672.349889,80.94,974,7753,0.663329911,621000,4718.4,2429,2669,2178,491,20845154,4114001,52705881
1,CA-606,Long Beach CoC,9348.379399,50.29,1264,12164,0.801951477,470130,2640.1,600,1863,1646,217,9168566.92,3901060,19991837.92
1,NJ-506,Jersey City/Bayonne/Hudson County CoC,14473.39251,46.19,1247,11363,0.759355787,668526,1630.7,377,822,668,154,4902193.7,0,16759021.56
1,MA-502,Lynn CoC,8631.005587,10.74,1102,13877,1.049379915,92697,1857.1,539,582,151,431,1259596.93,76752,6540242.93
1,MA-509,Cambridge CoC,17316.27543,6.39,1386,17522,1.053511304,110651,2412.2,432,530,395,135,4015983.69,0,5196275.69
2,WA-500,Seattle/King County CoC,982.9738557,2115.57,1273,17046,1.115868028,2079550,6145.7,6445,11643,8810,2833,33910097.12,4171931,82496777.12
2,CA-601,San Diego City and County CoC,773.3877237,4206.63,1395,14541,0.868637993,3253356,1959,3722,9160,7571,1589,20147878.49,7785386,83339814.92
2,CA-502,Oakland/Alameda County CoC,2172.088712,739.02,1432,15546,0.904678771,1605217,5943.3,1636,5629,4918,711,33018258.39,1777523,77878733.39
2,HI-501,Honolulu CoC,1642.972001,600.74,1587,18095,0.950168032,986999,3050,3216,4959,3112,1847,10489600.39,1827924.33,32371362.94
2,TX-600,Dallas City & County/Irving CoC,1985.218686,1712.5,995.766032,14927.48552,1.249246396,3399687,3019.4,3384,3789,2990,799,14679990.97,2020076,32461993.72
2,MN-500,Minneapolis/Hennepin County CoC,2184.405426,553.59,982,14843,1.259589274,1209265,4728,2894,3057,1395,1662,10316181.79,1247539,29884810.77
2,UT-500,Salt Lake City & County CoC,1471.840815,742.28,970,16929,1.454381443,1092518,2878.5,1711,2047,1348,699,8211429.42,1781043,22698012.37
2,TX-601,Fort Worth/Arlington/Tarrant County CoC,1172.056884,1767.09,941.4338438,14683.02394,1.299703996,2071130,3019.4,1859,1941,1344,597,12046122.16,2604620,21127176.46
2,CO-504,Colorado Springs/El Paso County CoC,312.7567237,2126.8,1012,15301,1.259963768,665171,3668.1,966,1415,972,443,1638933.15,329063,2634397.15
2,NE-501,Omaha/Council Bluffs CoC,532.9777561,1517.72,840.7344356,14798.79216,1.466851633,808911,2523.5,1301,1389,1037,352,3827611.33,1162989,18034909.33
2,NC-507,Raleigh/Wake County CoC,1195.584397,835.22,989,17873,1.505982474,998576,2873.1,736,884,587,297,5091838.49,671338,20812433.74
2,IA-502,Des Moines/Polk County CoC,1251.296679,590.74,827,14778,1.489117291,739191,4260.3,670,676,534,142,6988125.2,584567,18364967.81
2,MA-508,Lowell CoC,8141.237113,13.58,1386,17522,1.053511304,110558,2551.7,807,658,182,476,833056,0,6378089
2,WI-503,Madison/Dane County CoC,431.6745181,1197.24,942,15426,1.364649682,516818,2843.5,569,585,320,265,4545606,1136854,11480664
2,NJ-514,Trenton/Mercer County CoC,1652.569469,224.56,1144,14758,1.075029138,371101,1734.1,402,478,356,122,5342103.21,200000,14429252.78
2,GA-506,Marietta/Cobb County CoC,2145.156825,339.55,1046,16880,1.344805609,728388,3281.2,285,403,236,167,2922144.3,340000,4258291.3
3,CA-503,Sacramento City & County CoC,1533.52546,964.64,1065,12501,0.978169014,1479300,3123.2,1431,3665,3076,589,16597398.09,2593242,33910304.09
3,TX-500,San Antonio/Bexar County CoC,1499.168428,1239.82,902,11877,1.097283814,1858699,5417.8,2252,2743,1899,844,8498783.88,2072735,32394340.49
3,FL-601,Ft Lauderdale/Broward County CoC,1540.581423,1209.79,1226,12165,0.82687602,1863780,3415.5,1669,2450,2037,413,7864301.16,976409,12866885.16
3,TX-503,Austin/Travis County CoC,1159.539487,990.2,1113,14335,1.073300389,1148176,4142.4,1309,2036,1460,576,6063127.88,1222440,25494415.88
3,FL-510,"Jacksonville-Duval, Clay Counties CoC",584.7701706,2015.19,978.9848111,11943.33252,1.016642647,1178423,3415.5,1568,1869,1444,425,4579936.5,579252,12786972.5
3,OH-503,Columbus/Franklin County CoC,2315.184427,532.19,869,11657,1.117855773,1232118,4278.2,1229,1691,1242,449,11180446.83,2099461,33515204.83
3,FL-501,Tampa/Hillsborough County CoC,1296.849668,1020.21,992,11789,0.990339382,1323059,2427.7,1108,1549,1070,479,6533503.6,707541,24062344.6
3,NC-505,Charlotte/Mecklenberg CoC,1931.45617,523.84,977,13868,1.18287274,1011774,3566.9,1187,1476,1016,460,3693438.22,571647,7084124.2
3,MN-501,Saint Paul/Ramsey County CoC,3492.070166,152.21,892,13250,1.237855007,531528,3484.4,1487,1438,905,533,10029877.85,1952153,28444947.48
3,OK-502,Oklahoma City CoC,1078.832426,708.82,794,11444,1.20109152,764698,4410.9,1357,1368,1009,359,2831447.06,474008,22254864.95
3,WA-502,Spokane City & County CoC,275.4630653,1763.79,805,11577,1.198447205,485859,3706.1,1068,1090,791,299,4615951.53,1215025,15720246.53
3,OK-501,Tulsa City & County/Broken Arrow CoC,1104.468216,570.25,790,11538,1.217088608,629823,5081.6,848,1074,819,255,2407542.19,1069570,10950001.19
3,AR-500,Little Rock/Central Arkansas CoC,202.2694302,2902.05,783.4763678,12122.66617,1.289409895,586996,3338,674,1006,892,114,2864661.34,540496,6268774.34
3,ID-500,Boise/Ada County CoC,404.5279219,1052.58,871,13195,1.262437811,425798,1854.8,771,833,671,162,3368241.45,535498,6836203.01
3,NE-502,Lincoln CoC,3146.268657,89.11,750,13024,1.447111111,280364,3348.7,611,606,385,221,3235294.08,1318026,6498218.08
3,KS-502,Wichita/Sedgwick County CoC,509.4896292,997.51,750,11670,1.296666667,508221,4722.9,581,575,395,180,1948950.63,860474,13395450.63
3,OH-506,Akron/Barberton/Summit County CoC,1311.622047,412.75,760,11542,1.265570175,541372,2799.1,477,507,392,115,3970969.7,515324,9146846.7
3,FL-603,Ft Myers/Cape Coral/Lee County CoC,868.0195281,784.51,984,12457,1.054962737,680970,3415.5,286,431,317,114,1600719.27,45340,11613969.27
3,KS-503,Topeka/Shawnee County CoC,328.2360943,544.02,738,12889,1.455397471,178567,2735.2,339,356,247,109,1775984.32,0,4532090.62
3,NC-502,Durham City & County CoC,1030.204909,285.98,921,11814,1.068946797,294618,4438.7,319,354,254,100,1723314,1369722,9922145
3,MA-505,New Bedford CoC,4751.6,20,829,12107,1.217028548,95032,1857.1,352,352,174,178,1742340,225072,6438373
4,FL-600,Miami/Dade County CoC,1404.010075,1897.72,1143,9132,0.665791776,2664418,4832.7,3009,3721,2546,1175,26442289.97,1607546,85793206.97
4,GA-500,Atlanta Continuum of Care,3548.794593,133.15,1037,11078,0.890228222,472522,5747.4,3419,3572,3089,483,24199229.72,2256284,58972417.24
4,FL-502,St. Petersburg/Clearwater/Largo/Pinellas County CoC,3431.512053,273.8,967,11034,0.950879007,939548,5642.6,2047,2831,2466,365,7754758.63,3210184,19906681.63
4,MI-501,Detroit CoC,4848.972973,138.75,808,7659,0.789913366,672795,4818.9,1981,2078,1543,535,24381315.97,3609100,51511844.97
4,IN-503,Indianapolis CoC,2352.112036,396.3,806,9348,0.966501241,932142,4823.1,1750,1783,1283,500,9055340.38,4475119,13112423.66
4,OH-502,Cleveland/Cuyahoga County CoC,2753.144207,457.19,742,8786,0.986747529,1258710,5458.8,1603,1727,1360,367,29894350.15,2294958,59626398.15
4,MO-501,St.Louis City CoC,5104.668067,61.91,759,6504,0.714097497,316030,6252.6,1338,1336,821,515,7291242.59,2427074,32598503.59
4,NM-500,Albuquerque CoC,2979.156235,187.73,816,10538,1.076184641,559277,5446.1,682,1318,1104,214,5562766.23,1729066,26028853.64
4,LA-503,New Orleans/Jefferson Parish CoC,1759.221589,465.05,922.0846202,8964.302196,0.810148187,818126,3458.8,1053,1301,1158,143,20778403.8,1566871,46476348.8
4,TX-603,El Paso City & County CoC,823.1462738,1012.69,765,9734,1.060348584,833592,2141.8,1259,1193,691,502,2289953.4,267519,19714700.86
4,OH-500,Cincinnati/Hamilton County CoC,1985.57562,405.91,725,9405,1.081034483,805965,5603.5,971,1162,889,273,18691547.59,3240571,36290535.23
4,KY-501,Louisville/Jefferson County CoC,1997.0664,380.42,770,11246,1.217099567,759724,4196.2,917,1034,769,265,9257659.73,443483,27051208.73
4,WI-501,Milwaukee City & County CoC,3957.357084,241.4,821,9523,0.966605765,955306,4588.3,1106,900,687,213,11099689.32,806701,29963228.43
4,OH-505,Dayton/Kettering/Montgomery County CoC,1154.286643,461.55,740,9902,1.11509009,532761,2799.1,540,619,459,160,9262880.84,732403,17771860.84
