"source","target","value"
"Social Security","Insurance Claims and Indemnities",934162795621.68
"Medicare","Insurance Claims and Indemnities",693332573138.74
"Income Security","Grants, Subsidies, and Contributions",546051782444.37
"Health","Grants, Subsidies, and Contributions",482101741312.01
"Net Interest","Interest and Dividends",468049569030.64
"General Government","Refunds",309883218884.03
"Medicare","Grants, Subsidies, and Contributions",255874779299.77
"Education, Training, Employment, and Social Services","Grants, Subsidies, and Contributions",166298462081.3
"Income Security","Insurance Claims and Indemnities",137657804364.7
"Medicare","Other",94830364445.4
"Veterans Benefits and Services","Insurance Claims and Indemnities",87731292513
"Health","Advisory, R&D, Medical, and Other Contracts",77163418546.26
"Transportation","Grants, Subsidies, and Contributions",63211387904.89
"Regional Development, Commerce, and Housing","Grants, Subsidies, and Contributions",62703723149.25
"Agriculture","Insurance Claims and Indemnities",61236766599.6
"Health","Insurance Claims and Indemnities",60269635127.85
"General Government","Personnel Compensation and Benefits",49791475809.99
"Social Security","Other",48329991646.62
"Veterans Benefits and Services","Personnel Compensation and Benefits",40058616647.91
"Administration of Justice","Personnel Compensation and Benefits",35104609590.72
"Health","Personnel Compensation and Benefits",33094485132.22
"Energy, Science, Space, and Technology","Advisory, R&D, Medical, and Other Contracts",30107725404.09
"International Affairs","Grants, Subsidies, and Contributions",29870599427.44
"Natural Resources and Environment","Personnel Compensation and Benefits",27343568695.3
"Agriculture","Advisory, R&D, Medical, and Other Contracts",26539948659.38
"Natural Resources and Environment","Advisory, R&D, Medical, and Other Contracts",24797717244.03
"Veterans Benefits and Services","Advisory, R&D, Medical, and Other Contracts",24439441126.65
"National Defense","Advisory, R&D, Medical, and Other Contracts",22448939842.67
"General Government","Advisory, R&D, Medical, and Other Contracts",21432904199.08
"Administration of Justice","Advisory, R&D, Medical, and Other Contracts",20257841817.3
"Transportation","Personnel Compensation and Benefits",19970915280.93
"Agriculture","Personnel Compensation and Benefits",19761122098.96
"Natural Resources and Environment","Grants, Subsidies, and Contributions",18082255287.84
"Veterans Benefits and Services","Grants, Subsidies, and Contributions",16867722233.59
"Regional Development, Commerce, and Housing","Advisory, R&D, Medical, and Other Contracts",14738323274.15
"International Affairs","Advisory, R&D, Medical, and Other Contracts",14390540566.4
"Veterans Benefits and Services","Printing and Supplies",12529162595.49
"Regional Development, Commerce, and Housing","Personnel Compensation and Benefits",11929710892.26
"Transportation","Advisory, R&D, Medical, and Other Contracts",11872866860.57
"Energy, Science, Space, and Technology","Grants, Subsidies, and Contributions",10992632892.16
"Transportation","Other",8987159409.23
"International Affairs","Personnel Compensation and Benefits",8616292484.14
"General Government","Rent, Communications, and Utilities",7799513130.32
"General Government","Grants, Subsidies, and Contributions",7319906056.59
"Income Security","Advisory, R&D, Medical, and Other Contracts",7249937274.25
"Social Security","Personnel Compensation and Benefits",6744773654.63
"Income Security","Printing and Supplies",6670045529.65
"International Affairs","Acquisition of Assets",6491436752.1
"National Defense","Personnel Compensation and Benefits",6474819295.31
"Health","Printing and Supplies",6439053653.13
"Veterans Benefits and Services","Acquisition of Assets",5979990262.85
"Agriculture","Grants, Subsidies, and Contributions",5862092087.26
"General Government","Printing and Supplies",5202641177.56
"Energy, Science, Space, and Technology","Personnel Compensation and Benefits",5108583589.5
"Education, Training, Employment, and Social Services","Advisory, R&D, Medical, and Other Contracts",4875579289.87
"Administration of Justice","Grants, Subsidies, and Contributions",4752319870.69
"Social Security","Advisory, R&D, Medical, and Other Contracts",4678483726.53
"Administration of Justice","Rent, Communications, and Utilities",4357202524.26
"National Defense","Acquisition of Assets",3581135544.27
"Natural Resources and Environment","Acquisition of Assets",3517646674.41
"General Government","Insurance Claims and Indemnities",3337845194.82
"Regional Development, Commerce, and Housing","Insurance Claims and Indemnities",3176582813.8
"Veterans Benefits and Services","Rent, Communications, and Utilities",3105881929.81
"Income Security","Personnel Compensation and Benefits",2922250060.05
"Administration of Justice","Acquisition of Assets",2811574567.71
"General Government","Acquisition of Assets",2746909415.59
"Net Interest","Grants, Subsidies, and Contributions",2628312582.68
"Medicare","Advisory, R&D, Medical, and Other Contracts",2472825390.18
"International Affairs","Rent, Communications, and Utilities",2468387665.74
"Education, Training, Employment, and Social Services","Personnel Compensation and Benefits",2382810126.54
"Regional Development, Commerce, and Housing","Acquisition of Assets",2228180765.59
"Transportation","Acquisition of Assets",2089276802.63
"Administration of Justice","Printing and Supplies",1935235528.34
"Transportation","Printing and Supplies",1897826443.85
"Energy, Science, Space, and Technology","Travel and Transportation",1787425620.88
"Administration of Justice","Refunds",1743014702.34
"Natural Resources and Environment","Printing and Supplies",1680376584.39
"General Government","Interest and Dividends",1674955096.86
"Natural Resources and Environment","Rent, Communications, and Utilities",1571609472.26
"Energy, Science, Space, and Technology","Acquisition of Assets",1518464041.15
"International Affairs","Travel and Transportation",1397327643.62
"Veterans Benefits and Services","Travel and Transportation",1383787334.84
"Transportation","Rent, Communications, and Utilities",1326563079.08
"National Defense","Insurance Claims and Indemnities",1306025170.76
"National Defense","Rent, Communications, and Utilities",1292700137.73
"Administration of Justice","Travel and Transportation",1248609944.01
"Administration of Justice","Insurance Claims and Indemnities",1223374486.29
"Social Security","Rent, Communications, and Utilities",1207523911.91
"Health","Rent, Communications, and Utilities",1197847307.52
"International Affairs","Printing and Supplies",1118000728.53
"Natural Resources and Environment","Travel and Transportation",1097119487.97
"Regional Development, Commerce, and Housing","Rent, Communications, and Utilities",1033132741.38
"Regional Development, Commerce, and Housing","Printing and Supplies",994844814.57
"Agriculture","Printing and Supplies",974787434.79
"Transportation","Travel and Transportation",931353244.16
"Agriculture","Acquisition of Assets",914646107.43
"Regional Development, Commerce, and Housing","Travel and Transportation",859610056.43
"Health","Acquisition of Assets",845351302
"Agriculture","Rent, Communications, and Utilities",792537177.49
"Social Security","Grants, Subsidies, and Contributions",773378125.08
"Agriculture","Travel and Transportation",609884235.36
"Health","Travel and Transportation",590265752.9
"Income Security","Interest and Dividends",550793707.73
"National Defense","Grants, Subsidies, and Contributions",495133589.27
"Education, Training, Employment, and Social Services","Other",470640641.41
"Energy, Science, Space, and Technology","Rent, Communications, and Utilities",434157985.54
"Income Security","Refunds",411673589.85
"Administration of Justice","Other",401106655.88
"Social Security","Acquisition of Assets",378440252.33
"Education, Training, Employment, and Social Services","Rent, Communications, and Utilities",300313685.11
"National Defense","Travel and Transportation",265946152.52
"Income Security","Rent, Communications, and Utilities",229845483.3
"Energy, Science, Space, and Technology","Printing and Supplies",229304113.65
"Energy, Science, Space, and Technology","Interest and Dividends",209982200.5
"Income Security","Acquisition of Assets",195634660.77
"National Defense","Printing and Supplies",183133896.38
"Education, Training, Employment, and Social Services","Acquisition of Assets",177388303.64
"Medicare","Personnel Compensation and Benefits",109278468.81
"Natural Resources and Environment","Insurance Claims and Indemnities",90236139.07
"Health","Refunds",88751359.44
"Income Security","Travel and Transportation",75852932.71
"Social Security","Printing and Supplies",70084308.63
"National Defense","Other",65101683.42
"Education, Training, Employment, and Social Services","Travel and Transportation",49698155.67
"International Affairs","Refunds",46560999.4
"Education, Training, Employment, and Social Services","Insurance Claims and Indemnities",37163523
"Energy, Science, Space, and Technology","Refunds",33571793.03
"Social Security","Travel and Transportation",26662709.21
"Transportation","Refunds",23403539.76
"Education, Training, Employment, and Social Services","Printing and Supplies",18700405.91
"International Affairs","Insurance Claims and Indemnities",17976837.4
"Transportation","Insurance Claims and Indemnities",11915679.48
"Transportation","Interest and Dividends",6048027.85
"Medicare","Rent, Communications, and Utilities",5786413.26
