"source","target","value"
"Social Security","Insurance Claims and Indemnities",238841384310.47
"Net Interest","Interest and Dividends",149587126215.84
"Medicare","Insurance Claims and Indemnities",147092614392.18
"Health","Grants, Subsidies, and Contributions",112457408214.27
"Income Security","Grants, Subsidies, and Contributions",70939485175.63
"Medicare","Grants, Subsidies, and Contributions",54081623741.41
"General Government","Refunds",40251434365.75
"Income Security","Insurance Claims and Indemnities",33732637740.48
"Education, Training, Employment, and Social Services","Grants, Subsidies, and Contributions",30101975687.64
"Medicare","Other",26985019612.91
"Veterans Benefits and Services","Insurance Claims and Indemnities",23400483700.48
"Regional Development, Commerce, and Housing","Grants, Subsidies, and Contributions",18486399570.86
"Health","Advisory, R&D, Medical, and Other Contracts",16070628650.39
"Social Security","Other",12228582174.07
"Health","Insurance Claims and Indemnities",12162420759.93
"Regional Development, Commerce, and Housing","Advisory, R&D, Medical, and Other Contracts",12104446424.02
"General Government","Personnel Compensation and Benefits",10444783514.97
"Veterans Benefits and Services","Personnel Compensation and Benefits",10178441282.98
"Transportation","Personnel Compensation and Benefits",9204387818.51
"Administration of Justice","Personnel Compensation and Benefits",8391727480.43
"Health","Personnel Compensation and Benefits",7433149404.48
"Regional Development, Commerce, and Housing","Insurance Claims and Indemnities",7008035556.33
"Veterans Benefits and Services","Advisory, R&D, Medical, and Other Contracts",6852088854.19
"Transportation","Grants, Subsidies, and Contributions",6651327508.72
"General Government","Advisory, R&D, Medical, and Other Contracts",6435007395.11
"Energy, Science, Space, and Technology","Advisory, R&D, Medical, and Other Contracts",5277257155.19
"Veterans Benefits and Services","Grants, Subsidies, and Contributions",4560673766.63
"Administration of Justice","Advisory, R&D, Medical, and Other Contracts",4307739254.87
"National Defense","Advisory, R&D, Medical, and Other Contracts",4261248766.54
"Natural Resources and Environment","Personnel Compensation and Benefits",3371761551.08
"Veterans Benefits and Services","Printing and Supplies",3091819611.03
"International Affairs","Grants, Subsidies, and Contributions",2889902358.8
"Transportation","Other",2776689462.03
"Regional Development, Commerce, and Housing","Personnel Compensation and Benefits",2729631971.54
"Natural Resources and Environment","Advisory, R&D, Medical, and Other Contracts",2587793756.56
"International Affairs","Advisory, R&D, Medical, and Other Contracts",2467125510.19
"General Government","Rent, Communications, and Utilities",2061625300.52
"Agriculture","Insurance Claims and Indemnities",1987890292.13
"Income Security","Other",1958311238.57
"International Affairs","Personnel Compensation and Benefits",1819797885.92
"Social Security","Personnel Compensation and Benefits",1698281353.59
"General Government","Grants, Subsidies, and Contributions",1668252838.69
"National Defense","Personnel Compensation and Benefits",1620488680.08
"Agriculture","Acquisition of Assets",1596231476.42
"Health","Other",1502759258.07
"Health","Printing and Supplies",1403549832.91
"Veterans Benefits and Services","Rent, Communications, and Utilities",1267116818.06
"Social Security","Advisory, R&D, Medical, and Other Contracts",1244833932.91
"Energy, Science, Space, and Technology","Personnel Compensation and Benefits",1210877567.32
"Administration of Justice","Rent, Communications, and Utilities",1208976883.69
"Natural Resources and Environment","Grants, Subsidies, and Contributions",1183059268.55
"Energy, Science, Space, and Technology","Acquisition of Assets",1119755567.77
"Income Security","Advisory, R&D, Medical, and Other Contracts",1098901691.25
"Veterans Benefits and Services","Acquisition of Assets",1068662788.56
"Regional Development, Commerce, and Housing","Printing and Supplies",831308415.94
"Net Interest","Grants, Subsidies, and Contributions",662323300.93
"General Government","Insurance Claims and Indemnities",659399579.84
"Education, Training, Employment, and Social Services","Advisory, R&D, Medical, and Other Contracts",621569946.64
"Energy, Science, Space, and Technology","Grants, Subsidies, and Contributions",597511844.84
"Energy, Science, Space, and Technology","Travel and Transportation",593051622.72
"Education, Training, Employment, and Social Services","Personnel Compensation and Benefits",588124520.35
"General Government","Printing and Supplies",546972877.92
"National Defense","Acquisition of Assets",476668207.6
"Veterans Benefits and Services","Travel and Transportation",466999691.67
"Regional Development, Commerce, and Housing","Travel and Transportation",457327665.65
"Income Security","Personnel Compensation and Benefits",427552165.27
"International Affairs","Rent, Communications, and Utilities",406929625.71
"Regional Development, Commerce, and Housing","Acquisition of Assets",393039129.25
"Income Security","Printing and Supplies",382136360.19
"Agriculture","Personnel Compensation and Benefits",377718404.73
"National Defense","Rent, Communications, and Utilities",362569590.42
"General Government","Interest and Dividends",355604453.09
"Administration of Justice","Insurance Claims and Indemnities",339050927.74
"Administration of Justice","Refunds",337599593.74
"National Defense","Insurance Claims and Indemnities",333753610.22
"Administration of Justice","Printing and Supplies",325087090.62
"Regional Development, Commerce, and Housing","Rent, Communications, and Utilities",324106078.32
"Transportation","Acquisition of Assets",314540689.7
"Natural Resources and Environment","Rent, Communications, and Utilities",312685496.37
"Natural Resources and Environment","Unknown",308896881
"Veterans Benefits and Services","Unknown",293006048.12
"Agriculture","Advisory, R&D, Medical, and Other Contracts",287292044.5
"International Affairs","Travel and Transportation",275711480.85
"Administration of Justice","Travel and Transportation",269305762.97
"International Affairs","Unknown",250271782.37
"General Government","Acquisition of Assets",249487754.27
"Transportation","Rent, Communications, and Utilities",242881509.09
"Social Security","Rent, Communications, and Utilities",238583467.66
"Health","Rent, Communications, and Utilities",232607447.25
"Administration of Justice","Grants, Subsidies, and Contributions",216826167.31
"Medicare","Advisory, R&D, Medical, and Other Contracts",214662293.78
"Transportation","Travel and Transportation",212510534.33
"International Affairs","Acquisition of Assets",169381799.77
"Agriculture","Grants, Subsidies, and Contributions",169277891.04
"Natural Resources and Environment","Other",169109117.57
"Health","Unknown",150067617.08
"International Affairs","Printing and Supplies",144580519.91
"Natural Resources and Environment","Acquisition of Assets",141748654.82
"Natural Resources and Environment","Travel and Transportation",124683248.39
"Natural Resources and Environment","Printing and Supplies",123882756.15
"Administration of Justice","Acquisition of Assets",108711979.49
"Health","Travel and Transportation",103845458.71
