"source","target","value"
"Social Security","Insurance Claims and Indemnities",978264056880.85
"Medicare","Insurance Claims and Indemnities",702203782811.5
"Net Interest","Interest and Dividends",532483569160.94
"Health","Grants, Subsidies, and Contributions",479796040817.92
"Income Security","Grants, Subsidies, and Contributions",339069764640.51
"General Government","Refunds",330943721353.87
"National Defense","Advisory, R&D, Medical, and Other Contracts",310051969709.06
"National Defense","Personnel Compensation and Benefits",278761932534.93
"Medicare","Grants, Subsidies, and Contributions",274547474744.67
"Income Security","Insurance Claims and Indemnities",196299871350.28
"National Defense","Acquisition of Assets",164708627176.35
"National Defense","Printing and Supplies",129218301014.02
"Education, Training, Employment, and Social Services","Grants, Subsidies, and Contributions",121425107895.9
"Veterans Benefits and Services","Insurance Claims and Indemnities",94443420157.82
"Medicare","Other",80579403186.24
"National Defense","Other",80523113507.89
"Regional Development, Commerce, and Housing","Grants, Subsidies, and Contributions",76952932191.96
"International Affairs","Advisory, R&D, Medical, and Other Contracts",72676156226.64
"Health","Advisory, R&D, Medical, and Other Contracts",70604281377
"Transportation","Grants, Subsidies, and Contributions",66542391259.88
"Health","Insurance Claims and Indemnities",59169235879.77
"General Government","Personnel Compensation and Benefits",52077284012.13
"Social Security","Other",47066154365.21
"Veterans Benefits and Services","Personnel Compensation and Benefits",42271985191.7
"International Affairs","Grants, Subsidies, and Contributions",39425452002.88
"Health","Personnel Compensation and Benefits",36993644299.41
"Regional Development, Commerce, and Housing","Advisory, R&D, Medical, and Other Contracts",34782505922.15
"Administration of Justice","Personnel Compensation and Benefits",34297337695.86
"Natural Resources and Environment","Advisory, R&D, Medical, and Other Contracts",32747806768.66
"National Defense","Grants, Subsidies, and Contributions",32080199532.74
"Energy, Science, Space, and Technology","Advisory, R&D, Medical, and Other Contracts",31337935095.2
"Veterans Benefits and Services","Advisory, R&D, Medical, and Other Contracts",24916188241.37
"General Government","Advisory, R&D, Medical, and Other Contracts",23083525417.35
"Transportation","Personnel Compensation and Benefits",20555683316.21
"National Defense","Travel and Transportation",20146328866.78
"Administration of Justice","Advisory, R&D, Medical, and Other Contracts",19584485145.93
"Natural Resources and Environment","Personnel Compensation and Benefits",19085187379.92
"National Defense","Rent, Communications, and Utilities",17902024472.17
"Veterans Benefits and Services","Grants, Subsidies, and Contributions",17074252376.21
"Regional Development, Commerce, and Housing","Personnel Compensation and Benefits",13402934937.66
"Veterans Benefits and Services","Printing and Supplies",13146074704.65
"Transportation","Advisory, R&D, Medical, and Other Contracts",12886981727.02
"Natural Resources and Environment","Grants, Subsidies, and Contributions",12259628015.58
"Energy, Science, Space, and Technology","Grants, Subsidies, and Contributions",10932529878.94
"Regional Development, Commerce, and Housing","Insurance Claims and Indemnities",10033367870.84
"Transportation","Other",9997475443.63
"International Affairs","Personnel Compensation and Benefits",8912877363.85
"Veterans Benefits and Services","Acquisition of Assets",8792481920.09
"General Government","Rent, Communications, and Utilities",7801802312.35
"General Government","Grants, Subsidies, and Contributions",7715681582.43
"Natural Resources and Environment","Acquisition of Assets",7018186273.48
"Administration of Justice","Grants, Subsidies, and Contributions",7001923752.3
"Social Security","Personnel Compensation and Benefits",6928088849.65
"Agriculture","Advisory, R&D, Medical, and Other Contracts",6723359677.8
"Income Security","Advisory, R&D, Medical, and Other Contracts",6418193474.29
"Agriculture","Insurance Claims and Indemnities",6020672979.7
"Agriculture","Grants, Subsidies, and Contributions",5947632529.36
"Energy, Science, Space, and Technology","Acquisition of Assets",5806883105.81
"Health","Printing and Supplies",5804629512.23
"Energy, Science, Space, and Technology","Personnel Compensation and Benefits",5302426130.96
"Education, Training, Employment, and Social Services","Advisory, R&D, Medical, and Other Contracts",5299724123
"Agriculture","Acquisition of Assets",5113464578.95
"Social Security","Advisory, R&D, Medical, and Other Contracts",5048258839.88
"General Government","Acquisition of Assets",4577527144.84
"International Affairs","Acquisition of Assets",4384660815.03
"Administration of Justice","Rent, Communications, and Utilities",4256857472.09
"Administration of Justice","Acquisition of Assets",3864404848.8
"Agriculture","Personnel Compensation and Benefits",3813042667.14
"Veterans Benefits and Services","Rent, Communications, and Utilities",3302523677.04
"General Government","Printing and Supplies",2818579928.13
"Net Interest","Grants, Subsidies, and Contributions",2628312582.75
"Administration of Justice","Refunds",2496258686.16
"Income Security","Printing and Supplies",2462008315.44
"Education, Training, Employment, and Social Services","Personnel Compensation and Benefits",2323569021.15
"International Affairs","Rent, Communications, and Utilities",2204688624.43
"Transportation","Acquisition of Assets",2181002497.15
"Income Security","Personnel Compensation and Benefits",2162597289.89
"Medicare","Advisory, R&D, Medical, and Other Contracts",2067984827.05
"Regional Development, Commerce, and Housing","Acquisition of Assets",2058407783.4
"Administration of Justice","Printing and Supplies",2012828100.76
"Health","Other",1963260321.29
"Natural Resources and Environment","Rent, Communications, and Utilities",1956405947.13
"Energy, Science, Space, and Technology","Travel and Transportation",1853389277.03
"International Affairs","Other",1820097341.96
"Transportation","Printing and Supplies",1690579627.04
"General Government","Insurance Claims and Indemnities",1638204480.02
"National Defense","Insurance Claims and Indemnities",1535843998.72
"Veterans Benefits and Services","Travel and Transportation",1476305257.7
"International Affairs","Travel and Transportation",1456758387.6
"Regional Development, Commerce, and Housing","Travel and Transportation",1446149692.79
"Administration of Justice","Insurance Claims and Indemnities",1405992422.95
"Transportation","Rent, Communications, and Utilities",1388888038.76
"Administration of Justice","Travel and Transportation",1361402383.08
"Regional Development, Commerce, and Housing","Rent, Communications, and Utilities",1359221480.71
"Regional Development, Commerce, and Housing","Printing and Supplies",1283381088.28
"International Affairs","Printing and Supplies",1256972040.4
"Social Security","Rent, Communications, and Utilities",1196916550.59
"Natural Resources and Environment","Other",1170584220.36
"Natural Resources and Environment","Printing and Supplies",1076021250.18
"General Government","Interest and Dividends",996782842.64
"Natural Resources and Environment","Travel and Transportation",912396794.47
"Transportation","Travel and Transportation",910417371.39
"Health","Rent, Communications, and Utilities",861696770.24
"Income Security","Other",800414528.13
"Health","Acquisition of Assets",775701377.05
"National Defense","Refunds",739518988.57
