"name","value"
"Administration of Justice",50257642243.09
"Agriculture",20238586894.66
"Education, Training, Employment, and Social Services",70352596760.27
"Energy, Science, Space, and Technology",35820281570.75
"General Government",374588600039.27
"Health",481270841372.14
"Income Security",335365134941.75
"International Affairs",37389752442.12
"Medicare",804507234392.01
"National Defense",52716690550.25
"Natural Resources and Environment",29660487666.8
"Net Interest",424544710308.21
"Regional Development, Commerce, and Housing",90872080153.69
"Social Security",777548858687.52
"Transportation",68942176811.88
"Veterans Benefits and Services",152440584419.54
"Acquisition of Assets",24443815594.29
"Advisory, R&D, Medical, and Other Contracts",213704714958.67
"Grants, Subsidies, and Contributions",1010104913458.89
"Insurance Claims and Indemnities",1472549824058.24
"Interest and Dividends",423961330275.61
"Other",124415798418.07
"Personnel Compensation and Benefits",179988106641.32
"Printing and Supplies",22595156391.42
"Refunds",305591783103.82
"Rent, Communications, and Utilities",21394239886.08
"Travel and Transportation",7766576467.54
