"source","target","value"
"Social Security","Insurance Claims and Indemnities",482975609074.43
"Medicare","Insurance Claims and Indemnities",349348983482.85
"Health","Grants, Subsidies, and Contributions",261465868062.75
"Net Interest","Interest and Dividends",246940097745.93
"Income Security","Grants, Subsidies, and Contributions",201353747621.5
"General Government","Refunds",196507456589.84
"Medicare","Grants, Subsidies, and Contributions",124179928808.14
"Income Security","Insurance Claims and Indemnities",69897902841.66
"Veterans Benefits and Services","Insurance Claims and Indemnities",46793242045.11
"Medicare","Other",43329391725.13
"Education, Training, Employment, and Social Services","Grants, Subsidies, and Contributions",40808002709.28
"Health","Advisory, R&D, Medical, and Other Contracts",33836898365.81
"Regional Development, Commerce, and Housing","Grants, Subsidies, and Contributions",30651789999.97
"Health","Insurance Claims and Indemnities",27382030035.58
"Social Security","Other",25429333463.46
"Regional Development, Commerce, and Housing","Advisory, R&D, Medical, and Other Contracts",25232512716.55
"General Government","Personnel Compensation and Benefits",24914609564.31
"Veterans Benefits and Services","Personnel Compensation and Benefits",20961034296.64
"Administration of Justice","Personnel Compensation and Benefits",17720487983.92
"Transportation","Grants, Subsidies, and Contributions",15996039394.21
"Health","Personnel Compensation and Benefits",14860804766.95
"Veterans Benefits and Services","Advisory, R&D, Medical, and Other Contracts",13558679306.52
"Energy, Science, Space, and Technology","Advisory, R&D, Medical, and Other Contracts",11824790956.9
"General Government","Advisory, R&D, Medical, and Other Contracts",10532842399.14
"Transportation","Personnel Compensation and Benefits",10162539046.59
"Veterans Benefits and Services","Grants, Subsidies, and Contributions",9225601990.78
"Regional Development, Commerce, and Housing","Insurance Claims and Indemnities",9138464347.57
"National Defense","Advisory, R&D, Medical, and Other Contracts",9064374197.46
"International Affairs","Grants, Subsidies, and Contributions",8767351591.2
"Administration of Justice","Advisory, R&D, Medical, and Other Contracts",8291874133.92
"Natural Resources and Environment","Personnel Compensation and Benefits",6954262137.89
"Regional Development, Commerce, and Housing","Personnel Compensation and Benefits",6802534144.44
"Veterans Benefits and Services","Printing and Supplies",6278974650.29
"International Affairs","Advisory, R&D, Medical, and Other Contracts",6010785600.51
"Transportation","Other",5087125977
"Natural Resources and Environment","Advisory, R&D, Medical, and Other Contracts",4663192612.84
"Transportation","Advisory, R&D, Medical, and Other Contracts",4387354371.07
"Agriculture","Acquisition of Assets",4144825950.83
"General Government","Rent, Communications, and Utilities",4069838064.74
"International Affairs","Personnel Compensation and Benefits",3886470128.38
"Agriculture","Advisory, R&D, Medical, and Other Contracts",3818285520.38
"Health","Printing and Supplies",3497676186.41
"Agriculture","Insurance Claims and Indemnities",3475679909.02
"Social Security","Personnel Compensation and Benefits",3406610807.48
"National Defense","Personnel Compensation and Benefits",3280798169.23
"General Government","Grants, Subsidies, and Contributions",3104473696.27
"Energy, Science, Space, and Technology","Personnel Compensation and Benefits",2623896913.44
"Social Security","Advisory, R&D, Medical, and Other Contracts",2422036088.26
"Income Security","Advisory, R&D, Medical, and Other Contracts",2395563940.9
"Natural Resources and Environment","Grants, Subsidies, and Contributions",2311006904.15
"Administration of Justice","Rent, Communications, and Utilities",2288534581.46
"Energy, Science, Space, and Technology","Acquisition of Assets",2281199650.29
"Veterans Benefits and Services","Rent, Communications, and Utilities",2000729918.73
"Veterans Benefits and Services","Acquisition of Assets",1901237175.59
"Agriculture","Personnel Compensation and Benefits",1899694434.55
"General Government","Acquisition of Assets",1893989921.55
"Energy, Science, Space, and Technology","Grants, Subsidies, and Contributions",1873268040.75
"Income Security","Other",1816257680.43
"Education, Training, Employment, and Social Services","Advisory, R&D, Medical, and Other Contracts",1738766677.78
"Agriculture","Grants, Subsidies, and Contributions",1690965227.33
"Health","Other",1654282355.63
"Education, Training, Employment, and Social Services","Personnel Compensation and Benefits",1357704869.76
"Net Interest","Grants, Subsidies, and Contributions",1314156291.37
"Energy, Science, Space, and Technology","Travel and Transportation",1141276936.64
"National Defense","Acquisition of Assets",1093535820.51
"Regional Development, Commerce, and Housing","Printing and Supplies",1088992765.46
"General Government","Insurance Claims and Indemnities",1035593146.11
"Regional Development, Commerce, and Housing","Acquisition of Assets",892053034.63
"International Affairs","Rent, Communications, and Utilities",890223769.8
"Income Security","Printing and Supplies",880815478.02
"Administration of Justice","Refunds",871939442.68
"Income Security","Personnel Compensation and Benefits",859724482.7
"Administration of Justice","Printing and Supplies",821697498.59
"International Affairs","Other",815343884.86
"Veterans Benefits and Services","Travel and Transportation",770096923.79
"Regional Development, Commerce, and Housing","Travel and Transportation",762298918.34
"Natural Resources and Environment","Other",725421822.27
"Natural Resources and Environment","Rent, Communications, and Utilities",706668995.62
"Regional Development, Commerce, and Housing","Rent, Communications, and Utilities",700973802.27
"National Defense","Insurance Claims and Indemnities",683352234.19
"Medicare","Advisory, R&D, Medical, and Other Contracts",683263577.12
"Natural Resources and Environment","Refunds",667975385.56
"Administration of Justice","Insurance Claims and Indemnities",662158083.54
"Administration of Justice","Travel and Transportation",646272781.85
"National Defense","Rent, Communications, and Utilities",641787304.26
"International Affairs","Travel and Transportation",583471356.46
"Transportation","Rent, Communications, and Utilities",575549692.54
"Health","Rent, Communications, and Utilities",571356085.71
"Social Security","Rent, Communications, and Utilities",542588228.68
"Transportation","Acquisition of Assets",512641593.83
"Administration of Justice","Acquisition of Assets",483262081.2
"Administration of Justice","Grants, Subsidies, and Contributions",440371409.94
"General Government","Interest and Dividends",437850727.97
"Transportation","Travel and Transportation",416025550.72
"International Affairs","Printing and Supplies",415247940.44
"International Affairs","Acquisition of Assets",364873420.94
"Natural Resources and Environment","Acquisition of Assets",323714596.47
"Natural Resources and Environment","Printing and Supplies",313426258.94
"Agriculture","Rent, Communications, and Utilities",279481177.51
"Transportation","Printing and Supplies",275833445.15
"Natural Resources and Environment","Travel and Transportation",256077674.59
"Agriculture","Other",231562327.56
"National Defense","Grants, Subsidies, and Contributions",217668773.08
"Health","Travel and Transportation",212722503.33
"Energy, Science, Space, and Technology","Interest and Dividends",205951485.38
"Education, Training, Employment, and Social Services","Rent, Communications, and Utilities",193541221.69
"Income Security","Refunds",191841982.31
"Regional Development, Commerce, and Housing","Interest and Dividends",185341421.86
"Energy, Science, Space, and Technology","Rent, Communications, and Utilities",167858512.54
"Regional Development, Commerce, and Housing","Other",145119259.07
"General Government","Printing and Supplies",140298247.73
"Administration of Justice","Other",130281684.75
"National Defense","Travel and Transportation",128694408.95
"Income Security","Rent, Communications, and Utilities",120215262.21
"Health","Acquisition of Assets",119419825.96
"General Government","Travel and Transportation",117635493.51
"Income Security","Interest and Dividends",109441844.14
"Social Security","Acquisition of Assets",100521263.78
"Energy, Science, Space, and Technology","Printing and Supplies",91912644.56
"Income Security","Acquisition of Assets",78239296.18
"National Defense","Printing and Supplies",69754196.16
"Agriculture","Travel and Transportation",68844251.11
"Agriculture","Printing and Supplies",57753269.07
"Natural Resources and Environment","Insurance Claims and Indemnities",54249545.08
"National Defense","Other",50042927.27
"Veterans Benefits and Services","Other",48357387.14
"Medicare","Personnel Compensation and Benefits",46441711.92
"Education, Training, Employment, and Social Services","Travel and Transportation",32806159.42
"Social Security","Printing and Supplies",25316649.2
"Energy, Science, Space, and Technology","Refunds",24669725.79
"General Government","Other",20255258
"Health","Refunds",18612109.33
"International Affairs","Refunds",18494121.38
"Education, Training, Employment, and Social Services","Acquisition of Assets",16632305.33
"Income Security","Travel and Transportation",14946730.33
"Social Security","Travel and Transportation",14487945.65
"Education, Training, Employment, and Social Services","Printing and Supplies",7625172.03
"International Affairs","Insurance Claims and Indemnities",7593228.7
"Social Security","Grants, Subsidies, and Contributions",5771061.01
"Education, Training, Employment, and Social Services","Insurance Claims and Indemnities",4383776.94
"Regional Development, Commerce, and Housing","Refunds",3662542.59
"Medicare","Rent, Communications, and Utilities",3412280.07
"Transportation","Refunds",2561649.8
"Natural Resources and Environment","Interest and Dividends",2272810.31
"Medicare","Refunds",1686664.65
"Agriculture","Refunds",1352802.37
"Transportation","Interest and Dividends",1345824.14
"Energy, Science, Space, and Technology","Other",622925.06
"Agriculture","Interest and Dividends",409725.84
"Energy, Science, Space, and Technology","Insurance Claims and Indemnities",401419.78
"Net Interest","Advisory, R&D, Medical, and Other Contracts",387252
"Health","Interest and Dividends",253199.63
"Medicare","Travel and Transportation",164148.62
"Administration of Justice","Interest and Dividends",128554.02
"Medicare","Printing and Supplies",42721.17
"International Affairs","Interest and Dividends",37839.22
"Education, Training, Employment, and Social Services","Interest and Dividends",2033.57
"Social Security","Interest and Dividends",2008.3
"Medicare","Acquisition of Assets",633.08
"National Defense","Refunds",167.91
"Veterans Benefits and Services","Interest and Dividends",2.26
