Recipient,State,INST_TYPE,LONGITUDE,LATITUDE,COUNTY,Football,Basketball,Fed_Funding_Amt
Johns Hopkins University,MD,"Private not-for-profit, 4-year or above",-76.621595,39.328977,Baltimore City,Centennial Conference,Centennial Conference,2073309239
University of California-Berkeley,CA,"Public, 4-year or above",-122.260463,37.871918,Alameda County,Pacific-12 Conference,Pacific-12 Conference,1450474449
Massachusetts Institute of Technology,MA,"Private not-for-profit, 4-year or above",-71.092115,42.360095,Middlesex County,New England Football Conference,New England Women's & Men's Athletic Conference,1447238463
Stanford University,CA,"Private not-for-profit, 4-year or above",-122.164434,37.429532,Santa Clara County,Pacific-12 Conference,Pacific-12 Conference,1285330333
Harvard University,MA,"Private not-for-profit, 4-year or above",-71.118177,42.374429,Middlesex County,Ivy Group,Ivy Group,1165952587
University of Washington,WA,"Public, 4-year or above",-122.313115,47.656213,King County,Pacific-12 Conference,Pacific-12 Conference,1147159420
Pennsylvania State University,PA,"Public, 4-year or above",-77.861644,40.800732,Centre County,Big Ten Conference,Big Ten Conference,1144004377
Pennsylvania State University,PA,"Public, 4-year or above",-77.861644,40.800732,Centre County,Big Ten Conference,Big Ten Conference,1144004377
University of Southern California,CA,"Private not-for-profit, 4-year or above",-118.284169,34.021281,Los Angeles County,Pacific-12 Conference,Pacific-12 Conference,1085646031
University of Michigan-Ann Arbor,MI,"Public, 4-year or above",-83.742769,42.275921,Washtenaw County,Big Ten Conference,Big Ten Conference,1060506023
New York University,NY,"Private not-for-profit, 4-year or above",-73.997264,40.729452,New York County,NA,University Athletic Association,1029792738
Columbia University in the City of New York,NY,"Private not-for-profit, 4-year or above",-73.961885,40.808286,New York County,Ivy Group,Ivy Group,991838048
Arizona State University-Tempe,AZ,"Public, 4-year or above",-111.934629,33.422247,Maricopa County,Pacific-12 Conference,Pacific-12 Conference,960140252
University of Pittsburgh-Pittsburgh Campus,PA,"Public, 4-year or above",-79.954692,40.444502,Allegheny County,Atlantic Coast Conference,Atlantic Coast Conference,871182209
University of California-San Diego,CA,"Public, 4-year or above",-117.237793,32.876598,San Diego County,NA,NA,857285005
University of California-Los Angeles,CA,"Public, 4-year or above",-118.443901,34.068892,Los Angeles County,Pacific-12 Conference,Pacific-12 Conference,812746293
University of Pennsylvania,PA,"Private not-for-profit, 4-year or above",-75.193618,39.951002,Philadelphia County,Ivy Group,Ivy Group,808090209
University of North Carolina at Chapel Hill,NC,"Public, 4-year or above",-79.050969,35.911769,Orange County,Atlantic Coast Conference,Atlantic Coast Conference,795296569
University of Minnesota-Twin Cities,MN,"Public, 4-year or above",-93.235352,44.977886,Hennepin County,Big Ten Conference,Big Ten Conference,776701747
University of California-San Francisco,CA,"Public, 4-year or above",-122.458049,37.762736,San Francisco County,NA,NA,765094651
