"source","target","value","type"
"ADDITIVE METAL MATERIALS","Department of the Army",25000,"contract"
"ADP BACKUP AND SECURITY SERVICES","National Oceanic and Atmospheric Administration",22955.93,"contract"
"ADP COMPONENTS","Agricultural Research Service",70438.54,"contract"
"ADP COMPONENTS","Department of the Air Force",56500,"contract"
"ADP COMPONENTS","National Institute of Standards and Technology",4500,"contract"
"ADP DATA ENTRY SERVICES","Forest Service",24000,"contract"
"ADP FACILITY MANAGEMENT","President's Committee on Employment of the Handicapped",2828861,"contract"
"ADP FACILITY MANAGEMENT","Office of the Assistant Secretary for Administration",1012058,"contract"
"ADP FACILITY MANAGEMENT","Department of the Navy",244932,"contract"
"ADP FACILITY MANAGEMENT","Forest Service",13374,"contract"
"ADP INF, BROADCAST & DIST SVCS","Department of the Navy",19933,"contract"
"ADP INF, BROADCAST & DIST SVCS","Department of Veterans Affairs",9985,"contract"
"ADP INPUT/OUTPUT AND STORAGE DEVICES","Federal Highway Administration",18333,"contract"
"ADP SOFTWARE","Department of the Air Force",4727349.85,"contract"
"ADP SOFTWARE","Department of Defense",1933195.75,"contract"
"ADP SOFTWARE","Centers for Disease Control and Prevention",750000,"contract"
"ADP SOFTWARE","Department of the Navy",425591.83,"contract"
"ADP SOFTWARE","U.S. Army Corps of Engineers - Civil Program Financing Only",312499,"contract"
"ADP SUPPLIES","Bureau of Land Management",30634,"contract"
"ADP SUPPLIES","U.S. Geological Survey",3450,"contract"
"ADP SUPPORT EQUIPMENT","International Boundary and Water Commission: U.S.-Mexico",6560,"contract"
"ADVERTISING SERVICES","Department of the Army",21998,"contract"
"ADVERTISING SERVICES","Department of the Navy",20000,"contract"
"ADVERTISING SERVICES","Department of the Air Force",12000,"contract"
"ADVERTISING SERVICES","National Institutes of Health",5000,"contract"
"ADVERTISING SERVICES","Department of Veterans Affairs",1152,"contract"
"AERIAL PHOTOGRAPHIC SERVICES","Natural Resources Conservation Service",25000,"contract"
"AERIAL PHOTOGRAPHIC SERVICES","National Park Service",9500,"contract"
"AERIAL SEEDING SERVICES","U.S. Army Corps of Engineers - Civil Program Financing Only",48744.75,"contract"
"AERONAUTIC/SPACE STUDIES","National Aeronautics and Space Administration",706827,"contract"
"AGRICULTURE MARKETING (BASIC)","Department of Veterans Affairs",46002.31,"contract"
"AGRICULTURE PRODUCTION (BASIC)","Department of Veterans Affairs",40000,"contract"
"AGRICULTURE PRODUCTION (BASIC)","Agricultural Research Service",20272.38,"contract"
"AIDS RESEARCH (BASIC)","National Institutes of Health",11206434,"contract"
"AIR TRANSPORTATION (ENGINEERING)","Immediate Office of the Secretary of Transportation",2098250,"contract"
"AIRFRAME STRUCTURAL COMPONENTS","Department of the Army",69970,"contract"
"ALCOHOL DEPENDENCY (BASIC)","National Institutes of Health",1561211,"contract"
"ANESTHESIOLOGY SERVICES","Department of Veterans Affairs",7167037.04,"contract"
"ANTENNAS, WAVEGUIDES, AND RELATED EQUIPMENT","Department of the Air Force",42640382,"contract"
"ANTENNAS, WAVEGUIDES, AND RELATED EQUIPMENT","Defense Logistics Agency",960,"contract"
"ARCHITECT AND ENGINEERING- CONSTRUCTION: EXHIBIT DESIGN (NON-BUILDING)","Department of the Air Force",7506,"contract"
"ARCHITECT AND ENGINEERING- CONSTRUCTION: PARKING FACILITIES","Federal Highway Administration",140715.02,"contract"
"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING","Department of the Air Force",9500,"contract"
"ARMOR, PERSONAL","Department of the Army",478956.8,"contract"
"ARTS/GRAPHICS SERVICES","Department of State",100000,"contract"
"ATHLETIC AND SPORTING EQUIPMENT","U.S. Customs and Border Protection",10000,"contract"
"AUTO NEWS, DATA & OTHER SVCS","Centers for Disease Control and Prevention",159600,"contract"
"AUTO NEWS, DATA & OTHER SVCS","Agricultural Research Service",96650,"contract"
"AUTO NEWS, DATA & OTHER SVCS","Securities and Exchange Commission",75635,"contract"
"AUTO NEWS, DATA & OTHER SVCS","Office of the Comptroller of the Currency",72593,"contract"
"AUTO NEWS, DATA & OTHER SVCS","Bureau of Ocean Energy Management",45000,"contract"
"AUTOMATED INFORMATION SYSTEM SVCS","National Endowment for the Arts",125515,"contract"
"AUTOMATED INFORMATION SYSTEM SVCS","Bureau of Land Management",32200,"contract"
"AUTOMATED INFORMATION SYSTEM SVCS","Forest Service",8000,"contract"
"BIOMEDICAL (ADVANCED)","Defense Health Agency",8811342.88,"contract"
"BIOMEDICAL (ADVANCED)","Office of Assistant Secretary for Preparedness and Response",7345135.34,"contract"
"BIOMEDICAL (ADVANCED)","Department of the Army",89600,"contract"
"BIOMEDICAL (ADVANCED)","Centers for Disease Control and Prevention",38051,"contract"
"BIOMEDICAL (ADVANCED)","Department of Veterans Affairs",13548,"contract"
"BOOKS AND PAMPHLETS","Offices, Boards and Divisions",115360,"contract"
"BOOKS AND PAMPHLETS","Department of the Army",25000,"contract"
"BOOKS AND PAMPHLETS","Indian Health Service",20085,"contract"
"BOOKS AND PAMPHLETS","Federal Prison System / Bureau of Prisons",10986.83,"contract"
"BOOKS AND PAMPHLETS","Natural Resources Conservation Service",9386.2,"contract"
"BUOYS","Department of the Navy",140000,"contract"
"CARDIO-VASCULAR SERVICES","Department of Veterans Affairs",10353940.44,"contract"
"CARDIO-VASCULAR SERVICES","Department of the Army",7200,"contract"
"CHEMICAL ANALYSIS INSTRUMENTS","Department of the Army",110730,"contract"
